!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:41:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-4.232111,-4.3700085,-24.694693,131.25963
2001000000,-4.2211051,-4.488236,-25.451441,128.66188
2002000000,-4.2148633,-4.6650319,-26.180502,126.25781
2003000000,-4.2602429,-4.8917718,-26.872173,123.97813
2004000000,-4.3141236,-5.1803627,-27.439693,122.23584
2005000000,-4.3910871,-5.4654884,-27.900702,120.87685
2006000000,-4.4449267,-5.7913046,-27.998394,119.9833
2007000000,-4.5204625,-6.1280413,-28.229076,119.15855
2008000000,-4.5761185,-6.4754391,-28.221367,119.07179
2009000000,-4.6190667,-6.7965412,-28.130751,119.23409
2010000000,-4.6096115,-7.1091661,-28.089899,119.5988
2011000000,-4.6341639,-7.3819447,-27.943996,120.61886
2012000000,-4.6088657,-7.666049,-27.931267,121.56619
2013000000,-4.5703888,-7.8533964,-27.956642,122.89049
2014000000,-4.573308,-8.0476036,-27.979437,124.6273
2015000000,-4.5235868,-8.1927481,-28.282274,126.23746
2016000000,-4.4847488,-8.2294331,-28.382732,128.31982
2017000000,-4.4238577,-8.2378035,-28.792435,130.35159
2018000000,-4.4050651,-8.1405897,-29.191587,132.40321
2019000000,-4.4039536,-8.0083342,-29.78775,134.41742
2020000000,-4.3716092,-7.7785301,-30.309338,136.11002
2021000000,-4.3887377,-7.4939375,-30.727716,137.59149
2022000000,-4.3835444,-7.1384416,-31.331905,138.44426
2023000000,-4.4249086,-6.7827411,-31.761551,138.89684
2024000000,-4.4680872,-6.3811073,-32.229393,138.81439
2025000000,-4.5103092,-6.0096536,-32.57354,137.95245
2026000000,-4.5641937,-5.6547604,-32.950729,136.83322
2027000000,-4.6110468,-5.3336606,-33.162395,135.0224
2028000000,-4.6614375,-5.0658441,-33.064682,133.14207
2029000000,-4.6841898,-4.8703113,-33.107418,130.74837
2030000000,-4.6796279,-4.731112,-33.075985,128.07713
2031000000,-4.6475239,-4.6109085,-33.1133,125.33128
2032000000,-4.6335955,-4.6410484,-33.381214,122.44103
2033000000,-4.607409,-4.7236423,-33.489197,119.73438
2034000000,-4.5555606,-4.8748889,-33.720451,117.28035
2035000000,-4.5420489,-5.1013288,-34.257816,115.01036
2036000000,-4.5016179,-5.3323655,-34.83498,112.91296
2037000000,-4.4973569,-5.6413059,-35.356922,111.12041
2038000000,-4.5121355,-5.9730902,-35.989952,109.85502
2039000000,-4.5396776,-6.3472357,-36.571659,109.08975
2040000000,-4.5757294,-6.6826262,-37.24831,108.41628
2041000000,-4.6413183,-7.0263109,-37.853817,108.49925
2042000000,-4.7197728,-7.373075,-38.258465,108.90247
2043000000,-4.8010087,-7.6984248,-38.417484,109.60796
2044000000,-4.8801131,-7.9701772,-38.62154,110.86576
2045000000,-4.9319949,-8.2199554,-38.762413,112.11294
2046000000,-4.9729476,-8.4308767,-38.777061,113.9163
2047000000,-5.0023918,-8.5302706,-38.622887,115.53555
2048000000,-5.0269632,-8.6314344,-38.29879,117.85069
2049000000,-5.0150375,-8.643384,-38.271011,119.67289
