!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-2.6634202,-3.071224,-17.633577,151.89713
2001000000,-2.600575,-2.8841228,-18.377048,148.85445
2002000000,-2.5598462,-2.840662,-19.384005,145.52682
2003000000,-2.5769355,-2.8895531,-20.503286,142.15926
2004000000,-2.6339805,-3.0086725,-21.370485,139.12129
2005000000,-2.733084,-3.2304373,-22.198757,136.38261
2006000000,-2.8279245,-3.522527,-22.682697,134.14679
2007000000,-2.9529948,-3.8280911,-22.886236,132.15698
2008000000,-3.0537014,-4.1731777,-23.050409,130.65007
2009000000,-3.1528962,-4.5210991,-22.9118,129.51657
2010000000,-3.212625,-4.9149914,-22.532921,129.01213
2011000000,-3.2378154,-5.2583089,-22.316681,128.73672
2012000000,-3.2525628,-5.6598229,-22.259701,128.77251
2013000000,-3.202806,-5.9966979,-21.766733,129.51691
2014000000,-3.1952736,-6.3169303,-21.57831,130.34673
2015000000,-3.1199028,-6.6335769,-21.783798,131.71239
2016000000,-3.0877707,-6.87815,-21.821491,133.14761
2017000000,-3.021919,-7.1037936,-22.117115,135.06808
2018000000,-2.9779713,-7.2437339,-22.483513,137.30054
2019000000,-2.9655344,-7.3435812,-23.163197,139.95294
2020000000,-2.9265354,-7.3435383,-23.447123,142.58922
2021000000,-2.9092188,-7.2620411,-23.935347,145.11993
2022000000,-2.8986282,-7.0656433,-24.568802,147.62369
2023000000,-2.9151876,-6.8009391,-25.309534,149.86296
2024000000,-2.9273643,-6.4107695,-25.772343,151.7142
2025000000,-3.00319,-5.9943585,-26.469582,152.87483
2026000000,-3.0252137,-5.552752,-26.798944,153.52504
2027000000,-3.0776839,-5.0691118,-27.126902,153.65121
2028000000,-3.1440101,-4.6137156,-27.220083,152.89014
2029000000,-3.1751492,-4.1684761,-27.433664,151.72485
2030000000,-3.2282557,-3.7831774,-27.631325,149.76469
2031000000,-3.2358127,-3.4241462,-27.419313,147.38219
2032000000,-3.2440178,-3.18156,-27.317614,144.69447
2033000000,-3.1762204,-2.9754987,-27.452152,141.69661
2034000000,-3.1468894,-2.8830361,-27.663853,138.53458
2035000000,-3.0834765,-2.8692658,-27.912254,135.46811
2036000000,-3.0218158,-2.9308574,-28.596357,132.07208
2037000000,-2.981344,-3.089514,-29.337063,129.20966
2038000000,-2.9479215,-3.3131387,-30.185646,126.58582
2039000000,-2.9895105,-3.619169,-31.047663,124.14101
2040000000,-3.0455823,-3.9600706,-31.997364,122.02965
2041000000,-3.1095533,-4.3582492,-32.746098,120.85104
2042000000,-3.2222638,-4.74511,-33.380779,119.87281
2043000000,-3.3468118,-5.1747808,-33.676506,119.49416
2044000000,-3.4456744,-5.5577211,-33.901382,119.38108
2045000000,-3.5557375,-5.9277601,-33.840771,119.98965
2046000000,-3.6236722,-6.2941823,-33.81255,120.74384
2047000000,-3.6877716,-6.613759,-33.322285,122.18116
2048000000,-3.6922081,-6.8782535,-33.1185,123.52727
2049000000,-3.7040277,-7.109982,-32.776913,125.58327
2050000000,-3.6772339,-7.2866902,-32.581554,127.59798
2051000000,-3.6240706,-7.4056716,-32.41188,129.9724
2052000000,-3.5390422,-7.4524403,-32.447151,132.45377
2053000000,-3.4890006,-7.3883033,-32.59948,135.08279
2054000000,-3.4062145,-7.2714872,-32.93232,137.76312
2055000000,-3.3506706,-7.0679064,-33.479076,140.12944
2056000000,-3.3170242,-6.7709055,-34.055984,142.43224
2057000000,-3.2908549,-6.3638096,-34.75972,143.82895
2058000000,-3.2535267,-5.9203815,-35.597038,145.34288
2059000000,-3.2788277,-5.4669857,-36.525887,145.74896
2060000000,-3.3087764,-4.9798627,-37.278534,145.65616
2061000000,-3.3483233,-4.4921961,-37.968346,144.87221
2062000000,-3.4251857,-4.0482221,-38.502064,143.32562
2063000000,-3.4956999,-3.6539133,-39.148926,141.30531
2064000000,-3.5982368,-3.3000357,-39.392014,138.73405
2065000000,-3.6658745,-3.0719862,-39.444195,135.91228
2066000000,-3.7117589,-2.8655467,-39.632534,132.73354
