frequency,e',e''
200000000,1.9286,0.1112
209600000,1.9019,0.1995
219200000,1.906,0.1462
228800000,1.8802,0.1251
238400000,1.8868,0.2488
248000000,1.9019,0.2019
257600000,1.8986,0.1982
267200000,2.028,0.1934
276800000,1.9743,0.1174
286400000,1.9698,0.15
296000000,1.9675,0.0211
305600000,2.005,0.1063
315200000,1.9327,0.0939
324800000,1.913,0.1306
334400000,1.9387,0.1934
344000000,1.9492,0.1094
353600000,1.98,0.1928
363200000,1.9781,0.1495
372800000,1.9912,0.1407
382400000,1.9522,0.189
392000000,2.001,0.1291
401600000,1.9623,0.1559
411200000,1.8946,0.166
420800000,1.8982,0.2065
430400000,1.917,0.1741
440000000,1.9348,0.1877
449600000,1.9963,0.1765
459200000,2.0852,0.1418
468800000,2.1183,0.1127
478400000,2.192,0.0645
488000000,2.1909,0.0832
497600000,2.1869,0.0856
507200000,2.1488,0.0559
516800000,2.1086,0.0906
526400000,2.0597,0.0765
536000000,2.0292,0.1258
545600000,2.0287,0.1076
555200000,2.0322,0.1006
564800000,2.063,0.0993
574400000,2.0822,0.1211
584000000,2.1291,0.1387
593600000,2.1005,0.1214
603200000,2.0542,0.1236
612800000,2.0077,0.1151
622400000,2.0012,0.0884
632000000,1.9834,0.1085
641600000,1.9946,0.0852
651200000,2.0177,0.071
660800000,2.0615,0.0825
670400000,2.1105,0.1114
680000000,2.1471,0.0893
689600000,2.1589,0.0902
699200000,2.1203,0.0882
708800000,2.0871,0.092
718400000,2.0196,0.1071
728000000,1.9924,0.1043
737600000,2.001,0.0882
747200000,2.029,0.0678
756800000,2.0384,0.0502
766400000,2.099,0.1107
776000000,2.0774,0.1053
785600000,2.0702,0.1042
795200000,2.041,0.1255
804800000,1.9902,0.0979
814400000,1.9337,0.0735
824000000,1.9324,0.0872
833600000,1.8823,0.0981
843200000,1.9257,0.1008
852800000,2.0102,0.1266
862400000,1.9888,0.0901
872000000,2.0495,0.0515
881600000,2.0789,0.0849
891200000,2.0882,0.0876
900800000,2.0499,0.0742
910400000,2.0002,0.0569
920000000,2.0664,0.0641
929600000,2.054,0.0604
939200000,2.0841,0.041
948800000,2.0766,0.0931
958400000,2.1597,0.1009
968000000,2.1538,0.1494
977600000,2.1788,0.0806
987200000,2.1662,0.0489
996800000,2.1143,0.0497
1006400000,2.1666,0.0791
1016000000,2.096,0.051
1025600000,2.0955,0.0833
1035200000,2.156,0.1188
1044800000,2.1519,0.0903
1054400000,2.1746,0.0943
1064000000,2.1683,0.0926
1073600000,2.1451,0.069
1083200000,2.1132,0.0545
1092800000,2.0936,0.0416
1102400000,2.0856,0.0639
1112000000,2.0501,0.1217
1121600000,2.0902,0.0829
1131200000,2.1006,0.1099
1140800000,2.1278,0.116
1150400000,2.1452,0.094
1160000000,2.1488,0.0681
1169600000,2.1336,0.0705
1179200000,2.1281,0.0557
1188800000,2.0929,0.0657
1198400000,2.0718,0.0644
1208000000,2.0524,0.0803
1217600000,2.075,0.086
1227200000,2.0903,0.1036
1236800000,2.1082,0.0949
1246400000,2.1199,0.0885
1256000000,2.1319,0.091
1265600000,2.1162,0.0727
1275200000,2.1096,0.0408
1284800000,2.0791,0.0758
1294400000,2.0503,0.0845
1304000000,2.0507,0.0748
1313600000,2.0559,0.0698
1323200000,2.0545,0.0799
1332800000,2.0689,0.0883
1342400000,2.0847,0.0687
1352000000,2.0971,0.0703
1361600000,2.0863,0.0369
1371200000,2.0931,0.0509
1380800000,2.0878,0.0633
1390400000,2.0724,0.0757
1400000000,2.095,0.0424
1409600000,2.1008,0.0773
1419200000,2.1044,0.0815
1428800000,2.1484,0.078
1438400000,2.1602,0.0734
1448000000,2.1579,0.0643
1457600000,2.1576,0.058
1467200000,2.1622,0.0448
1476800000,2.1237,0.0257
1486400000,2.1707,0.0538
1496000000,2.131,0.0492
1505600000,2.1688,0.0611
1515200000,2.1579,0.052
1524800000,2.1799,0.0497
1534400000,2.1798,0.0368
1544000000,2.1884,0.0189
1553600000,2.1803,0.0334
1563200000,2.1544,0.0469
1572800000,2.1454,0.0439
1582400000,2.136,0.0392
1592000000,2.1019,0.0464
1601600000,2.1388,0.051
1611200000,2.1313,0.0522
1620800000,2.1371,0.0485
1630400000,2.1371,0.0423
1640000000,2.128,0.0475
1649600000,2.1315,0.061
1659200000,2.125,0.0583
1668800000,2.1157,0.0601
1678400000,2.0964,0.054
1688000000,2.0996,0.066
1697600000,2.0918,0.0588
1707200000,2.0954,0.0513
1716800000,2.0949,0.0474
1726400000,2.1043,0.0514
1736000000,2.1146,0.0623
1745600000,2.1135,0.0613
1755200000,2.1095,0.0504
1764800000,2.1067,0.0731
1774400000,2.0736,0.0587
1784000000,2.0984,0.0473
1793600000,2.1076,0.0373
1803200000,2.1064,0.0415
1812800000,2.1163,0.0279
1822400000,2.1241,0.0226
1832000000,2.1381,0.0507
1841600000,2.1425,0.0283
1851200000,2.141,0.0303
1860800000,2.1335,0.0318
1870400000,2.1277,0.028
1880000000,2.1296,0.0297
1889600000,2.1298,0.0121
1899200000,2.1425,0.0137
1908800000,2.1507,0.0199
1918400000,2.1528,0.0271
1928000000,2.163,0.0378
1937600000,2.1575,0.0355
1947200000,2.1622,0.038
1956800000,2.1572,0.0274
1966400000,2.1522,0.0062
1976000000,2.1481,0.0201
1985600000,2.1571,0.0159
1995200000,2.1616,0.014
2004800000,2.1556,0.0214
2014400000,2.1598,0.0297
2024000000,2.1622,0.0264
2033600000,2.1451,0.03
2043200000,2.1359,0.03
2052800000,2.1265,0.0191
2062400000,2.1101,0.006
2072000000,2.1082,0.0104
2081600000,2.1035,0.0224
2091200000,2.1114,0.0281
2100800000,2.1122,0.0419
2110400000,2.1164,0.0322
2120000000,2.1086,0.0518
2129600000,2.0982,0.0402
2139200000,2.0952,0.033
2148800000,2.0799,0.0246
2158400000,2.0839,0.0181
2168000000,2.0813,0.0212
2177600000,2.0777,0.0424
2187200000,2.0737,0.0419
2196800000,2.0916,0.036
2206400000,2.1007,0.0372
2216000000,2.0905,0.0227
2225600000,2.0949,0.0253
2235200000,2.0899,0.0119
2244800000,2.0877,0.0094
2254400000,2.0969,0.0173
2264000000,2.0962,0.0205
2273600000,2.1065,0.0345
2283200000,2.1162,0.0338
2292800000,2.1309,0.0346
2302400000,2.1365,0.0193
2312000000,2.1274,0.0111
2321600000,2.1431,0.0055
2331200000,2.1355,0.0051
2340800000,2.1438,0.0123
2350400000,2.1477,0.0077
2360000000,2.1501,0.0003
2369600000,2.1504,0.0133
2379200000,2.1604,0.0114
2388800000,2.166,0.0087
2398400000,2.1457,-0.0001
2408000000,2.1398,-0.0003
2417600000,2.1368,0.0015
2427200000,2.1242,-0.0035
2436800000,2.1237,-0.0123
2446400000,2.1098,0.0061
2456000000,2.1105,0.0031
2465600000,2.1094,-0.0035
2475200000,2.1144,-0.0049
2484800000,2.1078,-0.0164
2494400000,2.1063,-0.0011
2504000000,2.1027,-0.0112
2513600000,2.0947,-0.0021
2523200000,2.0976,-0.0089
2532800000,2.0891,0.0007
2542400000,2.0848,0.0026
2552000000,2.0835,0.0037
2561600000,2.0692,-0.0059
2571200000,2.0672,-0.0139
2580800000,2.0549,-0.0105
2590400000,2.0521,-0.0093
2600000000,2.0566,-0.0153
2609600000,2.0425,-0.0042
2619200000,2.0521,0.0047
2628800000,2.0582,0.0017
2638400000,2.0631,0.0158
2648000000,2.0603,-0.0016
2657600000,2.0753,0.002
2667200000,2.0774,-0.0004
2676800000,2.0636,-0.007
2686400000,2.0727,-0.007
2696000000,2.0758,-0.0091
2705600000,2.0703,0.0229
2715200000,2.0788,0.0177
2724800000,2.0878,0.0104
2734400000,2.1025,0.0305
2744000000,2.1113,0.018
2753600000,2.123,0.0173
2763200000,2.1252,0.0021
2772800000,2.1276,-0.0041
2782400000,2.1394,0.0018
2792000000,2.1319,-0.004
2801600000,2.1377,-0.0098
2811200000,2.1366,-0.0125
2820800000,2.1402,0.0072
2830400000,2.1423,-0.0085
2840000000,2.1432,-0.0116
2849600000,2.1442,-0.0255
2859200000,2.1434,-0.0301
2868800000,2.1417,-0.0328
2878400000,2.1354,-0.0387
2888000000,2.1338,-0.0281
2897600000,2.1177,-0.0317
2907200000,2.1187,-0.0259
2916800000,2.1106,-0.0334
2926400000,2.0976,-0.0363
2936000000,2.0925,-0.0459
2945600000,2.0898,-0.0432
2955200000,2.0782,-0.041
2964800000,2.0692,-0.0401
2974400000,2.0499,-0.0355
2984000000,2.0412,-0.0348
2993600000,2.034,-0.0284
3003200000,2.0253,-0.0224
3012800000,2.0185,-0.0277
3022400000,2.0098,-0.0375
3032000000,1.9983,-0.0352
3041600000,1.9965,-0.0298
3051200000,1.987,-0.0342
3060800000,1.983,-0.0331
3070400000,1.9746,-0.0334
3080000000,1.9797,-0.0191
3089600000,1.9805,-0.0175
3099200000,1.9862,-0.0323
3108800000,1.9927,-0.0119
3118400000,2.0011,-0.0215
3128000000,2.0068,-0.0276
3137600000,2.0221,-0.0237
3147200000,2.0222,-0.024
3156800000,2.0254,-0.0217
3166400000,2.0353,-0.0229
3176000000,2.043,-0.026
3185600000,2.0533,-0.0219
3195200000,2.0649,-0.0225
3204800000,2.0771,-0.0193
3214400000,2.0946,-0.0203
3224000000,2.1039,-0.0253
3233600000,2.1159,-0.0148
3243200000,2.1236,-0.0236
3252800000,2.1247,-0.0218
3262400000,2.1363,-0.0283
3272000000,2.1466,-0.0248
3281600000,2.1509,-0.0385
3291200000,2.1624,-0.0334
3300800000,2.1725,-0.0393
3310400000,2.1718,-0.0368
3320000000,2.1756,-0.0436
3329600000,2.1753,-0.0431
3339200000,2.1709,-0.0411
3348800000,2.1657,-0.0437
3358400000,2.1492,-0.0499
3368000000,2.1421,-0.0552
3377600000,2.124,-0.0554
3387200000,2.1179,-0.0535
3396800000,2.1073,-0.0588
3406400000,2.0929,-0.0515
3416000000,2.0946,-0.053
3425600000,2.0726,-0.0498
3435200000,2.0574,-0.0555
3444800000,2.0366,-0.0555
3454400000,2.0281,-0.0495
3464000000,2.0129,-0.0459
3473600000,2.0055,-0.038
3483200000,1.9941,-0.0412
3492800000,1.9915,-0.0411
3502400000,1.9844,-0.0425
3512000000,1.9734,-0.0375
3521600000,1.9614,-0.0287
3531200000,1.9449,-0.045
3540800000,1.9355,-0.0388
3550400000,1.9251,-0.0445
3560000000,1.9167,-0.0321
3569600000,1.9197,-0.0411
3579200000,1.9329,-0.0347
3588800000,1.9492,-0.0185
3598400000,1.9604,-0.0209
3608000000,1.985,-0.0293
3617600000,2.0023,-0.0286
3627200000,2.0037,-0.0339
3636800000,2.0125,-0.0346
3646400000,2.0177,-0.0412
3656000000,2.0311,-0.0466
3665600000,2.0385,-0.0414
3675200000,2.0461,-0.044
3684800000,2.0627,-0.0355
3694400000,2.0793,-0.0339
3704000000,2.0931,-0.0371
3713600000,2.1126,-0.0437
3723200000,2.1234,-0.0436
3732800000,2.1249,-0.0533
3742400000,2.1306,-0.0509
3752000000,2.1258,-0.052
3761600000,2.1266,-0.0576
3771200000,2.1338,-0.0623
3780800000,2.1353,-0.0545
3790400000,2.1473,-0.0541
3800000000,2.1549,-0.0591
3809600000,2.1573,-0.0661
3819200000,2.1539,-0.0651
3828800000,2.1473,-0.0719
3838400000,2.1364,-0.0725
3848000000,2.1255,-0.0773
3857600000,2.1186,-0.0788
3867200000,2.0979,-0.0752
3876800000,2.0941,-0.076
3886400000,2.0815,-0.0743
3896000000,2.071,-0.0723
3905600000,2.0616,-0.068
3915200000,2.0463,-0.0737
3924800000,2.0253,-0.0716
3934400000,2.0099,-0.0685
3944000000,2.0045,-0.0763
3953600000,1.9843,-0.0744
3963200000,1.9795,-0.0692
3972800000,1.9647,-0.0783
3982400000,1.9579,-0.0831
3992000000,1.9509,-0.0845
4001600000,1.9398,-0.0812
4011200000,1.9282,-0.0837
4020800000,1.9063,-0.0883
4030400000,1.8989,-0.0775
4040000000,1.8817,-0.0761
4049600000,1.8946,-0.0638
4059200000,1.8946,-0.0703
4068800000,1.9074,-0.0578
4078400000,1.925,-0.0533
4088000000,1.9421,-0.0483
4097600000,1.9579,-0.0584
4107200000,1.9663,-0.0581
4116800000,1.9724,-0.0581
4126400000,1.9907,-0.0623
4136000000,1.9928,-0.067
4145600000,2.0181,-0.0718
4155200000,2.0407,-0.0613
4164800000,2.0624,-0.0659
4174400000,2.0851,-0.0706
4184000000,2.1053,-0.0779
4193600000,2.1231,-0.073
4203200000,2.1371,-0.0824
4212800000,2.1411,-0.0857
4222400000,2.1411,-0.0886
4232000000,2.1454,-0.0956
4241600000,2.1489,-0.0976
4251200000,2.1454,-0.0881
4260800000,2.1455,-0.0904
4270400000,2.1439,-0.092
4280000000,2.1367,-0.0963
4289600000,2.127,-0.091
4299200000,2.1186,-0.0902
4308800000,2.1053,-0.0838
4318400000,2.0973,-0.0818
4328000000,2.087,-0.0848
4337600000,2.0802,-0.0823
4347200000,2.075,-0.0844
4356800000,2.0695,-0.0814
4366400000,2.0609,-0.0866
4376000000,2.0491,-0.0888
4385600000,2.0294,-0.0959
4395200000,2.0133,-0.0972
4404800000,1.991,-0.0952
4414400000,1.9753,-0.0949
4424000000,1.9617,-0.0988
4433600000,1.9469,-0.0966
4443200000,1.9457,-0.0994
4452800000,1.9487,-0.0884
4462400000,1.9435,-0.0852
4472000000,1.9366,-0.0894
4481600000,1.9246,-0.0929
4491200000,1.9187,-0.0883
4500800000,1.9062,-0.082
4510400000,1.8986,-0.0914
4520000000,1.899,-0.0882
4529600000,1.8969,-0.0833
4539200000,1.9141,-0.0721
