frequency,e',e''
200000000,1.7021,0.0108
209600000,1.6107,0.1898
219200000,1.6905,-0.0053
228800000,1.6637,0.1033
238400000,1.6736,-0.0919
248000000,1.7586,-0.0223
257600000,1.7191,0.06
267200000,1.7318,0.0473
276800000,1.7528,0.0604
286400000,1.7521,0.078
296000000,1.7426,0.0336
305600000,1.7536,0.0371
315200000,1.7572,0.0223
324800000,1.7278,0.0869
334400000,1.7634,0.0119
344000000,1.6971,0.0145
353600000,1.7056,0.0588
363200000,1.7622,-0.0099
372800000,1.818,-0.0346
382400000,1.7797,0.0363
392000000,1.7673,0.0476
401600000,1.7535,0.1081
411200000,1.7974,0.0367
420800000,1.7528,0.0281
430400000,1.8245,0.0348
440000000,1.799,0.0864
449600000,1.7922,0.0665
459200000,1.7832,0.0773
468800000,1.8491,0.0759
478400000,1.8079,0.1075
488000000,1.8199,0.0269
497600000,1.8265,0.052
507200000,1.8623,0.0494
516800000,1.8496,0.0474
526400000,1.8511,0.0361
536000000,1.8275,0.0332
545600000,1.8395,0.0351
555200000,1.8232,0.0629
564800000,1.8436,0.0384
574400000,1.8558,0.0255
584000000,1.863,0.018
593600000,1.8274,0.0404
603200000,1.843,0.0299
612800000,1.8674,-0.0127
622400000,1.8723,-0.0409
632000000,1.859,-0.0002
641600000,1.8324,0.006
651200000,1.8239,0.0059
660800000,1.8291,-0.0133
670400000,1.8625,-0.0094
680000000,1.8547,0.0206
689600000,1.8527,0.0137
699200000,1.9004,0.0326
708800000,1.863,0.025
718400000,1.8538,0.0028
728000000,1.8605,-0.0515
737600000,1.8494,-0.0164
747200000,1.8376,0.0084
756800000,1.8396,-0.0081
766400000,1.8888,-0.0103
776000000,1.8841,0.0285
785600000,1.8686,0.0274
795200000,1.8848,0.0063
804800000,1.8638,0.045
814400000,1.8869,0.0462
824000000,1.9293,0.0263
833600000,1.8597,0.0167
843200000,1.9076,0.0034
852800000,1.8961,-0.0191
862400000,1.8778,0.0283
872000000,1.8824,-0.0079
881600000,1.863,-0.049
891200000,1.8941,0.0006
900800000,1.8965,0.0155
910400000,1.8833,-0.0067
920000000,1.9083,0.0044
929600000,1.8846,-0.0171
939200000,1.909,-0.0564
948800000,1.8555,-0.0518
958400000,1.9127,-0.0028
968000000,1.9154,0.0307
977600000,1.8998,-0.005
987200000,1.8934,-0.0011
996800000,1.9087,-0.0223
1006400000,1.963,0.012
1016000000,1.9072,-0.025
1025600000,1.9189,0.0009
1035200000,1.9267,0.0179
1044800000,1.9243,0.006
1054400000,1.9226,0.0153
1064000000,1.9309,-0.0099
1073600000,1.9044,-0.0103
1083200000,1.8666,0.0045
1092800000,1.8552,0.0131
1102400000,1.8835,0.0299
1112000000,1.9129,-0.0179
1121600000,1.8805,0.011
1131200000,1.894,0.0063
1140800000,1.922,0.0281
1150400000,1.8852,0.0397
1160000000,1.8862,0.0084
1169600000,1.8835,0.0299
1179200000,1.9221,0.0365
1188800000,1.8923,0.0192
1198400000,1.8708,0.0083
1208000000,1.865,0.0218
1217600000,1.887,0.0071
1227200000,1.8608,0.011
1236800000,1.8876,-0.0098
1246400000,1.8889,0.0056
1256000000,1.8715,-0.0074
1265600000,1.8854,0.0042
1275200000,1.8412,-0.0055
1284800000,1.9105,0.0296
1294400000,1.9073,0.0397
1304000000,1.9352,0.0075
1313600000,1.9033,-0.003
1323200000,1.887,-0.0036
1332800000,1.8948,0.0118
1342400000,1.9167,0.0002
1352000000,1.883,0.0038
1361600000,1.8966,0.0066
1371200000,1.8999,0.0148
1380800000,1.8971,-0.0068
1390400000,1.8818,0.0078
1400000000,1.9046,-0.0067
1409600000,1.8936,-0.0028
1419200000,1.8511,-0.0015
1428800000,1.8952,0.0213
1438400000,1.8784,0.0111
1448000000,1.8866,0.0087
1457600000,1.8819,-0.0023
1467200000,1.8895,-0.0083
1476800000,1.9267,0.0064
1486400000,1.8832,-0.0126
1496000000,1.8781,-0.0034
1505600000,1.9115,-0.0038
1515200000,1.9081,-0.0007
1524800000,1.9066,-0.0019
1534400000,1.9119,-0.0022
1544000000,1.9179,-0.0011
1553600000,1.9066,-0.0095
1563200000,1.9039,-0.0138
1572800000,1.9007,-0.0182
1582400000,1.9112,-0.0148
1592000000,1.8802,-0.0238
1601600000,1.9093,-0.0044
1611200000,1.8959,-0.0044
1620800000,1.8951,-0.019
1630400000,1.8919,-0.0162
1640000000,1.8892,-0.0288
1649600000,1.8938,-0.0159
1659200000,1.8933,-0.0237
1668800000,1.8944,-0.0008
1678400000,1.896,-0.0091
1688000000,1.9015,0.011
1697600000,1.8897,0.004
1707200000,1.8974,-0.0053
1716800000,1.883,-0.005
1726400000,1.8937,-0.0052
1736000000,1.9003,-0.0026
1745600000,1.8972,-0.0162
1755200000,1.8924,-0.0009
1764800000,1.8947,-0.0228
1774400000,1.859,-0.025
1784000000,1.8859,-0.0226
1793600000,1.8965,-0.0169
1803200000,1.9016,-0.0278
1812800000,1.9025,-0.0379
1822400000,1.901,-0.0212
1832000000,1.9146,-0.009
1841600000,1.9159,-0.0277
1851200000,1.915,-0.0453
1860800000,1.9155,-0.0278
1870400000,1.908,-0.0236
1880000000,1.92,-0.0269
1889600000,1.9116,-0.029
1899200000,1.9287,-0.0428
1908800000,1.9145,-0.0316
1918400000,1.9197,-0.0467
1928000000,1.9163,-0.0126
1937600000,1.9083,-0.023
1947200000,1.9057,-0.0319
1956800000,1.9113,-0.0217
1966400000,1.9057,-0.028
1976000000,1.9085,-0.0218
1985600000,1.911,-0.0216
1995200000,1.9085,-0.0148
2004800000,1.9059,-0.026
2014400000,1.9088,-0.0222
2024000000,1.9183,-0.0162
2033600000,1.8976,-0.0079
2043200000,1.9068,-0.0275
2052800000,1.9045,-0.0362
2062400000,1.9081,-0.0293
2072000000,1.9055,-0.0318
2081600000,1.9079,-0.0309
2091200000,1.9133,-0.0236
2100800000,1.9209,-0.0284
2110400000,1.9174,-0.0324
2120000000,1.9071,-0.0162
2129600000,1.9029,-0.0283
2139200000,1.9014,-0.0213
2148800000,1.8954,-0.0282
2158400000,1.9012,-0.0559
2168000000,1.9006,-0.0502
2177600000,1.9044,-0.0473
2187200000,1.9133,-0.0227
2196800000,1.9067,-0.0297
2206400000,1.9102,-0.0246
2216000000,1.8859,-0.0419
2225600000,1.8981,-0.0275
2235200000,1.9118,-0.0252
2244800000,1.8911,-0.0397
2254400000,1.9041,-0.0324
2264000000,1.9019,-0.0213
2273600000,1.9045,-0.0263
2283200000,1.911,-0.0229
2292800000,1.9072,-0.0263
2302400000,1.9151,-0.0329
2312000000,1.9124,-0.0379
2321600000,1.9032,-0.0383
2331200000,1.9253,-0.0392
2340800000,1.9188,-0.0313
2350400000,1.9164,-0.0316
2360000000,1.9162,-0.0422
2369600000,1.9215,-0.0355
2379200000,1.9204,-0.0416
2388800000,1.9201,-0.0501
2398400000,1.9216,-0.0505
2408000000,1.9154,-0.032
2417600000,1.9198,-0.0508
2427200000,1.9127,-0.0447
2436800000,1.9192,-0.043
2446400000,1.9149,-0.0506
2456000000,1.9258,-0.0423
2465600000,1.9112,-0.0428
2475200000,1.9171,-0.0331
2484800000,1.9109,-0.0479
2494400000,1.9023,-0.0396
2504000000,1.9029,-0.0446
2513600000,1.909,-0.0403
2523200000,1.9099,-0.0387
2532800000,1.9042,-0.0471
2542400000,1.9146,-0.0391
2552000000,1.9065,-0.0342
2561600000,1.9039,-0.0391
2571200000,1.9022,-0.0258
2580800000,1.9001,-0.0311
2590400000,1.8999,-0.031
2600000000,1.9162,-0.0401
2609600000,1.9011,-0.0334
2619200000,1.9033,-0.0427
2628800000,1.9058,-0.0371
2638400000,1.9057,-0.0304
2648000000,1.9065,-0.0377
2657600000,1.9058,-0.0391
2667200000,1.9111,-0.0426
2676800000,1.9133,-0.0471
2686400000,1.9093,-0.0425
2696000000,1.9123,-0.042
2705600000,1.9202,-0.0397
2715200000,1.9195,-0.0246
2724800000,1.9085,-0.0424
2734400000,1.9178,-0.0368
2744000000,1.9223,-0.0365
2753600000,1.9198,-0.0348
2763200000,1.9177,-0.0391
2772800000,1.9224,-0.03
2782400000,1.9186,-0.0439
2792000000,1.9142,-0.0519
2801600000,1.9207,-0.0428
2811200000,1.9289,-0.0368
2820800000,1.9173,-0.0378
2830400000,1.9195,-0.0462
2840000000,1.9174,-0.0397
2849600000,1.9123,-0.0465
2859200000,1.9176,-0.0504
2868800000,1.9178,-0.0515
2878400000,1.9189,-0.0472
2888000000,1.9181,-0.0468
2897600000,1.9084,-0.0446
2907200000,1.9116,-0.0458
2916800000,1.9101,-0.047
2926400000,1.9059,-0.0444
2936000000,1.9045,-0.0458
2945600000,1.9075,-0.0492
2955200000,1.899,-0.0544
2964800000,1.9067,-0.0569
2974400000,1.8977,-0.0607
2984000000,1.9004,-0.0508
2993600000,1.8939,-0.0669
3003200000,1.8924,-0.0591
3012800000,1.8942,-0.046
3022400000,1.8879,-0.0562
3032000000,1.8803,-0.0532
3041600000,1.882,-0.0596
3051200000,1.8799,-0.0551
3060800000,1.8775,-0.0532
3070400000,1.8812,-0.053
3080000000,1.8748,-0.0523
3089600000,1.875,-0.0532
3099200000,1.8816,-0.051
3108800000,1.8771,-0.0472
3118400000,1.8839,-0.0555
3128000000,1.8871,-0.0478
3137600000,1.8945,-0.0559
3147200000,1.8958,-0.0496
3156800000,1.8942,-0.059
3166400000,1.899,-0.0561
3176000000,1.9043,-0.0611
3185600000,1.9066,-0.057
3195200000,1.9085,-0.0593
3204800000,1.9079,-0.0616
3214400000,1.925,-0.0715
3224000000,1.9161,-0.0645
3233600000,1.9223,-0.0632
3243200000,1.932,-0.0598
3252800000,1.9275,-0.0592
3262400000,1.9309,-0.0655
3272000000,1.9289,-0.0655
3281600000,1.9252,-0.068
3291200000,1.9296,-0.0675
3300800000,1.9313,-0.0602
3310400000,1.9258,-0.0584
3320000000,1.9273,-0.0505
3329600000,1.9241,-0.0523
3339200000,1.9212,-0.0608
3348800000,1.9232,-0.0674
3358400000,1.9254,-0.0559
3368000000,1.9183,-0.0615
3377600000,1.9146,-0.0601
3387200000,1.9171,-0.0643
3396800000,1.9091,-0.0673
3406400000,1.9067,-0.0727
3416000000,1.9064,-0.065
3425600000,1.9004,-0.07
3435200000,1.9012,-0.0639
3444800000,1.8984,-0.0742
3454400000,1.8922,-0.0709
3464000000,1.8874,-0.0666
3473600000,1.8888,-0.0693
3483200000,1.879,-0.0725
3492800000,1.8797,-0.0662
3502400000,1.8787,-0.0761
3512000000,1.8756,-0.072
3521600000,1.8767,-0.0658
3531200000,1.8781,-0.0596
3540800000,1.8763,-0.064
3550400000,1.8789,-0.0611
3560000000,1.878,-0.06
3569600000,1.8759,-0.0691
3579200000,1.8803,-0.0608
3588800000,1.881,-0.0578
3598400000,1.8722,-0.0584
3608000000,1.8834,-0.0563
3617600000,1.8835,-0.0622
3627200000,1.8807,-0.0577
3636800000,1.8871,-0.0553
3646400000,1.8958,-0.0535
3656000000,1.8996,-0.0565
3665600000,1.8949,-0.063
3675200000,1.9019,-0.0524
3684800000,1.9061,-0.0603
3694400000,1.9048,-0.0567
3704000000,1.9164,-0.062
3713600000,1.9149,-0.0581
3723200000,1.9147,-0.0612
3732800000,1.9108,-0.0626
3742400000,1.9178,-0.0623
3752000000,1.921,-0.0706
3761600000,1.9174,-0.0688
3771200000,1.9217,-0.0661
3780800000,1.9221,-0.064
3790400000,1.9201,-0.0698
3800000000,1.9174,-0.0756
3809600000,1.9186,-0.0696
3819200000,1.9172,-0.0712
3828800000,1.9152,-0.0789
3838400000,1.9096,-0.073
3848000000,1.909,-0.0808
3857600000,1.9062,-0.0793
3867200000,1.9052,-0.0861
3876800000,1.902,-0.0834
3886400000,1.9053,-0.084
3896000000,1.8957,-0.0844
3905600000,1.898,-0.0826
3915200000,1.8912,-0.0855
3924800000,1.8849,-0.0802
3934400000,1.8758,-0.0808
3944000000,1.8747,-0.0931
3953600000,1.8664,-0.094
3963200000,1.8683,-0.0993
3972800000,1.8565,-0.0849
3982400000,1.8698,-0.073
3992000000,1.8649,-0.0783
4001600000,1.8622,-0.083
4011200000,1.8631,-0.0801
4020800000,1.8625,-0.0785
4030400000,1.8676,-0.0879
4040000000,1.8574,-0.0858
4049600000,1.8773,-0.0834
4059200000,1.8603,-0.0873
4068800000,1.8768,-0.0808
4078400000,1.8805,-0.0814
4088000000,1.8835,-0.0731
4097600000,1.895,-0.0812
