frequency,e',e''
1000000000,78.0857,3.7794
1010000000,78.0463,3.8033
1020000000,78.0711,3.8617
1030000000,78.0775,3.9124
1040000000,78.071,3.9344
1050000000,78.0687,3.9882
1060000000,78.0266,4.0221
1070000000,78.0734,4.0553
1080000000,78.0664,4.1143
1090000000,77.99,4.1078
1100000000,78.0373,4.1642
1110000000,78.0279,4.2011
1120000000,78.0175,4.2454
1130000000,78.0144,4.2728
1140000000,77.9841,4.3277
1150000000,78.0131,4.3462
1160000000,78.0022,4.3932
1170000000,78.0284,4.4373
1180000000,77.994,4.4865
1190000000,77.9956,4.4981
1200000000,77.98,4.5401
1210000000,77.9923,4.5891
1220000000,78.0031,4.6405
1230000000,77.963,4.6899
1240000000,77.9686,4.7688
1250000000,77.9714,4.7446
1260000000,77.9507,4.8022
1270000000,77.9517,4.7964
1280000000,77.9326,4.839
1290000000,77.9762,4.9125
1300000000,77.9348,4.9338
1310000000,77.9362,4.9733
1320000000,77.9433,5.0144
1330000000,77.914,5.0599
1340000000,77.8964,5.0933
1350000000,77.9205,5.1146
1360000000,77.9187,5.1466
1370000000,77.9099,5.1688
1380000000,77.9073,5.2364
1390000000,77.9075,5.2461
1400000000,77.8878,5.2886
1410000000,77.9011,5.3071
1420000000,77.9365,5.3497
1430000000,77.9097,5.3768
1440000000,77.9359,5.4371
1450000000,77.9296,5.4828
1460000000,77.925,5.5319
1470000000,77.927,5.6046
1480000000,77.9137,5.6153
1490000000,77.8479,5.6569
1500000000,77.8731,5.6966
1510000000,77.8478,5.7416
1520000000,77.8436,5.7684
1530000000,77.8312,5.784
1540000000,77.8285,5.8319
1550000000,77.8124,5.86
1560000000,77.791,5.8953
1570000000,77.7445,5.923
1580000000,77.7875,5.9693
1590000000,77.7692,6.0081
1600000000,77.7698,6.0408
1610000000,77.7528,6.0692
1620000000,77.7232,6.0825
1630000000,77.7313,6.1169
1640000000,77.7278,6.1377
1650000000,77.7278,6.1942
1660000000,77.7199,6.2162
1670000000,77.7279,6.2568
1680000000,77.7026,6.2985
1690000000,77.7136,6.3422
1700000000,77.7012,6.3952
1710000000,77.6926,6.4461
1720000000,77.6954,6.4751
1730000000,77.6963,6.5136
1740000000,77.6978,6.5511
1750000000,77.6903,6.6321
1760000000,77.6739,6.6706
1770000000,77.6796,6.6833
1780000000,77.6747,6.7414
1790000000,77.6626,6.7735
1800000000,77.6679,6.8086
1810000000,77.6542,6.8615
1820000000,77.6523,6.9084
1830000000,77.6264,6.949
1840000000,77.6261,6.9733
1850000000,77.5994,7.008
1860000000,77.5963,7.0462
1870000000,77.5805,7.0924
1880000000,77.5731,7.1219
1890000000,77.5629,7.1497
1900000000,77.5615,7.1926
1910000000,77.5553,7.2196
1920000000,77.5483,7.2347
1930000000,77.5528,7.2764
1940000000,77.5523,7.3175
1950000000,77.5409,7.3373
1960000000,77.5483,7.4104
1970000000,77.5433,7.4337
1980000000,77.5436,7.4433
1990000000,77.5501,7.4987
2000000000,77.5345,7.5417
2010000000,77.5159,7.5562
2020000000,77.5189,7.6208
2030000000,77.5113,7.651
2040000000,77.5179,7.6962
2050000000,77.493,7.7151
2060000000,77.4919,7.7622
2070000000,77.4794,7.7949
2080000000,77.4841,7.8189
2090000000,77.4631,7.8592
2100000000,77.4706,7.8955
2110000000,77.4506,7.9343
2120000000,77.4502,7.977
2130000000,77.4377,8.0093
2140000000,77.4268,8.0576
2150000000,77.4193,8.0995
2160000000,77.4164,8.1339
2170000000,77.4024,8.1832
2180000000,77.3941,8.2147
2190000000,77.3856,8.2453
2200000000,77.3868,8.2811
2210000000,77.367,8.3407
2220000000,77.3505,8.3505
2230000000,77.3399,8.3926
2240000000,77.325,8.4156
2250000000,77.3092,8.4562
2260000000,77.2963,8.4939
2270000000,77.278,8.5267
2280000000,77.2634,8.5579
2290000000,77.2495,8.5793
2300000000,77.2344,8.6141
2310000000,77.2312,8.6566
2320000000,77.2081,8.7059
2330000000,77.2034,8.7343
2340000000,77.2073,8.7666
2350000000,77.2051,8.8134
2360000000,77.1953,8.8317
2370000000,77.1975,8.8685
2380000000,77.1836,8.9186
2390000000,77.1812,8.9542
2400000000,77.1574,8.9785
2410000000,77.1548,9.0141
2420000000,77.1327,9.0424
2430000000,77.13,9.0835
2440000000,77.1151,9.1259
2450000000,77.1058,9.1564
2460000000,77.0866,9.1937
2470000000,77.0746,9.2335
2480000000,77.0582,9.2589
2490000000,77.063,9.3075
2500000000,77.027,9.3501
2510000000,77.0125,9.3872
2520000000,77.001,9.4406
2530000000,77.0073,9.4853
2540000000,76.9976,9.5271
2550000000,76.9988,9.5755
2560000000,77.0027,9.6147
2570000000,77.0009,9.6364
2580000000,76.9888,9.6738
2590000000,76.9948,9.7233
2600000000,76.9737,9.7623
2610000000,76.9581,9.7739
2620000000,76.9402,9.8167
2630000000,76.9198,9.8637
2640000000,76.9048,9.8865
2650000000,76.8919,9.9163
2660000000,76.8588,9.9434
2670000000,76.8693,9.9636
2680000000,76.8462,9.9874
2690000000,76.8406,10.0219
2700000000,76.837,10.0494
2710000000,76.8223,10.0729
2720000000,76.8209,10.1241
2730000000,76.8218,10.1651
2740000000,76.8153,10.1839
2750000000,76.8131,10.2203
2760000000,76.8062,10.2604
2770000000,76.8161,10.2837
2780000000,76.8001,10.3207
2790000000,76.7974,10.3634
2800000000,76.7837,10.4063
2810000000,76.7603,10.4459
2820000000,76.7508,10.462
2830000000,76.7422,10.5166
2840000000,76.7141,10.5356
2850000000,76.6981,10.5992
2860000000,76.6792,10.6391
2870000000,76.6567,10.6738
2880000000,76.6341,10.7268
2890000000,76.6072,10.7626
2900000000,76.5907,10.7842
2910000000,76.5703,10.8458
2920000000,76.5523,10.889
2930000000,76.5332,10.9136
2940000000,76.5192,10.9652
2950000000,76.517,10.975
2960000000,76.486,11.0461
2970000000,76.4814,11.0775
2980000000,76.4784,11.0924
2990000000,76.4618,11.152
3000000000,76.4578,11.1676
3010000000,76.4441,11.2001
3020000000,76.4489,11.2241
3030000000,76.4456,11.2591
3040000000,76.4344,11.2836
3050000000,76.4363,11.31
3060000000,76.4351,11.3592
3070000000,76.4421,11.3827
3080000000,76.4443,11.4325
3090000000,76.4657,11.4746
3100000000,76.4675,11.4938
3110000000,76.4719,11.5425
3120000000,76.4841,11.5783
3130000000,76.4745,11.607
3140000000,76.468,11.6546
3150000000,76.4555,11.6908
3160000000,76.4447,11.739
3170000000,76.425,11.7856
3180000000,76.4196,11.8324
3190000000,76.3925,11.8525
3200000000,76.3649,11.8845
3210000000,76.3418,11.9218
3220000000,76.3215,11.9565
3230000000,76.2957,11.9782
3240000000,76.2781,12.0041
3250000000,76.2587,12.0316
3260000000,76.2475,12.0648
3270000000,76.2144,12.0856
3280000000,76.202,12.1105
3290000000,76.1864,12.1391
3300000000,76.1635,12.1503
3310000000,76.1545,12.1955
3320000000,76.1412,12.2104
3330000000,76.1231,12.2304
3340000000,76.1026,12.2572
3350000000,76.0923,12.2916
3360000000,76.0783,12.3329
