!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 13:47:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,-18.924154,-148.7177
1001000000,-18.949364,-148.70094
1002000000,-20.15379,-148.96864
1003000000,-19.83407,-149.14282
1004000000,-19.533342,-149.10764
1005000000,-20.552139,-149.5141
1006000000,-20.901838,-149.50629
1007000000,-21.349304,-149.5937
1008000000,-21.509453,-149.8438
1009000000,-21.193504,-149.82521
1010000000,-21.414871,-150.09312
1011000000,-22.16909,-150.47929
1012000000,-22.59387,-150.44243
1013000000,-22.773657,-150.69336
1014000000,-22.420391,-150.69904
1015000000,-23.599298,-150.77129
1016000000,-22.975546,-151.15805
1017000000,-23.96159,-151.2402
1018000000,-24.111757,-151.22513
1019000000,-24.151499,-151.49742
1020000000,-24.352497,-151.51132
1021000000,-24.618542,-151.65318
1022000000,-24.853619,-151.97914
1023000000,-25.070354,-151.99603
1024000000,-25.001543,-152.25528
1025000000,-25.440586,-152.4444
1026000000,-25.852726,-152.4192
1027000000,-25.935337,-152.71822
1028000000,-25.988827,-152.86298
1029000000,-26.600847,-152.81758
1030000000,-26.638037,-153.086
1031000000,-26.913651,-153.16151
1032000000,-27.297874,-153.35487
1033000000,-27.327652,-153.66261
1034000000,-27.250916,-153.62357
1035000000,-27.440769,-153.87292
1036000000,-27.958105,-154.08076
1037000000,-27.9918,-154.11713
1038000000,-28.846067,-154.28358
1039000000,-28.614582,-154.68639
1040000000,-28.434032,-154.73245
1041000000,-29.323904,-154.80841
1042000000,-29.137283,-154.97411
1043000000,-29.76453,-155.1534
1044000000,-29.940506,-155.26991
1045000000,-29.884541,-155.43456
1046000000,-30.197039,-155.6097
1047000000,-30.27936,-155.68471
1048000000,-30.880287,-155.91922
1049000000,-31.075493,-156.0219
1050000000,-31.044043,-156.08568
1051000000,-31.275679,-156.39983
1052000000,-31.827337,-156.41708
1053000000,-31.899382,-156.64342
1054000000,-32.347954,-156.54095
1055000000,-32.923996,-156.87048
1056000000,-32.986202,-157.12956
1057000000,-32.992043,-157.01694
1058000000,-33.280357,-157.33789
