!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 17:35:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,95.743057,176.40422
1001000000,95.606239,176.21506
1002000000,95.327309,175.99779
1003000000,95.438614,175.8718
1004000000,95.275017,175.69431
1005000000,95.148331,175.53275
1006000000,95.030647,175.38945
1007000000,94.776207,175.0968
1008000000,94.7463,175.03185
1009000000,94.308243,174.64548
1010000000,94.283897,174.66402
1011000000,94.070808,174.41058
1012000000,93.54911,173.8253
1013000000,93.895279,174.05795
1014000000,93.216774,173.45699
1015000000,93.382195,173.55882
1016000000,93.189713,173.4657
1017000000,93.069,173.10248
1018000000,92.998405,173.02162
1019000000,92.77964,172.84378
1020000000,92.758873,172.77621
1021000000,92.213074,172.21362
1022000000,92.087654,172.06087
1023000000,91.935287,171.96519
1024000000,92.036064,171.90941
1025000000,91.812912,171.58954
1026000000,91.758171,171.50368
1027000000,91.130562,171.10283
1028000000,91.149979,170.85397
1029000000,91.152222,170.85873
1030000000,91.083954,170.78604
1031000000,90.91291,170.48763
1032000000,90.781883,170.32559
1033000000,90.463333,170.1304
1034000000,90.3013,169.81352
1035000000,90.303917,169.63255
1036000000,90.04245,169.44783
1037000000,90.196785,169.46033
1038000000,89.678093,169.03777
1039000000,89.544518,168.83676
1040000000,89.25312,168.73773
1041000000,89.350243,168.58858
1042000000,88.973,168.34142
1043000000,88.9608,168.07294
1044000000,89.052483,168.07028
1045000000,88.943901,167.93106
1046000000,88.405617,167.53072
1047000000,88.080559,167.12439
1048000000,87.991615,167.04231
1049000000,88.180916,167.05574
1050000000,87.646645,166.675
1051000000,87.589851,166.48309
1052000000,87.893112,166.57269
1053000000,87.56459,166.34949
1054000000,87.266975,165.95926
1055000000,87.167664,165.79405
1056000000,86.613968,165.36009
1057000000,87.072044,165.44116
1058000000,86.250252,165.12196
1059000000,86.343315,164.85565
1060000000,86.529831,164.96452
1061000000,86.371841,164.67532
1062000000,85.810638,164.29179
1063000000,85.982544,164.19278
1064000000,85.859253,164.12878
1065000000,85.921989,163.89786
1066000000,85.295769,163.64381
1067000000,85.063103,163.36133
1068000000,85.37149,163.35374
1069000000,85.149193,163.06638
1070000000,85.396652,162.99345
1071000000,84.660713,162.6496
1072000000,84.941994,162.49525
1073000000,84.606499,162.25044
1074000000,84.383385,162.10748
1075000000,84.208954,161.98039
1076000000,84.25869,161.71082
1077000000,84.099236,161.46875
1078000000,83.656586,161.23073
1079000000,83.608391,161.03423
1080000000,83.863205,160.85298
1081000000,83.859947,160.67801
1082000000,83.997513,160.59717
1083000000,83.265984,160.12111
1084000000,83.027084,160.01151
1085000000,83.143822,159.85234
1086000000,83.185066,159.80965
1087000000,82.745865,159.60471
1088000000,82.904449,159.42104
1089000000,82.871346,159.12491
1090000000,82.66861,159.02205
1091000000,83.067146,158.84386
1092000000,82.192154,158.5264
1093000000,82.353409,158.39014
1094000000,81.798088,157.97269
1095000000,82.086098,157.83748
1096000000,81.863297,158.00615
1097000000,81.985474,157.45923
1098000000,81.429115,157.26544
1099000000,82.133057,157.25089
1100000000,81.553185,157.02698
1101000000,81.295052,156.75011
1102000000,81.550613,156.7403
1103000000,81.459366,156.38394
1104000000,81.574371,156.10823
1105000000,81.393784,155.91277
1106000000,81.486282,155.63655
1107000000,80.679985,155.57396
1108000000,81.250839,155.11684
1109000000,81.216042,155.17009
1110000000,81.126053,155.01706
1111000000,80.462288,154.78465
1112000000,81.292206,154.76967
1113000000,80.744957,154.41277
1114000000,80.595024,154.19151
1115000000,80.729271,154.05447
1116000000,80.381454,153.74411
1117000000,80.735191,153.67638
1118000000,79.598869,153.35655
1119000000,80.207718,153.16908
1120000000,79.894127,152.93587
1121000000,80.240311,152.85631
1122000000,79.860344,152.68353
1123000000,80.460747,152.48351
1124000000,80.941742,152.23953
1125000000,80.021065,151.91457
1126000000,80.290825,151.86031
1127000000,80.592552,151.55583
1128000000,80.440071,151.56046
1129000000,80.425797,151.27916
1130000000,79.886543,150.8688
1131000000,79.014908,150.63083
1132000000,80.364288,150.74506
1133000000,79.8116,150.65587
1134000000,80.281685,150.31068
1135000000,80.101868,150.08888
1136000000,78.825218,149.61589
1137000000,80.075012,149.49536
1138000000,80.268341,149.34607
1139000000,80.239388,149.30423
1140000000,79.409325,149.20038
1141000000,79.777901,148.83414
1142000000,79.366707,148.48488
1143000000,81.014557,148.41974
1144000000,80.844513,148.38625
1145000000,80.215973,148.1301
1146000000,81.348404,147.72919
1147000000,81.629097,147.47116
1148000000,80.923164,147.39456
1149000000,81.873306,147.10258
1150000000,82.118584,147.11337
1151000000,83.643005,146.81889
1152000000,83.3255,146.72212
1153000000,84.184845,146.57556
1154000000,84.985497,146.42934
1155000000,85.499496,146.0663
1156000000,83.388977,145.83337
1157000000,85.387581,145.74487
1158000000,87.382317,145.23024
1159000000,87.741554,145.25903
1160000000,87.529503,145.07767
1161000000,88.488808,144.80692
1162000000,88.375679,144.56197
1163000000,88.634521,144.40489
1164000000,90.165161,144.10574
1165000000,89.835518,143.98421
1166000000,94.39875,143.93608
1167000000,97.011215,143.44792
1168000000,92.171043,143.27858
1169000000,94.017616,143.11145
1170000000,97.872971,143.06421
1171000000,101.51138,142.71242
1172000000,103.6011,142.54651
1173000000,106.09764,142.41005
1174000000,111.22834,142.25827
1175000000,110.481,141.94905
1176000000,121.21663,141.90216
1177000000,123.49399,141.71895
1178000000,122.89037,141.39055
1179000000,129.12105,141.11606
1180000000,133.16589,141.0172
1181000000,143.5748,140.88864
1182000000,152.32819,140.57671
1183000000,150.3672,140.4886
1184000000,154.44968,140.15047
1185000000,162.0238,140.11385
1186000000,164.36655,139.74461
1187000000,176.92067,139.73657
1188000000,174.67816,139.40843
1189000000,-179.8441,139.15735
1190000000,-177.78157,138.90776
1191000000,-171.1875,138.76646
1192000000,-169.16977,138.67606
1193000000,-164.34991,138.3205
1194000000,-163.57208,138.19925
1195000000,-161.42024,137.95978
1196000000,-159.50644,137.84155
1197000000,-161.05243,137.70741
1198000000,-157.38232,137.31644
1199000000,-153.5677,137.21254
1200000000,-155.54967,137.07391
1201000000,-154.57532,136.68524
1202000000,-154.57297,136.61978
1203000000,-151.85416,136.5533
1204000000,-149.62949,136.27664
1205000000,-148.95979,136.03989
1206000000,-146.49077,135.80975
1207000000,-145.89955,135.61142
1208000000,-150.33492,135.59444
1209000000,-148.9016,135.13478
1210000000,-145.70352,135.04697
1211000000,-147.29884,134.72702
1212000000,-147.08237,134.42625
1213000000,-146.71353,134.34213
1214000000,-144.24158,134.15108
1215000000,-146.769,133.86301
1216000000,-145.11035,133.60461
1217000000,-143.25656,133.64792
1218000000,-142.86755,133.35324
1219000000,-141.79314,133.17346
1220000000,-145.9133,133.07361
1221000000,-144.86366,132.65585
1222000000,-144.04259,132.73343
1223000000,-142.6987,132.44026
1224000000,-144.98337,132.26974
1225000000,-144.29222,131.95404
1226000000,-143.41539,131.78873
1227000000,-144.07144,131.64032
1228000000,-142.58421,131.49731
1229000000,-143.36238,131.15877
1230000000,-143.92079,131.05214
1231000000,-143.87067,130.76219
1232000000,-143.65361,130.35901
1233000000,-142.93246,130.30309
1234000000,-142.16597,130.16176
1235000000,-143.96895,129.97528
1236000000,-143.06358,129.77473
1237000000,-144.05481,129.62427
1238000000,-143.6633,129.26402
1239000000,-143.67975,129.13725
1240000000,-144.44063,128.84979
1241000000,-144.12292,128.8101
1242000000,-143.94092,128.51884
