!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:02:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,87.537048,-146.14862
1001000000,86.518021,-146.37582
1002000000,87.161385,-146.37936
1003000000,86.515076,-146.64252
1004000000,87.652611,-146.79713
1005000000,86.586517,-146.93996
1006000000,86.691368,-146.94321
1007000000,87.556664,-147.10661
1008000000,88.076599,-147.19299
1009000000,87.856369,-147.22737
1010000000,87.249863,-147.55193
1011000000,87.488571,-147.91133
1012000000,87.355255,-147.90411
1013000000,87.964394,-148.08244
1014000000,87.349907,-148.1131
1015000000,87.318542,-148.39233
1016000000,86.817108,-148.62148
1017000000,87.30822,-148.79526
1018000000,88.074883,-148.91873
1019000000,87.029533,-148.83
1020000000,87.868271,-148.96881
1021000000,87.760941,-149.18365
1022000000,86.433067,-149.29645
1023000000,86.916702,-149.61292
1024000000,87.858658,-149.69281
1025000000,88.23391,-149.84517
1026000000,87.958405,-149.9846
1027000000,88.691025,-150.09938
1028000000,87.280075,-150.23552
1029000000,88.039497,-150.35553
1030000000,87.925812,-150.53526
1031000000,87.702995,-150.49219
1032000000,88.322731,-150.95656
1033000000,87.944893,-150.97823
1034000000,88.134949,-151.12666
1035000000,87.156448,-151.35899
1036000000,87.785721,-151.36436
1037000000,88.205231,-151.47087
1038000000,87.82959,-151.64655
1039000000,88.090805,-151.81482
1040000000,87.875504,-152.02911
1041000000,88.129471,-151.96669
1042000000,87.346985,-152.22726
1043000000,87.607803,-152.51616
1044000000,87.203415,-152.56671
1045000000,87.790222,-152.68481
1046000000,87.736633,-152.83136
1047000000,87.026382,-153.21979
1048000000,87.435875,-153.2962
1049000000,87.963966,-153.24191
1050000000,87.486526,-153.41452
1051000000,87.175301,-153.73938
1052000000,87.877007,-153.75845
1053000000,87.984741,-153.87213
1054000000,88.35453,-153.78575
1055000000,88.016701,-154.13718
1056000000,88.527901,-154.20715
1057000000,88.263779,-154.45717
1058000000,87.947495,-154.59697
1059000000,87.850594,-154.64961
1060000000,88.579681,-154.81595
1061000000,88.713623,-154.86777
1062000000,88.220886,-155.20293
1063000000,87.79245,-155.47672
1064000000,88.392822,-155.46992
1065000000,88.494347,-155.64906
1066000000,88.060234,-155.77783
1067000000,88.554039,-155.899
1068000000,88.633148,-155.78786
1069000000,88.59919,-156.27957
1070000000,88.266731,-156.30135
1071000000,88.660431,-156.15401
1072000000,87.813354,-156.69543
1073000000,88.63327,-156.89758
1074000000,88.608826,-156.84923
1075000000,89.267807,-156.96025
1076000000,87.940781,-157.17365
1077000000,88.693642,-157.30226
1078000000,88.842766,-157.55353
1079000000,87.834122,-157.71678
1080000000,87.980423,-157.8194
1081000000,88.407028,-158.02296
1082000000,88.005684,-158.11229
1083000000,88.276161,-158.09903
1084000000,88.156647,-158.3911
1085000000,88.500626,-158.41081
1086000000,88.200668,-158.56116
1087000000,88.89975,-158.59245
1088000000,88.550491,-159.08476
1089000000,88.674263,-158.85699
1090000000,88.206802,-159.18976
1091000000,88.346848,-159.45557
1092000000,88.725876,-159.5005
1093000000,88.757492,-159.56593
1094000000,88.619873,-159.74173
1095000000,89.096947,-159.93993
1096000000,89.069382,-160.18315
1097000000,88.717918,-160.31917
1098000000,88.172821,-160.44803
1099000000,89.579018,-160.47575
1100000000,88.753326,-160.71497
1101000000,89.538017,-160.92297
1102000000,89.14257,-160.91858
1103000000,88.60424,-161.22948
1104000000,88.829903,-161.11696
1105000000,89.033966,-161.31818
1106000000,89.532501,-161.38562
1107000000,88.79512,-161.72702
1108000000,89.128311,-161.89586
1109000000,88.766716,-162.09998
1110000000,89.34938,-162.20023
1111000000,88.869606,-162.36905
1112000000,88.881104,-162.505
1113000000,88.99868,-162.62657
1114000000,88.149956,-162.92911
1115000000,88.615364,-163.09087
1116000000,88.739456,-163.08594
1117000000,88.866234,-163.38937
1118000000,89.169579,-163.24568
1119000000,88.951736,-163.42708
1120000000,88.49559,-163.69151
1121000000,88.640282,-163.90634
1122000000,88.631577,-164.03337
1123000000,89.055336,-164.01619
1124000000,88.722031,-164.10428
1125000000,88.757545,-164.31886
1126000000,88.891312,-164.44893
1127000000,88.568817,-164.44748
1128000000,88.771828,-164.79935
1129000000,88.731033,-165.07469
1130000000,88.064468,-165.07664
1131000000,88.742294,-165.19255
1132000000,88.073387,-165.5269
1133000000,88.673393,-165.67255
1134000000,88.238556,-165.76212
1135000000,88.594559,-165.68292
1136000000,88.400131,-166.20027
1137000000,88.197426,-166.1152
1138000000,88.389908,-166.36641
1139000000,88.032326,-166.54025
1140000000,88.587296,-166.61977
1141000000,88.097389,-166.78558
1142000000,88.302162,-166.95503
1143000000,88.013603,-167.18381
1144000000,88.254669,-167.28171
1145000000,88.165871,-167.44884
1146000000,87.800217,-167.6861
1147000000,88.770699,-167.56413
1148000000,88.130394,-167.71965
1149000000,88.173042,-167.9711
1150000000,88.461685,-168.02029
1151000000,87.838699,-168.32993
1152000000,87.789078,-168.3632
1153000000,88.014877,-168.63689
1154000000,88.470535,-168.60255
1155000000,87.739365,-168.7823
1156000000,87.976357,-168.87373
1157000000,88.235573,-169.02133
1158000000,87.772537,-169.22603
1159000000,87.544685,-169.31461
1160000000,88.370789,-169.32248
1161000000,87.849495,-169.75034
1162000000,87.669731,-169.7861
1163000000,88.029388,-169.80708
1164000000,87.802841,-170.0865
1165000000,87.726883,-170.35959
1166000000,87.806274,-170.27679
1167000000,87.648148,-170.56406
1168000000,87.35051,-170.84647
1169000000,87.702057,-170.75726
1170000000,87.376373,-171.01213
1171000000,87.790489,-171.02728
1172000000,87.217506,-171.29443
1173000000,87.660538,-171.32069
1174000000,87.738373,-171.35619
1175000000,87.550888,-171.53217
1176000000,87.677574,-171.65155
1177000000,87.815178,-171.92528
1178000000,87.588867,-172.06435
1179000000,87.471062,-172.41051
1180000000,87.051674,-172.52107
1181000000,87.686707,-172.3856
1182000000,87.642456,-172.58592
1183000000,87.757622,-172.85907
1184000000,87.524254,-172.80771
1185000000,87.200012,-173.14528
1186000000,87.778877,-173.18069
1187000000,87.291145,-173.35251
1188000000,87.637283,-173.5269
1189000000,87.678673,-173.68613
1190000000,87.335472,-173.90915
1191000000,87.241425,-174.01248
1192000000,87.168419,-174.23581
1193000000,87.640808,-174.26941
1194000000,87.365166,-174.42256
1195000000,87.562042,-174.54346
1196000000,87.489128,-174.82564
1197000000,87.242828,-174.87721
1198000000,87.729889,-174.91812
1199000000,87.4702,-175.15277
1200000000,87.046326,-175.3438
1201000000,87.327156,-175.43332
1202000000,87.072197,-175.6913
1203000000,87.084267,-175.82495
1204000000,87.299637,-175.81821
1205000000,87.183662,-176.07347
1206000000,87.274208,-176.04877
1207000000,86.862984,-176.40379
1208000000,87.711655,-176.39122
1209000000,87.191566,-176.56587
1210000000,87.314461,-176.71567
1211000000,86.964066,-176.9353
1212000000,87.188469,-176.98241
1213000000,87.664124,-176.97826
1214000000,87.177872,-177.27847
1215000000,87.293442,-177.43503
1216000000,87.183617,-177.68629
1217000000,87.335106,-177.7542
1218000000,87.20491,-177.85228
1219000000,87.119232,-178.02121
1220000000,87.354301,-177.93007
1221000000,87.335236,-178.41006
1222000000,87.117233,-178.59486
1223000000,87.273117,-178.67963
1224000000,87.079216,-178.9127
1225000000,87.266739,-178.9346
1226000000,87.374023,-179.01289
1227000000,87.322395,-179.2926
1228000000,87.353462,-179.36807
1229000000,87.497009,-179.69377
1230000000,87.635811,-179.59924
1231000000,87.783577,-179.71613
1232000000,87.648682,-179.96213
1233000000,87.596916,179.9288
1234000000,87.535316,179.53557
1235000000,87.715111,179.77364
1236000000,87.780571,179.46114
1237000000,87.760941,179.2771
1238000000,87.635475,179.13615
1239000000,87.846298,178.97476
1240000000,87.552032,178.79082
1241000000,87.699532,178.47034
1242000000,87.770226,178.46063
1243000000,87.949677,178.5331
1244000000,87.846825,178.05246
1245000000,87.530937,178.05588
1246000000,88.186722,178.04648
1247000000,88.001793,177.83058
1248000000,88.355492,177.70934
1249000000,88.206711,177.64658
1250000000,88.5196,177.60638
1251000000,87.884972,177.28568
1252000000,88.40271,177.31831
1253000000,88.285141,177.01349
1254000000,88.161133,176.9471
1255000000,88.363449,176.69762
1256000000,88.656342,176.6377
1257000000,88.625153,176.48663
1258000000,88.864563,176.37125
1259000000,88.902527,176.33728
1260000000,88.596596,175.99385
1261000000,88.269157,175.71852
1262000000,88.857864,175.67082
1263000000,88.889496,175.71336
1264000000,88.976143,175.35001
1265000000,89.105934,175.27661
1266000000,89.066162,175.14117
1267000000,88.810562,174.83421
1268000000,89.104904,174.79906
1269000000,89.214615,174.55971
1270000000,88.86525,174.43993
1271000000,89.270859,174.37076
1272000000,89.423309,174.22925
1273000000,89.617683,174.14731
1274000000,89.477173,173.87657
1275000000,89.439751,173.63396
1276000000,89.470749,173.42036
1277000000,89.593964,173.39087
1278000000,89.47451,173.24701
1279000000,89.890518,173.06952
1280000000,90.291412,173.04924
1281000000,89.784607,172.84256
1282000000,90.325554,172.90927
1283000000,89.93808,172.57185
1284000000,89.945541,172.48863
1285000000,89.776062,172.07835
1286000000,90.365715,172.2574
1287000000,90.313179,172.06497
1288000000,90.162994,171.80812
1289000000,90.345383,171.72137
1290000000,90.530907,171.56285
1291000000,90.388741,171.38597
1292000000,90.936172,171.28667
1293000000,91.165756,171.30148
1294000000,91.172386,170.9879
1295000000,91.33567,170.85278
1296000000,90.922226,170.70177
1297000000,90.738991,170.53047
1298000000,91.229736,170.47362
1299000000,91.276207,170.25244
1300000000,91.279106,170.03163
1301000000,91.395279,169.91765
1302000000,91.891434,169.94365
1303000000,91.752052,169.82028
1304000000,92.011826,169.58113
1305000000,91.373062,169.50491
1306000000,91.344215,169.16429
1307000000,91.917328,169.2612
1308000000,91.900269,168.92067
1309000000,91.655937,168.77252
1310000000,91.813782,168.84567
1311000000,91.929123,168.41528
1312000000,92.121124,168.39813
1313000000,92.485077,168.21515
1314000000,92.152908,168.03651
1315000000,92.354149,167.93597
1316000000,92.361572,167.77371
1317000000,92.264214,167.55756
1318000000,92.458855,167.43307
1319000000,92.378075,167.18474
1320000000,93.00029,167.28171
1321000000,92.541664,167.00316
1322000000,92.827469,166.94994
1323000000,92.85791,166.688
1324000000,93.418465,166.59135
1325000000,92.786125,166.39954
1326000000,93.268921,166.2361
1327000000,93.810966,166.246
1328000000,94.104027,166.00533
1329000000,93.5364,165.92644
1330000000,94.022957,165.72375
1331000000,93.573563,165.55534
1332000000,94.17067,165.34848
1333000000,94.115692,165.25745
1334000000,94.828255,165.10591
1335000000,94.267433,164.89587
1336000000,94.681938,164.98973
1337000000,94.464546,164.63196
1338000000,95.187225,164.49731
1339000000,95.249481,164.41197
1340000000,94.945663,164.24113
1341000000,95.4216,164.10532
1342000000,95.11084,163.77318
1343000000,95.849388,163.7923
1344000000,95.897278,163.62923
1345000000,96.120369,163.57166
1346000000,96.357635,163.38309
1347000000,95.952957,163.3954
1348000000,96.248947,163.18918
1349000000,97.010246,162.9482
1350000000,96.308456,162.9091
1351000000,96.53318,162.63362
1352000000,96.683914,162.36566
1353000000,96.89505,162.34062
1354000000,97.339539,162.12823
1355000000,97.850739,162.15955
1356000000,97.602448,161.79105
1357000000,96.945412,161.76437
1358000000,97.556984,161.61732
1359000000,98.473724,161.62206
1360000000,97.667564,161.28403
1361000000,98.603989,161.19197
1362000000,98.354317,161.16331
1363000000,98.636475,160.98438
1364000000,98.659454,160.74806
1365000000,98.122429,160.56055
1366000000,98.480232,160.44945
1367000000,99.354515,160.37077
1368000000,100.10043,160.29486
1369000000,99.564209,160.05504
1370000000,99.356026,159.80339
1371000000,100.0163,159.83357
1372000000,100.70606,159.64278
1373000000,100.00989,159.45035
1374000000,100.79852,159.32457
1375000000,100.51603,159.28609
1376000000,100.60126,159.15086
1377000000,101.52136,158.86555
1378000000,101.93079,158.67943
1379000000,102.02042,158.50197
1380000000,102.23801,158.7516
1381000000,101.81355,158.26642
1382000000,102.83902,158.00206
1383000000,102.88777,157.96252
1384000000,102.51379,157.81676
1385000000,103.06184,157.65065
1386000000,103.71299,157.57784
1387000000,103.10359,157.22545
1388000000,103.82081,157.26205
1389000000,104.50123,157.02744
1390000000,103.99641,156.88058
1391000000,104.99471,156.72174
1392000000,104.44425,156.53804
1393000000,104.56339,156.37256
1394000000,105.65518,156.42694
1395000000,105.22609,156.21233
1396000000,105.30312,155.95302
1397000000,105.69489,155.98122
1398000000,105.23372,155.80791
1399000000,106.67455,155.51677
1400000000,107.22673,155.52168
1401000000,107.12688,155.4653
1402000000,106.91624,155.26573
1403000000,107.70029,155.24931
1404000000,108.07721,154.99359
1405000000,108.053,154.7981
1406000000,108.84787,154.63812
1407000000,108.47258,154.46458
1408000000,108.76595,154.35928
