!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 17:46:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.39998901,144.16089,-20.406538,158.69286
1001000000,-0.35674083,144.19624,-20.367002,159.17957
1002000000,-0.40917194,143.59468,-20.388798,158.259
1003000000,-0.40976441,143.43889,-20.40848,158.71237
1004000000,-0.40994176,143.43207,-20.365675,157.56052
1005000000,-0.39510849,143.16505,-20.384527,158.31424
1006000000,-0.38968557,142.95332,-20.399536,157.77924
1007000000,-0.3722896,142.81303,-20.331106,158.16925
1008000000,-0.39244789,142.55156,-20.318056,157.75989
1009000000,-0.4019722,142.29494,-20.328909,157.74612
1010000000,-0.37897077,142.04895,-20.32696,157.39754
1011000000,-0.38447988,141.90602,-20.272821,157.20605
1012000000,-0.40897414,141.55083,-20.360178,157.29247
1013000000,-0.40656096,141.50319,-20.304335,157.33569
1014000000,-0.41184747,141.32167,-20.244858,157.35374
1015000000,-0.37541196,141.06093,-20.269053,156.88995
1016000000,-0.39460805,140.88568,-20.355164,156.96152
1017000000,-0.4089663,140.52728,-20.19054,157.15591
1018000000,-0.39448449,140.46727,-20.280605,156.94127
1019000000,-0.40017274,140.05443,-20.147635,156.70267
1020000000,-0.42511773,139.98553,-20.262018,156.03418
1021000000,-0.38210601,139.86378,-20.196476,156.23372
1022000000,-0.40906504,139.66196,-20.213974,156.27319
1023000000,-0.40003932,139.185,-20.180305,155.51314
1024000000,-0.38540575,139.23152,-20.134443,155.21794
1025000000,-0.41791803,138.77229,-20.13633,155.19879
1026000000,-0.38969958,138.58815,-20.073914,155.17291
1027000000,-0.39349371,138.39818,-20.136419,155.01363
1028000000,-0.35530984,138.22971,-20.093975,154.9743
1029000000,-0.39621025,138.07314,-20.159323,154.53987
1030000000,-0.40154958,137.71101,-20.116987,154.34908
1031000000,-0.41228521,137.47543,-20.118038,154.15385
1032000000,-0.37674439,137.22433,-20.084503,154.24181
1033000000,-0.38645628,137.08849,-20.054165,154.25114
1034000000,-0.40029189,136.91251,-20.08564,153.65137
1035000000,-0.38855204,136.6252,-20.1143,153.64957
1036000000,-0.37806082,136.53471,-20.021666,153.99443
1037000000,-0.38934785,136.07864,-20.051115,153.1156
1038000000,-0.39971817,135.95708,-20.036068,153.90329
1039000000,-0.41073853,135.68956,-20.086376,153.23906
