!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:50:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
1000000000,65.142487
1001000000,69.346222
1002000000,65.461464
1003000000,74.277138
1004000000,72.466377
1005000000,65.173447
1006000000,63.049942
1007000000,69.492165
1008000000,60.476574
1009000000,70.252586
1010000000,66.20829
1011000000,62.326378
1012000000,72.607338
1013000000,70.660652
1014000000,66.830368
1015000000,65.930832
1016000000,61.345119
1017000000,63.500378
1018000000,63.23851
1019000000,66.619835
1020000000,63.377285
1021000000,58.511963
1022000000,53.80225
1023000000,55.243641
1024000000,62.084274
1025000000,60.760292
1026000000,58.583805
1027000000,59.249008
1028000000,64.39138
1029000000,57.048061
1030000000,59.694267
1031000000,58.005096
1032000000,59.251293
1033000000,53.75333
1034000000,59.641621
1035000000,50.845192
1036000000,62.171642
1037000000,58.868305
1038000000,61.631386
1039000000,60.028286
1040000000,61.150948
1041000000,56.059486
1042000000,54.654758
1043000000,49.778591
1044000000,54.367386
1045000000,57.797245
1046000000,65.355232
1047000000,57.456482
1048000000,52.879444
1049000000,54.381943
1050000000,55.041405
1051000000,54.753109
1052000000,55.179798
1053000000,53.761066
1054000000,52.987022
1055000000,54.835968
1056000000,53.649311
1057000000,53.982311
1058000000,56.959351
1059000000,53.02792
1060000000,51.32629
1061000000,57.254345
1062000000,54.782578
1063000000,53.51297
1064000000,53.058167
1065000000,57.150391
1066000000,55.055359
1067000000,50.728901
1068000000,50.936249
1069000000,53.444103
1070000000,53.797478
1071000000,50.751743
1072000000,54.887417
1073000000,48.456413
1074000000,52.88715
1075000000,47.740715
1076000000,47.768135
1077000000,46.046673
1078000000,52.640045
1079000000,52.928951
1080000000,48.036198
1081000000,48.107246
1082000000,50.872837
1083000000,51.531956
1084000000,50.476563
1085000000,54.313148
1086000000,48.552517
1087000000,50.066078
1088000000,52.114189
1089000000,52.626862
1090000000,51.089375
1091000000,53.27533
1092000000,44.966022
1093000000,52.682953
1094000000,46.705948
1095000000,50.890675
1096000000,46.164833
1097000000,45.84626
1098000000,47.528889
1099000000,48.122341
1100000000,50.779751
1101000000,48.629181
1102000000,52.293297
1103000000,42.617401
1104000000,48.754627
1105000000,46.402691
1106000000,43.439178
1107000000,48.821186
1108000000,47.213032
1109000000,46.514809
1110000000,45.141033
1111000000,46.643608
1112000000,45.611534
1113000000,46.474369
1114000000,44.574173
1115000000,45.61306
1116000000,45.804432
1117000000,45.664948
1118000000,45.942783
1119000000,44.171116
1120000000,46.083126
1121000000,44.911507
1122000000,42.302948
1123000000,46.474468
1124000000,48.176266
1125000000,47.148388
1126000000,47.762814
1127000000,44.784489
1128000000,46.191303
1129000000,45.878498
1130000000,41.822037
1131000000,42.607254
1132000000,47.866413
1133000000,45.199692
1134000000,45.483418
1135000000,42.521023
1136000000,44.423073
1137000000,45.11348
1138000000,46.703026
1139000000,45.111965
1140000000,44.419453
1141000000,45.682819
1142000000,45.498493
1143000000,45.240463
1144000000,42.663673
1145000000,41.972961
1146000000,41.820187
1147000000,44.818352
1148000000,43.604099
1149000000,42.674664
1150000000,41.020046
1151000000,43.347473
1152000000,43.249943
1153000000,41.51907
1154000000,43.979507
1155000000,41.68568
1156000000,44.640831
1157000000,41.771946
1158000000,43.473301
1159000000,42.558899
1160000000,43.124836
1161000000,41.98978
1162000000,42.087513
1163000000,43.823017
1164000000,43.630817
1165000000,43.707382
1166000000,43.90366
1167000000,43.158009
1168000000,41.613129
1169000000,40.977516
1170000000,43.971981
1171000000,43.397015
1172000000,40.607735
1173000000,40.684654
1174000000,45.279591
1175000000,44.558907
1176000000,39.844379
1177000000,38.336819
1178000000,41.816216
1179000000,41.404285
1180000000,41.643074
1181000000,40.703976
1182000000,42.397255
1183000000,42.085144
1184000000,41.833633
1185000000,40.70924
1186000000,40.474495
1187000000,40.503956
1188000000,40.721134
1189000000,40.936993
1190000000,39.373234
1191000000,41.866077
1192000000,42.956287
1193000000,42.647572
1194000000,40.911602
1195000000,37.792839
1196000000,40.738991
1197000000,38.426971
1198000000,39.695751
1199000000,41.154354
1200000000,37.81424
1201000000,41.231514
1202000000,40.166462
1203000000,40.756721
1204000000,41.716846
1205000000,37.761391
1206000000,39.404621
1207000000,42.239429
1208000000,38.523262
1209000000,37.806648
1210000000,39.432076
1211000000,39.431747
1212000000,39.4235
1213000000,40.341053
1214000000,37.726116
1215000000,40.367279
1216000000,38.912155
1217000000,38.095848
1218000000,39.32391
1219000000,40.133801
1220000000,37.787434
1221000000,39.492283
1222000000,41.240677
1223000000,39.858139
1224000000,38.221718
1225000000,39.555508
1226000000,38.236565
1227000000,38.266014
1228000000,37.835136
1229000000,36.865646
1230000000,38.033428
1231000000,38.403664
1232000000,38.016781
1233000000,38.434166
1234000000,36.109749
1235000000,38.081112
1236000000,37.316437
1237000000,38.23819
1238000000,36.761696
1239000000,39.066246
1240000000,37.488541
1241000000,38.854885
1242000000,38.930099
1243000000,37.891838
1244000000,36.185226
1245000000,36.870785
1246000000,37.584717
1247000000,35.80286
1248000000,38.599125
1249000000,37.252068
1250000000,37.03606
1251000000,35.01112
1252000000,39.807762
1253000000,39.218544
1254000000,35.628681
1255000000,38.63871
1256000000,37.605125
1257000000,36.473431
1258000000,35.794155
1259000000,36.709915
1260000000,38.226234
1261000000,36.40379
1262000000,36.157051
1263000000,36.170361
1264000000,35.419003
1265000000,36.113674
1266000000,35.633709
1267000000,35.847382
1268000000,36.249657
1269000000,37.55006
1270000000,36.008629
1271000000,37.82946
1272000000,37.023102
1273000000,35.332516
1274000000,37.477032
1275000000,37.253109
1276000000,37.942532
1277000000,35.91338
1278000000,37.856094
1279000000,35.629406
1280000000,37.155144
1281000000,36.540062
1282000000,36.270454
1283000000,36.999115
1284000000,37.163219
1285000000,35.799908
1286000000,35.282356
1287000000,35.474197
1288000000,37.225136
1289000000,35.564087
1290000000,34.303463
1291000000,37.215828
1292000000,38.621387
1293000000,35.935841
1294000000,37.413288
1295000000,38.363037
1296000000,35.513535
1297000000,36.813953
1298000000,37.21376
1299000000,36.268013
1300000000,36.746971
1301000000,37.347977
1302000000,35.775955
1303000000,34.633457
1304000000,37.269741
1305000000,37.816422
1306000000,35.246292
1307000000,36.595032
1308000000,35.478611
1309000000,35.751099
1310000000,37.348923
1311000000,34.421005
1312000000,36.070621
1313000000,37.365967
1314000000,36.645695
1315000000,35.95615
1316000000,35.662178
1317000000,36.138924
1318000000,33.847435
1319000000,37.651176
1320000000,36.688492
1321000000,35.171806
1322000000,36.148975
1323000000,34.891201
1324000000,38.068375
1325000000,37.203075
1326000000,34.71386
1327000000,37.392117
1328000000,34.65612
1329000000,36.142857
1330000000,35.250534
1331000000,36.394131
1332000000,36.140511
1333000000,34.320465
1334000000,37.077129
1335000000,34.682449
1336000000,34.853851
1337000000,37.574768
1338000000,34.764824
1339000000,35.204094
1340000000,34.622383
1341000000,36.798069
1342000000,35.237007
1343000000,35.630276
1344000000,37.576317
1345000000,36.365936
1346000000,36.264954
1347000000,36.814014
1348000000,34.395927
1349000000,34.89735
1350000000,34.067665
1351000000,36.779419
1352000000,36.780361
1353000000,35.289936
1354000000,35.681465
1355000000,35.500275
1356000000,34.820911
1357000000,39.214428
1358000000,33.84383
1359000000,35.542908
1360000000,34.562923
1361000000,37.096382
1362000000,35.354492
1363000000,35.066883
1364000000,37.312515
1365000000,36.673737
1366000000,34.626137
1367000000,36.500992
1368000000,36.308285
1369000000,37.117813
1370000000,36.103397
1371000000,36.391834
1372000000,35.848175
1373000000,36.871162
1374000000,35.032436
1375000000,36.187847
1376000000,36.140602
1377000000,35.926956
1378000000,35.784096
1379000000,34.917271
1380000000,35.72541
1381000000,35.129066
1382000000,35.497757
1383000000,34.533115
1384000000,37.376801
1385000000,34.778252
1386000000,35.59478
1387000000,35.06646
1388000000,35.136703
1389000000,35.388535
1390000000,34.800568
1391000000,35.245045
1392000000,35.641933
1393000000,34.845428
1394000000,34.809494
1395000000,34.934109
1396000000,36.145378
1397000000,35.535496
1398000000,35.135216
1399000000,35.848759
1400000000,35.635159
1401000000,35.58585
1402000000,34.109653
1403000000,34.046749
1404000000,35.287613
1405000000,33.358643
1406000000,33.739025
1407000000,34.590919
1408000000,35.46085
1409000000,34.393402
1410000000,35.795971
1411000000,33.347218
1412000000,36.131523
1413000000,34.448116
1414000000,36.537258
1415000000,35.023792
1416000000,34.668839
1417000000,34.798275
1418000000,34.311382
1419000000,32.786232
1420000000,35.168499
1421000000,34.555679
1422000000,33.497887
1423000000,35.053375
1424000000,35.526482
1425000000,34.308155
1426000000,34.581707
1427000000,33.523735
1428000000,34.424553
1429000000,34.727734
1430000000,34.596527
1431000000,35.439629
1432000000,33.212955
1433000000,33.94775
1434000000,34.413406
1435000000,36.639217
1436000000,36.58223
1437000000,34.377048
1438000000,34.377735
1439000000,32.749969
1440000000,36.3918
1441000000,37.674637
1442000000,34.167126
1443000000,35.022499
1444000000,34.082973
1445000000,34.496304
1446000000,36.063519
1447000000,33.155167
1448000000,34.754967
1449000000,36.31282
1450000000,33.589951
1451000000,36.109921
1452000000,34.562225
1453000000,34.585899
1454000000,35.550053
1455000000,34.207771
1456000000,36.954132
1457000000,34.11488
1458000000,35.583549
1459000000,34.539646
1460000000,35.413704
1461000000,34.323887
1462000000,33.555367
1463000000,35.078388
1464000000,34.720818
1465000000,34.527115
1466000000,35.28788
1467000000,36.120842
1468000000,34.505188
1469000000,35.007935
1470000000,35.653767
1471000000,36.187717
1472000000,34.625183
1473000000,35.100391
1474000000,34.051537
1475000000,35.004742
1476000000,35.056782
1477000000,34.12606
1478000000,33.497528
1479000000,33.928379
1480000000,35.683708
1481000000,35.869282
1482000000,34.180992
1483000000,36.28289
1484000000,33.67778
1485000000,33.989262
1486000000,34.154053
1487000000,35.013752
1488000000,35.737488
1489000000,31.289997
1490000000,35.216606
1491000000,35.308224
1492000000,33.886578
1493000000,35.438789
1494000000,35.643829
1495000000,34.60429
1496000000,34.834824
1497000000,33.022606
1498000000,34.193886
1499000000,35.467144
1500000000,34.055641
1501000000,34.935478
1502000000,35.409443
1503000000,33.837776
1504000000,34.006191
1505000000,35.078484
1506000000,33.676823
1507000000,34.589718
1508000000,34.581665
1509000000,35.007343
1510000000,34.332287
1511000000,34.788826
1512000000,36.246384
1513000000,34.978855
1514000000,36.51664
1515000000,33.933086
1516000000,35.186775
1517000000,35.593201
1518000000,35.157932
1519000000,36.821205
1520000000,36.60701
1521000000,34.043816
1522000000,35.369255
1523000000,36.858112
1524000000,38.071823
1525000000,35.786221
1526000000,35.315907
1527000000,36.43042
1528000000,36.630733
1529000000,36.74971
1530000000,36.121914
1531000000,34.976742
1532000000,35.79731
1533000000,34.586193
1534000000,35.834217
1535000000,36.241451
1536000000,34.938023
1537000000,36.752674
1538000000,35.21627
1539000000,33.624031
1540000000,37.517689
1541000000,36.878395
1542000000,36.826908
1543000000,34.601219
1544000000,34.519726
1545000000,37.072018
1546000000,34.789104
1547000000,35.489338
1548000000,35.303402
1549000000,36.971645
1550000000,36.883968
1551000000,35.657272
1552000000,35.034916
1553000000,37.746925
1554000000,36.38158
1555000000,37.458443
1556000000,35.805328
1557000000,38.561768
1558000000,35.571152
1559000000,37.788769
1560000000,37.693855
1561000000,36.312401
1562000000,37.801888
1563000000,37.873016
1564000000,37.19809
1565000000,36.930779
1566000000,37.052315
1567000000,40.829197
1568000000,37.76593
1569000000,37.333012
1570000000,38.646034
1571000000,37.219666
1572000000,36.539436
1573000000,38.141693
1574000000,37.199295
1575000000,39.037689
1576000000,40.074039
1577000000,38.281723
1578000000,39.745056
1579000000,37.314411
1580000000,36.91354
1581000000,38.76511
1582000000,37.815819
1583000000,37.647369
1584000000,37.977001
1585000000,38.16766
