frequency,e',e''
1000000000,26.8714,16.4885
1010000000,26.722,16.5447
1020000000,26.5245,16.5465
1030000000,26.4134,16.6062
1040000000,26.2971,16.5936
1050000000,26.0801,16.6346
1060000000,25.9598,16.6512
1070000000,25.8533,16.6828
1080000000,25.6074,16.6614
1090000000,25.4616,16.6547
1100000000,25.3556,16.6826
1110000000,25.1774,16.6986
1120000000,25.0143,16.6626
1130000000,24.9296,16.7027
1140000000,24.7592,16.6934
1150000000,24.6674,16.716
1160000000,24.4957,16.7073
1170000000,24.3363,16.6916
1180000000,24.1963,16.6737
1190000000,24.0588,16.705
1200000000,23.8895,16.6555
1210000000,23.7573,16.6579
1220000000,23.6241,16.6247
1230000000,23.4672,16.6256
1240000000,23.4253,16.6303
1250000000,23.2775,16.5733
1260000000,23.1672,16.6082
1270000000,23.0977,16.6105
1280000000,22.9667,16.5586
1290000000,22.8005,16.5882
1300000000,22.7186,16.625
1310000000,22.5699,16.5678
1320000000,22.4346,16.6199
1330000000,22.3208,16.5899
1340000000,22.1554,16.5346
1350000000,22.0485,16.5365
1360000000,21.964,16.5372
1370000000,21.8283,16.4814
1380000000,21.6839,16.4663
1390000000,21.5418,16.4178
1400000000,21.5005,16.3414
1410000000,21.4404,16.3427
1420000000,21.3513,16.3194
1430000000,21.2338,16.2733
1440000000,21.2181,16.2689
1450000000,21.1117,16.1998
1460000000,21.0168,16.2228
1470000000,20.9688,16.2519
1480000000,20.8209,16.2113
1490000000,20.7234,16.2153
1500000000,20.6497,16.2448
1510000000,20.4948,16.2462
1520000000,20.3975,16.2297
1530000000,20.3044,16.2097
1540000000,20.1604,16.1612
1550000000,20.0838,16.132
1560000000,19.9775,16.1114
1570000000,19.8319,16.0362
1580000000,19.7912,16.0328
1590000000,19.7115,16.0093
1600000000,19.592,15.9744
1610000000,19.5444,15.9694
1620000000,19.4702,15.9414
1630000000,19.3641,15.9358
1640000000,19.3033,15.951
1650000000,19.2133,15.9374
1660000000,19.0963,15.9246
