frequency,e',e''
1000000000,68.2898,17.7899
1010000000,68.2723,17.7253
1020000000,68.2294,17.6112
1030000000,68.2409,17.5638
1040000000,68.2486,17.5554
1050000000,68.2043,17.4712
1060000000,68.1591,17.3917
1070000000,68.1611,17.3938
1080000000,68.0459,17.3308
1090000000,67.9716,17.1918
1100000000,67.9564,17.148
1110000000,67.9052,17.0725
1120000000,67.8617,16.954
1130000000,67.8531,16.9196
1140000000,67.7952,16.8277
1150000000,67.8517,16.7544
1160000000,67.7596,16.7239
1170000000,67.7141,16.6935
1180000000,67.644,16.63
1190000000,67.5594,16.5769
1200000000,67.5412,16.4431
1210000000,67.5139,16.408
1220000000,67.5281,16.251
1230000000,67.4457,16.1801
1240000000,67.5444,16.1089
1250000000,67.527,16.0157
1260000000,67.5865,15.978
1270000000,67.6241,15.9599
1280000000,67.6568,15.9344
1290000000,67.6468,15.925
1300000000,67.6387,15.9605
1310000000,67.6082,15.9075
1320000000,67.5917,15.9029
1330000000,67.5282,15.814
1340000000,67.4413,15.7861
1350000000,67.408,15.7535
1360000000,67.3704,15.721
1370000000,67.3485,15.667
1380000000,67.3258,15.6174
1390000000,67.2518,15.5117
1400000000,67.2986,15.4094
1410000000,67.315,15.2801
1420000000,67.3237,15.2
1430000000,67.347,15.0975
1440000000,67.4604,15.0229
1450000000,67.5063,14.9984
1460000000,67.5809,15.0161
1470000000,67.6701,15.0599
1480000000,67.6863,15.0921
1490000000,67.6697,15.115
1500000000,67.7057,15.1462
1510000000,67.6359,15.1987
1520000000,67.5849,15.2125
1530000000,67.54,15.2234
1540000000,67.4435,15.1925
1550000000,67.4383,15.2022
1560000000,67.4024,15.1516
1570000000,67.3179,15.0645
1580000000,67.3698,15.0984
1590000000,67.3886,15.086
1600000000,67.4257,15.058
1610000000,67.4299,15.058
1620000000,67.4724,15.0387
1630000000,67.5297,15.0638
1640000000,67.5151,15.108
1650000000,67.5291,15.1541
1660000000,67.5188,15.2041
1670000000,67.5463,15.2431
1680000000,67.4914,15.2641
1690000000,67.471,15.3133
1700000000,67.4162,15.3265
1710000000,67.3827,15.368
1720000000,67.346,15.3636
1730000000,67.3135,15.411
1740000000,67.2868,15.4226
1750000000,67.2512,15.4407
1760000000,67.2077,15.4633
1770000000,67.1958,15.4187
1780000000,67.1667,15.4434
1790000000,67.1485,15.4338
1800000000,67.1055,15.4529
1810000000,67.0748,15.4556
1820000000,67.0659,15.453
1830000000,67.0465,15.4501
1840000000,67.0162,15.4351
1850000000,67.0144,15.4547
1860000000,67.0082,15.4531
1870000000,66.9777,15.4443
1880000000,66.9584,15.4378
1890000000,66.9105,15.4712
1900000000,66.8747,15.4911
1910000000,66.8542,15.4786
1920000000,66.8161,15.5047
1930000000,66.7936,15.5007
1940000000,66.7503,15.5096
1950000000,66.7303,15.4812
1960000000,66.6882,15.5099
1970000000,66.6634,15.5206
1980000000,66.65,15.5126
1990000000,66.6236,15.5528
2000000000,66.5946,15.5479
2010000000,66.5532,15.5503
2020000000,66.509,15.5537
2030000000,66.4759,15.5642
2040000000,66.4589,15.5832
2050000000,66.4142,15.5534
2060000000,66.3879,15.5893
2070000000,66.3722,15.6223
2080000000,66.3589,15.5869
2090000000,66.3276,15.6066
2100000000,66.3162,15.6479
2110000000,66.3041,15.6535
2120000000,66.2949,15.651
2130000000,66.2434,15.6687
2140000000,66.2516,15.6882
2150000000,66.2388,15.7095
2160000000,66.2243,15.7032
2170000000,66.1868,15.7219
2180000000,66.1698,15.7527
2190000000,66.145,15.753
2200000000,66.1316,15.7622
2210000000,66.1304,15.7521
2220000000,66.0984,15.7495
2230000000,66.0725,15.7659
2240000000,66.0362,15.7861
2250000000,66.0247,15.8
2260000000,65.986,15.8093
2270000000,65.9649,15.8059
2280000000,65.9072,15.8103
2290000000,65.8827,15.8023
2300000000,65.8377,15.828
2310000000,65.8052,15.7872
2320000000,65.7674,15.8374
2330000000,65.722,15.836
2340000000,65.6932,15.82
2350000000,65.6507,15.8177
2360000000,65.6044,15.8238
2370000000,65.5694,15.8305
2380000000,65.512,15.8176
2390000000,65.4821,15.8315
2400000000,65.4154,15.8101
2410000000,65.3901,15.8057
2420000000,65.3306,15.8258
2430000000,65.302,15.8552
2440000000,65.2797,15.8798
2450000000,65.2537,15.8747
2460000000,65.226,15.8955
2470000000,65.2192,15.929
2480000000,65.1924,15.884
2490000000,65.1846,15.9015
2500000000,65.1307,15.9209
2510000000,65.126,15.9074
2520000000,65.1074,15.9285
2530000000,65.0793,15.965
2540000000,65.0761,15.9808
2550000000,65.0758,15.9705
2560000000,65.0816,15.9868
2570000000,65.0776,15.9809
2580000000,65.0753,15.9705
2590000000,65.0769,15.9981
2600000000,65.054,16.0119
2610000000,65.0541,16.0251
2620000000,65.036,16.0282
2630000000,65.023,16.0265
2640000000,65.0048,16.0293
2650000000,64.9837,16.0077
2660000000,64.954,16.0221
2670000000,64.9521,16.0312
2680000000,64.9416,16.0422
2690000000,64.9513,16.0718
2700000000,64.9393,16.0822
2710000000,64.9458,16.1108
2720000000,64.9618,16.0936
2730000000,64.9366,16.1293
2740000000,64.9136,16.1113
2750000000,64.8779,16.1189
2760000000,64.8426,16.1082
2770000000,64.7959,16.0938
2780000000,64.7441,16.099
2790000000,64.7263,16.1016
2800000000,64.6704,16.1028
2810000000,64.6343,16.09
2820000000,64.6007,16.0901
2830000000,64.5635,16.0877
