!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 17:28:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,37.462032,174.40431
1001000000,36.175385,174.16985
1002000000,35.438435,173.98433
1003000000,34.089108,173.7395
1004000000,32.020561,173.57254
1005000000,30.667912,173.41875
1006000000,29.278761,173.35175
1007000000,27.959023,173.10144
1008000000,26.456327,172.85326
1009000000,24.75231,172.64752
1010000000,23.029678,172.70694
1011000000,21.096794,172.42877
1012000000,19.215115,171.81596
1013000000,17.220486,171.9487
1014000000,15.186796,171.46109
1015000000,12.246976,171.35037
1016000000,10.719145,171.51105
1017000000,7.4987965,171.11751
1018000000,5.3924737,170.97308
1019000000,3.3609231,170.8535
1020000000,-0.67660183,170.74626
1021000000,-0.79566342,170.35696
1022000000,-5.4854875,169.92412
1023000000,-6.8867135,169.92212
1024000000,-12.725633,169.90216
1025000000,-15.705453,169.58098
1026000000,-17.990345,169.51799
1027000000,-19.677219,169.13661
1028000000,-22.730484,168.87201
1029000000,-26.707645,168.68457
1030000000,-30.027388,168.53108
1031000000,-35.384159,168.44234
1032000000,-38.915775,168.21899
1033000000,-40.016628,168.09454
1034000000,-43.523994,167.80609
1035000000,-45.27087,167.62335
1036000000,-48.787647,167.45374
1037000000,-50.961472,167.09486
1038000000,-54.260784,167.07072
1039000000,-56.013073,166.77145
1040000000,-59.023819,166.55722
1041000000,-60.68576,166.46461
1042000000,-62.851509,166.22868
1043000000,-65.349327,166.10094
1044000000,-67.613251,165.8403
1045000000,-69.040924,165.50261
1046000000,-71.360283,165.26218
1047000000,-73.223877,165.37825
1048000000,-74.790848,164.90105
1049000000,-75.780022,164.93709
1050000000,-77.394768,164.48524
1051000000,-78.401749,164.29082
1052000000,-80.926552,164.33592
1053000000,-81.1306,164.03775
1054000000,-82.01992,163.83656
1055000000,-83.7817,163.67081
1056000000,-84.397575,163.18317
1057000000,-86.444962,163.22881
