!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 13:42:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,161.49199,-145.3553
1001000000,160.61681,-145.4198
1002000000,162.0425,-145.69713
1003000000,160.71083,-145.67844
1004000000,159.60078,-145.93987
1005000000,160.73698,-146.08318
1006000000,160.8705,-146.15421
1007000000,161.11218,-146.28732
1008000000,160.82481,-146.37543
1009000000,159.95473,-146.62308
1010000000,159.70508,-146.53857
1011000000,159.32851,-147.05595
1012000000,160.2067,-147.10631
1013000000,159.07137,-147.37506
1014000000,158.23729,-147.43613
1015000000,160.04283,-147.53984
1016000000,157.57315,-147.72644
1017000000,159.32411,-147.97334
1018000000,158.63022,-148.08514
1019000000,158.08817,-148.14795
1020000000,158.3499,-148.08908
1021000000,158.48216,-148.4865
1022000000,157.31726,-148.69896
1023000000,157.38788,-148.77148
1024000000,156.90736,-148.80698
1025000000,157.29941,-149.0564
1026000000,157.45569,-149.04942
1027000000,157.02434,-149.39549
1028000000,156.14214,-149.5215
1029000000,156.30801,-149.65587
1030000000,155.87334,-149.73586
1031000000,156.05954,-149.86978
1032000000,156.14983,-150.01976
1033000000,155.56084,-150.21181
1034000000,154.8633,-150.34369
1035000000,154.16624,-150.54536
1036000000,154.74246,-150.60431
1037000000,154.95114,-150.57971
1038000000,155.3933,-150.8992
1039000000,154.44966,-151.09192
1040000000,153.54219,-151.25
1041000000,154.32416,-151.30565
1042000000,153.43747,-151.46577
1043000000,153.70981,-151.68207
1044000000,153.77396,-151.86346
1045000000,153.09099,-151.97655
1046000000,152.8006,-152.07355
1047000000,152.03238,-152.42923
1048000000,152.64954,-152.46581
1049000000,152.74077,-152.55583
1050000000,152.37866,-152.56912
1051000000,151.73079,-152.81715
1052000000,152.27663,-152.97812
1053000000,152.07143,-153.11319
1054000000,152.30675,-153.10391
1055000000,152.08914,-153.30901
1056000000,152.16177,-153.48183
1057000000,151.32243,-153.67905
1058000000,151.64076,-153.86032
1059000000,150.75729,-154.02658
1060000000,151.15782,-154.13887
1061000000,151.46931,-154.11658
1062000000,151.34448,-154.3264
1063000000,149.8334,-154.67903
1064000000,150.60519,-154.91214
1065000000,150.82596,-154.73508
1066000000,150.52876,-154.7764
1067000000,150.11571,-155.15976
1068000000,149.91321,-155.20674
1069000000,149.8383,-155.66261
1070000000,149.88496,-155.48801
1071000000,149.7076,-155.72279
1072000000,149.67235,-155.76454
1073000000,149.13071,-156.10733
1074000000,149.19365,-156.02609
1075000000,149.14574,-156.52814
1076000000,148.60902,-156.35873
1077000000,149.28241,-156.40363
1078000000,148.54999,-156.74527
1079000000,147.72731,-157.13556
1080000000,148.23178,-157.19867
1081000000,148.19119,-157.36348
1082000000,147.68327,-157.37524
1083000000,147.90578,-157.30174
1084000000,147.9994,-157.55919
1085000000,147.80283,-157.59901
1086000000,147.32219,-157.82024
1087000000,147.48972,-158.02969
1088000000,146.97374,-158.40977
1089000000,147.15729,-158.21924
1090000000,146.96704,-158.58369
1091000000,146.77684,-158.50737
1092000000,146.78539,-158.8726
1093000000,146.74112,-158.92653
1094000000,146.79121,-158.92239
1095000000,146.07669,-159.3446
1096000000,146.38899,-159.28723
1097000000,146.12108,-159.5631
1098000000,145.80089,-159.78889
1099000000,146.35484,-159.75146
1100000000,145.87997,-159.87587
1101000000,146.0925,-160.13893
1102000000,145.56769,-160.11293
1103000000,145.4731,-160.51129
1104000000,145.05106,-160.433
1105000000,145.03059,-160.69179
1106000000,145.23448,-160.56682
1107000000,144.93315,-160.99838
1108000000,144.65149,-161.12498
1109000000,144.64294,-161.3253
1110000000,144.37805,-161.53093
1111000000,144.28059,-161.41989
1112000000,144.16222,-161.56438
1113000000,144.00206,-161.80573
1114000000,143.82632,-161.96188
1115000000,143.5293,-162.22124
1116000000,143.33813,-162.28967
1117000000,143.43343,-162.53098
1118000000,143.70032,-162.35738
1119000000,143.24168,-162.5824
1120000000,142.90576,-162.93207
1121000000,142.84146,-162.99896
1122000000,142.79694,-163.20854
1123000000,142.80273,-163.15372
1124000000,142.60474,-163.35046
1125000000,142.23334,-163.53667
1126000000,142.12691,-163.75745
1127000000,141.99533,-163.77217
1128000000,142.18442,-163.78604
1129000000,142.07729,-164.12236
1130000000,141.33551,-164.3407
1131000000,141.58708,-164.52783
1132000000,141.33934,-164.52931
1133000000,141.19316,-164.77304
1134000000,140.73589,-165.03267
1135000000,141.02466,-164.94156
1136000000,140.39096,-165.22185
1137000000,140.45341,-165.45073
1138000000,140.74503,-165.34848
1139000000,140.07143,-165.70366
1140000000,140.3989,-165.57808
1141000000,139.85321,-165.95088
1142000000,140.00612,-166.16844
1143000000,139.52361,-166.36986
1144000000,139.66911,-166.42484
1145000000,139.50648,-166.51561
1146000000,139.24289,-166.77223
1147000000,139.39679,-166.80847
1148000000,139.14198,-166.92661
1149000000,139.01102,-166.98611
1150000000,138.87675,-167.21901
1151000000,138.59352,-167.37486
1152000000,138.26657,-167.52325
1153000000,138.58607,-167.65784
1154000000,138.46156,-167.64771
1155000000,138.25621,-167.91182
1156000000,137.90323,-168.13675
1157000000,137.99973,-168.35989
1158000000,137.68094,-168.34714
1159000000,137.51001,-168.51935
1160000000,137.45607,-168.58401
1161000000,137.44476,-168.87814
1162000000,137.24385,-168.90588
1163000000,137.41753,-168.96587
1164000000,137.17693,-169.02972
1165000000,136.70238,-169.51315
1166000000,137.05879,-169.43463
1167000000,136.62758,-169.65884
1168000000,136.24763,-170.00011
1169000000,136.55367,-169.80554
1170000000,136.16566,-170.20454
1171000000,136.14166,-170.2494
1172000000,135.87848,-170.3651
1173000000,135.9446,-170.60779
1174000000,135.43703,-170.7578
1175000000,135.53394,-170.77281
1176000000,135.38216,-170.98524
1177000000,135.42857,-171.09314
1178000000,135.21577,-171.40462
1179000000,134.92593,-171.58434
1180000000,134.86238,-171.56723
1181000000,135.01407,-171.55302
1182000000,134.74332,-171.74722
1183000000,134.80466,-171.95343
1184000000,134.42314,-172.03012
1185000000,134.18552,-172.33598
1186000000,134.22453,-172.3286
1187000000,133.88713,-172.5106
1188000000,133.79892,-172.73177
1189000000,133.7831,-172.94302
1190000000,133.67072,-172.96259
1191000000,133.49202,-173.15536
1192000000,133.22134,-173.29677
1193000000,133.01154,-173.64458
1194000000,132.89458,-173.74753
1195000000,132.72942,-173.82303
1196000000,132.62753,-173.95204
1197000000,132.33116,-174.08347
1198000000,132.66663,-174.09192
1199000000,132.22292,-174.33868
1200000000,132.00554,-174.57341
1201000000,131.89839,-174.63983
1202000000,131.72545,-174.85815
1203000000,131.76581,-174.83405
1204000000,131.77502,-174.94331
1205000000,131.33505,-175.24986
1206000000,131.3576,-175.21524
1207000000,130.85271,-175.52014
1208000000,131.0809,-175.5854
1209000000,130.91634,-175.72652
1210000000,130.98674,-175.78644
1211000000,130.54211,-176.06558
1212000000,130.45598,-176.22034
1213000000,130.49458,-176.2525
1214000000,130.13324,-176.45285
1215000000,130.10274,-176.60608
1216000000,129.98595,-176.74429
1217000000,129.78529,-176.93233
1218000000,129.64471,-177.04359
1219000000,129.66617,-177.11183
1220000000,129.49207,-177.13348
1221000000,129.35201,-177.52026
1222000000,129.20308,-177.73932
1223000000,128.94855,-177.80643
1224000000,128.96158,-178.01308
1225000000,128.63492,-178.19566
1226000000,128.89452,-178.15111
1227000000,128.7242,-178.2225
1228000000,128.3761,-178.49431
1229000000,128.45746,-178.54193
1230000000,128.43724,-178.72253
1231000000,128.11835,-178.84279
1232000000,127.88823,-179.13136
1233000000,127.75938,-179.26186
1234000000,127.53735,-179.5976
1235000000,127.44307,-179.49638
1236000000,127.30159,-179.78903
1237000000,127.30275,-179.85822
1238000000,127.22893,-179.9543
1239000000,127.04129,179.77155
1240000000,126.74676,179.65218
1241000000,126.81661,179.5023
1242000000,126.52949,179.36729
1243000000,126.59137,179.36363
1244000000,126.22177,178.97142
1245000000,126.17321,178.96832
1246000000,126.27658,179.00748
1247000000,126.11423,178.77719
1248000000,125.7355,178.47923
1249000000,125.81755,178.50925
1250000000,125.77912,178.43655
1251000000,125.50989,178.25278
1252000000,125.4967,178.06033
1253000000,125.38952,177.96042
1254000000,125.25487,177.83719
1255000000,125.10235,177.77673
1256000000,124.89522,177.41258
1257000000,124.72684,177.40645
1258000000,124.54561,177.08083
1259000000,124.43997,177.05389
1260000000,124.17366,176.73462
1261000000,124.27696,176.78465
1262000000,124.12429,176.64514
1263000000,124.201,176.61206
1264000000,123.79526,176.26924
1265000000,123.98135,176.30777
1266000000,123.8179,176.22017
1267000000,123.31223,175.77986
1268000000,123.36162,175.69363
1269000000,123.24452,175.62984
1270000000,123.17592,175.50337
1271000000,122.93397,175.2545
1272000000,122.79088,175.13132
1273000000,122.76596,175.03773
1274000000,122.61503,174.80324
1275000000,122.3595,174.59637
1276000000,122.21918,174.40257
1277000000,122.26189,174.39522
1278000000,121.87216,174.13579
1279000000,121.80416,173.96028
1280000000,121.97066,173.9758
1281000000,121.57981,173.80263
1282000000,121.71078,173.84531
1283000000,121.50248,173.63464
1284000000,121.60844,173.49667
1285000000,121.1609,173.10994
1286000000,121.14459,173.19565
1287000000,120.80878,172.97206
1288000000,121.20754,172.98228
1289000000,120.85165,172.72635
1290000000,120.77989,172.50505
1291000000,120.3748,172.43242
1292000000,120.22993,172.24089
1293000000,120.09908,172.09566
1294000000,120.379,172.11128
1295000000,120.07992,171.77666
1296000000,120.05518,171.82404
1297000000,119.50925,171.51794
1298000000,119.58044,171.489
1299000000,119.45763,171.25906
1300000000,119.32848,171.14545
1301000000,119.0622,171.00063
1302000000,118.78223,170.9619
1303000000,118.93584,170.75967
1304000000,118.62708,170.56895
1305000000,118.60058,170.47946
1306000000,118.27925,170.30208
1307000000,118.22073,170.18933
1308000000,118.03366,169.85487
1309000000,117.79418,169.75209
1310000000,118.09669,169.92877
1311000000,117.86429,169.46782
1312000000,117.5574,169.44371
1313000000,117.48755,169.25783
1314000000,117.52365,169.20941
1315000000,117.27125,169.06378
1316000000,116.99674,168.87146
1317000000,116.7664,168.70131
1318000000,116.8185,168.52513
1319000000,116.64008,168.29559
1320000000,116.45343,168.28777
1321000000,116.25308,168.05659
1322000000,116.28281,168.11249
1323000000,115.84971,167.79329
1324000000,115.95175,167.72307
1325000000,115.50291,167.41216
1326000000,115.73835,167.44258
1327000000,115.52229,167.37328
1328000000,115.36588,167.01814
1329000000,115.34219,167.13174
1330000000,115.16677,166.92361
1331000000,115.11536,166.73769
1332000000,114.78616,166.62605
1333000000,114.7888,166.37294
1334000000,114.66042,166.3483
1335000000,114.40407,166.10527
1336000000,114.35591,166.07739
1337000000,114.48523,165.90459
1338000000,114.27405,165.83139
1339000000,114.39374,165.7807
1340000000,113.72533,165.37454
1341000000,113.88921,165.3873
1342000000,113.51105,164.92859
1343000000,113.47663,164.94571
1344000000,113.50523,164.82524
1345000000,113.37054,164.79404
1346000000,113.04272,164.42113
1347000000,113.19926,164.67809
1348000000,112.89456,164.25032
1349000000,112.59594,164.01474
1350000000,112.39917,164.01308
1351000000,112.49651,163.91467
1352000000,112.39521,163.54578
1353000000,111.9733,163.62967
1354000000,111.81733,163.29305
1355000000,111.89627,163.24582
1356000000,111.75229,163.16769
1357000000,111.72667,163.0322
1358000000,111.38817,162.85483
1359000000,111.33741,162.64018
1360000000,111.3192,162.68091
1361000000,111.20715,162.3721
1362000000,110.75195,162.33548
1363000000,110.68162,162.15651
1364000000,110.3488,161.94519
1365000000,110.49444,161.90733
1366000000,110.18389,161.69714
1367000000,110.07507,161.55952
1368000000,110.14138,161.34923
1369000000,109.71859,161.20413
1370000000,109.6493,160.98647
1371000000,109.76338,161.14619
1372000000,109.32287,160.78481
1373000000,109.32286,160.69931
1374000000,109.66821,160.71298
1375000000,109.11443,160.51224
1376000000,108.99589,160.41016
