!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:48:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-15.245639,-0.31604809
1001000000,-15.219906,-0.32510775
1002000000,-15.23315,-0.29711246
1003000000,-15.136037,-0.27384183
1004000000,-15.143914,-0.32225254
1005000000,-15.211768,-0.32665646
1006000000,-15.134455,-0.29503301
1007000000,-15.113637,-0.30279371
1008000000,-15.057328,-0.27449802
1009000000,-15.140581,-0.32310006
1010000000,-15.155971,-0.32530057
1011000000,-15.045539,-0.31158203
1012000000,-14.99738,-0.3028754
1013000000,-15.108595,-0.33305806
1014000000,-15.108222,-0.31653437
1015000000,-15.010674,-0.31340265
1016000000,-15.054758,-0.31062061
1017000000,-15.012829,-0.36500439
1018000000,-15.032619,-0.30820501
1019000000,-14.988418,-0.29736334
1020000000,-15.024883,-0.30534992
1021000000,-15.026728,-0.31510577
1022000000,-14.927061,-0.31048942
1023000000,-14.943175,-0.29218611
1024000000,-15.016935,-0.31463122
1025000000,-14.866233,-0.31077427
1026000000,-14.938216,-0.31232664
1027000000,-14.935595,-0.32675618
1028000000,-14.950433,-0.32633922
1029000000,-14.893173,-0.29961252
1030000000,-14.936006,-0.33776784
1031000000,-14.857922,-0.31634739
1032000000,-14.776887,-0.32381627
1033000000,-14.897552,-0.35118634
1034000000,-14.791411,-0.32218722
1035000000,-14.84072,-0.32101661
1036000000,-14.788315,-0.32577127
1037000000,-14.801596,-0.35313153
1038000000,-14.788698,-0.3418372
1039000000,-14.826057,-0.35571003
1040000000,-14.764139,-0.34430847
1041000000,-14.764555,-0.33953831
1042000000,-14.731709,-0.31451443
1043000000,-14.746187,-0.34915048
1044000000,-14.707701,-0.34110317
1045000000,-14.681483,-0.32604709
1046000000,-14.631033,-0.30700669
1047000000,-14.696161,-0.31903014
1048000000,-14.711856,-0.35808754
1049000000,-14.668297,-0.34937534
1050000000,-14.634157,-0.33896515
1051000000,-14.665753,-0.34163973
1052000000,-14.590559,-0.33807358
1053000000,-14.648393,-0.33528525
1054000000,-14.583541,-0.32547456
1055000000,-14.620831,-0.33819473
1056000000,-14.568678,-0.31308314
1057000000,-14.555111,-0.33498451
1058000000,-14.536062,-0.33708182
1059000000,-14.604065,-0.34870008
1060000000,-14.506441,-0.30446923
1061000000,-14.527735,-0.32702738
1062000000,-14.540773,-0.34859714
1063000000,-14.502582,-0.32885042
1064000000,-14.527899,-0.33984604
1065000000,-14.46615,-0.35075191
1066000000,-14.499944,-0.36259881
1067000000,-14.436557,-0.32282126
1068000000,-14.494987,-0.34879598
1069000000,-14.438819,-0.35023409
1070000000,-14.368102,-0.32150254
1071000000,-14.464705,-0.35736537
1072000000,-14.377864,-0.32598019
1073000000,-14.409691,-0.35406536
1074000000,-14.409508,-0.35399163
1075000000,-14.436466,-0.32978791
1076000000,-14.427466,-0.35897833
1077000000,-14.431154,-0.37221864
1078000000,-14.357716,-0.31626236
1079000000,-14.337962,-0.34253421
1080000000,-14.273272,-0.33566335
1081000000,-14.314489,-0.34794378
1082000000,-14.322967,-0.35467437
1083000000,-14.362442,-0.37751243
1084000000,-14.302289,-0.33796322
1085000000,-14.295244,-0.33841556
1086000000,-14.363573,-0.36080542
1087000000,-14.293449,-0.35147527
1088000000,-14.254352,-0.33885664
1089000000,-14.282507,-0.37138167
1090000000,-14.220213,-0.36043733
1091000000,-14.27606,-0.36548403
1092000000,-14.255219,-0.36389011
1093000000,-14.243152,-0.353329
1094000000,-14.264212,-0.34767076
1095000000,-14.19789,-0.34441477
1096000000,-14.244996,-0.37726572
1097000000,-14.239839,-0.36896491
1098000000,-14.242964,-0.35901517
1099000000,-14.175041,-0.36965957
1100000000,-14.190035,-0.34706616
1101000000,-14.161741,-0.3586401
1102000000,-14.144618,-0.31954792
1103000000,-14.164371,-0.36214745
1104000000,-14.204144,-0.36601076
1105000000,-14.161238,-0.36739641
1106000000,-14.100715,-0.36071584
1107000000,-14.125716,-0.36863214
1108000000,-14.094696,-0.35495996
1109000000,-14.129619,-0.38316253
1110000000,-14.122213,-0.3810662
1111000000,-14.137921,-0.3568987
1112000000,-14.116344,-0.37048799
1113000000,-14.050215,-0.36290318
1114000000,-14.080626,-0.36624902
1115000000,-14.12512,-0.3758201
1116000000,-14.018469,-0.356424
1117000000,-14.046268,-0.35706389
1118000000,-14.081409,-0.37691617
1119000000,-14.002517,-0.36165527
1120000000,-14.024585,-0.39725283
1121000000,-14.028193,-0.39115381
1122000000,-14.036994,-0.37468177
1123000000,-14.009348,-0.38675758
1124000000,-13.960868,-0.37202048
1125000000,-13.962339,-0.34642017
1126000000,-13.970952,-0.39365175
1127000000,-13.960505,-0.34860608
1128000000,-13.963764,-0.34992009
1129000000,-13.939611,-0.36292478
1130000000,-13.965602,-0.37755844
1131000000,-13.962466,-0.37282252
1132000000,-13.911577,-0.36908886
1133000000,-13.942381,-0.36722335
1134000000,-13.898745,-0.37050095
1135000000,-13.905278,-0.36148828
1136000000,-13.901015,-0.39554515
1137000000,-13.916706,-0.37731156
1138000000,-13.91788,-0.40483376
1139000000,-13.837063,-0.32918116
1140000000,-13.901649,-0.36506289
1141000000,-13.856723,-0.36949196
1142000000,-13.857446,-0.37655467
1143000000,-13.882979,-0.40550405
1144000000,-13.848782,-0.37061799
1145000000,-13.830552,-0.36618388
1146000000,-13.813864,-0.37815702
1147000000,-13.779648,-0.37289771
1148000000,-13.824126,-0.37863812
1149000000,-13.814398,-0.38378507
1150000000,-13.81027,-0.39640254
1151000000,-13.761456,-0.38450846
1152000000,-13.79167,-0.39245126
1153000000,-13.741289,-0.37611902
1154000000,-13.740908,-0.37477788
1155000000,-13.739495,-0.40367755
1156000000,-13.792254,-0.41578436
1157000000,-13.738416,-0.36016777
1158000000,-13.713339,-0.37250769
1159000000,-13.741117,-0.42714876
1160000000,-13.733725,-0.41009048
1161000000,-13.68736,-0.37991431
1162000000,-13.701472,-0.39080113
1163000000,-13.730089,-0.37787613
1164000000,-13.678054,-0.37910438
1165000000,-13.720637,-0.391936
1166000000,-13.661147,-0.4038713
1167000000,-13.692821,-0.40751684
1168000000,-13.724883,-0.40495512
1169000000,-13.68921,-0.42419785
1170000000,-13.681351,-0.41415262
1171000000,-13.653455,-0.41532969
1172000000,-13.652598,-0.4102098
1173000000,-13.6328,-0.38443148
1174000000,-13.606806,-0.36790487
1175000000,-13.643297,-0.41976181
1176000000,-13.598922,-0.39812216
1177000000,-13.578596,-0.38220763
1178000000,-13.583618,-0.38959587
1179000000,-13.600101,-0.39596072
1180000000,-13.585651,-0.40041357
1181000000,-13.583918,-0.41442329
1182000000,-13.552046,-0.41059133
1183000000,-13.57263,-0.41243067
1184000000,-13.603054,-0.42050707
1185000000,-13.578648,-0.40632898
1186000000,-13.5342,-0.3708207
1187000000,-13.534906,-0.40492985
1188000000,-13.569242,-0.44313383
1189000000,-13.53046,-0.39610919
1190000000,-13.514716,-0.42867991
1191000000,-13.504215,-0.40147811
1192000000,-13.54441,-0.41958666
1193000000,-13.501228,-0.40016663
1194000000,-13.524859,-0.40817234
1195000000,-13.486986,-0.403929
1196000000,-13.537492,-0.43388745
1197000000,-13.514054,-0.41240171
1198000000,-13.491169,-0.41563252
1199000000,-13.446263,-0.41585106
1200000000,-13.429624,-0.39355153
1201000000,-13.488824,-0.43301544
1202000000,-13.433863,-0.41162446
1203000000,-13.41692,-0.39411819
1204000000,-13.433143,-0.41344988
1205000000,-13.41297,-0.39774299
1206000000,-13.432014,-0.42475319
1207000000,-13.400366,-0.41207731
1208000000,-13.436325,-0.41854402
1209000000,-13.432,-0.42847338
1210000000,-13.40723,-0.39883015
1211000000,-13.397431,-0.42604938
1212000000,-13.404222,-0.42803088
1213000000,-13.347519,-0.39862031
1214000000,-13.394502,-0.4185732
1215000000,-13.343522,-0.41415238
1216000000,-13.29649,-0.41537663
1217000000,-13.387653,-0.45463377
1218000000,-13.379686,-0.43979448
1219000000,-13.339483,-0.42162123
1220000000,-13.343432,-0.41479403
1221000000,-13.323862,-0.42816564
1222000000,-13.340293,-0.43692437
1223000000,-13.317039,-0.40655708
1224000000,-13.300609,-0.43324909
1225000000,-13.296541,-0.4153752
1226000000,-13.256551,-0.39885882
1227000000,-13.320204,-0.46282476
1228000000,-13.273002,-0.40118459
1229000000,-13.300097,-0.45271519
1230000000,-13.290751,-0.42044184
1231000000,-13.276175,-0.44646221
1232000000,-13.26507,-0.42738611
1233000000,-13.238229,-0.43093947
1234000000,-13.277033,-0.45160493
1235000000,-13.248494,-0.43102112
1236000000,-13.211406,-0.4184207
1237000000,-13.2481,-0.4304699
1238000000,-13.235456,-0.43599126
1239000000,-13.194293,-0.42161801
1240000000,-13.210777,-0.45128047
1241000000,-13.202621,-0.41872105
1242000000,-13.185838,-0.42302677
1243000000,-13.185593,-0.42513096
1244000000,-13.189126,-0.42815143
1245000000,-13.161693,-0.43552676
1246000000,-13.173958,-0.42353407
1247000000,-13.195063,-0.43220678
1248000000,-13.142848,-0.43836904
1249000000,-13.19284,-0.43577391
1250000000,-13.174721,-0.45277479
1251000000,-13.206306,-0.47149962
1252000000,-13.143643,-0.47347423
1253000000,-13.136936,-0.44076386
1254000000,-13.132999,-0.44169614
1255000000,-13.165545,-0.47017053
1256000000,-13.122214,-0.45254284
1257000000,-13.130424,-0.42116353
1258000000,-13.102239,-0.42454895
1259000000,-13.086361,-0.43825004
1260000000,-13.131265,-0.45574847
1261000000,-13.080157,-0.4087663
1262000000,-13.077215,-0.42721111
1263000000,-13.089996,-0.42501101
1264000000,-13.082917,-0.44914019
1265000000,-13.067646,-0.43363425
1266000000,-13.062386,-0.44090027
1267000000,-13.057673,-0.43404746
1268000000,-13.059133,-0.43819004
1269000000,-13.044797,-0.445869
1270000000,-13.04278,-0.41965887
1271000000,-13.013718,-0.44627884
1272000000,-13.057282,-0.44103563
1273000000,-13.033797,-0.43494937
1274000000,-12.994587,-0.44306749
1275000000,-13.034637,-0.43338671
1276000000,-12.993995,-0.45196795
1277000000,-13.03012,-0.44580787
1278000000,-13.006081,-0.47068915
1279000000,-12.992998,-0.43720526
1280000000,-13.036901,-0.48864195
1281000000,-12.994474,-0.4552947
1282000000,-13.008951,-0.48382711
1283000000,-12.98388,-0.45646948
1284000000,-12.98022,-0.44648358
1285000000,-12.97432,-0.45474389
1286000000,-12.947915,-0.4397929
1287000000,-12.973911,-0.44887173
