!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:58:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.3295356,163.74977,-17.208208,81.389915
1001000000,-0.31198856,163.34663,-17.186958,80.94931
1002000000,-0.31462425,163.22169,-17.194132,80.678833
1003000000,-0.3352946,163.25499,-17.236454,80.557587
1004000000,-0.32851344,162.93141,-17.188765,80.365608
1005000000,-0.32566005,162.70421,-17.195524,79.853668
1006000000,-0.30217803,162.4761,-17.176479,79.577492
1007000000,-0.33365488,162.31567,-17.198284,79.380707
1008000000,-0.33880019,162.03906,-17.220339,79.060135
1009000000,-0.34803426,162.00462,-17.210335,78.811287
1010000000,-0.29392982,161.70099,-17.201618,78.530609
1011000000,-0.3068653,161.66675,-17.171864,78.154129
1012000000,-0.32372609,161.37685,-17.200924,78.09272
1013000000,-0.32434681,161.32837,-17.150665,77.944321
1014000000,-0.34472781,160.97214,-17.18355,77.333824
1015000000,-0.32062802,160.68141,-17.164318,77.07206
1016000000,-0.3013505,160.62012,-17.160389,76.958519
1017000000,-0.28080767,160.52766,-17.1005,76.774582
1018000000,-0.32933098,160.27574,-17.196661,76.387192
1019000000,-0.33562455,160.10214,-17.153147,76.188675
1020000000,-0.31163487,159.73485,-17.138613,75.663925
1021000000,-0.33080521,159.70587,-17.184248,75.688751
1022000000,-0.31854284,159.55952,-17.156143,75.348305
1023000000,-0.33310032,159.27876,-17.177578,75.190849
1024000000,-0.34466448,159.07162,-17.188066,74.656166
1025000000,-0.31670517,158.82352,-17.17437,74.570061
1026000000,-0.32673559,158.35126,-17.186701,73.889206
1027000000,-0.32818174,158.3528,-17.19026,73.900208
1028000000,-0.3283827,158.38797,-17.234303,73.8918
1029000000,-0.30649254,158.18602,-17.182587,73.621925
1030000000,-0.32181624,157.88245,-17.198965,73.272453
1031000000,-0.3250168,157.76703,-17.175776,73.07341
1032000000,-0.31145224,157.6028,-17.17845,72.931824
1033000000,-0.31948322,157.31474,-17.19857,72.445457
1034000000,-0.31893739,157.07103,-17.180916,72.253754
1035000000,-0.34856436,156.7877,-17.213753,71.644638
1036000000,-0.31111914,156.75081,-17.198526,71.706276
1037000000,-0.35017759,156.68304,-17.242979,71.797127
1038000000,-0.32142657,156.46162,-17.219545,71.489006
1039000000,-0.33201855,156.18361,-17.20244,71.017914
1040000000,-0.32876503,155.80469,-17.237579,70.602142
1041000000,-0.31796882,155.85591,-17.248886,70.251572
1042000000,-0.32401243,155.65343,-17.223772,70.176979
1043000000,-0.32468972,155.19725,-17.272139,69.781593
1044000000,-0.33523959,155.19989,-17.292725,69.688423
1045000000,-0.30795556,154.86734,-17.254135,69.456924
1046000000,-0.32671165,154.73125,-17.2915,69.022484
1047000000,-0.30915228,154.62375,-17.281305,68.981506
1048000000,-0.31366724,154.619,-17.318211,68.575867
1049000000,-0.31083316,154.1696,-17.263512,68.634758
1050000000,-0.30718261,154.03438,-17.285654,68.068848
1051000000,-0.31076682,153.7455,-17.333578,67.846352
1052000000,-0.32422525,153.51593,-17.316809,67.45752
1053000000,-0.30967641,153.4653,-17.328342,67.042274
1054000000,-0.32072103,153.44823,-17.32766,67.144142
1055000000,-0.31670058,153.0013,-17.334192,66.633324
1056000000,-0.32705981,153.01059,-17.345524,66.634552
1057000000,-0.34859124,152.77472,-17.382177,66.062714
1058000000,-0.330392,152.45677,-17.378107,65.836441
1059000000,-0.31188479,152.31859,-17.387829,65.824333
1060000000,-0.34073153,152.18658,-17.383148,65.395767
1061000000,-0.34324473,152.02094,-17.412153,64.932243
1062000000,-0.29223278,151.66916,-17.397997,65.018394
1063000000,-0.31815776,151.34433,-17.433874,64.421913
1064000000,-0.33009765,151.2767,-17.444277,63.906517
1065000000,-0.30924866,151.05721,-17.444273,64.00444
1066000000,-0.35410556,150.99838,-17.497776,63.719486
1067000000,-0.3061232,150.67633,-17.48649,63.816116
1068000000,-0.35810962,150.56201,-17.523539,63.104939
1069000000,-0.31008142,150.52798,-17.453173,62.866318
1070000000,-0.31401244,150.3036,-17.50214,62.625362
1071000000,-0.29613116,149.81213,-17.466625,62.025066
1072000000,-0.3560257,149.71942,-17.571051,61.756256
1073000000,-0.31900606,149.46458,-17.522894,61.581711
1074000000,-0.33772147,149.3853,-17.571121,61.523682
1075000000,-0.33469483,149.25261,-17.581871,61.110767
1076000000,-0.33363122,149.04147,-17.627718,60.853645
1077000000,-0.3125284,148.79987,-17.576826,60.685452
1078000000,-0.33098459,148.75005,-17.6171,60.338924
1079000000,-0.32251608,148.32388,-17.608799,59.935764
1080000000,-0.33532831,148.22659,-17.63694,59.74329
1081000000,-0.31940287,147.93459,-17.658531,59.347523
1082000000,-0.32371399,147.7301,-17.636209,59.224293
1083000000,-0.3003189,147.59578,-17.641275,59.149632
1084000000,-0.32156458,147.28758,-17.711063,58.559208
1085000000,-0.31920382,147.28206,-17.732389,57.967487
1086000000,-0.30054468,147.11644,-17.692738,58.23246
1087000000,-0.32320365,146.74194,-17.720901,57.795422
1088000000,-0.33994198,146.61436,-17.774296,57.314529
1089000000,-0.32368153,146.49048,-17.795321,57.303982
1090000000,-0.32210568,146.39658,-17.769258,56.880939
1091000000,-0.34105334,146.10233,-17.82835,56.613804
1092000000,-0.31586537,145.99974,-17.833708,56.347874
1093000000,-0.31664205,145.76642,-17.854454,56.195686
1094000000,-0.31220779,145.39885,-17.850494,55.968048
1095000000,-0.3171483,145.20026,-17.880165,55.402309
