!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 16:36:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.14050902,-143.43983,-25.357231,101.28902
1001000000,-0.098723322,-143.60597,-25.167677,101.71266
1002000000,-0.14170155,-143.89502,-25.189627,100.71973
1003000000,-0.145363,-143.93347,-25.167194,102.10464
1004000000,-0.14056078,-143.97,-25.245529,100.58483
1005000000,-0.12854339,-144.2999,-25.089352,101.80724
1006000000,-0.12036598,-144.34689,-25.093805,102.134
1007000000,-0.12143757,-144.45367,-24.908152,102.03195
1008000000,-0.13736632,-144.54788,-24.916113,101.80526
1009000000,-0.13631624,-144.8231,-24.892633,102.21636
1010000000,-0.11658485,-144.85417,-24.848282,102.18703
1011000000,-0.13489969,-144.92143,-24.769871,101.93758
1012000000,-0.13686302,-145.18454,-24.739737,102.73569
1013000000,-0.14152752,-145.30179,-24.59601,102.68766
1014000000,-0.13518651,-145.26892,-24.558321,102.36047
1015000000,-0.13360333,-145.52493,-24.692278,102.96702
1016000000,-0.096291333,-145.60123,-24.499826,103.86134
1017000000,-0.14595811,-145.88525,-24.313803,102.90602
1018000000,-0.13246182,-145.96626,-24.373043,103.70555
1019000000,-0.10816357,-146.10687,-24.179159,102.93044
1020000000,-0.14938328,-146.29869,-24.403841,102.6504
1021000000,-0.092516795,-146.47502,-24.236687,102.78854
1022000000,-0.14196655,-146.55229,-24.196146,103.45362
1023000000,-0.12523051,-146.80638,-24.151148,102.97956
1024000000,-0.11947137,-146.77724,-24.149441,102.58285
1025000000,-0.11304712,-147.18697,-23.991499,102.59098
1026000000,-0.12757185,-147.05472,-23.945576,102.98767
1027000000,-0.13130859,-147.35326,-23.964941,103.46919
1028000000,-0.11824811,-147.24554,-23.904007,103.82475
1029000000,-0.11847167,-147.61586,-23.966436,103.29109
1030000000,-0.13344073,-147.87805,-23.791382,102.97337
1031000000,-0.15001066,-147.89787,-23.839518,103.01207
1032000000,-0.12110307,-148.20723,-23.732569,103.39953
1033000000,-0.13788208,-148.06619,-23.659458,103.60441
1034000000,-0.13888168,-148.31718,-23.674297,103.24321
1035000000,-0.15518056,-148.55426,-23.697887,103.43542
1036000000,-0.11134543,-148.6132,-23.518265,103.52568
1037000000,-0.13297574,-148.8028,-23.597527,103.18497
1038000000,-0.11656429,-149.01015,-23.381657,103.77645
1039000000,-0.1356295,-148.96393,-23.494204,103.76041
1040000000,-0.13827915,-149.00421,-23.504398,104.03628
1041000000,-0.15254989,-149.22281,-23.426254,103.96831
1042000000,-0.16916531,-149.3632,-23.456205,103.75992
1043000000,-0.14214674,-149.4827,-23.41095,103.71779
1044000000,-0.12236349,-149.78632,-23.244877,104.06691
1045000000,-0.14979424,-149.89117,-23.334339,104.0085
1046000000,-0.15103522,-149.88594,-23.157896,104.44816
1047000000,-0.11050828,-150.20657,-23.072495,103.6731
1048000000,-0.1370739,-150.32286,-23.061193,104.22968
