!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, April 01, 2016 13:52:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,2.8102195,92.270271,78.427391
1001000000,2.8389056,92.98735,78.571785
1002000000,2.9997668,93.056274,74.448845
1003000000,2.8178964,92.991707,79.162727
1004000000,3.0456116,93.999496,74.488358
1005000000,3.0094864,94.549919,76.07122
1006000000,2.8544183,94.684792,80.377769
1007000000,2.8737419,94.769913,79.950058
1008000000,3.480377,94.881927,66.154091
1009000000,3.3163712,95.314781,69.916962
1010000000,3.2908223,95.602905,70.793335
1011000000,3.4256036,96.43129,68.941124
1012000000,3.3554595,96.550758,70.517517
1013000000,3.349422,96.972137,71.131409
1014000000,3.4827359,97.030479,68.477806
1015000000,3.3867233,97.569969,71.036156
1016000000,3.010505,97.86116,80.278854
1017000000,3.0289106,98.07988,80.074593
1018000000,3.6319125,98.606583,67.368103
1019000000,3.4882712,99.057968,70.649208
1020000000,3.754221,99.092247,65.688782
1021000000,3.121665,99.815384,79.899033
1022000000,3.8315978,99.888237,65.191635
1023000000,3.4231715,100.40112,73.556198
1024000000,3.292819,100.93646,77.118568
1025000000,3.9692402,101.21335,64.278366
1026000000,3.7361305,101.68938,68.798332
1027000000,3.2706766,101.94041,78.885643
1028000000,3.845803,102.18858,67.369217
1029000000,3.7678859,102.81824,69.445145
1030000000,3.8936706,103.04237,67.442795
1031000000,3.7459307,103.53889,70.645638
1032000000,4.0310626,103.93008,66.060303
1033000000,4.040813,103.6385,65.601578
1034000000,3.9402061,104.79102,68.492874
1035000000,3.9854188,104.67515,67.595497
1036000000,3.9543383,105.17839,68.660042
1037000000,3.818716,105.56484,71.520622
1038000000,3.5488753,106.42609,77.978714
1039000000,3.5584173,106.2905,77.607796
1040000000,4.0231409,107.19385,69.616318
1041000000,4.0379534,107.46178,69.646378
1042000000,4.1085963,107.51772,68.509735
1043000000,4.2822628,107.46812,65.687103
1044000000,4.3105097,108.61322,66.405907
1045000000,3.8662083,108.41385,73.797813
1046000000,4.1096196,109.29324,70.366531
1047000000,4.2327151,109.94174,68.996071
