!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Thursday, February 25, 2016 16:42:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
1000000000,-1.0632459
1001000000,-1.0628211
1002000000,-1.062421
1003000000,-1.0789341
1004000000,-1.0784713
1005000000,-1.0515057
1006000000,-1.0444083
1007000000,-1.0548121
1008000000,-1.0542277
1009000000,-1.0587041
1010000000,-1.086044
1011000000,-1.0552534
1012000000,-1.0771253
1013000000,-1.0663085
1014000000,-1.040899
1015000000,-1.0534612
1016000000,-1.0904747
1017000000,-1.07665
1018000000,-1.0716025
1019000000,-1.0922703
1020000000,-1.085054
1021000000,-1.0749222
1022000000,-1.0885677
1023000000,-1.0907733
1024000000,-1.1005883
1025000000,-1.0946635
1026000000,-1.0619063
1027000000,-1.1069081
1028000000,-1.1025909
1029000000,-1.1105968
1030000000,-1.1053853
1031000000,-1.1069963
1032000000,-1.1301643
1033000000,-1.088859
1034000000,-1.0754735
1035000000,-1.0941944
1036000000,-1.0799893
1037000000,-1.1067764
1038000000,-1.117983
1039000000,-1.1054829
1040000000,-1.1018934
1041000000,-1.1141539
1042000000,-1.1169392
1043000000,-1.1046927
1044000000,-1.1318064
1045000000,-1.1305323
1046000000,-1.158093
1047000000,-1.1339713
1048000000,-1.1595237
1049000000,-1.1453083
1050000000,-1.1460662
1051000000,-1.1244982
1052000000,-1.1465508
1053000000,-1.1344231
1054000000,-1.118512
1055000000,-1.1583521
1056000000,-1.1619835
1057000000,-1.1339408
1058000000,-1.1713488
1059000000,-1.1250867
1060000000,-1.1541901
1061000000,-1.1575994
1062000000,-1.1483865
1063000000,-1.1550007
1064000000,-1.14408
1065000000,-1.1445907
1066000000,-1.1310891
1067000000,-1.1649702
1068000000,-1.1629376
1069000000,-1.1703576
1070000000,-1.1589712
1071000000,-1.167028
1072000000,-1.1515571
1073000000,-1.1660967
1074000000,-1.1575599
1075000000,-1.1702216
1076000000,-1.1793922
1077000000,-1.1518308
1078000000,-1.1636304
1079000000,-1.1728573
1080000000,-1.1787438
1081000000,-1.1895653
1082000000,-1.2009914
1083000000,-1.183699
1084000000,-1.2078336
1085000000,-1.1851572
1086000000,-1.2178619
1087000000,-1.2004184
1088000000,-1.1683863
1089000000,-1.1833755
1090000000,-1.1733755
1091000000,-1.1987245
1092000000,-1.204322
1093000000,-1.2217282
1094000000,-1.2118367
1095000000,-1.1891081
1096000000,-1.1950952
1097000000,-1.2118882
1098000000,-1.2075169
1099000000,-1.2077039
1100000000,-1.1724834
1101000000,-1.1985315
1102000000,-1.1914103
1103000000,-1.1932489
1104000000,-1.1986974
1105000000,-1.1892712
1106000000,-1.1953882
1107000000,-1.2146876
1108000000,-1.2436291
1109000000,-1.199687
1110000000,-1.2040063
1111000000,-1.219007
1112000000,-1.2223674
1113000000,-1.2090575
1114000000,-1.1922948
1115000000,-1.2195593
1116000000,-1.2250054
1117000000,-1.21691
1118000000,-1.2386529
1119000000,-1.2224013
1120000000,-1.2273927
1121000000,-1.2244343
1122000000,-1.2283124
1123000000,-1.222963
1124000000,-1.2653893
1125000000,-1.237447
1126000000,-1.2442431
1127000000,-1.2464514
1128000000,-1.2500079
1129000000,-1.2513001
1130000000,-1.2411209
1131000000,-1.2829504
1132000000,-1.274913
1133000000,-1.2535017
1134000000,-1.2199112
1135000000,-1.2540991
1136000000,-1.2380891
1137000000,-1.255886
1138000000,-1.2649624
1139000000,-1.2498628
1140000000,-1.2767937
1141000000,-1.2464705
1142000000,-1.2408327
1143000000,-1.2419251
1144000000,-1.2546374
1145000000,-1.243942
1146000000,-1.242072
1147000000,-1.2620659
1148000000,-1.2274117
1149000000,-1.2506876
1150000000,-1.2232755
1151000000,-1.2661769
1152000000,-1.2708156
1153000000,-1.247359
1154000000,-1.2354708
1155000000,-1.2443219
1156000000,-1.2488191
1157000000,-1.2433308
1158000000,-1.2443714
1159000000,-1.2705026
1160000000,-1.2772759
1161000000,-1.2609593
1162000000,-1.2473968
1163000000,-1.2619424
1164000000,-1.2778966
1165000000,-1.265406
1166000000,-1.2661914
1167000000,-1.2480689
1168000000,-1.2464093
1169000000,-1.2687663
1170000000,-1.2687001
1171000000,-1.2641915
1172000000,-1.2605411
1173000000,-1.2631022
1174000000,-1.2758583
1175000000,-1.2684973
1176000000,-1.2854737
1177000000,-1.2606401
1178000000,-1.2549629
1179000000,-1.2624902
1180000000,-1.2731004
1181000000,-1.2524749
1182000000,-1.2911761
1183000000,-1.2776097
1184000000,-1.2528108
1185000000,-1.2874681
1186000000,-1.2911766
1187000000,-1.2845099
1188000000,-1.272307
1189000000,-1.2485709
1190000000,-1.2734834
1191000000,-1.2325186
1192000000,-1.2819867
1193000000,-1.288337
1194000000,-1.2658826
1195000000,-1.2710904
1196000000,-1.3037173
1197000000,-1.283607
1198000000,-1.2646062
1199000000,-1.2630851
1200000000,-1.2763902
1201000000,-1.2783526
1202000000,-1.2827897
1203000000,-1.2631824
1204000000,-1.2754314
1205000000,-1.2749592
1206000000,-1.2843678
1207000000,-1.2844719
1208000000,-1.2963499
1209000000,-1.2882127
1210000000,-1.2981827
1211000000,-1.2842635
1212000000,-1.2661908
1213000000,-1.2962371
1214000000,-1.2872752
1215000000,-1.3029573
1216000000,-1.3112307
1217000000,-1.2869807
1218000000,-1.2455375
1219000000,-1.2813498
1220000000,-1.3152791
1221000000,-1.2854224
1222000000,-1.2912384
1223000000,-1.2630101
1224000000,-1.2864572
1225000000,-1.2940512
1226000000,-1.3018856
1227000000,-1.2994024
1228000000,-1.299477
1229000000,-1.2932129
1230000000,-1.2610047
1231000000,-1.2768418
1232000000,-1.3021808
1233000000,-1.3049189
1234000000,-1.2861327
1235000000,-1.3073511
1236000000,-1.2956632
1237000000,-1.2850507
1238000000,-1.2745665
1239000000,-1.3112514
1240000000,-1.2931608
1241000000,-1.3097191
1242000000,-1.2707603
1243000000,-1.3200195
1244000000,-1.3093096
1245000000,-1.3053377
1246000000,-1.2753687
1247000000,-1.3224862
1248000000,-1.3017379
1249000000,-1.2912812
1250000000,-1.3042316
1251000000,-1.2939482
1252000000,-1.316956
1253000000,-1.279169
1254000000,-1.3273528
1255000000,-1.2993442
1256000000,-1.2990547
1257000000,-1.297158
1258000000,-1.292183
1259000000,-1.3060735
1260000000,-1.3017615
1261000000,-1.3147354
1262000000,-1.3070691
1263000000,-1.2812095
1264000000,-1.3107785
1265000000,-1.2755944
1266000000,-1.2759556
1267000000,-1.3126726
1268000000,-1.2974036
1269000000,-1.283039
1270000000,-1.2888858
1271000000,-1.2957342
1272000000,-1.2934068
1273000000,-1.3109043
1274000000,-1.2671342
1275000000,-1.3289212
1276000000,-1.290808
1277000000,-1.3259763
1278000000,-1.2990839
1279000000,-1.2727218
1280000000,-1.3044934
1281000000,-1.297497
1282000000,-1.3063915
1283000000,-1.3241135
1284000000,-1.3318194
1285000000,-1.3118473
1286000000,-1.3233275
1287000000,-1.3295115
1288000000,-1.3111228
1289000000,-1.2913573
1290000000,-1.3094356
1291000000,-1.3170756
1292000000,-1.3189366
1293000000,-1.2925867
1294000000,-1.3113253
1295000000,-1.3093866
1296000000,-1.2840554
1297000000,-1.302066
1298000000,-1.2821674
1299000000,-1.2887931
1300000000,-1.3150902
1301000000,-1.3203243
1302000000,-1.3010743
1303000000,-1.2948102
1304000000,-1.2400975
1305000000,-1.2813352
1306000000,-1.2621036
1307000000,-1.2985967
1308000000,-1.2877011
1309000000,-1.2983257
1310000000,-1.2901859
1311000000,-1.304075
1312000000,-1.2945043
1313000000,-1.3038216
1314000000,-1.2821057
1315000000,-1.3009624
1316000000,-1.3319134
1317000000,-1.3115325
1318000000,-1.3107623
1319000000,-1.2995634
1320000000,-1.3204875
1321000000,-1.3257073
1322000000,-1.2824851
1323000000,-1.2919167
1324000000,-1.2881919
1325000000,-1.3235061
1326000000,-1.3103833
1327000000,-1.3120494
1328000000,-1.2925578
1329000000,-1.3211174
1330000000,-1.2938966
1331000000,-1.3106939
1332000000,-1.3031645
1333000000,-1.2967052
1334000000,-1.3079815
1335000000,-1.2844958
1336000000,-1.2748996
1337000000,-1.2960861
1338000000,-1.3042029
1339000000,-1.3008871
1340000000,-1.2917441
1341000000,-1.2752807
1342000000,-1.3060094
1343000000,-1.2698911
1344000000,-1.3097429
1345000000,-1.3074104
1346000000,-1.3187231
1347000000,-1.3046778
1348000000,-1.3092666
1349000000,-1.301854
1350000000,-1.3074324
1351000000,-1.3041614
1352000000,-1.2644126
1353000000,-1.2624283
1354000000,-1.2858524
1355000000,-1.294286
1356000000,-1.3011664
1357000000,-1.296842
1358000000,-1.3095865
1359000000,-1.3044358
1360000000,-1.3200495
1361000000,-1.320119
1362000000,-1.3004187
1363000000,-1.3008249
1364000000,-1.32285
1365000000,-1.3203378
1366000000,-1.3214723
1367000000,-1.3182846
1368000000,-1.3135197
1369000000,-1.2966834
1370000000,-1.3061576
1371000000,-1.3215704
1372000000,-1.2915207
1373000000,-1.3002027
1374000000,-1.3063825
1375000000,-1.2854115
1376000000,-1.294109
1377000000,-1.2922463
1378000000,-1.3032763
1379000000,-1.2860527
1380000000,-1.2669661
1381000000,-1.2883109
1382000000,-1.2859207
1383000000,-1.2994863
1384000000,-1.2723361
1385000000,-1.2666733
1386000000,-1.2710221
1387000000,-1.2692641
1388000000,-1.2922885
1389000000,-1.2948132
1390000000,-1.2782398
1391000000,-1.2783116
1392000000,-1.257494
1393000000,-1.2877827
1394000000,-1.2947277
1395000000,-1.2721769
1396000000,-1.2928497
1397000000,-1.305593
1398000000,-1.2814792
1399000000,-1.2655784
1400000000,-1.2850025
1401000000,-1.3039591
1402000000,-1.3216858
1403000000,-1.2874621
1404000000,-1.2669047
1405000000,-1.2849476
1406000000,-1.2572948
1407000000,-1.3050603
1408000000,-1.3140746
1409000000,-1.2950544
1410000000,-1.2873718
1411000000,-1.2769694
1412000000,-1.2792543
1413000000,-1.2695434
1414000000,-1.2844989
1415000000,-1.2930077
1416000000,-1.2649926
1417000000,-1.2961242
1418000000,-1.2572405
1419000000,-1.262832
1420000000,-1.2492871
1421000000,-1.2590618
1422000000,-1.2672863
1423000000,-1.2492611
1424000000,-1.2495227
1425000000,-1.258198
1426000000,-1.2814023
1427000000,-1.2721629
