"Freq [GHz]","im(Z(1,1)) []"
1,-2856.98362069488
1.001,-2852.53839871601
1.002,-2848.10325919897
1.003,-2843.67817329009
1.004,-2839.26311224317
1.005,-2834.85804741729
1.006,-2830.46295027875
1.007,-2826.07779239787
1.008,-2821.70254545131
1.009,-2817.3371812192
1.01,-2812.98167158547
1.011,-2808.63598853719
1.012,-2804.30010416568
1.013,-2799.97399066275
1.014,-2795.65762032337
1.015,-2791.35096554369
1.016,-2787.05399882039
1.017,-2782.76669275102
1.018,-2778.48902003264
1.019,-2774.22095346237
1.02,-2769.96246593564
1.021,-2765.71353044716
1.022,-2761.47412008874
1.023,-2757.24420805109
1.024,-2753.02376762128
1.025,-2748.81277218265
1.026,-2744.61119521563
1.027,-2740.41901029648
1.028,-2736.23619109576
1.029,-2732.06271138035
1.03,-2727.8985450096
1.031,-2723.74366593955
1.032,-2719.59804821731
1.033,-2715.46166598428
1.034,-2711.33449347474
1.035,-2707.21650501462
1.036,-2703.10767502204
1.037,-2699.00797800641
1.038,-2694.91738856816
1.039,-2690.83588139792
1.04,-2686.76343127734
1.041,-2682.70001307687
1.042,-2678.64560175715
1.043,-2674.60017236663
1.044,-2670.56370004293
1.045,-2666.53616001199
1.046,-2662.51752758693
1.047,-2658.5077781684
1.048,-2654.50688724345
1.049,-2650.5148303864
1.05,-2646.53158325689
1.051,-2642.55712160117
1.052,-2638.59142124954
1.053,-2634.63445811845
1.054,-2630.68620820792
1.055,-2626.74664760266
1.056,-2622.81575247102
1.057,-2618.8934990644
1.058,-2614.97986371783
1.059,-2611.07482284851
1.06,-2607.17835295585
1.061,-2603.29043062171
1.062,-2599.41103250862
1.063,-2595.54013536064
1.064,-2591.67771600279
1.065,-2587.82375134047
1.066,-2583.97821835918
1.067,-2580.14109412333
1.068,-2576.31235577792
1.069,-2572.49198054599
1.07,-2568.67994572964
1.071,-2564.87622870961
1.072,-2561.08080694337
1.073,-2557.29365796695
1.074,-2553.51475939382
1.075,-2549.74408891352
1.076,-2545.98162429287
1.077,-2542.22734337434
1.078,-2538.48122407687
1.079,-2534.74324439455
1.08,-2531.01338239668
1.081,-2527.29161622763
1.082,-2523.57792410623
1.083,-2519.87228432557
1.084,-2516.17467525289
1.085,-2512.48507532823
1.086,-2508.80346306583
1.087,-2505.12981705215
1.088,-2501.46411594659
1.089,-2497.80633848122
1.09,-2494.15646345937
1.091,-2490.51446975626
1.092,-2486.8803363188
1.093,-2483.25404216491
1.094,-2479.63556638275
1.095,-2476.02488813134
1.096,-2472.42198663981
1.097,-2468.82684120686
1.098,-2465.23943120115
1.099,-2461.65973606029
1.1,-2458.08773529071
1.101,-2454.52340846764
1.102,-2450.96673523482
1.103,-2447.41769530357
1.104,-2443.87626845322
1.105,-2440.3424345308
1.106,-2436.81617345018
1.107,-2433.29746519218
1.108,-2429.78628980429
1.109,-2426.28262740015
1.11,-2422.78645815993
1.111,-2419.29776232883
1.112,-2415.81652021802
1.113,-2412.34271220363
1.114,-2408.87631872725
1.115,-2405.41732029394
1.116,-2401.9656974744
1.117,-2398.52143090281
1.118,-2395.08450127723
1.119,-2391.65488935932
1.12,-2388.2325759739
1.121,-2384.81754200906
1.122,-2381.4097684157
1.123,-2378.00923620682
1.124,-2374.61592645811
1.125,-2371.22982030668
1.126,-2367.85089895217
1.127,-2364.47914365456
1.128,-2361.1145357362
1.129,-2357.75705657951
1.13,-2354.40668762837
1.131,-2351.06341038642
1.132,-2347.72720641777
1.133,-2344.39805734638
1.134,-2341.07594485605
1.135,-2337.76085069
1.136,-2334.45275665057
1.137,-2331.151644599
1.138,-2327.8574964553
1.139,-2324.57029419802
1.14,-2321.29001986384
1.141,-2318.01665554759
1.142,-2314.75018340174
1.143,-2311.49058563622
1.144,-2308.23784451804
1.145,-2304.99194237181
1.146,-2301.75286157847
1.147,-2298.52058457577
1.148,-2295.29509385778
1.149,-2292.0763719746
1.15,-2288.86440153209
1.151,-2285.65916519213
1.152,-2282.46064567181
1.153,-2279.26882574342
1.154,-2276.08368823414
1.155,-2272.90521602619
1.156,-2269.73339205631
1.157,-2266.56819931518
1.158,-2263.40962084811
1.159,-2260.25763975386
1.16,-2257.11223918497
1.161,-2253.9734023477
1.162,-2250.84111250088
1.163,-2247.7153529573
1.164,-2244.59610708161
1.165,-2241.48335829212
1.166,-2238.37709005811
1.167,-2235.27728590241
1.168,-2232.18392939905
1.169,-2229.09700417399
1.17,-2226.01649390495
1.171,-2222.94238232068
1.172,-2219.87465320104
1.173,-2216.81329037718
1.174,-2213.75827773098
1.175,-2210.70959919437
1.176,-2207.6672387501
1.177,-2204.6311804309
1.178,-2201.60140831937
1.179,-2198.57790654805
1.18,-2195.56065929866
1.181,-2192.54965080274
1.182,-2189.54486534047
1.183,-2186.54628724171
1.184,-2183.55390088421
1.185,-2180.56769069514
1.186,-2177.58764114927
1.187,-2174.61373677029
1.188,-2171.64596212932
1.189,-2168.68430184585
1.19,-2165.72874058646
1.191,-2162.77926306541
1.192,-2159.83585404471
1.193,-2156.89849833252
1.194,-2153.96718078449
1.195,-2151.04188630301
1.196,-2148.12259983667
1.197,-2145.20930638083
1.198,-2142.30199097674
1.199,-2139.40063871177
1.2,-2136.50523471872
1.201,-2133.61576417674
1.202,-2130.73221231005
1.203,-2127.85456438823
1.204,-2124.98280572574
1.205,-2122.11692168216
1.206,-2119.2568976621
1.207,-2116.40271911442
1.208,-2113.55437153225
1.209,-2110.71184045381
1.21,-2107.87511146043
1.211,-2105.04417017783
1.212,-2102.21900227575
1.213,-2099.39959346685
1.214,-2096.58592950755
1.215,-2093.77799619763
1.216,-2090.97577938
1.217,-2088.17926494017
1.218,-2085.38843880659
1.219,-2082.60328695053
1.22,-2079.82379538522
1.221,-2077.04995016651
1.222,-2074.28173739239
1.223,-2071.51914320288
1.224,-2068.7621537794
1.225,-2066.01075534522
1.226,-2063.26493416524
1.227,-2060.52467654572
1.228,-2057.78996883351
1.229,-2055.06079741747
