Freq,S21sim,S21mea
1,-2.60238776,-2.0602469
1.001,-2.596504028,-2.0587018
1.002,-2.590633013,-2.0380919
1.003,-2.584774705,-2.0349774
1.004,-2.578929089,-2.0596142
1.005,-2.573096153,-2.0315719
1.006,-2.567275885,-2.0444472
1.007,-2.561468271,-1.9919
1.008,-2.555673299,-1.9767214
1.009,-2.549890956,-2.0671017
1.01,-2.54412123,-2.0029323
1.011,-2.538364107,-1.9751306
1.012,-2.532619575,-2.0033989
1.013,-2.526887621,-1.9872025
1.014,-2.521168233,-2.0132356
1.015,-2.515461398,-2.0026743
1.016,-2.509767103,-1.9581355
1.017,-2.504085335,-1.9770247
1.018,-2.498416082,-2.0146911
1.019,-2.49275933,-1.9581691
1.02,-2.487115067,-1.9721299
1.021,-2.481483281,-1.9837574
1.022,-2.475863959,-1.9348466
1.023,-2.470257087,-1.9541045
1.024,-2.464662653,-1.9561138
1.025,-2.459080645,-1.9566902
1.026,-2.453511049,-1.9279308
1.027,-2.447953853,-1.9237424
1.028,-2.442409044,-1.9544325
1.029,-2.436876609,-1.9528514
1.03,-2.431356535,-1.9510432
1.031,-2.425848811,-1.9238206
1.032,-2.420353422,-1.9415443
1.033,-2.414870356,-1.9294149
1.034,-2.4093996,-1.8972276
1.035,-2.403941142,-1.895294
1.036,-2.398494968,-1.9045298
1.037,-2.393061066,-1.9056784
1.038,-2.387639424,-1.8877946
1.039,-2.382230027,-1.8969773
1.04,-2.376832863,-1.8927132
1.041,-2.37144792,-1.8796914
1.042,-2.366075185,-1.8809029
1.043,-2.360714644,-1.8826911
1.044,-2.355366285,-1.8740127
1.045,-2.350030094,-1.8688345
1.046,-2.34470606,-1.8892119
1.047,-2.339394169,-1.837505
1.048,-2.334094408,-1.8809452
1.049,-2.328806765,-1.8654951
1.05,-2.323531226,-1.8302137
1.051,-2.318267778,-1.8359646
1.052,-2.313016408,-1.8487223
1.053,-2.307777105,-1.8421949
1.054,-2.302549853,-1.8120425
1.055,-2.297334641,-1.8412603
1.056,-2.292131456,-1.8355126
1.057,-2.286940285,-1.7991422
1.058,-2.281761113,-1.835443
1.059,-2.27659393,-1.8050703
1.06,-2.271438721,-1.8287338
1.061,-2.266295473,-1.812247
1.062,-2.261164174,-1.810382
1.063,-2.25604481,-1.7969733
1.064,-2.250937368,-1.7906247
1.065,-2.245841836,-1.771601
1.066,-2.240758199,-1.7946696
1.067,-2.235686446,-1.7988112
1.068,-2.230626562,-1.7798254
1.069,-2.225578535,-1.7753788
1.07,-2.220542351,-1.7750187
1.071,-2.215517998,-1.7797767
1.072,-2.210505462,-1.7467009
1.073,-2.20550473,-1.7683257
1.074,-2.200515789,-1.7379198
1.075,-2.195538626,-1.7538546
1.076,-2.190573226,-1.7306967
1.077,-2.185619578,-1.7408615
1.078,-2.180677668,-1.7573298
1.079,-2.175747482,-1.7577983
1.08,-2.170829008,-1.7453068
1.081,-2.165922232,-1.7220867
1.082,-2.16102714,-1.715554
1.083,-2.15614372,-1.7095101
1.084,-2.151271958,-1.7130212
1.085,-2.14641184,-1.7118115
1.086,-2.141563354,-1.7257344
1.087,-2.136726486,-1.716171
1.088,-2.131901222,-1.6841993
1.089,-2.12708755,-1.6863488
1.09,-2.122285455,-1.700119
1.091,-2.117494924,-1.6952066
1.092,-2.112715945,-1.7190136
1.093,-2.107948502,-1.6948062
1.094,-2.103192584,-1.6884507
1.095,-2.098448176,-1.7009057
1.096,-2.093715264,-1.6660463
1.097,-2.088993836,-1.6946352
1.098,-2.084283878,-1.687808
1.099,-2.079585376,-1.704037
1.1,-2.074898317,-1.6676193
1.101,-2.070222686,-1.6647751
1.102,-2.065558471,-1.6744406
1.103,-2.060905658,-1.6543657
1.104,-2.056264233,-1.6676908
1.105,-2.051634183,-1.6285453
1.106,-2.047015493,-1.6287962
1.107,-2.042408151,-1.6594139
1.108,-2.037812142,-1.6651531
1.109,-2.033227452,-1.6353469
1.11,-2.028654069,-1.6056095
1.111,-2.024091977,-1.6094342
1.112,-2.019541165,-1.6060894
1.113,-2.015001617,-1.6020839
1.114,-2.010473319,-1.6096784
1.115,-2.005956259,-1.5824074
1.116,-2.001450422,-1.6238581
1.117,-1.996955794,-1.5935069
1.118,-1.992472362,-1.6248196
1.119,-1.988000111,-1.6313654
1.12,-1.983539028,-1.5860255
1.121,-1.979089099,-1.5910512
1.122,-1.974650309,-1.5776414
1.123,-1.970222645,-1.5875684
1.124,-1.965806094,-1.6019094
1.125,-1.96140064,-1.5675709
1.126,-1.95700627,-1.5960727
1.127,-1.952622969,-1.5719352
1.128,-1.948250725,-1.5828246
1.129,-1.943889522,-1.5857519
1.13,-1.939539347,-1.5495657
1.131,-1.935200186,-1.5928679
1.132,-1.930872024,-1.5906831
1.133,-1.926554847,-1.5664713
1.134,-1.922248642,-1.5575134
1.135,-1.917953393,-1.5677807
1.136,-1.913669088,-1.5544626
1.137,-1.909395711,-1.544736
1.138,-1.905133248,-1.5448775
1.139,-1.900881686,-1.5326358
1.14,-1.896641009,-1.5304754
1.141,-1.892411205,-1.5065229
1.142,-1.888192257,-1.5383316
1.143,-1.883984153,-1.4988397
1.144,-1.879786878,-1.5237174
1.145,-1.875600417,-1.5232497
1.146,-1.871424756,-1.5326672
1.147,-1.867259881,-1.5228435
1.148,-1.863105777,-1.5324895
1.149,-1.85896243,-1.5025282
1.15,-1.854829825,-1.5425397
1.151,-1.850707949,-1.5119059
1.152,-1.846596786,-1.5284004
1.153,-1.842496322,-1.4740986
1.154,-1.838406543,-1.4817683
1.155,-1.834327434,-1.5034502
1.156,-1.83025898,-1.4897695
1.157,-1.826201168,-1.4892131
1.158,-1.822153982,-1.4804622
1.159,-1.818117408,-1.50797
1.16,-1.814091431,-1.461513
1.161,-1.810076037,-1.4666944
1.162,-1.806071211,-1.4624412
1.163,-1.802076938,-1.459312
1.164,-1.798093204,-1.4607561
1.165,-1.794119994,-1.464734
1.166,-1.790157294,-1.4829146
1.167,-1.786205088,-1.434855
1.168,-1.782263362,-1.4450186
1.169,-1.778332101,-1.4506313
1.17,-1.77441129,-1.4590799
1.171,-1.770500915,-1.4317268
1.172,-1.766600961,-1.4511232
1.173,-1.762711412,-1.4455003
1.174,-1.758832255,-1.4644705
1.175,-1.754963474,-1.4424092
1.176,-1.751105055,-1.4529752
1.177,-1.747256981,-1.4236757
1.178,-1.74341924,-1.4272903
1.179,-1.739591815,-1.4096556
1.18,-1.735774692,-1.422454
1.181,-1.731967856,-1.4228218
1.182,-1.728171291,-1.4183575
1.183,-1.724384984,-1.4152154
1.184,-1.720608918,-1.3783224
1.185,-1.716843079,-1.4093258
1.186,-1.713087451,-1.4075655
1.187,-1.709342021,-1.4010508
1.188,-1.705606772,-1.3905033
1.189,-1.70188169,-1.367517
1.19,-1.698166759,-1.3789765
1.191,-1.694461964,-1.3961579
1.192,-1.690767291,-1.4155769
1.193,-1.687082723,-1.3819684
1.194,-1.683408247,-1.3912946
1.195,-1.679743846,-1.413691
1.196,-1.676089506,-1.3624569
1.197,-1.672445211,-1.3554364
1.198,-1.668810946,-1.3586097
1.199,-1.665186696,-1.3697633
1.2,-1.661572445,-1.3762237
1.201,-1.657968179,-1.3794787
1.202,-1.654373882,-1.3372369
1.203,-1.650789539,-1.3438747
1.204,-1.647215133,-1.3377391
1.205,-1.643650651,-1.3532995
1.206,-1.640096077,-1.356959
1.207,-1.636551395,-1.3556759
1.208,-1.63301659,-1.3257216
1.209,-1.629491646,-1.3349091
1.21,-1.625976549,-1.3435487
1.211,-1.622471282,-1.3157251
1.212,-1.618975831,-1.3066142
1.213,-1.615490179,-1.308403
1.214,-1.612014312,-1.3336953
1.215,-1.608548214,-1.3313076
1.216,-1.605091869,-1.3367097
1.217,-1.601645262,-1.2968754
1.218,-1.598208377,-1.2980558
1.219,-1.594781199,-1.2865804
1.22,-1.591363713,-1.3189893
1.221,-1.587955902,-1.2971184
1.222,-1.584557751,-1.3009766
1.223,-1.581169245,-1.2671517
1.224,-1.577790367,-1.3065115
1.225,-1.574421103,-1.3119183
1.226,-1.571061437,-1.2824234
1.227,-1.567711352,-1.3001835
1.228,-1.564370834,-1.2808123
1.229,-1.561039867,-1.2757038
1.23,-1.557718434,-1.2723968
1.231,-1.554406521,-1.2707831
1.232,-1.551104112,-1.2779034
1.233,-1.54781119,-1.2810853
1.234,-1.544527741,-1.3034054
1.235,-1.541253747,-1.2822988
1.236,-1.537989195,-1.268227
1.237,-1.534734067,-1.2724597
1.238,-1.531488348,-1.2206985
1.239,-1.528252023,-1.2895396
1.24,-1.525025075,-1.2690632
1.241,-1.521807489,-1.2724508
1.242,-1.518599248,-1.2603499
1.243,-1.515400338,-1.2668869
1.244,-1.512210741,-1.2392399
1.245,-1.509030443,-1.2216741
1.246,-1.505859427,-1.2442192
1.247,-1.502697677,-1.2762315
1.248,-1.499545179,-1.2352847
1.249,-1.496401914,-1.2244856
1.25,-1.493267869,-1.2124927
1.251,-1.490143026,-1.2235079
1.252,-1.48702737,-1.2023729
1.253,-1.483920885,-1.2017975
1.254,-1.480823555,-1.2184842
1.255,-1.477735363,-1.2253473
1.256,-1.474656295,-1.1935357
1.257,-1.471586334,-1.1960607
1.258,-1.468525463,-1.2083063
1.259,-1.465473668,-1.1866714
1.26,-1.462430931,-1.1992877
1.261,-1.459397238,-1.221433
1.262,-1.456372571,-1.2112247
1.263,-1.453356915,-1.1970071
1.264,-1.450350254,-1.1784773
1.265,-1.447352571,-1.1894011
1.266,-1.444363851,-1.1625339
1.267,-1.441384077,-1.2041761
1.268,-1.438413234,-1.182557
1.269,-1.435451304,-1.1753021
1.27,-1.432498274,-1.1759104
1.271,-1.429554125,-1.1864595
1.272,-1.426618842,-1.171769
1.273,-1.423692408,-1.1644424
1.274,-1.420774809,-1.1726164
1.275,-1.417866026,-1.1526552
1.276,-1.414966045,-1.1581204
1.277,-1.412074849,-1.1807262
1.278,-1.409192422,-1.1507121
1.279,-1.406318748,-1.1352918
1.28,-1.40345381,-1.1588902
1.281,-1.400597593,-1.159918
1.282,-1.397750079,-1.1488478
1.283,-1.394911254,-1.1573882
1.284,-1.3920811,-1.1365124
1.285,-1.389259602,-1.1611881
1.286,-1.386446743,-1.1515418
1.287,-1.383642507,-1.1483949
1.288,-1.380846877,-1.1409589
1.289,-1.378059838,-1.1424649
1.29,-1.375281374,-1.142287
1.291,-1.372511467,-1.1103833
1.292,-1.369750102,-1.1182604
1.293,-1.366997262,-1.1194205
1.294,-1.364252932,-1.11308
1.295,-1.361517094,-1.132665
1.296,-1.358789732,-1.1034611
1.297,-1.356070831,-1.1283302
1.298,-1.353360374,-1.0893685
1.299,-1.350658345,-1.1300386
1.3,-1.347964726,-1.1222672
1.301,-1.345279503,-1.1194861
1.302,-1.342602658,-1.1226182
1.303,-1.339934176,-1.0982046
1.304,-1.33727404,-1.0605255
1.305,-1.334622233,-1.1226586
1.306,-1.33197874,-1.0731435
1.307,-1.329343543,-1.0666553
1.308,-1.326716628,-1.0812341
1.309,-1.324097976,-1.1016937
1.31,-1.321487573,-1.0889478
1.311,-1.318885401,-1.0637907
1.312,-1.316291444,-1.0410689
1.313,-1.313705686,-1.0889195
1.314,-1.31112811,-1.0656375
1.315,-1.308558701,-1.0512074
1.316,-1.305997441,-1.0622284
1.317,-1.303444315,-1.0396408
1.318,-1.300899306,-1.0590876
1.319,-1.298362397,-1.0404012
1.32,-1.295833572,-1.0502433
1.321,-1.293312816,-1.0866874
1.322,-1.290800111,-1.026862
1.323,-1.288295441,-1.0355355
1.324,-1.285798789,-1.0453485
1.325,-1.28331014,-1.0597545
1.326,-1.280829477,-1.0458305
1.327,-1.278356783,-1.0451325
1.328,-1.275892042,-1.0558034
1.329,-1.273435239,-1.0483439
1.33,-1.270986355,-1.0257498
1.331,-1.268545376,-1.03536
1.332,-1.266112284,-1.0638834
1.333,-1.263687063,-1.0401533
1.334,-1.261269697,-1.0500418
1.335,-1.258860169,-1.0196648
1.336,-1.256458463,-1.0239738
1.337,-1.254064563,-1.0417253
1.338,-1.251678452,-1.039811
1.339,-1.249300114,-1.0289383
1.34,-1.246929532,-1.0235608
1.341,-1.24456669,-1.0033041
1.342,-1.242211572,-1.0147334
1.343,-1.239864161,-1.0041754
1.344,-1.237524441,-0.99289322
1.345,-1.235192396,-1.024188
1.346,-1.232868008,-1.0195385
1.347,-1.230551263,-0.99333441
1.348,-1.228242142,-0.98214447
1.349,-1.22594063,-1.0025684
1.35,-1.223646711,-0.99363071
1.351,-1.221360369,-0.99578893
1.352,-1.219081585,-0.97925043
1.353,-1.216810346,-0.98046184
1.354,-1.214546633,-1.0155599
1.355,-1.212290431,-0.97407997
1.356,-1.210041724,-0.97617286
1.357,-1.207800494,-0.98825234
1.358,-1.205566726,-0.97505832
1.359,-1.203340404,-1.0091156
1.36,-1.20112151,-0.96723115
1.361,-1.198910029,-0.94955105
1.362,-1.196705944,-0.97525483
1.363,-1.194509239,-0.96510255
1.364,-1.192319897,-0.97687483
1.365,-1.190137903,-0.95174509
1.366,-1.18796324,-0.97562248
1.367,-1.185795891,-0.96807969
1.368,-1.183635841,-0.97409981
1.369,-1.181483072,-0.95247525
1.37,-1.179337569,-0.93463755
1.371,-1.177199315,-0.95104724
1.372,-1.175068295,-0.96421325
1.373,-1.172944491,-0.95070302
1.374,-1.170827888,-0.96776021
1.375,-1.168718469,-0.9546203
1.376,-1.166616217,-0.94267029
1.377,-1.164521118,-0.95472753
1.378,-1.162433153,-0.92811453
1.379,-1.160352308,-0.97628528
1.38,-1.158278566,-0.93879861
1.381,-1.15621191,-0.9599157
1.382,-1.154152325,-0.93955106
1.383,-1.152099794,-0.97815633
1.384,-1.1500543,-0.9669916
1.385,-1.148015829,-0.91529447
1.386,-1.145984363,-0.91353416
1.387,-1.143959886,-0.91795117
1.388,-1.141942382,-0.93373185
1.389,-1.139931835,-0.93009412
1.39,-1.137928229,-0.92307925
1.391,-1.135931547,-0.92612362
1.392,-1.133941774,-0.91337138
1.393,-1.131958892,-0.91975272
