frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
1000000000.0000000000, 73.6128088046, -70.4112678249, -70.4112678249, -70.4112678249, -25.0087455387, -41.9493680657, -70.4112678249, -41.9493534947, -25.0087503957
1001000000.0000000000, 73.5055462996, -70.4825640715, -70.4825640715, -70.4825592145, -25.1353098547, -41.9255006527, -70.4825592145, -41.9255006527, -25.1352928551
1002000000.0000000000, 73.3982789376, -70.5538651751, -70.5538603181, -70.5538603181, -25.2617236030, -41.9015166711, -70.5538603181, -41.9015021000, -25.2617211745
1003000000.0000000000, 73.2910164326, -70.6251614218, -70.6251614218, -70.6251614218, -25.3879940691, -41.8774112639, -70.6251614218, -41.8774306920, -25.3879819265
1004000000.0000000000, 73.1837344995, -70.6964722395, -70.6964673825, -70.6964722395, -25.5141552521, -41.8531892882, -70.6964673825, -41.8532087163, -25.5141673947
1005000000.0000000000, 73.0764622805, -70.7677733431, -70.7677733431, -70.7677733431, -25.6401464394, -41.8288847430, -70.7677733431, -41.8288798860, -25.6401488679
1006000000.0000000000, 72.9691706334, -70.8390938749, -70.8390938749, -70.8390938749, -25.7660307721, -41.8044150591, -70.8390938749, -41.8044199161, -25.7660356291
1007000000.0000000000, 72.8618984144, -70.9104046926, -70.9103949785, -70.9104046926, -25.8917693941, -41.7798628058, -70.9104046926, -41.7798725198, -25.8917523946
1008000000.0000000000, 72.7546164813, -70.9817155103, -70.9817155103, -70.9817155103, -26.0173841621, -41.7551891268, -70.9817155103, -41.7552036979, -26.0173744480
1009000000.0000000000, 72.6473248342, -71.0530311850, -71.0530311850, -71.0530311850, -26.1428386482, -41.7303891653, -71.0530311850, -41.7303940223, -26.1428265057
1010000000.0000000000, 72.5400429011, -71.1243468597, -71.1243517168, -71.1243517168, -26.2681741373, -41.7054580642, -71.1243517168, -41.7054677782, -26.2681595663
1011000000.0000000000, 72.4327561110, -71.1956722485, -71.1956722485, -71.1956771055, -26.3933542017, -41.6804443936, -71.1956722485, -41.6804395366, -26.3933639157
1012000000.0000000000, 72.3254547498, -71.2669927803, -71.2669976373, -71.2669976373, -26.5184249830, -41.6552898694, -71.2669976373, -41.6552655842, -26.5184322685
1013000000.0000000000, 72.2181582457, -71.3383278831, -71.3383181690, -71.3383181690, -26.6433427681, -41.6300042055, -71.3383181690, -41.6300090625, -26.6433427681
1014000000.0000000000, 72.1108714556, -71.4096532719, -71.4096532719, -71.4096532719, -26.7681196995, -41.6046165441, -71.4096484148, -41.6046214011, -26.7681099854
1015000000.0000000000, 72.0035749514, -71.4809738036, -71.4809738036, -71.4809835177, -26.8927849193, -41.5791026001, -71.4809835177, -41.5791123142, -26.8927873478
1016000000.0000000000, 71.8962735903, -71.5523186205, -71.5523186205, -71.5523186205, -27.0173068570, -41.5534623736, -71.5523186205, -41.5534818017, -27.0173044285
1017000000.0000000000, 71.7889430869, -71.6236634373, -71.6236634373, -71.6236585803, -27.1417000835, -41.5276910074, -71.6236634373, -41.5277055784, -27.1416976550
1018000000.0000000000, 71.6816611539, -71.6949936831, -71.6949936831, -71.6949936831, -27.2659524564, -41.5017982156, -71.6949839691, -41.5018127866, -27.2659330283
1019000000.0000000000, 71.5743452216, -71.7663433570, -71.7663433570, -71.7663336430, -27.3900664041, -41.4758034263, -71.7663433570, -41.4758131403, -27.3900566901
1020000000.0000000000, 71.4670147183, -71.8376881739, -71.8376833169, -71.8376881739, -27.5140467837, -41.4497017825, -71.8376881739, -41.4497017825, -27.5140516407
1021000000.0000000000, 71.3597182142, -71.9090232767, -71.9090232767, -71.9090232767, -27.6378863095, -41.4234058577, -71.9090232767, -41.4234204288, -27.6378814525
1022000000.0000000000, 71.2524119960, -71.9803729506, -71.9803778076, -71.9803729506, -27.7615946958, -41.3970370776, -71.9803729506, -41.3970467917, -27.7615898388
1023000000.0000000000, 71.1450717786, -72.0517274815, -72.0517274815, -72.0517274815, -27.8852010845, -41.3705614430, -72.0517274815, -41.3705371579, -27.8851937990
1024000000.0000000000, 71.0377509894, -72.1230868694, -72.1230820124, -72.1230820124, -28.0086326205, -41.3439158126, -72.1230820124, -41.3439255266, -28.0086374775
1025000000.0000000000, 70.9304399142, -72.1944316863, -72.1944316863, -72.1944365433, -28.1319330167, -41.3171633277, -72.1944365433, -41.3171438996, -28.1319378738
1026000000.0000000000, 70.8230899827, -72.2658007883, -72.2658056453, -72.2658007883, -28.2551241300, -41.2902797031, -72.2658007883, -41.2902797031, -28.2551144160
1027000000.0000000000, 70.7157740505, -72.3371553192, -72.3371553192, -72.3371553192, -28.3781501045, -41.2632795100, -72.3371553192, -41.2632697959, -28.3781476759
1028000000.0000000000, 70.6084484042, -72.4085244212, -72.4085244212, -72.4085244212, -28.5010570818, -41.2361093210, -72.4085244212, -41.2361238921, -28.5010497963
1029000000.0000000000, 70.5011081869, -72.4798838091, -72.4798838091, -72.4798838091, -28.6238329196, -41.2088371346, -72.4798838091, -41.2088517056, -28.6238377766
1030000000.0000000000, 70.3937679695, -72.5512577681, -72.5512674822, -72.5512674822, -28.7464897603, -41.1814289514, -72.5512674822, -41.1814386655, -28.7464873318
1031000000.0000000000, 70.2864374662, -72.6226268701, -72.6226268701, -72.6226220131, -28.8689887477, -41.1538993428, -72.6226220131, -41.1539187709, -28.8689887477
1032000000.0000000000, 70.1791021059, -72.6939959721, -72.6939959721, -72.6939959721, -28.9913760236, -41.1262337374, -72.6939959721, -41.1262677366, -28.9913517385
