!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 17:53:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.29632539,161.47818,-21.032949,52.298847
1001000000,-0.26429272,161.46432,-21.040606,51.999298
1002000000,-0.26727173,160.97255,-21.003637,51.874382
1003000000,-0.29252124,160.88457,-21.051216,51.232906
1004000000,-0.29722363,160.53285,-20.988087,50.865986
1005000000,-0.28358689,160.37607,-21.011366,50.510788
1006000000,-0.27337378,160.32246,-21.02396,50.254192
1007000000,-0.26954803,160.14967,-21.038414,50.010311
1008000000,-0.29121944,160.04291,-21.073307,49.832096
1009000000,-0.26730284,159.6033,-21.040855,49.033844
1010000000,-0.24132009,159.47562,-20.972883,48.996185
1011000000,-0.28085098,159.36746,-21.05352,48.959225
1012000000,-0.27081835,158.96149,-21.044872,48.30492
1013000000,-0.2805993,158.96828,-21.095442,47.938969
1014000000,-0.28476995,158.79729,-21.131557,48.102127
1015000000,-0.26881284,158.65561,-21.084114,47.456165
1016000000,-0.27360919,158.42052,-21.063747,46.818611
1017000000,-0.30363312,158.01001,-21.141619,46.716526
1018000000,-0.28109905,157.93085,-21.068192,46.49905
1019000000,-0.27784616,157.78888,-21.142075,46.493526
1020000000,-0.29462606,157.47382,-21.075233,45.940208
1021000000,-0.2611663,157.38272,-21.089443,45.789803
1022000000,-0.29511446,157.00301,-21.099857,45.123459
1023000000,-0.29126275,156.93553,-21.126463,45.064354
1024000000,-0.28146118,156.95782,-21.116671,45.182732
1025000000,-0.28293371,156.43497,-21.123787,44.514317
1026000000,-0.25690639,156.23988,-21.123329,44.204506
1027000000,-0.30142102,156.1615,-21.150545,43.895103
1028000000,-0.23309276,155.93396,-21.102606,43.459377
1029000000,-0.25875759,155.87129,-21.100956,43.456226
1030000000,-0.30304709,155.3801,-21.159277,42.701366
1031000000,-0.29961517,155.17342,-21.192909,42.306133
1032000000,-0.2528173,155.01437,-21.168118,42.315647
1033000000,-0.28502506,154.90523,-21.21822,41.946537
1034000000,-0.27553025,154.84108,-21.169382,41.523335
1035000000,-0.26085028,154.32956,-21.174868,41.128307
1036000000,-0.25784358,154.2218,-21.253683,40.834648
1037000000,-0.2787852,154.04118,-21.235458,40.771454
1038000000,-0.27391255,153.79366,-21.306181,40.263546
1039000000,-0.27915806,153.65872,-21.25461,39.986481
1040000000,-0.2682772,153.62518,-21.236967,39.641129
1041000000,-0.28179494,153.4301,-21.284363,39.422714
1042000000,-0.32192171,153.27719,-21.292433,39.268921
1043000000,-0.28215405,152.96741,-21.302839,38.432232
1044000000,-0.2597827,152.72719,-21.327887,37.859673
1045000000,-0.27996829,152.52724,-21.296419,37.895916
1046000000,-0.28883082,152.52339,-21.372931,37.645065
1047000000,-0.23527187,152.19243,-21.339886,37.533932
1048000000,-0.28999314,151.94499,-21.418995,36.502605
1049000000,-0.28130186,151.77011,-21.376076,36.357594
1050000000,-0.29472756,151.61143,-21.419216,36.255394
1051000000,-0.27256984,151.50392,-21.424719,36.092148
1052000000,-0.28345242,150.93242,-21.468332,35.64217
1053000000,-0.26572275,151.05034,-21.400656,35.328201
1054000000,-0.26175401,150.86479,-21.43079,34.80162
1055000000,-0.25526232,150.7621,-21.504932,34.804302
1056000000,-0.27646619,150.34076,-21.504368,33.874355
1057000000,-0.28306189,150.20232,-21.415293,34.037849
1058000000,-0.2736997,149.77136,-21.457979,33.021793
1059000000,-0.31117922,149.75177,-21.542929,32.640831
1060000000,-0.26062691,149.60112,-21.520048,32.586212
1061000000,-0.2563509,149.36168,-21.565237,32.282211
1062000000,-0.2646797,149.11438,-21.557552,32.167385
1063000000,-0.27975532,148.78357,-21.609035,31.310507
1064000000,-0.29297835,148.73032,-21.583044,31.324804
1065000000,-0.26306701,148.47418,-21.612963,30.990786
1066000000,-0.28992131,148.65115,-21.710651,30.763569
1067000000,-0.27469406,148.10223,-21.691818,30.009727
1068000000,-0.27621138,148.02585,-21.690359,29.92005
1069000000,-0.27835247,147.67749,-21.628767,29.340609
1070000000,-0.25854811,147.69254,-21.703064,29.132189
1071000000,-0.30065984,147.31212,-21.694513,28.928635
1072000000,-0.3138096,147.32607,-21.756332,28.251577
1073000000,-0.2979672,147.05133,-21.755272,27.925974
1074000000,-0.32199481,146.95633,-21.734419,27.720654
1075000000,-0.29370615,146.59445,-21.703028,26.702776
1076000000,-0.29505697,146.31178,-21.781849,26.593767
1077000000,-0.28760108,146.14954,-21.831463,26.119232
1078000000,-0.29948971,145.9826,-21.843861,26.212729
1079000000,-0.29647759,145.79921,-21.875568,25.468596
1080000000,-0.28773421,145.43594,-21.876522,24.984785
1081000000,-0.28551221,145.35312,-21.772507,24.780853
1082000000,-0.27514669,145.2585,-21.85187,24.109039
1083000000,-0.26792067,145.23631,-21.964153,24.181328
1084000000,-0.27748504,144.99403,-21.950871,23.022379
1085000000,-0.25940531,144.55605,-21.977568,22.812113
1086000000,-0.27388945,144.32904,-22.023577,22.965307
1087000000,-0.28997135,144.19691,-22.025356,22.311687
1088000000,-0.28017625,144.04088,-22.001713,22.037519
1089000000,-0.28663796,143.97275,-22.065214,21.638266
1090000000,-0.26979396,143.71571,-22.01593,20.82995
1091000000,-0.26228729,143.47714,-22.047359,20.549055
1092000000,-0.28802639,143.46828,-22.112873,20.108038
1093000000,-0.28137651,143.09576,-22.184017,19.746315
1094000000,-0.2892867,143.03807,-22.182003,19.295065
1095000000,-0.29562744,142.69397,-22.095449,18.290184
1096000000,-0.25999206,142.4906,-22.162601,18.981293
1097000000,-0.25552166,142.47873,-22.223249,18.307211
1098000000,-0.29700261,141.91574,-22.224606,17.820984
1099000000,-0.28706193,141.87961,-22.241533,17.551813
1100000000,-0.2797313,141.61774,-22.328127,16.450495
1101000000,-0.31481352,141.43089,-22.270182,16.095661
1102000000,-0.25475773,141.4514,-22.38442,16.299892
1103000000,-0.28378195,140.7917,-22.430113,15.365398
1104000000,-0.29340741,140.92848,-22.45677,14.940132
1105000000,-0.28731012,140.43668,-22.401503,14.547441
1106000000,-0.28655618,140.76357,-22.482094,14.656318
1107000000,-0.27703613,140.2692,-22.412819,13.886487
1108000000,-0.29480848,139.9007,-22.468529,12.450089
1109000000,-0.27536476,139.6768,-22.533493,12.594004
1110000000,-0.29691592,139.54129,-22.561811,12.222345
1111000000,-0.2866292,139.27812,-22.578363,12.051559
1112000000,-0.28981325,139.18759,-22.585934,11.146383
1113000000,-0.28693765,139.09402,-22.691858,10.988848
1114000000,-0.30049327,138.7075,-22.689146,10.136716
1115000000,-0.27362096,138.73428,-22.632219,9.7085323
1116000000,-0.29518184,138.49313,-22.753464,9.1829996
1117000000,-0.29002872,138.30717,-22.833406,8.9404402
1118000000,-0.3035939,137.94516,-22.731398,8.6475849
1119000000,-0.3085373,137.83183,-22.850761,8.1380472
1120000000,-0.31162727,137.55249,-22.953497,7.2326002
1121000000,-0.29636455,137.35432,-22.958256,6.6807842
1122000000,-0.28129646,137.25696,-22.895714,6.8635101
1123000000,-0.27608779,137.26158,-22.947165,6.158659
1124000000,-0.27922085,136.88483,-22.989227,4.628829
1125000000,-0.27492827,136.85837,-23.05916,4.7664051
1126000000,-0.30599391,136.53041,-23.039309,4.6776829
1127000000,-0.27433628,136.20158,-23.149515,4.0193219
1128000000,-0.30854666,136.2774,-23.147734,3.5095584
1129000000,-0.27557969,135.92578,-23.247513,2.698889
1130000000,-0.29443863,135.71098,-23.190613,2.8772106
1131000000,-0.29788136,135.411,-23.250053,1.4228749
1132000000,-0.26991099,135.26256,-23.288164,1.9791828
1133000000,-0.29731667,135.23288,-23.239616,1.0818888
1134000000,-0.2798593,135.00217,-23.345774,0.010063099
1135000000,-0.32165095,134.67224,-23.371134,0.16709915
1136000000,-0.27188808,134.42358,-23.350437,-1.4461255
1137000000,-0.26914781,134.28752,-23.345325,-1.6021259
1138000000,-0.30917877,134.04262,-23.372223,-1.7006384
1139000000,-0.30574059,133.95929,-23.469709,-2.1007311
1140000000,-0.30864432,133.63937,-23.485329,-2.2761991
1141000000,-0.31151268,133.37738,-23.476879,-3.3642759
1142000000,-0.29261553,133.3333,-23.54772,-3.4633019
1143000000,-0.29729003,132.93944,-23.698299,-4.5165162
1144000000,-0.30547681,133.01894,-23.614141,-4.8002086
1145000000,-0.28325909,132.64796,-23.672636,-5.3321757
1146000000,-0.28811917,132.23486,-23.670218,-6.0986924
1147000000,-0.2783289,132.4025,-23.796133,-6.3982463
1148000000,-0.31286994,132.09462,-23.807575,-7.008512
1149000000,-0.28325206,131.87987,-23.849531,-7.5840416
1150000000,-0.30575541,131.66739,-23.893742,-7.977149
1151000000,-0.28964025,131.56291,-23.874601,-8.5783272
1152000000,-0.30367333,131.43814,-23.826803,-9.6628132
1153000000,-0.2946822,130.99356,-23.943563,-10.515394
1154000000,-0.30488792,130.95361,-24.107351,-10.879098
1155000000,-0.28542098,130.70441,-24.041975,-11.725295
1156000000,-0.30135205,130.56213,-23.976393,-12.056593
1157000000,-0.29042137,130.34866,-24.051924,-12.81299
1158000000,-0.28981063,130.18999,-24.127621,-13.475029
1159000000,-0.30218634,129.72125,-24.226057,-13.875494
1160000000,-0.28304419,129.93866,-24.250666,-14.221014
1161000000,-0.30267733,129.64487,-24.295647,-14.767572
1162000000,-0.28337568,129.20084,-24.247265,-15.930808
1163000000,-0.28763348,129.17767,-24.306486,-15.997753
1164000000,-0.26829356,128.74443,-24.396847,-17.000599
1165000000,-0.29345414,128.63405,-24.436438,-17.336084
1166000000,-0.27836955,128.40132,-24.455057,-18.581936
1167000000,-0.28501394,128.17493,-24.598619,-19.249622
1168000000,-0.28635165,128.03006,-24.531418,-19.672323
1169000000,-0.30180866,127.79862,-24.616631,-20.476561
