Freq,M,H
1,13.49882801,23.764091
1.001,13.51673092,23.708783
1.002,13.53465218,23.663868
1.003,13.55259185,23.996674
1.004,13.57054998,23.985355
1.005,13.58852663,23.642853
1.006,13.60652184,23.855064
1.007,13.62453567,24.115875
1.008,13.64256817,23.852864
1.009,13.6606194,23.847637
1.01,13.6786894,23.992996
1.011,13.69677824,24.021992
1.012,13.71488596,24.047844
1.013,13.73301263,23.834373
1.014,13.75115829,24.068421
1.015,13.769323,24.169934
1.016,13.78750681,24.376328
1.017,13.80570978,24.13858
1.018,13.82393196,24.427811
1.019,13.84217342,24.071205
1.02,13.8604342,24.36137
1.021,13.87871436,24.224285
1.022,13.89701395,24.368843
1.023,13.91533304,24.295628
1.024,13.93367167,24.263474
1.025,13.95202991,24.667343
1.026,13.97040781,24.472702
1.027,13.98880543,24.4907
1.028,14.00722282,24.597626
1.029,14.02566005,24.52518
1.03,14.04411716,24.539531
1.031,14.06259422,24.585098
1.032,14.08109129,24.697453
1.033,14.09960842,24.754246
1.034,14.11814567,24.766342
1.035,14.1367031,25.029252
1.036,14.15528077,24.852494
1.037,14.17387873,24.837837
1.038,14.19249705,25.003712
1.039,14.21113579,24.936283
1.04,14.229795,25.07529
1.041,14.24847474,24.96587
1.042,14.26717508,25.094956
1.043,14.28589607,25.196888
1.044,14.30463778,25.106342
1.045,14.32340026,25.271244
1.046,14.34218357,25.329693
1.047,14.36098778,25.254692
1.048,14.37981295,25.11771
1.049,14.39865914,25.374317
1.05,14.41752641,25.207729
1.051,14.43641482,25.395519
1.052,14.45532444,25.425167
1.053,14.47425532,25.480847
1.054,14.49320753,25.413967
1.055,14.51218113,25.5172
1.056,14.53117618,25.493633
1.057,14.55019276,25.531594
1.058,14.56923091,25.478268
1.059,14.58829071,25.661064
1.06,14.60737221,25.602173
1.061,14.62647549,25.648617
1.062,14.6456006,25.702389
1.063,14.66474761,25.822498
1.064,14.68391659,25.714199
1.065,14.7031076,25.54007
1.066,14.72232071,25.947674
1.067,14.74155597,26.006359
1.068,14.76081346,26.014694
1.069,14.78009324,25.897663
1.07,14.79939538,26.072625
1.071,14.81871995,26.069843
1.072,14.83806701,26.106549
1.073,14.85743662,26.071789
1.074,14.87682886,25.895726
1.075,14.89624379,26.216736
1.076,14.91568148,26.218765
1.077,14.935142,26.253743
1.078,14.95462541,26.318157
1.079,14.97413179,26.475418
1.08,14.9936612,26.384209
1.081,15.01321371,26.398201
1.082,15.03278939,26.351475
1.083,15.0523883,26.537979
1.084,15.07201053,26.478016
1.085,15.09165614,26.485638
1.086,15.11132519,26.569118
1.087,15.13101776,26.663983
1.088,15.15073392,26.616745
1.089,15.17047374,26.754227
1.09,15.19023728,26.600547
1.091,15.21002464,26.680843
1.092,15.22983586,26.629112
1.093,15.24967103,27.008251
1.094,15.26953021,26.594639
1.095,15.28941349,26.981826
1.096,15.30932092,26.534637
1.097,15.32925259,27.126095
1.098,15.34920857,26.873535
1.099,15.36918893,26.860642
1.1,15.38919374,26.920677
1.101,15.40922309,27.284057
1.102,15.42927703,27.264259
1.103,15.44935565,27.248119
1.104,15.46945902,27.218452
1.105,15.48958722,27.131218
1.106,15.50974032,27.348766
1.107,15.5299184,27.190292
1.108,15.55012153,27.32568
1.109,15.57034979,27.392476
1.11,15.59060325,27.547665
1.111,15.61088199,27.40427
1.112,15.6311861,27.449562
1.113,15.65151564,27.337837
1.114,15.67187069,27.572178
1.115,15.69225133,27.537147
1.116,15.71265764,27.418659
1.117,15.7330897,27.940391
1.118,15.75354759,27.773609
1.119,15.77403138,27.730595
1.12,15.79454115,27.80777
1.121,15.81507698,28.032707
1.122,15.83563896,27.83535
1.123,15.85622716,27.736225
1.124,15.87684166,27.91119
1.125,15.89748255,28.017857
1.126,15.9181499,27.860798
1.127,15.93884379,28.054409
1.128,15.95956432,28.181034
1.129,15.98031155,28.08474
1.13,16.00108557,28.153137
1.131,16.02188646,28.0145
1.132,16.04271431,28.180649
1.133,16.0635692,28.343418
1.134,16.08445121,28.34988
1.135,16.10536043,28.434101
1.136,16.12629694,28.519905
1.137,16.14726082,28.372975
1.138,16.16825215,28.370418
1.139,16.18927104,28.451614
1.14,16.21031754,28.497764
1.141,16.23139177,28.419994
1.142,16.25249379,28.442215
1.143,16.27362369,28.406258
1.144,16.29478157,28.837033
1.145,16.31596751,28.78989
1.146,16.33718159,28.565331
1.147,16.35842391,28.451405
1.148,16.37969454,28.748623
1.149,16.40099358,28.911198
1.15,16.42232112,28.857593
1.151,16.44367725,28.868435
1.152,16.46506205,28.867596
1.153,16.48647561,29.048332
1.154,16.50791803,29.088615
1.155,16.52938938,29.027722
1.156,16.55088978,29.000427
1.157,16.57241929,29.033104
1.158,16.59397802,29.327358
1.159,16.61556606,29.252205
1.16,16.63718349,29.346038
1.161,16.65883042,29.375934
1.162,16.68050692,29.360924
1.163,16.7022131,29.281338
1.164,16.72394905,29.305286
1.165,16.74571486,29.427502
1.166,16.76751062,29.538318
1.167,16.78933643,29.598545
1.168,16.81119239,29.645935
1.169,16.83307858,29.601086
1.17,16.8549951,29.775821
1.171,16.87694205,29.738987
1.172,16.89891953,29.685162
1.173,16.92092762,29.716847
1.174,16.94296644,29.977146
1.175,16.96503606,29.95359
1.176,16.9871366,29.933655
1.177,17.00926814,30.252094
1.178,17.03143079,29.927246
1.179,17.05362464,29.993336
1.18,17.0758498,30.014732
1.181,17.09810635,30.337597
1.182,17.12039441,30.380291
1.183,17.14271407,30.350441
1.184,17.16506543,30.232693
1.185,17.18744859,30.415787
1.186,17.20986365,30.370697
1.187,17.23231071,30.447525
1.188,17.25478988,30.20895
1.189,17.27730126,30.277794
1.19,17.29984495,30.753212
1.191,17.32242105,30.503425
1.192,17.34502966,30.650254
1.193,17.36767089,30.612038
1.194,17.39034484,30.460022
1.195,17.41305163,30.924083
1.196,17.43579134,30.72414
1.197,17.45856408,30.687729
1.198,17.48136997,30.929051
1.199,17.50420911,30.784095
1.2,17.5270816,30.820468
1.201,17.54998755,30.826416
1.202,17.57292707,30.905308
1.203,17.59590026,31.02523
1.204,17.61890724,31.187896
1.205,17.6419481,31.0728
1.206,17.66502297,31.014229
1.207,17.68813194,31.191475
1.208,17.71127513,31.187935
1.209,17.73445265,31.37196
1.21,17.75766461,31.416389
1.211,17.78091111,31.349723
1.212,17.80419227,31.406536
1.213,17.82750821,31.403255
1.214,17.85085902,31.437172
1.215,17.87424484,31.730049
1.216,17.89766575,31.444355
1.217,17.92112189,31.521568
1.218,17.94461337,31.71661
1.219,17.96814029,31.667591
1.22,17.99170277,31.679386
1.221,18.01530093,31.910302
1.222,18.03893489,31.932232
1.223,18.06260475,31.9608
1.224,18.08631064,32.117881
1.225,18.11005266,31.978866
1.226,18.13383095,31.926777
1.227,18.15764561,32.034386
1.228,18.18149676,32.109234
1.229,18.20538452,32.07135
1.23,18.22930902,32.152862
1.231,18.25327036,32.300301
1.232,18.27726867,32.433049
1.233,18.30130407,32.13269
1.234,18.32537668,32.370384
1.235,18.34948662,32.33397
1.236,18.373634,32.252171
1.237,18.39781897,32.385639
1.238,18.42204162,32.467903
1.239,18.4463021,32.578041
1.24,18.47060052,32.493949
1.241,18.494937,32.564106
1.242,18.51931167,32.749008
1.243,18.54372465,32.695217
1.244,18.56817608,32.763584
1.245,18.59266606,32.800743
1.246,18.61719474,32.87981
1.247,18.64176223,33.013851
1.248,18.66636867,33.035156
1.249,18.69101417,33.050038
1.25,18.71569888,33.025436
1.251,18.74042291,33.090645
1.252,18.76518639,33.126408
1.253,18.78998947,33.039478
1.254,18.81483225,33.164665
1.255,18.83971488,33.354138
1.256,18.86463748,33.133999
1.257,18.8896002,33.139888
1.258,18.91460314,33.494678
1.259,18.93964646,33.512886
1.26,18.96473028,33.385856
1.261,18.98985474,33.57967
1.262,19.01501997,33.604728
1.263,19.0402261,33.532093
1.264,19.06547327,33.774456
1.265,19.09076161,33.753449
1.266,19.11609126,33.86979
1.267,19.14146235,33.730797
1.268,19.16687503,33.705883
1.269,19.19232943,34.194137
1.27,19.21782568,34.205795
1.271,19.24336392,34.047161
1.272,19.2689443,34.10368
1.273,19.29456695,34.160603
1.274,19.32023201,34.233734
1.275,19.34593963,34.060318
1.276,19.37168993,34.34235
1.277,19.39748308,34.429478
1.278,19.42331919,34.289932
1.279,19.44919842,34.298924
1.28,19.47512092,34.328037
1.281,19.50108681,34.613705
1.282,19.52709626,34.593513
1.283,19.5531494,34.638023
1.284,19.57924637,34.681663
1.285,19.60538732,34.697727
1.286,19.63157241,34.703808
1.287,19.65780176,34.823883
1.288,19.68407554,34.968815
1.289,19.71039389,34.87244
1.29,19.73675696,34.839714
1.291,19.76316489,34.942089
