Freq,HFSS,Analytical,Z0lver
2,-1.204275711,-1.0471,-1.204917684
2.001,-1.204216013,-1.0471,-1.204920373
2.002,-1.204156419,-1.0471,-1.204921045
2.003,-1.204096931,-1.0471,-1.204917684
2.004,-1.204037548,-1.0471,-1.204918356
2.005,-1.203978273,-1.0471,-1.204918356
2.006,-1.203919106,-1.0471,-1.204919701
2.007,-1.203860048,-1.0471,-1.204917684
2.008,-1.2038011,-1.0471,-1.204920373
2.009,-1.203742263,-1.0471,-1.204918356
2.01,-1.203683538,-1.0471,-1.204918356
2.011,-1.203624925,-1.0471,-1.204919028
2.012,-1.203566425,-1.0471,-1.204919701
2.013,-1.20350804,-1.0471,-1.204918356
2.014,-1.203449769,-1.0471,-1.204919028
2.015,-1.203391615,-1.0471,-1.204919028
2.016,-1.203333578,-1.0471,-1.204918356
2.017,-1.203275659,-1.0471,-1.204919028
2.018,-1.203217858,-1.0471,-1.204920373
2.019,-1.203160177,-1.0471,-1.204917684
2.02,-1.203102616,-1.0471,-1.204918356
2.021,-1.203045176,-1.0471,-1.204919701
2.022,-1.202987858,-1.0471,-1.204919028
2.023,-1.202930663,-1.0471,-1.204918356
2.024,-1.202873592,-1.0471,-1.204919028
2.025,-1.202816645,-1.0471,-1.204918356
2.026,-1.202759823,-1.0471,-1.204919701
2.027,-1.202703128,-1.0471,-1.204919028
2.028,-1.202646559,-1.0471,-1.204917011
2.029,-1.202590118,-1.0471,-1.204919028
2.03,-1.202533806,-1.0471,-1.204919701
2.031,-1.202477623,-1.0471,-1.204920373
2.032,-1.20242157,-1.0471,-1.204917684
2.033,-1.202365648,-1.0471,-1.204919701
2.034,-1.202309857,-1.0471,-1.204919028
2.035,-1.202254199,-1.0471,-1.204919028
2.036,-1.202198674,-1.0471,-1.204919028
2.037,-1.202143284,-1.0471,-1.204919028
2.038,-1.202088027,-1.0471,-1.204919701
2.039,-1.202032907,-1.0471,-1.204919028
2.04,-1.201977922,-1.0471,-1.204919701
2.041,-1.201923075,-1.0471,-1.204919028
2.042,-1.201868365,-1.0471,-1.204919701
