frequency, S11, S12, S21, S22
2000000000.0000000000, -14.3257576526, -1.2049176836, -1.2049176836, -14.3257607740
2010000000.0000000000, -14.3257607740, -1.2049183560, -1.2049203731, -14.3257620225
2020000000.0000000000, -14.3257576526, -1.2049190283, -1.2049210454, -14.3257626468
2030000000.0000000000, -14.3257620225, -1.2049170112, -1.2049176836, -14.3257620225
2040000000.0000000000, -14.3257576526, -1.2049176836, -1.2049183560, -14.3257601497
2050000000.0000000000, -14.3257620225, -1.2049170112, -1.2049183560, -14.3257613983
2060000000.0000000000, -14.3257601497, -1.2049183560, -1.2049197007, -14.3257632711
2070000000.0000000000, -14.3257645197, -1.2049163388, -1.2049176836, -14.3257613983
2080000000.0000000000, -14.3257613983, -1.2049183560, -1.2049203731, -14.3257613983
2090000000.0000000000, -14.3257601497, -1.2049170112, -1.2049183560, -14.3257613983
2100000000.0000000000, -14.3257626468, -1.2049190283, -1.2049183560, -14.3257607740
2110000000.0000000000, -14.3257607740, -1.2049170112, -1.2049190283, -14.3257607740
2120000000.0000000000, -14.3257607740, -1.2049183560, -1.2049197007, -14.3257620225
2130000000.0000000000, -14.3257601497, -1.2049176836, -1.2049183560, -14.3257607740
2140000000.0000000000, -14.3257613983, -1.2049176836, -1.2049190283, -14.3257620225
2150000128.0000000000, -14.3257645197, -1.2049183560, -1.2049190283, -14.3257632711
2160000000.0000000000, -14.3257601497, -1.2049176836, -1.2049183560, -14.3257626468
2169999872.0000000000, -14.3257626468, -1.2049190283, -1.2049190283, -14.3257638954
2179999744.0000000000, -14.3257626468, -1.2049183560, -1.2049203731, -14.3257601497
2189999616.0000000000, -14.3257589011, -1.2049170112, -1.2049176836, -14.3257613983
2199999488.0000000000, -14.3257601497, -1.2049170112, -1.2049183560, -14.3257613983
2209999360.0000000000, -14.3257601497, -1.2049183560, -1.2049197007, -14.3257626468
2219999232.0000000000, -14.3257576526, -1.2049190283, -1.2049190283, -14.3257613983
2229999104.0000000000, -14.3257607740, -1.2049176836, -1.2049183560, -14.3257582769
2239998976.0000000000, -14.3257638954, -1.2049183560, -1.2049190283, -14.3257582769
2249998848.0000000000, -14.3257613983, -1.2049190283, -1.2049183560, -14.3257607740
2259998720.0000000000, -14.3257564040, -1.2049176836, -1.2049197007, -14.3257626468
2269998592.0000000000, -14.3257613983, -1.2049183560, -1.2049190283, -14.3257638954
2279998464.0000000000, -14.3257638954, -1.2049176836, -1.2049170112, -14.3257595254
2289998336.0000000000, -14.3257576526, -1.2049176836, -1.2049190283, -14.3257607740
2299998208.0000000000, -14.3257570283, -1.2049176836, -1.2049197007, -14.3257595254
2309998080.0000000000, -14.3257601497, -1.2049176836, -1.2049203731, -14.3257620225
2319997952.0000000000, -14.3257576526, -1.2049183560, -1.2049176836, -14.3257632711
2329997824.0000000000, -14.3257613983, -1.2049176836, -1.2049197007, -14.3257638954
2339997696.0000000000, -14.3257632711, -1.2049190283, -1.2049190283, -14.3257626468
2349997568.0000000000, -14.3257626468, -1.2049176836, -1.2049190283, -14.3257595254
2359997440.0000000000, -14.3257595254, -1.2049183560, -1.2049190283, -14.3257632711
2369997312.0000000000, -14.3257626468, -1.2049176836, -1.2049190283, -14.3257607740
2379997184.0000000000, -14.3257564040, -1.2049163388, -1.2049197007, -14.3257613983
2389997056.0000000000, -14.3257607740, -1.2049176836, -1.2049190283, -14.3257626468
2399996928.0000000000, -14.3257620225, -1.2049176836, -1.2049197007, -14.3257645197
2409996800.0000000000, -14.3257607740, -1.2049183560, -1.2049190283, -14.3257620225
2419996672.0000000000, -14.3257607740, -1.2049183560, -1.2049197007, -14.3257626468
2429996544.0000000000, -14.3257582769, -1.2049176836, -1.2049197007, -14.3257613983
2439996416.0000000000, -14.3257601497, -1.2049183560, -1.2049197007, -14.3257601497
2449996288.0000000000, -14.3257589011, -1.2049183560, -1.2049197007, -14.3257626468
2459996160.0000000000, -14.3257601497, -1.2049183560, -1.2049176836, -14.3257620225
2469996032.0000000000, -14.3257589011, -1.2049176836, -1.2049176836, -14.3257607740
2479995904.0000000000, -14.3257613983, -1.2049190283, -1.2049190283, -14.3257613983
2489995776.0000000000, -14.3257576526, -1.2049176836, -1.2049197007, -14.3257589011
2499995648.0000000000, -14.3257632711, -1.2049190283, -1.2049163388, -14.3257638954
2509995520.0000000000, -14.3257607740, -1.2049183560, -1.2049197007, -14.3257620225
2519995392.0000000000, -14.3257582769, -1.2049170112, -1.2049176836, -14.3257601497
2529995264.0000000000, -14.3257595254, -1.2049176836, -1.2049203731, -14.3257632711
2539995136.0000000000, -14.3257620225, -1.2049176836, -1.2049203731, -14.3257613983
2549995008.0000000000, -14.3257632711, -1.2049176836, -1.2049190283, -14.3257613983
2559994880.0000000000, -14.3257613983, -1.2049197007, -1.2049190283, -14.3257632711
2569994752.0000000000, -14.3257607740, -1.2049183560, -1.2049183560, -14.3257626468
2579994624.0000000000, -14.3257589011, -1.2049190283, -1.2049203731, -14.3257607740
2589994496.0000000000, -14.3257651439, -1.2049183560, -1.2049170112, -14.3257620225
2599994368.0000000000, -14.3257632711, -1.2049176836, -1.2049197007, -14.3257620225
2609994240.0000000000, -14.3257576526, -1.2049183560, -1.2049197007, -14.3257626468
2619994112.0000000000, -14.3257626468, -1.2049176836, -1.2049190283, -14.3257613983
2629993984.0000000000, -14.3257601497, -1.2049170112, -1.2049183560, -14.3257626468
2639993856.0000000000, -14.3257589011, -1.2049197007, -1.2049183560, -14.3257620225
2649993728.0000000000, -14.3257601497, -1.2049176836, -1.2049190283, -14.3257638954
2659993600.0000000000, -14.3257595254, -1.2049183560, -1.2049170112, -14.3257582769
2669993472.0000000000, -14.3257607740, -1.2049190283, -1.2049183560, -14.3257638954
2679993344.0000000000, -14.3257601497, -1.2049176836, -1.2049203731, -14.3257632711
2689993216.0000000000, -14.3257632711, -1.2049163388, -1.2049176836, -14.3257595254
2699993088.0000000000, -14.3257570283, -1.2049163388, -1.2049183560, -14.3257607740
2709992960.0000000000, -14.3257620225, -1.2049170112, -1.2049183560, -14.3257632711
2719992832.0000000000, -14.3257645197, -1.2049183560, -1.2049190283, -14.3257620225
2729992704.0000000000, -14.3257589011, -1.2049176836, -1.2049183560, -14.3257626468
2739992576.0000000000, -14.3257638954, -1.2049170112, -1.2049183560, -14.3257607740
2749992448.0000000000, -14.3257595254, -1.2049170112, -1.2049170112, -14.3257595254
2759992320.0000000000, -14.3257595254, -1.2049183560, -1.2049183560, -14.3257626468
2769992192.0000000000, -14.3257595254, -1.2049176836, -1.2049183560, -14.3257638954
2779992064.0000000000, -14.3257607740, -1.2049190283, -1.2049197007, -14.3257645197
2789991936.0000000000, -14.3257645197, -1.2049190283, -1.2049183560, -14.3257626468
2799991808.0000000000, -14.3257589011, -1.2049170112, -1.2049197007, -14.3257632711
2809991680.0000000000, -14.3257626468, -1.2049163388, -1.2049183560, -14.3257638954
2819991552.0000000000, -14.3257582769, -1.2049176836, -1.2049197007, -14.3257589011
2829991424.0000000000, -14.3257551554, -1.2049170112, -1.2049203731, -14.3257613983
2839991296.0000000000, -14.3257589011, -1.2049176836, -1.2049203731, -14.3257620225
2849991168.0000000000, -14.3257595254, -1.2049170112, -1.2049197007, -14.3257613983
2859991040.0000000000, -14.3257601497, -1.2049170112, -1.2049163388, -14.3257589011
2869990912.0000000000, -14.3257595254, -1.2049183560, -1.2049183560, -14.3257620225
2879990784.0000000000, -14.3257607740, -1.2049176836, -1.2049170112, -14.3257613983
2889990656.0000000000, -14.3257576526, -1.2049183560, -1.2049190283, -14.3257601497
2899990528.0000000000, -14.3257620225, -1.2049176836, -1.2049183560, -14.3257638954
2909990400.0000000000, -14.3257632711, -1.2049170112, -1.2049183560, -14.3257626468
2919990272.0000000000, -14.3257595254, -1.2049170112, -1.2049183560, -14.3257613983
2929990144.0000000000, -14.3257595254, -1.2049163388, -1.2049190283, -14.3257626468
2939990016.0000000000, -14.3257613983, -1.2049176836, -1.2049190283, -14.3257613983
2949989888.0000000000, -14.3257607740, -1.2049170112, -1.2049183560, -14.3257620225
2959989760.0000000000, -14.3257601497, -1.2049176836, -1.2049197007, -14.3257601497
2969989632.0000000000, -14.3257613983, -1.2049183560, -1.2049190283, -14.3257601497
2979989504.0000000000, -14.3257595254, -1.2049183560, -1.2049197007, -14.3257607740
2989989376.0000000000, -14.3257607740, -1.2049183560, -1.2049197007, -14.3257613983
2999989248.0000000000, -14.3257601497, -1.2049197007, -1.2049176836, -14.3257589011
