frequency,e',e''
1000000000,74.6083,44.9674
1010000000,74.6469,44.6869
1020000000,74.5176,44.2799
1030000000,74.5546,44.0501
1040000000,74.6115,43.7496
1050000000,74.5618,43.4605
1060000000,74.5261,43.0961
1070000000,74.525,42.823
1080000000,74.3706,42.5192
1090000000,74.2797,42.1416
1100000000,74.2688,41.8755
1110000000,74.117,41.5215
1120000000,74.1697,41.3079
1130000000,74.2221,41.0285
1140000000,74.1207,40.7414
1150000000,74.2417,40.5138
1160000000,74.1411,40.2497
1170000000,74.0311,39.9723
1180000000,73.9927,39.714
1190000000,73.9652,39.5047
1200000000,73.8059,39.1451
1210000000,73.8442,38.9485
1220000000,73.8808,38.6303
1230000000,73.7989,38.3609
1240000000,73.9103,38.1486
1250000000,73.9154,37.8492
1260000000,73.9569,37.6792
1270000000,74.0059,37.4934
1280000000,73.9251,37.287
1290000000,73.9541,37.2439
1300000000,73.9398,37.0624
1310000000,73.8434,36.8548
1320000000,73.871,36.7257
1330000000,73.7893,36.5159
1340000000,73.6362,36.2547
1350000000,73.6898,36.1109
1360000000,73.6121,35.8936
1370000000,73.5245,35.6319
1380000000,73.4845,35.4387
1390000000,73.422,35.1984
1400000000,73.4639,34.9587
1410000000,73.5843,34.7195
1420000000,73.6363,34.4857
1430000000,73.6379,34.2464
1440000000,73.8028,34.0649
1450000000,73.8438,33.8978
1460000000,73.8799,33.7965
1470000000,73.9898,33.7786
1480000000,73.9253,33.6717
1490000000,73.9509,33.6161
1500000000,73.9663,33.5553
1510000000,73.8928,33.425
1520000000,73.8324,33.3588
1530000000,73.7694,33.2136
1540000000,73.6661,33.051
1550000000,73.6269,32.9323
1560000000,73.5809,32.7869
1570000000,73.4951,32.5918
1580000000,73.5644,32.4634
1590000000,73.573,32.3655
1600000000,73.6153,32.2351
1610000000,73.6613,32.1283
1620000000,73.6788,32.004
1630000000,73.705,31.9604
1640000000,73.731,31.9128
1650000000,73.7258,31.8621
1660000000,73.7155,31.7843
1670000000,73.7294,31.7708
1680000000,73.683,31.6822
1690000000,73.6056,31.6222
1700000000,73.6208,31.5389
1710000000,73.5705,31.5173
1720000000,73.5321,31.4308
1730000000,73.4874,31.3638
1740000000,73.4069,31.2819
1750000000,73.3958,31.2141
1760000000,73.3395,31.1283
1770000000,73.3082,31.0457
1780000000,73.2879,30.9603
1790000000,73.2536,30.886
1800000000,73.2247,30.8132
1810000000,73.1902,30.7393
1820000000,73.1826,30.6347
1830000000,73.1582,30.5798
1840000000,73.1416,30.4648
1850000000,73.1037,30.4036
1860000000,73.0938,30.3351
1870000000,73.0649,30.2676
1880000000,73.0365,30.1846
1890000000,72.989,30.1454
1900000000,72.9519,30.0774
1910000000,72.9246,29.9975
1920000000,72.8907,29.9251
1930000000,72.849,29.8281
1940000000,72.7929,29.7267
1950000000,72.7706,29.6506
1960000000,72.7272,29.6138
1970000000,72.6805,29.5566
1980000000,72.6691,29.4888
1990000000,72.6405,29.4564
2000000000,72.616,29.3674
2010000000,72.5871,29.2722
2020000000,72.5528,29.1738
2030000000,72.491,29.0922
2040000000,72.4557,29.01
2050000000,72.3954,28.9573
2060000000,72.3433,28.9491
2070000000,72.3277,28.9151
2080000000,72.3143,28.8517
2090000000,72.2877,28.8089
2100000000,72.2803,28.7412
2110000000,72.2632,28.6809
2120000000,72.2565,28.6156
2130000000,72.2209,28.5421
2140000000,72.2053,28.5564
2150000000,72.1968,28.5191
2160000000,72.1979,28.489
2170000000,72.17,28.4553
2180000000,72.1405,28.4395
2190000000,72.1533,28.3449
2200000000,72.133,28.2701
2210000000,72.1202,28.2237
2220000000,72.0874,28.1645
2230000000,72.0662,28.0842
2240000000,72.0304,28.0379
2250000000,71.9953,28.0335
2260000000,71.9827,27.9723
2270000000,71.958,27.945
2280000000,71.8902,27.8775
2290000000,71.8886,27.7915
2300000000,71.8464,27.7299
2310000000,71.7967,27.6097
2320000000,71.7367,27.5789
2330000000,71.7077,27.5301
2340000000,71.6618,27.4803
2350000000,71.6098,27.4503
2360000000,71.5813,27.3974
2370000000,71.5587,27.3245
2380000000,71.5081,27.2664
2390000000,71.4681,27.1919
2400000000,71.4052,27.1192
2410000000,71.3745,27.0572
2420000000,71.2929,27.022
2430000000,71.2778,27.0178
2440000000,71.2599,27.0164
2450000000,71.2336,26.9776
2460000000,71.2115,26.9405
2470000000,71.2227,26.9088
2480000000,71.1993,26.8296
2490000000,71.168,26.7978
2500000000,71.1291,26.7707
2510000000,71.1326,26.6958
2520000000,71.1099,26.6962
2530000000,71.0929,26.7007
2540000000,71.1177,26.6859
2550000000,71.1077,26.6303
2560000000,71.0962,26.5758
2570000000,71.1012,26.5364
2580000000,71.1154,26.482
2590000000,71.1026,26.4596
2600000000,71.0757,26.4492
2610000000,71.0764,26.4145
2620000000,71.0629,26.3942
2630000000,71.0436,26.3767
2640000000,71.0362,26.3429
2650000000,71.0474,26.2847
2660000000,71.0261,26.2378
2670000000,70.9931,26.1973
2680000000,71.0225,26.1676
2690000000,71.0165,26.1371
2700000000,71.0058,26.1003
2710000000,71.0018,26.1194
2720000000,71.0235,26.0937
2730000000,71.0276,26.0623
2740000000,71.0016,26.0174
2750000000,70.9885,25.9673
2760000000,70.9636,25.9127
2770000000,70.9203,25.8111
2780000000,70.8655,25.7508
2790000000,70.8191,25.6911
2800000000,70.7665,25.6359
2810000000,70.7077,25.6013
2820000000,70.6913,25.5816
2830000000,70.6693,25.5573
2840000000,70.627,25.4913
2850000000,70.6039,25.4637
2860000000,70.5617,25.4036
2870000000,70.5274,25.3156
2880000000,70.4433,25.2709
2890000000,70.4116,25.286
2900000000,70.3908,25.2328
2910000000,70.3782,25.2198
2920000000,70.3657,25.229
2930000000,70.3711,25.2049
2940000000,70.3831,25.1998
2950000000,70.3821,25.1773
2960000000,70.3759,25.1993
2970000000,70.3984,25.1647
2980000000,70.3883,25.1492
2990000000,70.3898,25.209
3000000000,70.4274,25.1706
3010000000,70.4425,25.2009
3020000000,70.4876,25.235
3030000000,70.5447,25.2644
3040000000,70.6067,25.256
3050000000,70.6493,25.2297
3060000000,70.6413,25.2269
3070000000,70.7025,25.2286
3080000000,70.721,25.2243
3090000000,70.7297,25.2363
3100000000,70.7598,25.2856
3110000000,70.7844,25.3133
3120000000,70.8277,25.3038
3130000000,70.8599,25.293
3140000000,70.8748,25.292
3150000000,70.8854,25.2439
3160000000,70.9025,25.2149
3170000000,70.8824,25.2225
3180000000,70.8882,25.2229
3190000000,70.8674,25.2097
3200000000,70.8655,25.1991
3210000000,70.8568,25.1876
3220000000,70.8364,25.1315
3230000000,70.7776,25.075
