Freq,Measured,Simulated
1,0.075243369,-0.086018183
1.001,0.070801236,-0.086087334
1.002,0.082808293,-0.086156319
1.003,0.076650299,-0.086225137
1.004,0.07391312,-0.086293789
1.005,0.090489514,-0.086362274
1.006,0.055391997,-0.086430593
1.007,0.10608042,-0.086498745
1.008,0.10189336,-0.086566729
1.009,0.064422525,-0.086634547
1.01,0.071754821,-0.086702197
1.011,0.10019661,-0.086769681
1.012,0.05794134,-0.086836996
1.013,0.10041723,-0.086904144
1.014,0.088881992,-0.086971124
1.015,0.10853089,-0.087037937
1.016,0.089552648,-0.087104581
1.017,0.078889653,-0.087171057
1.018,0.06765911,-0.087237365
1.019,0.06063835,-0.087303505
1.02,0.099001005,-0.087369476
1.021,0.053126495,-0.087435278
1.022,0.066375993,-0.087500912
1.023,0.078445219,-0.087566378
1.024,0.060974162,-0.087631674
1.025,0.06091281,-0.087696801
1.026,0.096261971,-0.087761759
1.027,0.085771158,-0.087826548
1.028,0.062422898,-0.087891167
1.029,0.067058049,-0.087955617
1.03,0.055603839,-0.088019898
1.031,0.070934214,-0.088084009
1.032,0.055525433,-0.08814795
1.033,0.088185266,-0.088211721
1.034,0.077354744,-0.088275322
1.035,0.074867271,-0.088338754
1.036,0.09077882,-0.088402015
1.037,0.06674093,-0.088465106
1.038,0.079785548,-0.088528026
1.039,0.077722557,-0.088590777
1.04,0.067055099,-0.088653356
1.041,0.090126015,-0.088715766
1.042,0.075542644,-0.088778004
1.043,0.07146728,-0.088840072
1.044,0.072962701,-0.088901969
1.045,0.075430363,-0.088963695
1.046,0.051829625,-0.08902525
1.047,0.11644983,-0.089086634
1.048,0.065640867,-0.089147847
1.049,0.051984683,-0.089208888
1.05,0.064218447,-0.089269758
1.051,0.073544778,-0.089330457
1.052,0.052374434,-0.089390985
1.053,0.063986264,-0.089451341
1.054,0.073993884,-0.089511525
1.055,0.071443342,-0.089571538
1.056,0.055148572,-0.089631379
1.057,0.078583106,-0.089691048
1.058,0.051875073,-0.089750545
1.059,0.06822928,-0.089809871
1.06,0.063268431,-0.089869024
1.061,0.069239654,-0.089928006
1.062,0.073538542,-0.089986815
1.063,0.070924282,-0.090045452
1.064,0.078029305,-0.090103917
1.065,0.074993461,-0.09016221
1.066,0.061932389,-0.09022033
1.067,0.084457539,-0.090278278
1.068,0.081978403,-0.090336054
1.069,0.055160854,-0.090393657
1.07,0.044954296,-0.090451087
1.071,0.044096805,-0.090508345
1.072,0.098468646,-0.090565431
1.073,0.072730124,-0.090622344
1.074,0.070400141,-0.090679084
1.075,0.046471134,-0.090735651
1.076,0.067578971,-0.090792045
1.077,0.073789723,-0.090848267
1.078,0.060787003,-0.090904316
1.079,0.054300029,-0.090960192
1.08,0.068109266,-0.091015895
1.081,0.067056045,-0.091071425
1.082,0.060225572,-0.091126782
1.083,0.075693153,-0.091181966
1.084,0.07918366,-0.091236977
1.085,0.0785653,-0.091291815
1.086,0.031664353,-0.091346479
1.087,0.092027716,-0.091400971
1.088,0.087025963,-0.091455289
1.089,0.087134615,-0.091509435
1.09,0.061753452,-0.091563407
1.091,0.071325079,-0.091617205
1.092,0.06028834,-0.091670831
1.093,0.055616125,-0.091724283
1.094,0.073900901,-0.091777562
1.095,0.070981093,-0.091830668
1.096,0.080299512,-0.0918836
1.097,0.052570656,-0.091936359
1.098,0.067990392,-0.091988944
1.099,0.045383207,-0.092041357
1.1,0.068971723,-0.092093595
1.101,0.05236714,-0.092145661
1.102,0.065242037,-0.092197553
1.103,0.078897901,-0.092249271
1.104,0.052382845,-0.092300817
1.105,0.084272966,-0.092352189
1.106,0.10376978,-0.092403387
1.107,0.053971663,-0.092454412
1.108,0.066666588,-0.092505264
1.109,0.07792259,-0.092555942
1.11,0.076791622,-0.092606447
1.111,0.068638489,-0.092656778
1.112,0.061994478,-0.092706936
1.113,0.050213724,-0.09275692
1.114,0.070991352,-0.092806732
1.115,0.073044732,-0.092856369
1.116,0.050417561,-0.092905834
1.117,0.06389831,-0.092955125
1.118,0.035998676,-0.093004243
1.119,0.0316348,-0.093053187
1.12,0.074497245,-0.093101958
1.121,0.060971472,-0.093150556
1.122,0.071161307,-0.09319898
1.123,0.042573176,-0.093247231
1.124,0.047117319,-0.093295309
1.125,0.059436601,-0.093343214
1.126,0.036332402,-0.093390945
1.127,0.088786773,-0.093438504
1.128,0.06172156,-0.093485889
1.129,0.061524853,-0.093533101
1.13,0.067003518,-0.09358014
1.131,0.043713272,-0.093627006
1.132,0.041299462,-0.093673698
1.133,0.050604969,-0.093720218
1.134,0.077502109,-0.093766565
1.135,0.069146663,-0.093812738
1.136,0.045852363,-0.093858739
1.137,0.054356761,-0.093904567
1.138,0.048224065,-0.093950222
1.139,0.061417531,-0.093995705
1.14,0.048700579,-0.094041014
1.141,0.065573417,-0.094086151
1.142,0.045006271,-0.094131115
1.143,0.065984048,-0.094175906
1.144,0.057183377,-0.094220525
1.145,0.063294657,-0.094264971
1.146,0.06014074,-0.094309245
1.147,0.051897805,-0.094353346
1.148,0.056792732,-0.094397274
1.149,0.049097519,-0.094441031
1.15,0.049233094,-0.094484615
1.151,0.051256835,-0.094528026
1.152,0.059152476,-0.094571266
1.153,0.074197955,-0.094614333
1.154,0.071714424,-0.094657228
1.155,0.04976853,-0.094699951
1.156,0.012272147,-0.094742502
1.157,0.052829109,-0.094784881
1.158,0.053487841,-0.094827089
1.159,0.052981213,-0.094869124
1.16,0.080646932,-0.094910987
1.161,0.039028529,-0.094952679
1.162,0.055346113,-0.094994199
1.163,0.060513068,-0.095035548
1.164,0.017495094,-0.095076725
1.165,0.040240336,-0.095117731
1.166,0.046701014,-0.095158565
1.167,0.072452478,-0.095199228
1.168,0.05701717,-0.095239719
1.169,0.02204399,-0.09528004
1.17,0.020347467,-0.095320189
1.171,0.062397879,-0.095360167
1.172,0.055449601,-0.095399974
1.173,0.060033716,-0.095439611
1.174,0.022693885,-0.095479076
1.175,0.026166717,-0.095518371
1.176,0.043835055,-0.095557495
1.177,0.043309439,-0.095596449
1.178,0.054174799,-0.095635232
1.179,0.045832422,-0.095673845
1.18,0.044372045,-0.095712287
1.181,0.063418813,-0.095750559
1.182,0.036800236,-0.095788661
1.183,0.02972476,-0.095826593
1.184,0.046831809,-0.095864355
1.185,0.026258379,-0.095901947
1.186,0.050346561,-0.095939369
1.187,0.024934165,-0.095976621
1.188,0.044445802,-0.096013704
1.189,0.059910558,-0.096050617
1.19,0.0320867,-0.096087361
1.191,0.059002489,-0.096123935
1.192,0.016232289,-0.09616034
1.193,0.06325455,-0.096196576
1.194,0.040563781,-0.096232643
1.195,0.035873767,-0.096268541
1.196,0.043234549,-0.09630427
1.197,0.024943478,-0.096339831
1.198,0.065159962,-0.096375222
1.199,0.043232553,-0.096410445
1.2,0.034653649,-0.0964455
1.201,0.025494957,-0.096480386
1.202,0.037194353,-0.096515104
1.203,0.047370821,-0.096549654
1.204,0.049863137,-0.096584036
1.205,0.043166105,-0.09661825
1.206,0.018550871,-0.096652296
1.207,0.042672686,-0.096686174
1.208,0.05622869,-0.096719885
1.209,0.037723899,-0.096753428
1.21,0.027315475,-0.096786804
1.211,0.058623537,-0.096820012
1.212,0.047479216,-0.096853054
1.213,0.024363952,-0.096885928
1.214,0.028158493,-0.096918636
1.215,0.024905974,-0.096951176
1.216,0.024170592,-0.096983551
1.217,0.049590483,-0.097015758
1.218,0.062384613,-0.097047799
1.219,0.053688817,-0.097079674
1.22,0.031396028,-0.097111382
1.221,0.046589315,-0.097142925
1.222,0.048723377,-0.097174302
1.223,0.051646963,-0.097205512
1.224,0.056668527,-0.097236557
1.225,0.036605995,-0.097267437
1.226,0.048700839,-0.097298151
1.227,0.033602215,-0.0973287
1.228,0.054379307,-0.097359084
1.229,0.026196113,-0.097389302
1.23,0.051317733,-0.097419356
1.231,0.046083421,-0.097449245
1.232,0.038926113,-0.097478969
1.233,0.032297857,-0.097508529
1.234,0.012755115,-0.097537925
1.235,0.037849959,-0.097567156
1.236,0.045886993,-0.097596223
1.237,0.047727861,-0.097625126
1.238,0.057124365,-0.097653866
1.239,0.007978337,-0.097682441
1.24,0.038754214,-0.097710854
1.241,0.007824424,-0.097739102
1.242,0.043595921,-0.097767188
1.243,0.02044962,-0.097795111
1.244,0.041900892,-0.09782287
1.245,0.068836503,-0.097850467
1.246,0.058874153,-0.097877901
1.247,0.009561713,-0.097905173
1.248,0.025633877,-0.097932282
1.249,0.057790767,-0.097959229
1.25,0.037995692,-0.097986014
1.251,0.027828828,-0.098012637
1.252,0.041519087,-0.098039099
1.253,0.022467582,-0.098065399
1.254,0.049845938,-0.098091537
1.255,0.03854708,-0.098117514
1.256,0.013814338,-0.09814333
