Freq,Simulated,Measured
1,-0.862595887,-1.0632459
1.001,-0.863742833,-1.0628211
1.002,-0.864890326,-1.062421
1.003,-0.866038355,-1.0789341
1.004,-0.867186909,-1.0784713
1.005,-0.868335979,-1.0515057
1.006,-0.869485553,-1.0444083
1.007,-0.870635622,-1.0548121
1.008,-0.871786175,-1.0542277
1.009,-0.872937201,-1.0587041
1.01,-0.87408869,-1.086044
1.011,-0.875240633,-1.0552534
1.012,-0.876393017,-1.0771253
1.013,-0.877545832,-1.0663085
1.014,-0.878699069,-1.040899
1.015,-0.879852716,-1.0534612
1.016,-0.881006764,-1.0904747
1.017,-0.8821612,-1.07665
1.018,-0.883316015,-1.0716025
1.019,-0.884471199,-1.0922703
1.02,-0.88562674,-1.085054
1.021,-0.886782627,-1.0749222
1.022,-0.887938851,-1.0885677
1.023,-0.889095401,-1.0907733
1.024,-0.890252265,-1.1005883
1.025,-0.891409433,-1.0946635
1.026,-0.892566895,-1.0619063
1.027,-0.893724639,-1.1069081
1.028,-0.894882655,-1.1025909
1.029,-0.896040933,-1.1105968
1.03,-0.897199461,-1.1053853
1.031,-0.898358228,-1.1069963
1.032,-0.899517224,-1.1301643
1.033,-0.900676438,-1.088859
1.034,-0.90183586,-1.0754735
1.035,-0.902995478,-1.0941944
1.036,-0.904155281,-1.0799893
1.037,-0.905315259,-1.1067764
1.038,-0.906475401,-1.117983
1.039,-0.907635695,-1.1054829
1.04,-0.908796132,-1.1018934
1.041,-0.9099567,-1.1141539
1.042,-0.911117389,-1.1169392
1.043,-0.912278186,-1.1046927
1.044,-0.913439083,-1.1318064
1.045,-0.914600067,-1.1305323
1.046,-0.915761127,-1.158093
1.047,-0.916922253,-1.1339713
1.048,-0.918083435,-1.1595237
1.049,-0.91924466,-1.1453083
1.05,-0.920405917,-1.1460662
1.051,-0.921567197,-1.1244982
1.052,-0.922728488,-1.1465508
1.053,-0.923889779,-1.1344231
1.054,-0.925051059,-1.118512
1.055,-0.926212317,-1.1583521
1.056,-0.927373542,-1.1619835
1.057,-0.928534724,-1.1339408
1.058,-0.92969585,-1.1713488
1.059,-0.930856911,-1.1250867
1.06,-0.932017895,-1.1541901
1.061,-0.933178791,-1.1575994
1.062,-0.934339588,-1.1483865
1.063,-0.935500276,-1.1550007
1.064,-0.936660843,-1.14408
1.065,-0.937821278,-1.1445907
1.066,-0.93898157,-1.1310891
1.067,-0.940141709,-1.1649702
1.068,-0.941301683,-1.1629376
1.069,-0.942461481,-1.1703576
1.07,-0.943621092,-1.1589712
1.071,-0.944780506,-1.167028
1.072,-0.94593971,-1.1515571
1.073,-0.947098696,-1.1660967
1.074,-0.94825745,-1.1575599
1.075,-0.949415963,-1.1702216
1.076,-0.950574223,-1.1793922
1.077,-0.951732219,-1.1518308
1.078,-0.952889941,-1.1636304
1.079,-0.954047377,-1.1728573
1.08,-0.955204517,-1.1787438
1.081,-0.956361349,-1.1895653
1.082,-0.957517863,-1.2009914
1.083,-0.958674047,-1.183699
1.084,-0.959829891,-1.2078336
1.085,-0.960985383,-1.1851572
1.086,-0.962140513,-1.2178619
1.087,-0.96329527,-1.2004184
1.088,-0.964449643,-1.1683863
1.089,-0.965603621,-1.1833755
1.09,-0.966757193,-1.1733755
1.091,-0.967910347,-1.1987245
1.092,-0.969063075,-1.204322
1.093,-0.970215363,-1.2217282
1.094,-0.971367202,-1.2118367
1.095,-0.97251858,-1.1891081
1.096,-0.973669488,-1.1950952
1.097,-0.974819913,-1.2118882
1.098,-0.975969845,-1.2075169
1.099,-0.977119273,-1.2077039
1.1,-0.978268187,-1.1724834
1.101,-0.979416575,-1.1985315
1.102,-0.980564427,-1.1914103
1.103,-0.981711732,-1.1932489
1.104,-0.982858479,-1.1986974
1.105,-0.984004657,-1.1892712
1.106,-0.985150256,-1.1953882
1.107,-0.986295266,-1.2146876
1.108,-0.987439674,-1.2436291
1.109,-0.988583471,-1.199687
1.11,-0.989726645,-1.2040063
1.111,-0.990869187,-1.219007
1.112,-0.992011085,-1.2223674
1.113,-0.993152329,-1.2090575
1.114,-0.994292908,-1.1922948
1.115,-0.995432811,-1.2195593
1.116,-0.996572028,-1.2250054
1.117,-0.997710549,-1.21691
1.118,-0.998848362,-1.2386529
1.119,-0.999985457,-1.2224013
1.12,-1.001121824,-1.2273927
1.121,-1.002257452,-1.2244343
1.122,-1.00339233,-1.2283124
1.123,-1.004526449,-1.222963
1.124,-1.005659796,-1.2653893
1.125,-1.006792363,-1.237447
1.126,-1.007924139,-1.2442431
1.127,-1.009055112,-1.2464514
1.128,-1.010185274,-1.2500079
1.129,-1.011314613,-1.2513001
1.13,-1.012443118,-1.2411209
1.131,-1.013570781,-1.2829504
1.132,-1.014697589,-1.274913
1.133,-1.015823534,-1.2535017
1.134,-1.016948605,-1.2199112
1.135,-1.01807279,-1.2540991
1.136,-1.019196081,-1.2380891
1.137,-1.020318467,-1.255886
1.138,-1.021439938,-1.2649624
1.139,-1.022560483,-1.2498628
1.14,-1.023680093,-1.2767937
1.141,-1.024798757,-1.2464705
1.142,-1.025916465,-1.2408327
1.143,-1.027033207,-1.2419251
1.144,-1.028148973,-1.2546374
1.145,-1.029263753,-1.243942
1.146,-1.030377537,-1.242072
1.147,-1.031490315,-1.2620659
1.148,-1.032602076,-1.2274117
1.149,-1.033712812,-1.2506876
1.15,-1.034822511,-1.2232755
1.151,-1.035931165,-1.2661769
1.152,-1.037038763,-1.2708156
1.153,-1.038145295,-1.247359
1.154,-1.039250752,-1.2354708
1.155,-1.040355123,-1.2443219
1.156,-1.0414584,-1.2488191
1.157,-1.042560572,-1.2433308
1.158,-1.043661629,-1.2443714
1.159,-1.044761562,-1.2705026
1.16,-1.045860361,-1.2772759
1.161,-1.046958017,-1.2609593
1.162,-1.048054519,-1.2473968
1.163,-1.049149859,-1.2619424
1.164,-1.050244027,-1.2778966
1.165,-1.051337013,-1.265406
1.166,-1.052428807,-1.2661914
1.167,-1.053519401,-1.2480689
1.168,-1.054608784,-1.2464093
1.169,-1.055696948,-1.2687663
1.17,-1.056783883,-1.2687001
1.171,-1.05786958,-1.2641915
1.172,-1.058954028,-1.2605411
1.173,-1.06003722,-1.2631022
1.174,-1.061119146,-1.2758583
1.175,-1.062199796,-1.2684973
1.176,-1.063279161,-1.2854737
1.177,-1.064357233,-1.2606401
1.178,-1.065434001,-1.2549629
1.179,-1.066509457,-1.2624902
1.18,-1.067583593,-1.2731004
1.181,-1.068656398,-1.2524749
1.182,-1.069727863,-1.2911761
1.183,-1.070797981,-1.2776097
1.184,-1.071866741,-1.2528108
1.185,-1.072934135,-1.2874681
1.186,-1.074000154,-1.2911766
1.187,-1.07506479,-1.2845099
1.188,-1.076128033,-1.272307
1.189,-1.077189874,-1.2485709
1.19,-1.078250305,-1.2734834
1.191,-1.079309317,-1.2325186
1.192,-1.080366902,-1.2819867
1.193,-1.08142305,-1.288337
1.194,-1.082477754,-1.2658826
1.195,-1.083531004,-1.2710904
1.196,-1.084582792,-1.3037173
1.197,-1.08563311,-1.283607
1.198,-1.086681949,-1.2646062
1.199,-1.0877293,-1.2630851
1.2,-1.088775156,-1.2763902
1.201,-1.089819507,-1.2783526
1.202,-1.090862346,-1.2827897
1.203,-1.091903664,-1.2631824
1.204,-1.092943453,-1.2754314
1.205,-1.093981705,-1.2749592
1.206,-1.095018411,-1.2843678
1.207,-1.096053564,-1.2844719
1.208,-1.097087155,-1.2963499
1.209,-1.098119176,-1.2882127
1.21,-1.09914962,-1.2981827
1.211,-1.100178478,-1.2842635
1.212,-1.101205741,-1.2661908
1.213,-1.102231403,-1.2962371
1.214,-1.103255456,-1.2872752
1.215,-1.104277891,-1.3029573
1.216,-1.105298701,-1.3112307
1.217,-1.106317877,-1.2869807
1.218,-1.107335413,-1.2455375
1.219,-1.1083513,-1.2813498
1.22,-1.109365532,-1.3152791
1.221,-1.110378099,-1.2854224
1.222,-1.111388995,-1.2912384
1.223,-1.112398212,-1.2630101
1.224,-1.113405743,-1.2864572
1.225,-1.11441158,-1.2940512
