Freq [GHz],"dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
1,-0.862595887,-4.690995352,-15.09571407,-2.650135238
1.001,-0.863742833,-4.700849927,-15.0768709,-2.644125739
1.002,-0.864890326,-4.710720224,-15.05806976,-2.638129167
1.003,-0.866038355,-4.720606231,-15.03931064,-2.632145511
1.004,-0.867186909,-4.730507937,-15.02059352,-2.626174757
1.005,-0.868335979,-4.740425331,-15.00191842,-2.620216896
1.006,-0.869485553,-4.750358399,-14.98328532,-2.614271915
1.007,-0.870635622,-4.760307129,-14.96469423,-2.608339803
1.008,-0.871786175,-4.770271509,-14.94614513,-2.602420547
1.009,-0.872937201,-4.780251525,-14.92763802,-2.596514138
1.01,-0.87408869,-4.790247162,-14.90917289,-2.590620563
1.011,-0.875240633,-4.800258408,-14.89074974,-2.584739811
1.012,-0.876393017,-4.810285247,-14.87236857,-2.578871871
1.013,-0.877545832,-4.820327665,-14.85402936,-2.573016733
1.014,-0.878699069,-4.830385645,-14.83573211,-2.567174384
1.015,-0.879852716,-4.840459172,-14.81747681,-2.561344815
1.016,-0.881006764,-4.85054823,-14.79926346,-2.555528014
1.017,-0.8821612,-4.860652801,-14.78109204,-2.54972397
1.018,-0.883316015,-4.870772868,-14.76296254,-2.543932673
1.019,-0.884471199,-4.880908414,-14.74487497,-2.538154113
1.02,-0.88562674,-4.891059419,-14.72682931,-2.532388279
1.021,-0.886782627,-4.901225865,-14.70882554,-2.52663516
1.022,-0.887938851,-4.911407731,-14.69086367,-2.520894747
1.023,-0.889095401,-4.921604999,-14.67294367,-2.515167029
1.024,-0.890252265,-4.931817646,-14.65506555,-2.509451997
1.025,-0.891409433,-4.942045652,-14.63722928,-2.503749641
1.026,-0.892566895,-4.952288994,-14.61943486,-2.498059951
1.027,-0.893724639,-4.962547649,-14.60168228,-2.492382917
1.028,-0.894882655,-4.972821595,-14.58397151,-2.486718531
1.029,-0.896040933,-4.983110807,-14.56630256,-2.481066783
1.03,-0.897199461,-4.993415259,-14.54867541,-2.475427664
1.031,-0.898358228,-5.003734927,-14.53109004,-2.469801165
1.032,-0.899517224,-5.014069783,-14.51354644,-2.464187278
1.033,-0.900676438,-5.024419801,-14.4960446,-2.458585994
1.034,-0.90183586,-5.034784952,-14.47858451,-2.452997305
1.035,-0.902995478,-5.045165208,-14.46116614,-2.447421203
1.036,-0.904155281,-5.055560538,-14.44378948,-2.441857681
1.037,-0.905315259,-5.065970911,-14.42645452,-2.436306729
1.038,-0.906475401,-5.076396297,-14.40916125,-2.430768343
1.039,-0.907635695,-5.086836662,-14.39190964,-2.425242514
1.04,-0.908796132,-5.097291972,-14.37469968,-2.419729236
1.041,-0.9099567,-5.107762194,-14.35753135,-2.414228502
1.042,-0.911117389,-5.11824729,-14.34040464,-2.408740307
1.043,-0.912278186,-5.128747225,-14.32331953,-2.403264644
1.044,-0.913439083,-5.139261961,-14.306276,-2.397801509
1.045,-0.914600067,-5.149791458,-14.28927402,-2.392350897
1.046,-0.915761127,-5.160335677,-14.27231359,-2.386912802
1.047,-0.916922253,-5.170894575,-14.25539469,-2.381487222
1.048,-0.918083435,-5.181468112,-14.23851728,-2.376074153
1.049,-0.91924466,-5.192056242,-14.22168137,-2.370673591
1.05,-0.920405917,-5.202658922,-14.20488691,-2.365285534
1.051,-0.921567197,-5.213276104,-14.1881339,-2.35990998
1.052,-0.922728488,-5.223907744,-14.17142231,-2.354546928
1.053,-0.923889779,-5.23455379,-14.15475212,-2.349196378
1.054,-0.925051059,-5.245214196,-14.13812331,-2.343858329
1.055,-0.926212317,-5.255888909,-14.12153585,-2.338532783
1.056,-0.927373542,-5.266577878,-14.10498973,-2.333219741
1.057,-0.928534724,-5.277281051,-14.08848492,-2.327919206
1.058,-0.92969585,-5.287998374,-14.0720214,-2.322631181
1.059,-0.930856911,-5.298729792,-14.05559914,-2.317355671
1.06,-0.932017895,-5.309475252,-14.03921812,-2.312092682
1.061,-0.933178791,-5.320234697,-14.02287832,-2.306842222
1.062,-0.934339588,-5.331008072,-14.0065797,-2.301604297
1.063,-0.935500276,-5.341795322,-13.99032225,-2.296378918
1.064,-0.936660843,-5.35259639,-13.97410594,-2.291166096
1.065,-0.937821278,-5.363411222,-13.95793075,-2.285965843
1.066,-0.93898157,-5.374239766,-13.94179664,-2.280778176
1.067,-0.940141709,-5.385081968,-13.92570359,-2.27560311
1.068,-0.941301683,-5.395937781,-13.90965157,-2.270440663
1.069,-0.942461481,-5.406807157,-13.89364056,-2.265290858
1.07,-0.943621092,-5.417690055,-13.87767053,-2.260153718
1.071,-0.944780506,-5.428586437,-13.86174145,-2.255029269
1.072,-0.94593971,-5.439496275,-13.84585328,-2.24991754
1.073,-0.947098696,-5.450419547,-13.83000601,-2.244818566
1.074,-0.94825745,-5.46135624,-13.8141996,-2.239732381
1.075,-0.949415963,-5.472306358,-13.79843402,-2.234659028
1.076,-0.950574223,-5.483269915,-13.78270925,-2.229598551
1.077,-0.951732219,-5.49424695,-13.76702525,-2.224551
1.078,-0.952889941,-5.50523752,-13.75138198,-2.219516431
1.079,-0.954047377,-5.516241713,-13.73577943,-2.214494906
1.08,-0.955204517,-5.527259649,-13.72021755,-2.209486494
1.081,-0.956361349,-5.538291492,-13.70469632,-2.20449127
1.082,-0.957517863,-5.549337454,-13.6892157,-2.19950932
1.083,-0.958674047,-5.560397807,-13.67377566,-2.194540738
1.084,-0.959829891,-5.571472899,-13.65837617,-2.189585628
1.085,-0.960985383,-5.582563166,-13.64301719,-2.18464411
1.086,-0.962140513,-5.593669152,-13.62769869,-2.179716312
1.087,-0.96329527,-5.604791536,-13.61242064,-2.174802382
1.088,-0.964449643,-5.615931158,-13.597183,-2.169902485
1.089,-0.965603621,-5.627089055,-13.58198573,-2.165016803
1.09,-0.966757193,-5.638266509,-13.5668288,-2.160145546
1.091,-0.967910347,-5.649465103,-13.55171217,-2.155288947
1.092,-0.969063075,-5.660686787,-13.53663582,-2.15044727
1.093,-0.970215363,-5.671933972,-13.52159969,-2.145620816
1.094,-0.971367202,-5.683209639,-13.50660376,-2.140809927
1.095,-0.97251858,-5.694517484,-13.49164798,-2.136014992
1.096,-0.973669488,-5.705862094,-13.47673233,-2.131236459
1.097,-0.974819913,-5.717249185,-13.46185675,-2.126474841
1.098,-0.975969845,-5.728685899,-13.44702122,-2.121730731
1.099,-0.977119273,-5.740181195,-13.4322257,-2.117004818
1.1,-0.978268187,-5.751746353,-13.41747013,-2.112297905
1.101,-0.979416575,-5.763395639,-13.4027545,-2.107610932
1.102,-0.980564427,-5.775147182,-13.38807875,-2.102945009
1.103,-0.981711732,-5.787024127,-13.37344284,-2.09830145
1.104,-0.982858479,-5.799056175,-13.35884674,-2.093681828
1.105,-0.984004657,-5.811281632,-13.34429041,-2.089088032
1.106,-0.985150256,-5.823750134,-13.3297738,-2.084522357
1.107,-0.986295266,-5.836526284,-13.31529686,-2.079987608
1.108,-0.987439674,-5.849694443,-13.30085957,-2.075487254
1.109,-0.988583471,-5.863364976,-13.28646188,-2.071025624
1.11,-0.989726645,-5.877682139,-13.27210374,-2.066608193
1.111,-0.990869187,-5.89283351,-13.25778511,-2.062241968
1.112,-0.992011085,-5.909060021,-13.24350595,-2.05793605
1.113,-0.993152329,-5.926663738,-13.22926622,-2.053702455
1.114,-0.994292908,-5.946006573,-13.21506586,-2.049557337
1.115,-0.995432811,-5.967486008,-13.20090484,-2.045522852
1.116,-0.996572028,-5.991463476,-13.18678312,-2.041630098
1.117,-0.997710549,-6.018112656,-13.17270063,-2.037923851
1.118,-0.998848362,-6.047167792,-13.15865735,-2.03447045
1.119,-0.999985457,-6.077623694,-13.14465323,-2.031371306
1.12,-1.001121824,-6.107586241,-13.13068821,-2.028786568
1.121,-1.002257452,-6.134577793,-13.11676226,-2.026976585
1.122,-1.00339233,-6.156388011,-13.10287532,-2.02636906
1.123,-1.004526449,-6.172005902,-13.08902735,-2.027624305
1.124,-1.005659796,-6.181922645,-13.0752183,-2.031396916
1.125,-1.006792363,-6.187642248,-13.06144813,-2.036187663
1.126,-1.007924139,-6.190908147,-13.04771678,-2.032497359
1.127,-1.009055112,-6.193167573,-13.03402421,-2.012869679
1.128,-1.010185274,-6.195397227,-13.02037037,-1.9922575
1.129,-1.011314613,-6.198154654,-13.00675521,-1.978939735
1.13,-1.012443118,-6.201702154,-12.99317867,-1.970439835
1.131,-1.013570781,-6.206121648,-12.97964072,-1.964205198
1.132,-1.014697589,-6.211396643,-12.9661413,-1.95900007
