Freq,Simulated,Measured
1,-4.690995352,-5.2874308
1.001,-4.700849927,-5.3171759
1.002,-4.710720224,-5.3030806
1.003,-4.720606231,-5.3132071
1.004,-4.730507937,-5.3475323
1.005,-4.740425331,-5.3196044
1.006,-4.750358399,-5.3461051
1.007,-4.760307129,-5.3415923
1.008,-4.770271509,-5.3546457
1.009,-4.780251525,-5.3702078
1.01,-4.790247162,-5.3803959
1.011,-4.800258408,-5.3719831
1.012,-4.810285247,-5.4359045
1.013,-4.820327665,-5.3967099
1.014,-4.830385645,-5.4008646
1.015,-4.840459172,-5.4487448
1.016,-4.85054823,-5.4440131
1.017,-4.860652801,-5.4888592
1.018,-4.870772868,-5.4700451
1.019,-4.880908414,-5.5136719
1.02,-4.891059419,-5.484416
1.021,-4.901225865,-5.5205593
1.022,-4.911407731,-5.5256367
1.023,-4.921604999,-5.5262604
1.024,-4.931817646,-5.5547829
1.025,-4.942045652,-5.5472083
1.026,-4.952288994,-5.560616
1.027,-4.962547649,-5.5423069
1.028,-4.972821595,-5.5926299
1.029,-4.983110807,-5.5867929
1.03,-4.993415259,-5.6081891
1.031,-5.003734927,-5.6472716
1.032,-5.014069783,-5.6600418
1.033,-5.024419801,-5.6310492
1.034,-5.034784952,-5.6281214
1.035,-5.045165208,-5.6238132
1.036,-5.055560538,-5.6644597
1.037,-5.065970911,-5.6811638
1.038,-5.076396297,-5.7106938
1.039,-5.086836662,-5.6973701
1.04,-5.097291972,-5.7057781
1.041,-5.107762194,-5.71666
1.042,-5.11824729,-5.7109232
1.043,-5.128747225,-5.7255163
1.044,-5.139261961,-5.7572107
1.045,-5.149791458,-5.7586546
1.046,-5.160335677,-5.7643399
1.047,-5.170894575,-5.7704396
1.048,-5.181468112,-5.815907
1.049,-5.192056242,-5.8073826
1.05,-5.202658922,-5.829309
1.051,-5.213276104,-5.8337984
1.052,-5.223907744,-5.8366961
1.053,-5.23455379,-5.854506
1.054,-5.245214196,-5.8613682
1.055,-5.255888909,-5.8982682
1.056,-5.266577878,-5.9029732
1.057,-5.277281051,-5.898561
1.058,-5.287998374,-5.9243155
1.059,-5.298729792,-5.9293447
1.06,-5.309475252,-5.9256916
1.061,-5.320234697,-5.9637713
1.062,-5.331008072,-5.9376402
1.063,-5.341795322,-5.971272
1.064,-5.35259639,-5.9442453
1.065,-5.363411222,-5.9897575
1.066,-5.374239766,-5.995719
1.067,-5.385081968,-6.0256047
1.068,-5.395937781,-6.0264354
1.069,-5.406807157,-6.0240946
1.07,-5.417690055,-6.0443702
1.071,-5.428586437,-6.0754948
1.072,-5.439496275,-6.043119
1.073,-5.450419547,-6.0882931
1.074,-5.46135624,-6.0711803
1.075,-5.472306358,-6.1060591
1.076,-5.483269915,-6.0969234
1.077,-5.49424695,-6.1144567
1.078,-5.50523752,-6.1284366
1.079,-5.516241713,-6.1459241
1.08,-5.527259649,-6.1395736
1.081,-5.538291492,-6.1855574
1.082,-5.549337454,-6.207808
1.083,-5.560397807,-6.2012014
1.084,-5.571472899,-6.2113109
1.085,-5.582563166,-6.2153363
1.086,-5.593669152,-6.2204819
1.087,-5.604791536,-6.2367649
1.088,-5.615931158,-6.2484951
1.089,-5.627089055,-6.2492604
1.09,-5.638266509,-6.273344
1.091,-5.649465103,-6.3018479
1.092,-5.660686787,-6.2860913
1.093,-5.671933972,-6.3348627
1.094,-5.683209639,-6.3358908
1.095,-5.694517484,-6.3407884
1.096,-5.705862094,-6.3204556
1.097,-5.717249185,-6.3427172
1.098,-5.728685899,-6.3751259
1.099,-5.740181195,-6.3945947
1.1,-5.751746353,-6.4133987
1.101,-5.763395639,-6.4119191
1.102,-5.775147182,-6.4031754
1.103,-5.787024127,-6.4633131
1.104,-5.799056175,-6.4489956
1.105,-5.811281632,-6.4384294
1.106,-5.823750134,-6.463028
1.107,-5.836526284,-6.4713564
1.108,-5.849694443,-6.495739
1.109,-5.863364976,-6.4781828
1.11,-5.877682139,-6.4934907
