"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1,38.1236568206874,-67.2985254904089
1.001,38.3657848543056,-67.5559380963733
1.002,38.6353809826486,-67.8133806022105
1.003,38.9348335267214,-68.07085287568
1.004,39.2668023180592,-68.3283547843506
1.005,39.6342564166897,-68.5858861956122
1.006,40.0405178595531,-68.8434469766886
1.007,40.4893124773455,-69.1010369946497
1.008,40.9848289880249,-69.3586561164239
1.009,41.5317877611387,-69.6163042088106
1.01,42.1355208408394,-69.8739811384929
1.011,42.8020650007265,-70.1316867720498
1.012,43.5382697508072,-70.3894209759695
1.013,44.3519222736365,-70.6471836166616
1.014,45.2518911450043,-70.9049745604698
1.015,46.2482902489525,-71.1627936736851
1.016,47.3526632928048,-71.4206408225585
1.017,48.5781873938026,-71.6785158733137
1.018,49.9398907694752,-71.9364186921604
1.019,51.4548737508807,-72.1943491453069
1.02,53.1425128889252,-72.4523070989735
1.021,55.0246131015633,-72.7102924194055
1.022,57.1254504366244,-72.9683049728863
1.023,59.4716158494871,-73.2263446257504
1.024,62.0915272125666,-73.4844112443971
1.025,65.0144250266309,-73.7425046953032
1.026,68.2686180836946,-74.0006248450367
1.027,71.8787261977414,-74.25877156027
1.028,75.8617304611026,-74.5169447077936
1.029,80.2218641810955,-74.7751441545289
1.03,84.944831914638,-75.0333697675423
1.031,89.9925158595419,-75.2916214140583
1.032,95.2999956646092,-75.5498989614733
1.033,100.776885870672,-75.808202277369
1.034,106.314158032863,-76.0665312295262
1.035,111.795725561548,-76.3248856859382
1.036,117.111984068784,-76.5832655148249
1.037,122.171552727893,-76.8416705846458
1.038,126.908335399841,-77.1001007641148
1.039,131.28308339242,-77.3585559222129
1.04,135.280563590432,-77.617035928203
1.041,138.904323748726,-77.8755406516425
1.042,142.170903225767,-78.1340699623988
1.043,145.104680231127,-78.3926237306617
1.044,147.733868451709,-78.6512018269583
1.045,150.087710820565,-78.9098041221663
1.046,152.194686657623,-79.1684304875286
1.047,154.081479856244,-79.4270807946667
1.048,155.772472622301,-79.6857549155954
1.049,157.289577908982,-79.9444527227359
1.05,158.652275646488,-80.2031740889309
1.051,159.877761513214,-80.4619188874581
1.052,160.981149639649,-80.7206869920443
1.053,161.975693391823,-80.9794782768798
1.054,162.873003484745,-81.2382926166324
1.055,163.683252319683,-81.4971298864615
1.056,164.415359381082,-81.7559899620325
1.057,165.077156051243,-82.0148727195306
1.058,165.675530186886,-82.2737780356757
1.059,166.216551837335,-82.5327057877357
1.06,166.705581948382,-82.7916558535415
1.061,167.147366028096,-83.0506281115011
1.062,167.546114699733,-83.3096224406135
1.063,167.905572922361,-83.5686387204833
1.064,168.229079475498,-83.8276768313351
1.065,168.519618110269,-84.0867366540272
1.066,168.779861583144,-84.3458180700667
1.067,169.012209617263,-84.6049209616231
1.068,169.218821684076,-84.864045211543
1.069,169.401645364985,-85.1231907033643
1.07,169.562440937982,-85.3823573213305
1.071,169.702802736215,-85.6415449504052
1.072,169.824177742043,-85.9007534762862
1.073,169.927881809608,-86.1599827854196
1.074,170.015113849342,-86.419232765015
1.075,170.086968257567,-86.6785033030586
1.076,170.144445831977,-86.9377942883287
