"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1,94.2864158072414,3.9635313922105
1.001,94.1109873682513,3.78884517388597
1.002,93.9355364445864,3.61416021593006
1.003,93.7600632089484,3.43947650779456
1.004,93.5845678335532,3.26479403891122
1.005,93.4090504901301,3.0901127986922
1.006,93.2335113499198,2.91543277652985
1.007,93.0579505836734,2.74075396179701
1.008,92.8823683616503,2.56607634384677
1.009,92.7067648536175,2.39139991201293
1.01,92.5311402288475,2.21672465560964
1.011,92.3554946561173,2.04205056393175
1.012,92.1798283037067,1.86737762625466
1.013,92.0041413393973,1.69270583183463
1.014,91.8284339304704,1.51803516990849
1.015,91.6527062437064,1.34336562969414
1.016,91.4769584453827,1.16869720039012
1.017,91.3011907012732,0.994029871176102
1.018,91.125403176646,0.819363631212623
1.019,90.9495960362625,0.644698469641381
1.02,90.7737694443764,0.470034375585076
1.021,90.5979235647319,0.295371338147773
1.022,90.4220585605624,0.120709346414545
1.023,90.2461745945896,-0.0539516105480496
1.024,90.0702718290216,-0.228611543692246
1.025,89.8943504255525,-0.403270463988733
1.026,89.7184105453603,-0.577928382426876
1.027,89.5424523491062,-0.752585310014295
1.028,89.3664759969328,-0.927241257777308
1.029,89.1904816484639,-1.10189623676026
1.03,89.0144694628019,-1.27655025802606
1.031,88.838439598528,-1.45120333265564
1.032,88.6623922137,-1.62585547174825
1.033,88.4863274658516,-1.80050668642113
1.034,88.310245511991,-1.97515698780968
1.035,88.1341465086003,-2.14980638706711
1.036,87.9580306116335,-2.32445489536477
1.037,87.7818979765161,-2.49910252389168
1.038,87.6057487581438,-2.67374928385483
1.039,87.4295831108811,-2.84839518647877
1.04,87.2534011885608,-3.02304024300594
1.041,87.0772031444826,-3.19768446469615
1.042,86.9009891314117,-3.37232786282698
1.043,86.7247593015785,-3.54697044869336
1.044,86.5485138066771,-3.72161223360778
1.045,86.3722527978644,-3.89625322889994
1.046,86.1959764257591,-4.07089344591702
1.047,86.0196848404408,-4.24553289602326
1.048,85.8433781914488,-4.42017159060024
1.049,85.6670566277814,-4.59480954104655
1.05,85.4907202978948,-4.76944675877792
1.051,85.3143693497025,-4.94408325522698
1.052,85.1380039305737,-5.11871904184342
1.053,84.9616241873331,-5.2933541300936
1.054,84.7852302662597,-5.46798853146088
1.055,84.608822313086,-5.64262225744522
1.056,84.4324004729969,-5.81725531956336
1.057,84.2559648906293,-5.99188772934855
1.058,84.079515710071,-6.16651949835073
1.059,83.90305307486,-6.34115063813609
1.06,83.7265771279834,-6.51578116028749
1.061,83.550088011877,-6.69041107640399
1.062,83.3735858684245,-6.86504039810097
1.063,83.1970708389564,-7.0396691370101
1.064,83.0205430642495,-7.21429730477912
1.065,82.8440026845265,-7.3889249130719
1.066,82.6674498394544,-7.56355197356838
