Freq,Milled,HFSS,Tapered
1,136.18742,94.28641581,-96.67792614
1.001,136.03513,94.11098737,-96.86899053
1.002,135.40239,93.93553644,-97.05990409
1.003,136.1866,93.76006321,-97.25066722
1.004,135.66302,93.58456783,-97.44128029
1.005,135.42677,93.40905049,-97.6317437
1.006,135.93076,93.23351135,-97.82205784
1.007,135.5954,93.05795058,-98.01222309
1.008,135.46498,92.88236836,-98.20223985
1.009,135.00061,92.70676485,-98.39210849
1.01,135.25722,92.53114023,-98.58182941
1.011,134.8452,92.35549466,-98.77140299
1.012,134.52003,92.1798283,-98.96082962
1.013,134.15886,92.00414134,-99.15010966
1.014,134.47214,91.82843393,-99.33924351
1.015,134.20082,91.65270624,-99.52823156
1.016,134.40961,91.47695845,-99.71707416
1.017,134.20644,91.3011907,-99.90577172
1.018,134.07745,91.12540318,-100.0943246
1.019,134.21152,90.94959604,-100.2827332
1.02,133.97742,90.77376944,-100.4709978
1.021,133.6362,90.59792356,-100.659119
1.022,133.13536,90.42205856,-100.8470969
1.023,133.16188,90.24617459,-101.034932
1.024,133.19589,90.07027183,-101.2226248
1.025,133.24611,89.89435043,-101.4101754
1.026,132.95724,89.71841055,-101.5975844
1.027,132.91815,89.54245235,-101.7848521
1.028,132.8483,89.366476,-101.9719788
1.029,132.8542,89.19048165,-102.158965
1.03,132.88446,89.01446946,-102.345811
1.031,132.36655,88.8384396,-102.5325171
1.032,132.60753,88.66239221,-102.7190837
1.033,132.51881,88.48632747,-102.9055112
1.034,132.40981,88.31024551,-103.0918
1.035,131.80463,88.13414651,-103.2779504
1.036,131.89616,87.95803061,-103.4639628
1.037,131.8345,87.78189798,-103.6498375
1.038,131.35182,87.60574876,-103.8355749
1.039,131.53722,87.42958311,-104.0211754
1.04,131.26288,87.25340119,-104.2066393
1.041,131.50819,87.07720314,-104.391967
1.042,131.60217,86.90098913,-104.5771587
1.043,131.03679,86.7247593,-104.762215
1.044,131.09129,86.54851381,-104.9471361
1.045,130.64897,86.3722528,-105.1319224
1.046,130.58679,86.19597643,-105.3165742
1.047,130.33182,86.01968484,-105.501092
1.048,129.81491,85.84337819,-105.685476
1.049,130.18535,85.66705663,-105.8697265
1.05,130.2941,85.4907203,-106.053844
1.051,129.90784,85.31436935,-106.2378288
1.052,130.00769,85.13800393,-106.4216813
1.053,129.76709,84.96162419,-106.6054017
1.054,130.22871,84.78523027,-106.7889904
1.055,129.64058,84.60882231,-106.9724478
1.056,129.0067,84.43240047,-107.1557742
1.057,129.19789,84.25596489,-107.33897
1.058,129.04268,84.07951571,-107.5220355
1.059,128.89813,83.90305307,-107.7049709
1.06,128.75766,83.72657713,-107.8877768
1.061,128.94167,83.55008801,-108.0704534
1.062,128.33052,83.37358587,-108.253001
1.063,128.1794,83.19707084,-108.43542
1.064,128.00859,83.02054306,-108.6177107
1.065,127.85427,82.84400268,-108.7998734
1.066,128.02185,82.66744984,-108.9819085
1.067,128.34921,82.49088467,-109.1638163
1.068,127.66838,82.31430731,-109.3455972
1.069,127.283,82.1377179,-109.5272515
1.07,127.43925,81.96111658,-109.7087794
1.071,127.17259,81.78450348,-109.8901813
1.072,127.20924,81.60787875,-110.0714577
1.073,127.13124,81.43124251,-110.2526086
1.074,127.13485,81.2545949,-110.4336346
1.075,126.92307,81.07793606,-110.6145359
1.076,126.84203,80.90126612,-110.7953129
1.077,126.62824,80.72458522,-110.9759658
1.078,126.6472,80.54789348,-111.156495
1.079,126.5505,80.37119104,-111.3369008
1.08,126.45016,80.19447803,-111.5171835
1.081,125.67739,80.01775459,-111.6973435
1.082,125.86424,79.84102084,-111.877381
1.083,125.61905,79.66427691,-112.0572964
1.084,125.91953,79.48752293,-112.23709
1.085,125.18645,79.31075904,-112.4167621
1.086,125.24628,79.13398536,-112.596313
1.087,125.32389,78.95720201,-112.775743
1.088,124.70454,78.78040914,-112.9550524
1.089,124.98503,78.60360685,-113.1342415
1.09,125.13501,78.42679528,-113.3133108
1.091,124.67837,78.24997456,-113.4922603
1.092,124.55148,78.0731448,-113.6710905
1.093,124.67968,77.89630614,-113.8498017
1.094,124.54311,77.7194587,-114.0283941
1.095,124.06878,77.5426026,-114.2068681
1.096,124.44633,77.36573796,-114.385224
1.097,123.83013,77.18886491,-114.5634621
1.098,124.22066,77.01198356,-114.7415826
1.099,123.66324,76.83509404,-114.9195858
1.1,123.52355,76.65819647,-115.0974721
1.101,123.46651,76.48129097,-115.2752418
1.102,123.70573,76.30437766,-115.4528952
1.103,123.09476,76.12745666,-115.6304324
1.104,123.04918,75.95052808,-115.8078539
1.105,122.93981,75.77359204,-115.98516
1.106,122.76022,75.59664867,-116.1623508
1.107,122.68916,75.41969807,-116.3394268
1.108,122.23901,75.24274036,-116.5163882
1.109,122.45733,75.06577566,-116.6932352
1.11,122.01639,74.88880408,-116.8699682
1.111,122.14584,74.71182574,-117.0465875
1.112,121.5206,74.53484074,-117.2230933
1.113,121.55416,74.35784921,-117.3994859
1.114,121.81824,74.18085126,-117.5757656
1.115,121.65965,74.00384699,-117.7519327
1.116,121.37585,73.82683653,-117.9279875
1.117,121.29028,73.64981997,-118.1039302
1.118,121.15544,73.47279743,-118.2797611
1.119,120.90871,73.29576902,-118.4554805
1.12,120.73158,73.11873485,-118.6310887
1.121,120.75381,72.94169503,-118.8065859
1.122,120.61459,72.76464966,-118.9819724
1.123,120.45376,72.58759885,-119.1572485
1.124,120.40062,72.41054272,-119.3324145
1.125,120.41112,72.23348135,-119.5074706
1.126,120.39678,72.05641487,-119.6824171
1.127,119.99693,71.87934338,-119.8572543
1.128,119.68913,71.70226697,-120.0319824
1.129,119.47501,71.52518576,-120.2066016
1.13,119.45358,71.34809984,-120.3811124
1.131,119.64016,71.17100933,-120.5555148
1.132,119.48875,70.99391432,-120.7298093
1.133,119.35131,70.81681491,-120.9039959
1.134,118.97985,70.63971121,-121.0780751
1.135,119.23701,70.46260331,-121.252047
1.136,118.93539,70.28549132,-121.425912
1.137,118.46533,70.10837533,-121.5996702
1.138,118.40696,69.93125545,-121.773322
1.139,118.47447,69.75413177,-121.9468675
1.14,118.40942,69.57700438,-122.1203071
1.141,118.04037,69.3998734,-122.2936409
1.142,118.08636,69.22273891,-122.4668693
1.143,117.66805,69.045601,-122.6399925
1.144,117.84331,68.86845978,-122.8130107
1.145,117.86539,68.69131534,-122.9859241
1.146,117.38448,68.51416778,-123.1587331
1.147,117.11787,68.33701718,-123.3314379
1.148,117.16018,68.15986364,-123.5040387
1.149,116.96835,67.98270726,-123.6765357
1.15,116.72784,67.80554812,-123.8489292
1.151,117.08038,67.62838631,-124.0212195
1.152,116.5332,67.45122194,-124.1934067
1.153,116.55893,67.27405508,-124.3654912
1.154,116.25838,67.09688583,-124.5374731
1.155,116.2058,66.91971427,-124.7093527
1.156,116.17979,66.7425405,-124.8811302
1.157,115.957,66.56536461,-125.0528058
1.158,115.83799,66.38818667,-125.2243799
1.159,115.81375,66.21100678,-125.3958525
1.16,115.52666,66.03382503,-125.567224
1.161,115.62257,65.8566415,-125.7384946
1.162,115.4348,65.67945627,-125.9096644
1.163,115.06663,65.50226943,-126.0807338
1.164,115.04717,65.32508107,-126.2517029
1.165,115.1094,65.14789126,-126.422572
1.166,115.04327,64.9707001,-126.5933413
1.167,114.77461,64.79350766,-126.764011
1.168,114.58144,64.61631402,-126.9345814
1.169,114.30513,64.43911928,-127.1050526
1.17,114.33263,64.2619235,-127.2754248
1.171,114.52844,64.08472677,-127.4456984
1.172,114.20615,63.90752916,-127.6158735
