!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 17:16:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-14.325583,-0.49934444
1001000000,-14.276861,-0.49623707
1002000000,-14.268007,-0.48671123
1003000000,-14.198746,-0.47181624
1004000000,-14.183205,-0.51491052
1005000000,-14.170877,-0.50552607
1006000000,-14.130013,-0.48611811
1007000000,-14.102542,-0.50027025
1008000000,-14.027964,-0.47079739
1009000000,-14.059659,-0.51910043
1010000000,-14.044797,-0.50696838
1011000000,-13.981584,-0.51528901
1012000000,-13.967881,-0.50803554
1013000000,-13.972476,-0.5137049
1014000000,-13.964252,-0.51500261
1015000000,-13.883995,-0.5010826
1016000000,-13.867254,-0.51358318
1017000000,-13.829734,-0.53415233
1018000000,-13.818123,-0.50935602
1019000000,-13.781022,-0.50132948
1020000000,-13.759978,-0.49906203
1021000000,-13.775999,-0.50945598
1022000000,-13.742245,-0.53192008
1023000000,-13.711814,-0.51022118
1024000000,-13.696173,-0.51603311
1025000000,-13.612579,-0.51914048
1026000000,-13.625342,-0.50840461
1027000000,-13.62585,-0.51992929
1028000000,-13.60372,-0.51287824
1029000000,-13.53973,-0.48824778
1030000000,-13.53678,-0.50702423
1031000000,-13.528121,-0.54711586
1032000000,-13.429147,-0.53682494
1033000000,-13.493725,-0.5563789
1034000000,-13.438444,-0.54391903
1035000000,-13.451749,-0.53455687
1036000000,-13.388352,-0.52569008
1037000000,-13.393014,-0.55768794
1038000000,-13.367299,-0.5443899
1039000000,-13.364634,-0.54649615
1040000000,-13.339529,-0.57175499
1041000000,-13.29696,-0.51734418
1042000000,-13.301282,-0.55178297
1043000000,-13.278324,-0.55675381
1044000000,-13.265195,-0.57130617
1045000000,-13.25754,-0.57194793
1046000000,-13.179889,-0.53270674
1047000000,-13.237927,-0.56898808
1048000000,-13.200041,-0.56798667
1049000000,-13.161068,-0.59186149
1050000000,-13.138527,-0.55390757
1051000000,-13.128827,-0.55812573
1052000000,-13.096961,-0.57587767
1053000000,-13.133981,-0.55779254
1054000000,-13.08137,-0.54829514
1055000000,-13.098875,-0.58124071
1056000000,-13.071884,-0.56074339
1057000000,-12.999505,-0.56421852
1058000000,-12.987684,-0.56520343
1059000000,-13.032009,-0.56415856
1060000000,-12.971813,-0.55003381
1061000000,-12.96682,-0.55792296
1062000000,-12.971738,-0.58796865
1063000000,-12.918126,-0.5415169
1064000000,-12.969344,-0.58048463
1065000000,-12.933626,-0.61167389
1066000000,-12.906786,-0.58399957
1067000000,-12.883012,-0.56092602
1068000000,-12.923426,-0.58626717
1069000000,-12.862273,-0.56932682
1070000000,-12.822731,-0.57055044
1071000000,-12.871874,-0.60144091
1072000000,-12.802028,-0.57240176
1073000000,-12.813062,-0.58965683
1074000000,-12.828185,-0.5766328
1075000000,-12.808716,-0.57985049
1076000000,-12.827731,-0.62391877
1077000000,-12.807485,-0.58901173
1078000000,-12.762108,-0.56190187
1079000000,-12.734776,-0.58620942
1080000000,-12.698063,-0.56427956
1081000000,-12.776997,-0.60788298
1082000000,-12.706481,-0.55856574
1083000000,-12.775426,-0.61704928
1084000000,-12.718122,-0.58790207
1085000000,-12.738872,-0.62004107
1086000000,-12.803261,-0.62872744
1087000000,-12.721052,-0.5934934
1088000000,-12.700122,-0.60148323
1089000000,-12.70279,-0.62283462
1090000000,-12.656198,-0.62080324
1091000000,-12.673962,-0.60768461
1092000000,-12.691608,-0.62091058
1093000000,-12.665206,-0.60050184
1094000000,-12.680083,-0.62393808
1095000000,-12.662641,-0.59759444
1096000000,-12.625923,-0.60241514
1097000000,-12.654477,-0.60448182
1098000000,-12.671793,-0.61175913
1099000000,-12.647051,-0.60000533
1100000000,-12.643149,-0.59517592
1101000000,-12.626982,-0.60559219
1102000000,-12.605525,-0.59132707
1103000000,-12.601152,-0.60080338
1104000000,-12.648268,-0.61291063
1105000000,-12.640457,-0.63244164
1106000000,-12.608136,-0.61849296
1107000000,-12.614333,-0.61344004
1108000000,-12.627249,-0.61922789
1109000000,-12.60628,-0.62201983
1110000000,-12.62373,-0.61953044
1111000000,-12.652856,-0.60283148
1112000000,-12.640296,-0.6260429
1113000000,-12.627176,-0.63165396
1114000000,-12.589768,-0.59728032
1115000000,-12.655093,-0.61201477
1116000000,-12.614244,-0.62024409
1117000000,-12.62084,-0.60730457
1118000000,-12.646711,-0.60744733
1119000000,-12.606567,-0.60176706
1120000000,-12.607133,-0.62569153
1121000000,-12.637162,-0.63583952
1122000000,-12.682231,-0.64913648
1123000000,-12.682913,-0.63465589
1124000000,-12.640657,-0.64172208
1125000000,-12.64926,-0.62270141
1126000000,-12.595687,-0.63898474
1127000000,-12.657312,-0.61241758
1128000000,-12.687397,-0.62308949
1129000000,-12.676146,-0.63648099
1130000000,-12.713039,-0.62889326
1131000000,-12.732571,-0.63809061
1132000000,-12.712336,-0.62610048
1133000000,-12.698242,-0.62851548
1134000000,-12.656836,-0.59221971
1135000000,-12.674722,-0.62048084
1136000000,-12.719732,-0.63063395
1137000000,-12.698668,-0.6235854
1138000000,-12.748181,-0.63003552
1139000000,-12.705552,-0.59297264
1140000000,-12.740866,-0.60585111
1141000000,-12.765388,-0.6244002
1142000000,-12.804122,-0.6204415
1143000000,-12.745874,-0.62037468
