!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:13:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,-141.34399,175.24445
1001000000,-141.23196,175.19948
1002000000,-140.0127,175.17357
1003000000,-139.44618,174.82065
1004000000,-138.6763,174.58459
1005000000,-137.65657,174.43132
1006000000,-136.87642,174.26028
1007000000,-136.02325,174.02126
1008000000,-134.85765,173.89497
1009000000,-134.67989,173.61295
1010000000,-134.392,173.55449
1011000000,-134.1604,172.94548
1012000000,-132.85135,173.05363
1013000000,-132.38162,172.71768
1014000000,-131.9796,172.55528
1015000000,-131.55939,172.36873
1016000000,-131.20523,172.14856
1017000000,-130.11655,171.87408
1018000000,-129.79935,171.87054
1019000000,-129.36497,171.70415
1020000000,-128.77245,171.51048
1021000000,-128.29262,171.23471
1022000000,-128.22816,171.06702
1023000000,-127.75833,170.79419
1024000000,-127.42195,170.74268
1025000000,-126.40832,170.47046
1026000000,-126.38243,170.27251
1027000000,-126.07845,170.01241
1028000000,-125.85445,169.6964
1029000000,-125.10098,169.74371
1030000000,-125.07996,169.49049
1031000000,-124.635,169.41733
1032000000,-123.93149,169.10022
1033000000,-123.93967,168.71239
1034000000,-123.48229,168.78973
1035000000,-123.39257,168.4422
1036000000,-122.98806,168.3297
1037000000,-122.61509,168.22487
1038000000,-122.51992,167.96774
1039000000,-122.24004,167.67914
1040000000,-122.19061,167.47618
1041000000,-121.84234,167.36125
1042000000,-121.70679,167.15852
1043000000,-121.17946,166.7991
1044000000,-121.3779,166.68983
1045000000,-120.78088,166.58992
1046000000,-120.90845,166.3419
1047000000,-121.09995,165.9908
1048000000,-120.44808,165.90309
1049000000,-120.27837,165.77301
1050000000,-120.13499,165.69679
1051000000,-120.49425,165.24405
1052000000,-120.45801,164.92075
1053000000,-119.61928,164.85095
1054000000,-119.65433,164.8074
1055000000,-119.33463,164.68945
1056000000,-119.40635,164.21852
1057000000,-119.46529,164.04907
1058000000,-119.1242,163.84473
1059000000,-119.45172,163.69447
1060000000,-118.9314,163.50432
1061000000,-118.49015,163.45174
1062000000,-118.67722,163.19592
1063000000,-118.99486,162.89032
1064000000,-119.00262,162.65085
1065000000,-118.50082,162.58459
1066000000,-118.42481,162.40523
1067000000,-118.32372,162.09644
1068000000,-117.85971,162.08995
1069000000,-118.40999,161.64668
1070000000,-118.07348,161.67465
1071000000,-118.00945,161.45511
1072000000,-118.06013,161.1367
1073000000,-117.97128,160.96579
1074000000,-117.59866,160.99336
1075000000,-117.7018,160.43468
1076000000,-118.22619,160.55711
1077000000,-117.44673,160.33534
1078000000,-117.79041,159.87802
1079000000,-118.23291,159.59901
1080000000,-117.98988,159.49597
1081000000,-117.71867,159.26909
1082000000,-117.95603,159.32956
1083000000,-117.93618,159.08408
1084000000,-117.72361,158.81435
1085000000,-117.80894,158.64098
1086000000,-117.82135,158.45995
1087000000,-117.73603,158.3147
1088000000,-117.88221,157.92072
1089000000,-117.80289,157.8912
1090000000,-117.79537,157.70688
1091000000,-117.50269,157.65269
1092000000,-117.52361,157.31409
1093000000,-117.81814,157.04637
1094000000,-118.18181,156.87813
1095000000,-117.9005,156.60228
1096000000,-117.82027,156.48994
1097000000,-118.02208,156.1292
1098000000,-118.27737,155.98224
1099000000,-117.76726,155.90022
1100000000,-118.05587,155.50844
1101000000,-117.61113,155.50493
1102000000,-117.99816,155.3336
1103000000,-118.18174,154.94783
1104000000,-118.45623,154.90843
1105000000,-118.30048,154.62498
1106000000,-118.14839,154.47163
1107000000,-118.33968,154.19772
1108000000,-118.25186,154.02266
1109000000,-118.27351,153.78259
1110000000,-118.35859,153.5538
1111000000,-118.43062,153.43324
1112000000,-118.73663,153.20071
1113000000,-118.59285,153.05385
1114000000,-118.69085,152.80389
1115000000,-118.54436,152.66815
1116000000,-118.71683,152.46587
1117000000,-118.56927,152.07843
1118000000,-118.59726,152.10161
1119000000,-118.84883,151.83069
1120000000,-118.82642,151.66878
1121000000,-118.66107,151.62608
1122000000,-118.88353,151.15125
1123000000,-118.92908,151.0629
1124000000,-118.98798,150.93944
1125000000,-119.13694,150.6266
1126000000,-119.0342,150.60522
1127000000,-119.284,150.32523
1128000000,-119.07404,150.26306
1129000000,-119.18028,149.85616
1130000000,-119.66554,149.56808
1131000000,-119.15186,149.49425
1132000000,-119.7286,149.22429
1133000000,-119.70359,148.89934
1134000000,-119.48554,148.92928
1135000000,-119.51244,148.74396
1136000000,-119.9665,148.28923
1137000000,-120.06742,148.10306
1138000000,-119.85048,148.04761
1139000000,-120.47238,147.73492
1140000000,-120.00704,147.67264
1141000000,-120.35556,147.44402
1142000000,-119.73138,147.23691
1143000000,-120.22372,147.00241
1144000000,-120.46529,146.79279
1145000000,-120.15668,146.59091
1146000000,-120.57269,146.43159
1147000000,-120.436,146.03735
1148000000,-120.62482,145.96324
1149000000,-120.78001,145.79749
1150000000,-120.63213,145.64682
1151000000,-120.71013,145.53566
1152000000,-121.09518,145.33781
1153000000,-120.99195,145.00636
1154000000,-120.83304,144.89554
1155000000,-121.25488,144.70352
1156000000,-120.82323,144.65428
1157000000,-121.09438,144.29112
1158000000,-121.3587,144.04922
1159000000,-121.41163,143.96109
1160000000,-121.31339,143.8065
1161000000,-121.20105,143.43658
1162000000,-121.61801,143.32474
1163000000,-121.46694,143.19894
1164000000,-121.7499,142.87367
1165000000,-121.96104,142.5437
1166000000,-121.69039,142.57175
1167000000,-121.87373,142.30472
1168000000,-122.30663,141.92084
1169000000,-122.27659,141.95627
1170000000,-122.19128,141.65388
1171000000,-122.41342,141.52242
1172000000,-122.47591,141.41814
1173000000,-122.35278,141.16492
1174000000,-122.67394,141.05806
1175000000,-122.59485,140.80774
1176000000,-122.74889,140.5361
1177000000,-122.71043,140.15297
1178000000,-122.91567,140.06984
1179000000,-122.88266,139.97961
1180000000,-123.15637,139.653
1181000000,-123.12784,139.58557
1182000000,-123.51986,139.39624
1183000000,-123.13498,139.17778
1184000000,-123.65292,139.11157
1185000000,-123.71454,138.78387
1186000000,-123.76003,138.5197
1187000000,-123.92141,138.46135
1188000000,-124.00481,138.23364
1189000000,-123.78545,137.88766
1190000000,-123.97728,137.77367
1191000000,-124.11767,137.57242
1192000000,-124.25576,137.3098
1193000000,-124.22868,137.07574
1194000000,-124.31148,136.84836
1195000000,-124.26647,136.71111
1196000000,-124.56104,136.59894
1197000000,-124.77853,136.39645
1198000000,-124.71272,136.3606
1199000000,-124.49256,136.07887
1200000000,-124.97977,135.74582
1201000000,-124.84711,135.61827
1202000000,-125.02982,135.28157
1203000000,-124.85693,135.3044
1204000000,-125.19861,135.0143
1205000000,-125.507,134.70451
1206000000,-125.3565,134.71664
1207000000,-125.9825,134.23897
1208000000,-125.46679,134.21443
1209000000,-125.87515,134.07545
1210000000,-125.65845,133.84209
1211000000,-126.13962,133.56123
1212000000,-126.35474,133.27017
1213000000,-126.0514,133.21265
1214000000,-126.44098,132.86342
1215000000,-125.97144,132.89525
1216000000,-126.22826,132.61189
1217000000,-126.63775,132.45264
1218000000,-126.6272,132.30609
1219000000,-127.0091,131.94711
1220000000,-126.96629,131.99951
1221000000,-126.88824,131.60367
1222000000,-127.38109,131.18469
1223000000,-127.30563,131.28386
1224000000,-127.48838,130.89731
1225000000,-127.39561,130.7648
1226000000,-127.40414,130.58011
1227000000,-127.44091,130.39117
1228000000,-127.75622,130.1911
1229000000,-127.74307,130.03447
1230000000,-127.76923,129.82207
1231000000,-128.03535,129.68884
1232000000,-128.41046,129.31877
1233000000,-128.002,129.33957
1234000000,-128.2863,128.97476
1235000000,-128.60312,128.97527
1236000000,-128.63895,128.65887
1237000000,-128.33319,128.49924
1238000000,-128.8976,128.1459
1239000000,-128.79942,127.93751
1240000000,-128.98047,127.79375
1241000000,-129.33783,127.48156
1242000000,-129.06609,127.29916
1243000000,-129.15076,127.24809
