"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-12.5942449261039,-3.46923907428794,-12.6918631793899,-3.4586731052031,-7.39044944600909,-12.7206106311427
1.001,-12.598796173992,-3.46916718838511,-12.6977418093896,-3.4586122750455,-7.39480361450493,-12.7263982481669
1.002,-12.6033458356481,-3.46909553971199,-12.7036233114441,-3.45855170062661,-7.39915701135923,-12.7321884980623
1.003,-12.6078939055569,-3.46902412816471,-12.7095076690361,-3.45849138172476,-7.40350963660686,-12.7379813654939
1.004,-12.6124403782562,-3.46895295363657,-12.7153948656591,-3.45843131811522,-7.40786149030175,-12.7437768351316
1.005,-12.6169852483375,-3.46888201601807,-12.7212848848164,-3.45837150957021,-7.41221257251679,-12.7495748916503
1.006,-12.6215285104457,-3.46881131519696,-12.7271777100218,-3.45831195585894,-7.41656288334383,-12.7553755197293
1.007,-12.6260701592793,-3.46874085105816,-12.7330733247985,-3.45825265674757,-7.4209124228936,-12.7611787040522
1.008,-12.6306101895907,-3.46867062348385,-12.7389717126797,-3.45819361199927,-7.42526119129563,-12.766984429307
1.009,-12.6351485961861,-3.46860063235344,-12.7448728572077,-3.45813482137419,-7.42960918869823,-12.7727926801854
1.01,-12.6396853739255,-3.46853087754357,-12.750776741934,-3.45807628462948,-7.4339564152684,-12.7786034413831
1.011,-12.6442205177231,-3.46846135892814,-12.7566833504193,-3.45801800151931,-7.43830287119182,-12.784416697599
1.012,-12.6487540225469,-3.46839207637829,-12.7625926662328,-3.45795997179486,-7.44264855667275,-12.7902324335355
1.013,-12.6532858834194,-3.46832302976244,-12.7685046729522,-3.45790219520436,-7.44699347193398,-12.7960506338982
1.014,-12.6578160954171,-3.46825421894625,-12.7744193541636,-3.45784467149306,-7.45133761721679,-12.8018712833952
1.015,-12.662344653671,-3.4681856437927,-12.780336693461,-3.45778740040327,-7.4556809927809,-12.8076943667376
1.016,-12.6668715533666,-3.46811730416201,-12.7862566744465,-3.45773038167437,-7.46002359890439,-12.8135198686388
1.017,-12.6713967897437,-3.46804919991171,-12.7921792807295,-3.45767361504279,-7.46436543588367,-12.8193477738144
1.018,-12.675920358097,-3.46798133089664,-12.7981044959271,-3.45761710024204,-7.46870650403339,-12.8251780669822
1.019,-12.6804422537755,-3.46791369696892,-12.8040323036631,-3.45756083700273,-7.47304680368642,-12.8310107328615
1.02,-12.6849624721833,-3.46784629797801,-12.8099626875686,-3.45750482505257,-7.47738633519379,-12.8368457561732
1.021,-12.6894810087792,-3.46777913377066,-12.8158956312813,-3.45744906411636,-7.48172509892462,-12.8426831216397
1.022,-12.6939978590769,-3.46771220419099,-12.8218311184452,-3.45739355391604,-7.48606309526607,-12.8485228139845
1.023,-12.6985130186453,-3.46764550908041,-12.8277691327107,-3.45733829417065,-7.49040032462328,-12.8543648179317
1.024,-12.703026483108,-3.46757904827771,-12.8337096577341,-3.45728328459639,-7.49473678741935,-12.8602091182065
1.025,-12.7075382481442,-3.46751282161901,-12.8396526771773,-3.45722852490661,-7.49907248409522,-12.8660556995341
1.026,-12.7120483094881,-3.4674468289378,-12.845598174708,-3.45717401481179,-7.5034074151097,-12.8719045466401
1.027,-12.7165566629292,-3.46738107006493,-12.8515461339989,-3.45711975401962,-7.50774158093933,-12.8777556442501
1.028,-12.7210633043125,-3.46731554482865,-12.8574965387279,-3.45706574223494,-7.51207498207839,-12.8836089770895
1.029,-12.7255682295384,-3.46725025305455,-12.8634493725776,-3.45701197915977,-7.51640761903882,-12.8894645298831
1.03,-12.7300714345627,-3.46718519456565,-12.8694046192351,-3.45695846449335,-7.52073949235016,-12.8953222873549
1.031,-12.7345729153972,-3.46712036918235,-12.8753622623919,-3.45690519793212,-7.52507060255952,-12.9011822342282
1.032,-12.739072668109,-3.46705577672245,-12.8813222857435,-3.45685217916974,-7.5294009502315,-12.9070443552248
1.033,-12.7435706888212,-3.46699141700121,-12.8872846729893,-3.45679940789711,-7.53373053594814,-12.9129086350655
1.034,-12.7480669737125,-3.46692728983125,-12.893249407832,-3.45674688380235,-7.5380593603089,-12.9187750584691
1.035,-12.7525615190177,-3.46686339502267,-12.8992164739779,-3.45669460657085,-7.54238742393057,-12.9246436101526
1.036,-12.7570543210274,-3.466799732383,-12.9051858551363,-3.45664257588524,-7.54671472744723,-12.9305142748309
1.037,-12.7615453760885,-3.46673630171719,-12.9111575350193,-3.45659079142545,-7.5510412715102,-12.9363870372167
1.038,-12.7660346806037,-3.4666731028277,-12.9171314973415,-3.45653925286867,-7.55536705678798,-12.9422618820198
1.039,-12.770522231032,-3.46661013551442,-12.9231077258198,-3.4564879598894,-7.55969208396619,-12.9481387939473
1.04,-12.7750080238887,-3.46654739957472,-12.9290862041735,-3.45643691215944,-7.56401635374756,-12.9540177577033
1.041,-12.7794920557452,-3.46648489480345,-12.9350669161232,-3.45638610934789,-7.56833986685181,-12.9598987579885
1.042,-12.7839743232294,-3.46642262099298,-12.9410498453914,-3.4563355511212,-7.57266262401567,-12.9657817795001
1.043,-12.7884548230258,-3.46636057793314,-12.9470349757019,-3.45628523714314,-7.57698462599277,-12.9716668069314
1.044,-12.792933551875,-3.46629876541129,-12.9530222907794,-3.45623516707484,-7.58130587355361,-12.9775538249718
1.045,-12.7974105065744,-3.46623718321231,-12.9590117743494,-3.45618534057479,-7.58562636748552,-12.9834428183063
1.046,-12.801885683978,-3.46617583111861,-12.9650034101382,-3.45613575729884,-7.58994610859259,-12.9893337716153
1.047,-12.8063590809964,-3.46611470891011,-12.970997181872,-3.45608641690023,-7.59426509769562,-12.9952266695747
1.048,-12.810830694597,-3.46605381636432,-12.9769930732773,-3.45603731902959,-7.59858333563209,-13.0011214968551
1.049,-12.815300521804,-3.46599315325627,-12.9829910680802,-3.45598846333496,-7.60290082325607,-13.007018238122
1.05,-12.8197685596982,-3.46593271935855,-12.9889911500064,-3.45593984946179,-7.60721756143822,-13.0129168780352
1.051,-12.8242348054177,-3.46587251444135,-12.9949933027807,-3.45589147705295,-7.61153355106568,-13.018817401249
1.052,-12.8286992561572,-3.46581253827242,-13.0009975101271,-3.45584334574877,-7.61584879304207,-13.0247197924115
1.053,-12.8331619091687,-3.46575279061711,-13.0070037557681,-3.45579545518702,-7.62016328828741,-13.0306240361646
1.054,-12.837622761761,-3.46569327123835,-13.0130120234248,-3.45574780500292,-7.62447703773808,-13.0365301171437
1.055,-12.8420818113003,-3.46563397989671,-13.0190222968163,-3.45570039482917,-7.62879004234676,-13.0424380199774
1.056,-12.8465390552096,-3.46557491635036,-13.0250345596597,-3.45565322429598,-7.63310230308239,-13.0483477292873
1.057,-12.8509944909696,-3.4655160803551,-13.0310487956699,-3.45560629303102,-7.63741382093013,-13.0542592296877
1.058,-12.8554481161178,-3.46545747166437,-13.037064988559,-3.45555960065949,-7.64172459689127,-13.0601725057855
1.059,-12.8598999282493,-3.46539909002925,-13.0430831220363,-3.4555131468041,-7.64603463198323,-13.0660875421798
1.06,-12.8643499250165,-3.4653409351985,-13.0491031798078,-3.4554669310851,-7.65034392723946,-13.0720043234616
1.061,-12.8687981041292,-3.4652830069185,-13.0551251455763,-3.45542095312028,-7.65465248370943,-13.0779228342137
1.062,-12.8732444633546,-3.46522530493335,-13.0611490030407,-3.45537521252499,-7.65896030245858,-13.0838430590103
1.063,-12.8776890005177,-3.46516782898482,-13.0671747358961,-3.45532970891215,-7.66326738456823,-13.0897649824169
1.064,-12.8821317135006,-3.46511057881237,-13.0732023278333,-3.45528444189224,-7.66757373113556,-13.0956885889898
1.065,-12.8865726002433,-3.46505355415316,-13.0792317625386,-3.45523941107336,-7.67187934327357,-13.1016138632763
1.066,-12.8910116587433,-3.46499675474209,-13.0852630236935,-3.45519461606119,-7.67618422211101,-13.1075407898138
1.067,-12.895448887056,-3.46494018031176,-13.0912960949743,-3.45515005645906,-7.68048836879235,-13.1134693531301
1.068,-12.8998842832942,-3.46488383059251,-13.0973309600524,-3.45510573186789,-7.68479178447769,-13.1193995377429
1.069,-12.9043178456287,-3.46482770531242,-13.103367602593,-3.45506164188626,-7.68909447034276,-13.1253313281595
1.07,-12.9087495722881,-3.46477180419735,-13.109406006256,-3.45501778611042,-7.69339642757886,-13.1312647088767
1.071,-12.9131794615585,-3.4647161269709,-13.1154461546948,-3.45497416413424,-7.69769765739278,-13.1371996643805
1.072,-12.9176075117844,-3.46466067335444,-13.1214880315564,-3.45493077554932,-7.7019981610068,-13.1431361791456
1.073,-12.9220337213678,-3.46460544306715,-13.1275316204812,-3.45488761994491,-7.70629793965858,-13.1490742376354
1.074,-12.9264580887687,-3.46455043582598,-13.1335769051025,-3.454844696908,-7.71059699460118,-13.1550138243019
1.075,-12.9308806125053,-3.4644956513457,-13.1396238690465,-3.45480200602325,-7.71489532710295,-13.1609549235849
1.076,-12.9353012911536,-3.46444108933889,-13.1456724959316,-3.4547595468731,-7.71919293844754,-13.1668975199121
1.077,-12.9397201233477,-3.46438674951596,-13.1517227693686,-3.45471731903769,-7.7234898299338,-13.172841597699
