Freq,Thru2,Thru,S180,S90
1,-28.621864,-23.483025,-20.406538,-26.402018
1.001,-28.669323,-23.571014,-20.367002,-26.309731
1.002,-28.472574,-23.483198,-20.388798,-26.373318
1.003,-28.481867,-23.558594,-20.40848,-26.198553
1.004,-28.149145,-23.404593,-20.365675,-26.312138
1.005,-28.311935,-23.550976,-20.384527,-26.117128
1.006,-28.20104,-23.505821,-20.399536,-26.105093
1.007,-28.228037,-23.609838,-20.331106,-26.023304
1.008,-28.092165,-23.550293,-20.318056,-26.021843
1.009,-28.022202,-23.563517,-20.328909,-25.962976
1.01,-27.932211,-23.576969,-20.32696,-25.93354
1.011,-27.89319,-23.544319,-20.272821,-25.968801
1.012,-27.90403,-23.654726,-20.360178,-25.831696
1.013,-27.890265,-23.662518,-20.304335,-25.810434
1.014,-27.721508,-23.655586,-20.244858,-25.793427
1.015,-27.671932,-23.625957,-20.269053,-25.743168
1.016,-27.730995,-23.711489,-20.355164,-25.608549
1.017,-27.672195,-23.761976,-20.19054,-25.613235
1.018,-27.641527,-23.742168,-20.280605,-25.569437
1.019,-27.505413,-23.727098,-20.147635,-25.596392
1.02,-27.407873,-23.643456,-20.262018,-25.584892
1.021,-27.346912,-23.685501,-20.196476,-25.523211
1.022,-27.349909,-23.732031,-20.213974,-25.452326
1.023,-27.20558,-23.719498,-20.180305,-25.461723
1.024,-27.153414,-23.661524,-20.134443,-25.507936
1.025,-27.138441,-23.729458,-20.13633,-25.469069
1.026,-27.073463,-23.736473,-20.073914,-25.400589
1.027,-27.090683,-23.771936,-20.136419,-25.355459
1.028,-27.027731,-23.785753,-20.093975,-25.300482
1.029,-26.865955,-23.684896,-20.159323,-25.288853
1.03,-26.871735,-23.779919,-20.116987,-25.249462
1.031,-26.844044,-23.785437,-20.118038,-25.281378
1.032,-26.827423,-23.807266,-20.084503,-25.20722
1.033,-26.78484,-23.811666,-20.054165,-25.150484
1.034,-26.650961,-23.749243,-20.08564,-25.126741
1.035,-26.629545,-23.784332,-20.1143,-25.084488
1.036,-26.588104,-23.831049,-20.021666,-25.032507
1.037,-26.456326,-23.73534,-20.051115,-25.084173
1.038,-26.548801,-23.871809,-20.036068,-24.944561
1.039,-26.43519,-23.788673,-20.086376,-24.965342
1.04,-26.372656,-23.789061,-20.124353,-24.951664
1.041,-26.304232,-23.810026,-20.087862,-24.838417
1.042,-26.221703,-23.732529,-20.09358,-24.910141
1.043,-26.182554,-23.784094,-20.123518,-24.845695
1.044,-26.210905,-23.855907,-20.084383,-24.698009
1.045,-26.092236,-23.803644,-20.124746,-24.774147
1.046,-26.100231,-23.88055,-20.059525,-24.645712
1.047,-26.022715,-23.898838,-20.032522,-24.709183
1.048,-25.99506,-23.896416,-20.091343,-24.561134
1.049,-25.897503,-23.837912,-20.082468,-24.582733
1.05,-25.845758,-23.880285,-20.066339,-24.64637
1.051,-25.820042,-23.885813,-20.043802,-24.549992
