Freq,S11_HFSS,S22_HFSS,S33_HFSS,S11_Milled,S22_Milled,S33_Milled
1,-12.59424493,-12.69186318,-12.72061063,-14.300021,-15.753864,-16.151348
1.001,-12.59879617,-12.69774181,-12.72639825,-14.306345,-15.802276,-16.189804
1.002,-12.60334584,-12.70362331,-12.7321885,-14.278394,-15.815721,-16.216301
1.003,-12.60789391,-12.70950767,-12.73798137,-14.290505,-15.816309,-16.210897
1.004,-12.61244038,-12.71539487,-12.74377684,-14.275203,-15.814073,-16.221418
1.005,-12.61698525,-12.72128488,-12.74957489,-14.321868,-15.822076,-16.201962
1.006,-12.62152851,-12.72717771,-12.75537552,-14.305704,-15.845732,-16.228117
1.007,-12.62607016,-12.73307332,-12.7611787,-14.304113,-15.839893,-16.244194
1.008,-12.63061019,-12.73897171,-12.76698443,-14.306793,-15.810659,-16.212637
1.009,-12.6351486,-12.74487286,-12.77279268,-14.316817,-15.852491,-16.267431
1.01,-12.63968537,-12.75077674,-12.77860344,-14.279301,-15.867419,-16.275961
1.011,-12.64422052,-12.75668335,-12.7844167,-14.339478,-15.852005,-16.254179
1.012,-12.64875402,-12.76259267,-12.79023243,-14.363085,-15.867474,-16.256683
1.013,-12.65328588,-12.76850467,-12.79605063,-14.353533,-15.815397,-16.246349
1.014,-12.6578161,-12.77441935,-12.80187128,-14.317296,-15.870024,-16.305363
1.015,-12.66234465,-12.78033669,-12.80769437,-14.381784,-15.875871,-16.29195
1.016,-12.66687155,-12.78625667,-12.81351987,-14.351166,-15.965344,-16.369438
1.017,-12.67139679,-12.79217928,-12.81934777,-14.354682,-15.940546,-16.32445
1.018,-12.67592036,-12.7981045,-12.82517807,-14.400917,-15.890702,-16.323408
1.019,-12.68044225,-12.8040323,-12.83101073,-14.396955,-15.912082,-16.342201
1.02,-12.68496247,-12.80996269,-12.83684576,-14.393271,-15.954394,-16.381435
1.021,-12.68948101,-12.81589563,-12.84268312,-14.409789,-15.975022,-16.363312
1.022,-12.69399786,-12.82183112,-12.84852281,-14.337261,-15.933745,-16.328512
1.023,-12.69851302,-12.82776913,-12.85436482,-14.4259,-15.924234,-16.360205
1.024,-12.70302648,-12.83370966,-12.86020912,-14.398869,-15.944427,-16.367695
1.025,-12.70753825,-12.83965268,-12.8660557,-14.446362,-16.010855,-16.411549
1.026,-12.71204831,-12.84559817,-12.87190455,-14.397699,-15.934181,-16.360907
1.027,-12.71655666,-12.85154613,-12.87775564,-14.431259,-15.979423,-16.373524
1.028,-12.7210633,-12.85749654,-12.88360898,-14.439301,-15.958591,-16.38236
1.029,-12.72556823,-12.86344937,-12.88946453,-14.466365,-15.954919,-16.379059
1.03,-12.73007143,-12.86940462,-12.89532229,-14.462805,-15.974211,-16.397013
1.031,-12.73457292,-12.87536226,-12.90118223,-14.438236,-15.976389,-16.383158
1.032,-12.73907267,-12.88132229,-12.90704436,-14.46242,-15.990837,-16.427473
1.033,-12.74357069,-12.88728467,-12.91290864,-14.44999,-16.027342,-16.461773
1.034,-12.74806697,-12.89324941,-12.91877506,-14.48852,-16.028801,-16.429487
1.035,-12.75256152,-12.89921647,-12.92464361,-14.448808,-16.030109,-16.457756
1.036,-12.75705432,-12.90518586,-12.93051427,-14.45181,-16.029902,-16.472439
1.037,-12.76154538,-12.91115754,-12.93638704,-14.439985,-15.99801,-16.457439
1.038,-12.76603468,-12.9171315,-12.94226188,-14.503059,-16.013002,-16.442909
1.039,-12.77052223,-12.92310773,-12.94813879,-14.535621,-16.036364,-16.442665
1.04,-12.77500802,-12.9290862,-12.95401776,-14.484746,-16.063087,-16.481909
