Freq,S21,S31,S32
1,-92.324867,-92.159378,-143.53526
1.001,-92.618996,-92.301765,-143.56146
1.002,-92.510437,-92.38604,-143.58739
1.003,-92.584183,-92.329857,-143.84628
1.004,-92.748024,-92.610458,-143.98386
1.005,-92.837288,-92.521233,-143.89107
1.006,-93.065903,-92.885284,-144.18852
1.007,-93.042694,-92.820198,-144.44316
1.008,-93.054947,-92.989426,-144.38304
1.009,-93.232765,-93.053368,-144.39946
1.01,-93.445053,-93.223839,-144.80898
1.011,-93.460754,-93.310478,-144.82968
1.012,-93.30349,-93.130272,-144.7197
1.013,-93.606689,-93.489563,-145.01414
1.014,-93.505173,-93.490288,-145.1317
1.015,-93.821136,-93.65554,-145.2863
1.016,-93.793373,-93.5746,-145.34911
1.017,-93.940063,-93.856781,-145.54059
1.018,-94.182045,-93.99688,-145.78693
1.019,-94.024826,-93.803505,-145.72414
1.02,-94.262505,-93.982758,-145.71889
1.021,-94.421539,-94.197746,-145.96173
1.022,-94.343704,-94.11824,-145.7417
1.023,-94.56752,-94.399864,-146.36978
1.024,-94.647392,-94.488953,-146.29291
1.025,-94.647575,-94.593346,-146.47495
1.026,-94.687538,-94.52179,-146.57434
1.027,-94.917709,-94.553856,-146.52391
1.028,-94.972069,-94.670509,-146.71808
1.029,-94.867966,-94.780907,-146.87666
1.03,-95.210449,-95.124573,-146.99867
1.031,-95.34095,-94.976486,-147.03735
1.032,-95.456284,-95.302223,-147.24063
1.033,-95.436783,-95.22316,-147.20256
1.034,-95.410004,-95.3563,-147.38504
1.035,-95.521469,-95.50264,-147.36069
1.036,-95.742996,-95.557137,-147.62738
1.037,-95.892395,-95.77047,-147.99716
1.038,-95.728302,-95.728394,-147.93617
1.039,-96.008804,-95.812218,-148.22974
1.04,-96.116722,-95.783142,-148.10004
1.041,-96.223335,-95.971642,-148.38872
1.042,-96.32148,-95.938438,-148.49551
1.043,-96.192612,-96.123047,-148.50842
1.044,-96.338654,-96.140785,-148.48169
1.045,-96.647469,-96.495705,-148.87733
1.046,-96.823257,-96.688301,-149.09877
1.047,-96.613792,-96.313644,-148.93602
1.048,-96.749992,-96.560295,-148.88977
1.049,-96.831131,-96.63678,-149.32576
1.05,-96.936119,-96.837616,-149.43123
1.051,-97.158203,-96.908943,-149.50186
1.052,-97.1231,-96.93502,-149.57971
1.053,-97.244598,-97.013763,-149.91235
1.054,-97.325966,-97.304535,-149.91995
1.055,-97.399048,-97.173752,-149.80867
1.056,-97.360542,-97.310471,-149.77927
1.057,-97.719063,-97.666771,-150.28192
1.058,-97.712112,-97.401924,-150.25621
1.059,-97.768295,-97.714661,-150.59578
1.06,-97.97023,-97.861031,-150.41461
1.061,-98.008583,-97.866165,-150.66342
1.062,-98.15979,-98.098755,-150.9104
1.063,-98.187325,-97.963539,-150.79814
1.064,-98.413864,-98.216835,-150.90715
1.065,-98.61985,-98.218765,-151.32384
1.066,-98.589424,-98.471321,-151.41034
1.067,-98.598122,-98.513115,-151.54503
1.068,-98.712021,-98.57695,-151.59293
1.069,-98.737404,-98.536728,-151.43889
1.07,-98.752518,-98.746872,-151.6093
1.071,-98.885551,-98.704292,-151.92261
1.072,-99.004326,-98.799904,-151.89133
1.073,-99.022079,-98.855576,-151.87845
1.074,-99.112251,-98.885574,-152.19185
1.075,-99.259468,-99.269653,-152.38765
1.076,-99.501709,-99.279434,-152.54509
1.077,-99.565483,-99.447571,-152.7493
1.078,-99.601852,-99.367409,-152.82423
1.079,-99.701164,-99.446312,-152.90192
1.08,-99.810677,-99.682167,-152.97586
1.081,-99.685272,-99.506966,-152.94641
1.082,-99.966278,-99.747086,-153.19374
1.083,-100.18055,-99.859741,-153.38493
1.084,-100.03252,-99.971344,-153.41692
1.085,-100.13791,-99.998352,-153.60567
1.086,-100.32151,-100.32008,-153.7744
1.087,-100.29063,-100.23484,-153.90762
1.088,-100.41663,-100.38335,-154.03763
1.089,-100.64368,-100.59817,-154.0481
1.09,-100.75985,-100.75095,-154.26804
1.091,-100.90914,-100.6387,-154.38539
1.092,-100.86921,-100.62793,-154.33687
1.093,-101.05634,-100.84148,-154.59894
1.094,-100.98653,-100.91938,-154.73514
1.095,-101.3338,-101.12611,-154.74344
1.096,-101.18757,-101.16837,-154.82074
1.097,-101.35282,-101.16645,-155.04617
1.098,-101.42706,-101.29339,-155.09821
1.099,-101.57328,-101.50575,-155.44133
1.1,-101.6483,-101.57749,-155.31616
1.101,-101.90915,-101.61042,-155.63936
