!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 17:56:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-5.7232323,-117.87347,-1.9749205,-116.65824
1001000000,-5.6914315,-117.91476,-1.9642535,-116.71646
1002000000,-5.7211499,-118.44234,-2.0096245,-116.90717
1003000000,-5.7187357,-118.51006,-1.9896969,-117.04652
1004000000,-5.6852603,-118.54804,-1.9838747,-117.071
1005000000,-5.6871138,-118.89753,-1.9848129,-117.32352
1006000000,-5.6791744,-118.96596,-1.9820299,-117.27834
1007000000,-5.6677752,-119.0021,-1.9885505,-117.4249
1008000000,-5.6641297,-119.39418,-1.9976661,-117.61406
1009000000,-5.67138,-119.53703,-1.9919771,-117.74013
1010000000,-5.6661758,-119.6457,-2.0063119,-117.76985
1011000000,-5.6334252,-119.78568,-1.9895861,-117.93405
1012000000,-5.6387386,-120.04935,-2.0045471,-118.08322
1013000000,-5.6480794,-120.20481,-2.0137467,-118.31342
1014000000,-5.63131,-120.47404,-2.0385065,-118.28034
1015000000,-5.6213279,-120.48403,-2.0168989,-118.30531
1016000000,-5.6277475,-120.8003,-2.0068543,-118.63251
1017000000,-5.6332049,-120.91942,-2.022053,-118.67001
1018000000,-5.6340423,-121.11942,-2.0171738,-118.60787
1019000000,-5.6130586,-121.40748,-2.031997,-118.9706
1020000000,-5.6469574,-121.57592,-2.0637388,-119.08978
1021000000,-5.5807409,-121.62742,-2.0329964,-119.01565
1022000000,-5.5899463,-121.8559,-2.026387,-119.2033
1023000000,-5.5794673,-121.99745,-2.0348132,-119.29569
1024000000,-5.5656924,-122.27246,-2.0442417,-119.4712
1025000000,-5.5614176,-122.71317,-2.0640664,-119.76768
1026000000,-5.5734358,-122.60717,-2.0545127,-119.76819
1027000000,-5.5551629,-123.02918,-2.0653839,-120.03728
1028000000,-5.5399771,-123.05798,-2.0446849,-120.11073
1029000000,-5.5751228,-123.08923,-2.0797248,-119.8741
1030000000,-5.548955,-123.59028,-2.0648835,-120.39999
1031000000,-5.550179,-123.75334,-2.1063075,-120.58851
1032000000,-5.5162067,-124.21105,-2.0738773,-120.67799
1033000000,-5.5082159,-124.02042,-2.0651271,-120.62804
1034000000,-5.4967799,-124.10373,-2.0581212,-120.75209
1035000000,-5.5124693,-124.54529,-2.0934944,-120.94988
1036000000,-5.4675951,-124.82355,-2.0761402,-121.24783
1037000000,-5.4599442,-125.06075,-2.0754139,-121.24608
1038000000,-5.4855061,-125.09696,-2.1020148,-121.30594
1039000000,-5.4886928,-125.356,-2.1054823,-121.43237
1040000000,-5.4859896,-125.43487,-2.1144931,-121.52872
1041000000,-5.5089741,-125.50275,-2.1240022,-121.39194
1042000000,-5.5109434,-125.75258,-2.1488249,-121.56538
1043000000,-5.4718876,-125.75524,-2.1483741,-121.7489
1044000000,-5.4459448,-126.27567,-2.1001358,-122.15616
1045000000,-5.4621677,-126.50046,-2.1448715,-122.16535
1046000000,-5.4719133,-126.52802,-2.120059,-122.24403
1047000000,-5.4339504,-126.81628,-2.1419785,-122.4693
1048000000,-5.4485378,-126.79469,-2.1434498,-122.36874
1049000000,-5.4232969,-127.15918,-2.1398187,-122.6452
1050000000,-5.4358883,-127.34525,-2.1728516,-122.74884
1051000000,-5.4189558,-127.34108,-2.1629813,-122.68932
1052000000,-5.3849311,-127.80746,-2.1323674,-123.15862
1053000000,-5.4240146,-127.81105,-2.1892631,-122.98309
1054000000,-5.3807836,-127.90784,-2.1527917,-123.09615
1055000000,-5.3756194,-128.23753,-2.1607654,-123.48761
1056000000,-5.383996,-128.33118,-2.1294379,-123.31667
1057000000,-5.3923402,-128.56329,-2.1524127,-123.41309
1058000000,-5.3869858,-128.72795,-2.1627429,-123.6105
1059000000,-5.3934622,-129.05374,-2.1859043,-123.97971
1060000000,-5.3435254,-129.23993,-2.1618323,-123.83841
1061000000,-5.336319,-129.32536,-2.1486862,-124.12126
1062000000,-5.3585253,-129.56691,-2.1813893,-124.17959
1063000000,-5.355195,-129.78871,-2.1918046,-124.38984
1064000000,-5.3532686,-130.11624,-2.2160568,-124.50733
