!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:03:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.17678721,-143.31921,-26.838631,111.64662
1001000000,-0.19320187,-143.56825,-26.662399,111.96074
1002000000,-0.1631719,-143.70511,-26.642412,111.80949
1003000000,-0.19323893,-143.76959,-26.595097,112.50338
1004000000,-0.18707676,-143.98482,-26.532009,110.86396
1005000000,-0.18362379,-144.16017,-26.432657,111.28609
1006000000,-0.18979537,-144.07932,-26.345978,111.1607
1007000000,-0.20301549,-144.49716,-26.251278,109.86017
1008000000,-0.19853374,-144.68175,-26.210266,111.41724
1009000000,-0.21552341,-144.48222,-26.175039,110.4914
1010000000,-0.16472962,-144.88596,-26.099892,110.22378
1011000000,-0.19223735,-144.97568,-26.137173,110.85542
1012000000,-0.17784803,-145.10228,-25.976139,110.55464
1013000000,-0.18924636,-145.08089,-25.987204,110.02774
1014000000,-0.22996002,-145.34727,-25.837721,109.88796
1015000000,-0.18448859,-145.57227,-25.711174,109.69653
1016000000,-0.17167147,-145.80087,-25.546322,109.00872
1017000000,-0.16016009,-145.56445,-25.767715,109.65063
1018000000,-0.1658971,-145.89125,-25.564297,109.50966
1019000000,-0.21188591,-145.97656,-25.453014,108.86869
1020000000,-0.15810937,-146.43314,-25.4016,109.4625
1021000000,-0.19040994,-146.26991,-25.390326,109.23837
1022000000,-0.19290094,-146.68536,-25.350319,108.7371
1023000000,-0.17542994,-146.80463,-25.188381,108.75722
1024000000,-0.20854235,-146.69562,-25.141447,108.48586
1025000000,-0.1873633,-147.03917,-25.064352,107.54092
1026000000,-0.18582673,-147.24414,-24.951834,107.63095
1027000000,-0.19862399,-147.19817,-24.911928,108.97082
1028000000,-0.19063537,-147.36319,-24.806459,108.27063
1029000000,-0.20702724,-147.38763,-24.757732,108.18096
1030000000,-0.17703326,-147.71948,-24.673374,107.65597
1031000000,-0.19872835,-148.02812,-24.673635,107.10157
1032000000,-0.19745541,-147.95769,-24.579805,106.46075
1033000000,-0.21028988,-148.07022,-24.5784,106.46925
1034000000,-0.1901287,-148.16507,-24.483782,106.51266
1035000000,-0.22845325,-148.34505,-24.413948,107.03786
1036000000,-0.17129901,-148.49709,-24.343025,106.94035
1037000000,-0.2431791,-148.63028,-24.261467,105.9902
1038000000,-0.22224414,-148.85536,-24.240162,105.42374
1039000000,-0.22119862,-149.09189,-24.262823,105.13414
1040000000,-0.21122117,-149.13882,-24.161505,105.39304
1041000000,-0.21488021,-149.17967,-24.172512,106.62886
1042000000,-0.19143836,-149.56766,-24.126392,105.64372
1043000000,-0.19676077,-149.62877,-23.979588,104.94058
1044000000,-0.20531237,-149.62517,-23.890127,105.11361
1045000000,-0.18697445,-150.05299,-23.846334,104.4855
1046000000,-0.22095372,-150.12042,-23.903313,104.81135
1047000000,-0.19022427,-150.22736,-23.761671,104.48487
1048000000,-0.20262764,-150.20824,-23.821033,104.97119
1049000000,-0.20281674,-150.41516,-23.699081,103.92696
