!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:17:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.17577635,-167.89384,-22.851839,113.64322
1001000000,-0.16629748,-168.18524,-22.741499,113.43488
1002000000,-0.17886598,-168.27731,-22.737419,113.428
1003000000,-0.19518307,-168.20934,-22.691935,113.77567
1004000000,-0.19247487,-168.67451,-22.645954,112.94294
1005000000,-0.17513895,-168.74739,-22.58638,113.03115
1006000000,-0.17323743,-168.85884,-22.499367,112.59582
1007000000,-0.19385903,-169.05859,-22.504959,112.47021
1008000000,-0.17119832,-169.30673,-22.40316,112.58965
1009000000,-0.2099607,-169.37172,-22.396929,111.96323
1010000000,-0.15754975,-169.70465,-22.326502,112.05416
1011000000,-0.18137346,-169.64609,-22.26395,112.17732
1012000000,-0.15396912,-169.7805,-22.218475,112.19769
1013000000,-0.17266712,-169.96512,-22.162865,111.74867
1014000000,-0.22028238,-170.2061,-22.165054,111.61101
1015000000,-0.16825038,-170.28058,-22.032482,111.58463
1016000000,-0.17673911,-170.55257,-22.010811,110.77579
1017000000,-0.18620564,-170.45747,-22.010355,111.49174
1018000000,-0.20616272,-170.83792,-21.973869,110.93677
1019000000,-0.21210545,-170.90216,-21.911156,110.69491
1020000000,-0.1601913,-171.21016,-21.805891,110.67424
1021000000,-0.16818787,-171.30644,-21.752516,110.60998
1022000000,-0.19179867,-171.61557,-21.72578,110.00286
1023000000,-0.19855577,-171.90787,-21.668596,109.8465
1024000000,-0.21178409,-171.85307,-21.62229,109.66573
1025000000,-0.1722523,-172.1265,-21.570549,109.49864
1026000000,-0.1672361,-172.31224,-21.490776,109.2522
1027000000,-0.19137391,-172.38702,-21.453199,109.45187
1028000000,-0.17802282,-172.43176,-21.406546,109.31036
1029000000,-0.17766675,-172.50336,-21.359272,109.18907
1030000000,-0.19527589,-172.90855,-21.345646,108.86722
1031000000,-0.17402126,-173.06076,-21.243534,108.7438
1032000000,-0.19982314,-173.16573,-21.256838,108.17662
1033000000,-0.2056082,-173.52272,-21.213688,107.88742
1034000000,-0.15752222,-173.69911,-21.107588,107.96403
1035000000,-0.20616075,-173.68147,-21.095833,107.99078
1036000000,-0.18398649,-173.71017,-21.058741,108.14372
1037000000,-0.20841947,-173.89978,-21.018229,107.71932
1038000000,-0.20500004,-174.13063,-20.997976,107.38749
1039000000,-0.22361939,-174.42238,-20.995499,107.17471
1040000000,-0.19581689,-174.69788,-20.908567,106.82697
1041000000,-0.19087808,-174.58682,-20.875874,107.27537
1042000000,-0.21278377,-174.91124,-20.861479,107.03255
1043000000,-0.20574993,-175.07608,-20.820482,106.49699
1044000000,-0.1766535,-175.17383,-20.725773,106.52963
1045000000,-0.17550272,-175.45621,-20.676498,106.41924
1046000000,-0.19483195,-175.61157,-20.711327,106.1369
1047000000,-0.1619934,-175.62358,-20.610176,106.14554
1048000000,-0.2185486,-175.69716,-20.678782,106.18864
1049000000,-0.20617029,-176.15822,-20.59012,105.70098
1050000000,-0.17424582,-176.0136,-20.586626,105.67518
1051000000,-0.1893374,-176.47223,-20.54174,105.29877
1052000000,-0.20420064,-176.65681,-20.516731,104.97376
1053000000,-0.18372266,-176.91515,-20.466297,104.72834
1054000000,-0.1900063,-176.78427,-20.443972,104.87691
1055000000,-0.17874098,-177.07181,-20.414904,104.86874
1056000000,-0.21865198,-177.13223,-20.397871,104.64407
1057000000,-0.18656702,-177.38884,-20.357563,104.17405
1058000000,-0.21414439,-177.3855,-20.345123,104.37328
1059000000,-0.19326104,-177.74394,-20.315039,104.02106
1060000000,-0.2342044,-177.89337,-20.325312,103.7992
1061000000,-0.24284926,-177.86761,-20.318821,103.89307
1062000000,-0.1854368,-178.22206,-20.210526,103.65504
1063000000,-0.18720956,-178.39252,-20.20079,103.42214
1064000000,-0.21113937,-178.5255,-20.140753,103.26296
1065000000,-0.1935737,-178.92729,-20.146713,102.78947
1066000000,-0.22776015,-178.78078,-20.139769,103.04064
1067000000,-0.18822192,-178.99449,-20.075686,103.01805
1068000000,-0.20413311,-179.22757,-20.069906,102.50891
1069000000,-0.18699381,-179.29202,-20.045134,102.57613
1070000000,-0.21110582,-179.60344,-20.01083,102.06235
1071000000,-0.16580994,-179.72498,-19.92886,102.13704
1072000000,-0.23294023,-179.84554,-19.967358,101.76662
1073000000,-0.17778303,-180.18529,-19.887812,101.66438
1074000000,-0.2068827,-180.15945,-19.869085,101.69304
1075000000,-0.20557201,-180.22531,-19.866737,101.57607
1076000000,-0.20435713,-180.61972,-19.803513,101.25357
1077000000,-0.21095735,-180.8107,-19.801558,100.89146
1078000000,-0.21537849,-180.82083,-19.772478,100.95815
1079000000,-0.20846669,-181.13084,-19.747786,100.59369
1080000000,-0.22981535,-181.23793,-19.741344,100.46964
1081000000,-0.19581723,-181.53784,-19.669605,100.35621
1082000000,-0.2185436,-181.71141,-19.656473,99.957191
1083000000,-0.20698673,-181.80652,-19.641171,100.01355
1084000000,-0.21031205,-181.92479,-19.61804,99.972267
1085000000,-0.20864984,-182.05295,-19.60421,99.789787
1086000000,-0.19354583,-182.332,-19.559803,99.503456
1087000000,-0.22087489,-182.5585,-19.534569,99.529343
1088000000,-0.20908631,-182.48474,-19.50205,99.40464
1089000000,-0.2274223,-182.78407,-19.509506,99.181664
1090000000,-0.20505448,-182.81966,-19.439491,99.150154
1091000000,-0.22060896,-183.17368,-19.444407,98.611031
1092000000,-0.20553161,-183.33389,-19.391769,98.531845
1093000000,-0.2029911,-183.45464,-19.349461,98.553383
1094000000,-0.18738583,-183.50516,-19.302443,98.722076
1095000000,-0.21343923,-183.92552,-19.29924,97.99633
1096000000,-0.22545181,-183.81039,-19.295784,98.285942
1097000000,-0.19688217,-183.99457,-19.261395,98.076599
1098000000,-0.20070472,-184.20273,-19.214222,97.764755
1099000000,-0.21490242,-184.56265,-19.192038,97.584839
1100000000,-0.23058927,-184.43228,-19.214405,97.633354
1101000000,-0.21230671,-184.51353,-19.170164,97.599831
1102000000,-0.17534621,-184.69409,-19.104961,97.687622
1103000000,-0.21334337,-185.19862,-19.120243,97.001564
1104000000,-0.21148738,-185.1636,-19.117775,97.000412
1105000000,-0.22781928,-185.38487,-19.072931,96.965813
1106000000,-0.23125452,-185.53181,-19.068392,96.718262
1107000000,-0.22914781,-185.73587,-19.073116,96.508347
1108000000,-0.23134984,-186.01099,-19.015318,96.033401
1109000000,-0.22225586,-186.17941,-19.003359,96.142532
1110000000,-0.21932063,-186.19008,-18.960352,96.08551
1111000000,-0.17294909,-186.42404,-18.920177,95.984108
1112000000,-0.21834475,-186.66707,-18.939243,95.591484
1113000000,-0.23034611,-186.74638,-18.960899,95.58313
1114000000,-0.23261617,-186.84554,-18.94795,95.522995
1115000000,-0.23155823,-187.17606,-18.893591,95.146065
