!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:10:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.21456638,-144.90526,-35.4879,75.906998
1001000000,-0.25179914,-145.23486,-35.304619,78.386971
1002000000,-0.21102801,-145.39317,-35.338963,79.072021
1003000000,-0.24886198,-145.33453,-35.320229,81.828018
1004000000,-0.24625036,-145.55626,-35.049141,79.539513
1005000000,-0.23931161,-145.75829,-34.777676,81.721992
1006000000,-0.23125847,-145.7459,-34.499218,83.906067
1007000000,-0.24475498,-146.06464,-34.305092,82.321457
1008000000,-0.22441739,-146.29514,-34.2355,85.725639
1009000000,-0.26197916,-146.20409,-34.114483,84.978821
1010000000,-0.20718339,-146.59741,-33.936764,85.363678
1011000000,-0.22879556,-146.54675,-34.070663,86.918381
1012000000,-0.21026331,-146.791,-33.660328,87.79245
1013000000,-0.23906034,-146.82576,-33.659508,87.233711
1014000000,-0.24526793,-147.08934,-33.402161,89.162338
1015000000,-0.20793894,-147.12984,-33.018082,89.799492
1016000000,-0.22767937,-147.4362,-32.70266,90.055153
1017000000,-0.23404185,-147.29922,-33.25507,89.910957
1018000000,-0.21516743,-147.5062,-32.696251,91.562981
1019000000,-0.24695432,-147.75313,-32.5634,91.073967
1020000000,-0.23941161,-148.04747,-32.593388,92.68586
1021000000,-0.24016397,-148.09787,-32.308823,92.884201
1022000000,-0.2382824,-148.25377,-32.165462,93.445198
1023000000,-0.24035972,-148.50395,-31.93441,93.659378
1024000000,-0.27042466,-148.57199,-31.715088,94.156868
1025000000,-0.24631487,-148.54326,-31.588003,93.960129
1026000000,-0.23684552,-148.9534,-31.330311,94.837296
1027000000,-0.24346909,-148.90276,-31.269754,97.041924
1028000000,-0.26476046,-148.89503,-31.080376,96.965416
1029000000,-0.21585125,-149.06923,-30.793131,97.243683
1030000000,-0.24075656,-149.35179,-30.763931,96.795883
1031000000,-0.24491823,-149.56627,-30.649893,96.981453
1032000000,-0.26730862,-149.62086,-30.486031,95.920708
1033000000,-0.26779881,-149.97484,-30.383934,96.037056
1034000000,-0.22329564,-149.92393,-30.213074,96.953804
