!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 16:32:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.17057019,-141.04346,-20.169868,152.6077
1001000000,-0.13156426,-141.10461,-20.016636,152.33546
1002000000,-0.17044243,-141.65221,-20.113371,151.5984
1003000000,-0.18406644,-141.4966,-20.011717,152.05438
1004000000,-0.15272968,-141.51701,-20.096352,151.49503
1005000000,-0.14926733,-141.8799,-19.924267,151.39253
1006000000,-0.1770438,-141.92664,-19.961945,151.51851
1007000000,-0.14198183,-141.97156,-19.811533,150.78328
1008000000,-0.15417069,-141.96492,-19.83251,150.76447
1009000000,-0.17529236,-142.26582,-19.778112,150.52124
1010000000,-0.17749257,-142.37091,-19.78326,150.50266
1011000000,-0.16626346,-142.5239,-19.74066,149.90005
1012000000,-0.1705482,-142.74008,-19.667862,149.82072
1013000000,-0.16298707,-142.85004,-19.593542,149.43231
1014000000,-0.16661206,-142.79645,-19.580849,149.16194
1015000000,-0.16716985,-143.02834,-19.592926,149.48561
1016000000,-0.15482789,-143.18527,-19.45429,149.43323
1017000000,-0.20541905,-143.54153,-19.416403,148.11745
1018000000,-0.16004455,-143.44351,-19.356531,148.90295
1019000000,-0.17851362,-143.7148,-19.344543,147.90947
1020000000,-0.20410115,-143.87225,-19.410488,148.03815
1021000000,-0.15756623,-143.95799,-19.334503,147.50531
1022000000,-0.17544243,-144.10568,-19.228378,147.69489
1023000000,-0.17835926,-144.10683,-19.248415,147.36528
1024000000,-0.1789324,-144.35916,-19.273855,146.85573
1025000000,-0.18302324,-144.54639,-19.189371,146.35529
1026000000,-0.17973928,-144.67805,-19.117474,146.11295
1027000000,-0.18207097,-144.78229,-19.087719,146.28763
1028000000,-0.15694822,-144.91406,-19.027756,146.07637
1029000000,-0.18407221,-145.01448,-19.056038,146.1729
1030000000,-0.19830109,-145.28325,-19.022951,145.42299
1031000000,-0.18111306,-145.39781,-18.995396,145.06184
1032000000,-0.15051982,-145.62086,-18.90514,145.05722
1033000000,-0.16568461,-145.75574,-18.859446,144.74345
1034000000,-0.16542782,-145.73994,-18.850531,144.52554
1035000000,-0.16186158,-146.04689,-18.8349,144.53868
1036000000,-0.17280078,-146.21205,-18.782118,143.86761
1037000000,-0.17501767,-146.26357,-18.825243,144.16411
1038000000,-0.16475332,-146.49113,-18.681028,143.5952
1039000000,-0.17360888,-146.49573,-18.718061,143.72472
1040000000,-0.17632668,-146.54823,-18.725096,143.67534
1041000000,-0.20155565,-146.69449,-18.669924,143.52051
1042000000,-0.21685225,-146.84425,-18.71353,143.24881
1043000000,-0.20423506,-146.9877,-18.665565,142.95897
1044000000,-0.17380722,-147.19453,-18.52693,142.72324
1045000000,-0.17055582,-147.54268,-18.555622,142.53372
1046000000,-0.19849181,-147.46764,-18.459381,142.35468
1047000000,-0.15743688,-147.52731,-18.448641,142.0262
1048000000,-0.18029103,-147.96619,-18.410238,141.77946
1049000000,-0.17030619,-147.91298,-18.433052,141.75854
1050000000,-0.1895552,-148.18195,-18.420975,141.16513
1051000000,-0.187259,-148.05479,-18.367054,141.46674
1052000000,-0.1867186,-148.42604,-18.358761,140.41647
1053000000,-0.1955222,-148.3553,-18.35359,141.13326
1054000000,-0.19089521,-148.44623,-18.286589,140.79858
1055000000,-0.18378569,-148.63287,-18.241325,140.15373
1056000000,-0.18103698,-148.67169,-18.12426,140.67065
1057000000,-0.18631922,-149.06563,-18.212694,140.19218
1058000000,-0.19305375,-149.19025,-18.150635,140.22693
