!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:03:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,0.7284174,76.989075
1001000000,0.64158767,77.469376
1002000000,0.78695554,77.834755
1003000000,0.71600854,77.73951
1004000000,0.33775243,78.237846
1005000000,0.62168992,78.416832
1006000000,0.5638324,78.530052
1007000000,0.56364805,78.942513
1008000000,0.77310085,79.019463
1009000000,0.56487155,79.411873
1010000000,0.94047052,79.396507
1011000000,0.97218686,79.803474
1012000000,0.75398654,79.584625
1013000000,0.82984149,80.250755
1014000000,0.92401135,80.488808
1015000000,0.57928348,80.491318
1016000000,0.57953775,80.598396
1017000000,0.84824806,81.162613
1018000000,0.78866696,81.266335
1019000000,0.91588748,81.271378
1020000000,0.67844433,81.552216
1021000000,1.0464413,81.892105
1022000000,1.0487703,82.131187
1023000000,0.95199263,82.503288
1024000000,0.73993367,82.842621
1025000000,0.77016604,82.778152
1026000000,1.1055613,82.983414
1027000000,0.84520608,83.343895
1028000000,0.67473149,83.505402
1029000000,0.9353537,83.914337
1030000000,1.1357297,84.12706
1031000000,1.1250229,84.36795
1032000000,1.0343277,84.291977
1033000000,0.90872282,84.852173
1034000000,1.1535558,85.216019
1035000000,1.3448999,85.14019
1036000000,0.88181037,85.74855
1037000000,0.69688219,85.749313
1038000000,0.81275171,86.188461
1039000000,0.78441447,86.414543
1040000000,0.65843189,86.304596
1041000000,0.91504502,86.475769
1042000000,0.84615105,87.142433
1043000000,1.367653,87.815514
1044000000,0.84957612,87.835541
1045000000,0.72779453,87.575218
1046000000,0.7205599,88.253822
1047000000,1.0309086,88.835388
1048000000,1.4643182,89.150421
1049000000,0.87086546,88.996597
1050000000,0.95524544,89.045784
1051000000,1.334175,89.392967
1052000000,1.1129931,89.735657
1053000000,0.89575809,90.504662
1054000000,1.310979,90.15123
1055000000,1.2009494,90.528885
1056000000,1.0423019,91.041222
1057000000,1.2309176,90.936508
1058000000,0.8061558,91.720131
1059000000,1.3992552,91.483376
1060000000,1.422505,91.814407
1061000000,1.0688401,92.162941
1062000000,1.3479253,92.616608
1063000000,1.2699232,92.979774
1064000000,1.3351151,93.10891
1065000000,1.2054781,93.333694
1066000000,1.1691895,93.787018
1067000000,1.3696805,93.63903
1068000000,1.6026741,94.378387
1069000000,1.4096284,94.442505
1070000000,1.338807,94.493233
1071000000,1.6688112,94.960716
1072000000,1.4907967,95.620605
1073000000,1.3631113,95.78598
1074000000,1.4739494,96.139053
1075000000,1.8723974,96.370888
1076000000,1.5947826,96.756592
1077000000,1.6755244,96.712776
1078000000,1.3663605,97.122887
1079000000,1.7029994,97.663605
1080000000,1.7070215,97.535828
1081000000,1.9159608,98.340202
1082000000,1.532038,98.60321
1083000000,1.3447143,98.603287
1084000000,1.5880207,98.769058
1085000000,1.3767126,99.721603
1086000000,1.5764372,99.628418
1087000000,1.5199753,99.840584
1088000000,1.6936349,100.37917
1089000000,1.4305367,100.95241
1090000000,1.4104788,100.93698
1091000000,1.4516808,101.4364
1092000000,1.6033273,101.46622
1093000000,1.3185402,101.70061
1094000000,1.8557343,102.56403
1095000000,1.770098,102.51012
1096000000,1.6683294,102.82974
1097000000,2.1121483,103.4287
1098000000,1.5966353,103.07755
1099000000,1.9638048,103.92016
1100000000,2.0424173,104.04265
1101000000,1.7242817,104.50346
1102000000,1.8830783,105.01048
1103000000,2.0610003,104.97327
1104000000,1.6421964,105.16033
1105000000,2.1448359,106.31473
1106000000,2.1132212,106.41778
1107000000,1.9205898,106.58305
1108000000,2.1632864,107.22093
1109000000,2.3163466,107.61063
1110000000,2.0539925,107.96261
1111000000,1.9663986,107.91614
1112000000,2.1498494,108.56068
1113000000,1.9981725,108.92527
1114000000,2.2011676,109.45892
1115000000,2.37675,109.66051
1116000000,2.1210155,110.05385
1117000000,2.3404348,110.59763
1118000000,2.3201606,111.05858
1119000000,2.0907874,111.267
1120000000,2.0498304,111.87805
1121000000,2.3229735,111.17637
1122000000,3.1821232,112.61321
1123000000,2.490571,112.52068
1124000000,2.3376005,112.64465
1125000000,1.8049068,113.55196
1126000000,2.2865453,113.92902
1127000000,2.7212653,114.27524
1128000000,2.9895141,115.01096
1129000000,2.0661354,115.11006
1130000000,2.4233546,115.40276
1131000000,2.2991948,116.29762
1132000000,2.1936584,116.16384
1133000000,2.5394323,116.49699
1134000000,2.3605216,116.29163
1135000000,3.0473006,117.6579
1136000000,2.0540526,117.86707
1137000000,2.2672961,118.59271
1138000000,2.5560331,118.37337
1139000000,2.5245237,119.452
1140000000,2.5575309,119.39744
