!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, April 01, 2016 13:58:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,1.7449071,73.37059,90.380966
1001000000,1.582252,73.549904,100.00051
1002000000,1.6336341,73.82769,97.357941
1003000000,1.7513703,73.949059,91.020935
1004000000,1.9452112,74.103004,82.190163
1005000000,1.6709162,74.622742,96.599541
1006000000,1.8149867,74.38269,88.541229
1007000000,1.7915431,74.776001,90.354195
1008000000,2.0675292,74.974251,78.58744
1009000000,2.043664,75.13031,79.73378
1010000000,1.8305364,75.267387,89.236244
1011000000,1.8703811,75.671555,87.988647
1012000000,1.9220628,75.62252,85.546944
1013000000,1.8389378,75.802925,89.708679
1014000000,1.9950507,76.185913,83.276901
1015000000,2.1335411,76.409592,78.195068
1016000000,1.8959738,76.5672,88.24028
1017000000,1.8895956,76.6744,88.711739
1018000000,2.1649425,76.737061,77.525032
1019000000,1.8096894,77.282692,93.661636
1020000000,1.9188927,77.282326,88.333847
1021000000,2.2279396,77.711784,76.686394
1022000000,2.4192126,77.838882,70.791893
1023000000,2.2727716,78.225349,75.879845
1024000000,2.0283976,78.37886,85.251282
1025000000,2.2176566,78.493332,78.142822
1026000000,2.2930884,78.801315,75.997078
1027000000,2.1576877,78.925369,80.943481
1028000000,2.4107163,79.064362,72.636673
1029000000,2.2848184,79.423645,77.133919
1030000000,2.3320122,79.945465,76.287666
1031000000,2.3772073,79.829254,74.682388
1032000000,2.0768101,80.19709,86.042274
1033000000,2.2801127,80.202339,78.383438
1034000000,2.5355315,80.7258,71.159096
1035000000,2.0821011,80.690262,86.586121
1036000000,2.3427863,81.027069,77.423721
1037000000,2.1922433,81.141441,82.90519
1038000000,2.0601368,81.009544,88.009888
1039000000,1.8860122,81.546021,97.054916
1040000000,2.258687,82.067665,81.807083
1041000000,2.3104525,82.116608,80.045258
1042000000,2.7420216,82.110016,67.450539
1043000000,2.5680563,82.113007,72.018311
1044000000,2.4377701,83.079926,77.174072
1045000000,2.0287588,82.764664,92.204208
1046000000,2.6502607,82.94445,70.822723
1047000000,2.1856539,83.50248,86.712494
1048000000,1.8327997,83.510933,103.41057
1049000000,2.3832443,83.860313,80.031563
1050000000,2.3663449,84.048637,80.869896
1051000000,2.7124701,83.868828,70.337479
1052000000,2.4737082,84.403107,77.845955
1053000000,2.2924769,84.474983,84.100487
1054000000,2.3913691,84.822929,81.118164
1055000000,2.1386232,84.911705,90.837753
1056000000,2.8009481,85.149475,69.664078
1057000000,2.4911075,85.795334,79.205521
1058000000,2.4461205,85.433594,80.154266
1059000000,2.5702925,85.925812,76.942116
1060000000,2.2431009,86.232414,88.625549
1061000000,2.5093195,86.550148,79.668251
1062000000,2.5657973,86.836906,78.303825
