!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 30, 2016 16:47:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,2.1145673,68.207535,67.675064
1001000000,2.1191688,68.384827,67.756836
1002000000,1.9838625,68.570641,72.631042
1003000000,2.0994744,68.705437,68.810722
1004000000,2.1026742,68.978035,69.063202
1005000000,2.1531074,69.350891,67.92601
1006000000,2.3422046,69.609924,62.754223
1007000000,1.9770294,69.497223,74.176392
1008000000,2.4259984,70.031586,61.074444
1009000000,2.4110651,70.046181,61.469246
1010000000,1.9644071,70.354187,75.873062
1011000000,2.4198072,70.397797,61.655655
1012000000,2.3592761,70.447365,63.295109
1013000000,2.1512473,70.899895,70.004822
1014000000,2.3786542,71.238678,63.722923
1015000000,2.4159091,71.275902,62.785179
1016000000,2.4427485,71.827049,62.742008
1017000000,2.1448052,72.018394,71.705841
1018000000,2.3108349,72.056793,66.606094
1019000000,2.2714276,72.164688,67.897606
1020000000,2.588098,72.451637,59.91872
1021000000,2.4252844,72.873108,64.441841
1022000000,2.2813594,73.085991,68.775703
1023000000,2.601043,73.172913,60.428772
1024000000,2.2009952,73.453377,71.773987
1025000000,2.5423231,73.456291,62.149837
1026000000,2.7809982,73.905998,57.298847
1027000000,2.5804746,74.161392,62.038929
1028000000,2.6959713,74.367615,59.611572
1029000000,2.538085,74.553093,63.533005
1030000000,2.5625417,74.937065,63.375401
1031000000,2.3453538,75.08506,69.427307
1032000000,2.5353081,75.410667,64.617271
1033000000,2.7312028,75.787529,60.405266
1034000000,2.7073712,75.826332,60.979744
1035000000,2.6582067,75.902084,62.192757
1036000000,2.8769455,76.17083,57.754162
1037000000,2.8575869,76.485291,58.480946
1038000000,2.6306276,76.985779,64.103889
1039000000,2.5749977,76.892021,65.375198
1040000000,2.9394345,77.137848,57.537159
1041000000,2.7060947,77.498245,62.903564
1042000000,2.6717336,77.637375,63.873173
1043000000,2.7296329,77.913353,62.834625
1044000000,2.5533724,78.506538,67.89389
1045000000,2.8010943,78.374527,61.748363
1046000000,2.7701859,79.010727,63.159485
1047000000,2.7029183,79.267044,65.029686
1048000000,2.8454204,79.19873,61.700733
1049000000,2.8959672,79.343353,60.783669
1050000000,2.9342349,79.749855,60.432915
1051000000,2.9728012,80.365082,60.312973
1052000000,2.7722142,80.309013,64.605927
1053000000,2.7482958,80.642784,65.558594
1054000000,3.0107474,80.883339,60.109184
1055000000,3.1663482,81.173988,57.457249
1056000000,2.973068,81.250229,61.270096
1057000000,2.9715016,82.03904,62.169537
1058000000,2.8685765,82.021973,64.377579
1059000000,2.8329105,82.58316,65.83934
1060000000,3.1400461,82.676025,59.505821
1061000000,3.3197362,83.063873,56.677414
1062000000,2.9891729,83.225327,63.114601
1063000000,3.3436975,83.321014,56.52795
1064000000,3.1064489,83.818123,61.372978
1065000000,3.3229406,84.029243,57.59399
1066000000,3.3093162,84.261208,58.066723
1067000000,3.3537197,84.742676,57.784615
1068000000,3.4390914,84.841553,56.45018
1069000000,3.1135733,85.14785,62.676323
1070000000,3.3795106,85.358658,57.964664
1071000000,3.36303,85.898994,58.798717
1072000000,3.4359832,85.824791,57.478226
1073000000,3.4919724,86.315704,57.042454
1074000000,3.1887193,86.399139,62.548157
1075000000,3.1764879,87.188339,63.65147
1076000000,3.4674027,86.925545,58.055511
1077000000,3.5409279,87.480034,57.398544
1078000000,3.3190389,87.830544,61.599316
1079000000,3.4491744,87.93795,59.388569
1080000000,3.8242507,88.197067,53.813408
1081000000,3.1826894,88.530991,65.010513
1082000000,3.3246291,89.07074,62.816082
1083000000,3.2658134,89.081833,63.957672
1084000000,3.2016914,89.231819,65.403687
1085000000,3.7386019,89.620132,56.397697
1086000000,3.5334218,89.887245,59.937653
1087000000,3.589479,90.603653,59.723976
1088000000,4.0472455,90.854897,53.207489
1089000000,3.5095823,91.293633,61.796585
1090000000,3.6345985,91.745674,60.130222
1091000000,3.6603148,91.89537,59.858765
1092000000,3.7196808,92.194458,59.201366
1093000000,3.5030539,92.253517,62.91769
1094000000,4.0751624,92.79425,54.592415
1095000000,3.9082739,92.800125,56.923897
