x,y1
2,-1.204275711
2.001,-1.204216013
2.002,-1.204156419
2.003,-1.204096931
2.004,-1.204037548
2.005,-1.203978273
2.006,-1.203919106
2.007,-1.203860048
2.008,-1.2038011
2.009,-1.203742263
2.01,-1.203683538
2.011,-1.203624925
2.012,-1.203566425
2.013,-1.20350804
2.014,-1.203449769
2.015,-1.203391615
2.016,-1.203333578
2.017,-1.203275659
2.018,-1.203217858
2.019,-1.203160177
2.02,-1.203102616
2.021,-1.203045176
2.022,-1.202987858
2.023,-1.202930663
2.024,-1.202873592
2.025,-1.202816645
2.026,-1.202759823
2.027,-1.202703128
2.028,-1.202646559
2.029,-1.202590118
2.03,-1.202533806
2.031,-1.202477623
2.032,-1.20242157
2.033,-1.202365648
2.034,-1.202309857
2.035,-1.202254199
2.036,-1.202198674
2.037,-1.202143284
2.038,-1.202088027
2.039,-1.202032907
2.04,-1.201977922
2.041,-1.201923075
2.042,-1.201868365
2.043,-1.201813794
2.044,-1.201759362
2.045,-1.20170507
2.046,-1.201650919
2.047,-1.201596909
2.048,-1.201543041
2.049,-1.201489316
2.05,-1.201435734
2.051,-1.201382297
2.052,-1.201329004
2.053,-1.201275857
2.054,-1.201222857
2.055,-1.201170003
2.056,-1.201117298
2.057,-1.20106474
2.058,-1.201012332
2.059,-1.200960073
2.06,-1.200907964
2.061,-1.200856007
2.062,-1.200804201
2.063,-1.200752548
2.064,-1.200701047
2.065,-1.2006497
2.066,-1.200598508
2.067,-1.20054747
2.068,-1.200496588
2.069,-1.200445861
2.07,-1.200395292
2.071,-1.20034488
2.072,-1.200294626
2.073,-1.20024453
2.074,-1.200194593
2.075,-1.200144817
2.076,-1.2000952
2.077,-1.200045745
2.078,-1.199996451
2.079,-1.199947319
2.08,-1.19989835
2.081,-1.199849544
2.082,-1.199800901
2.083,-1.199752423
2.084,-1.19970411
2.085,-1.199655963
2.086,-1.199607981
2.087,-1.199560166
2.088,-1.199512518
2.089,-1.199465038
2.09,-1.199417725
2.091,-1.199370582
2.092,-1.199323607
2.093,-1.199276802
2.094,-1.199230168
2.095,-1.199183704
2.096,-1.199137411
2.097,-1.19909129
2.098,-1.199045341
2.099,-1.198999565
2.1,-1.198953962
2.101,-1.198908533
2.102,-1.198863278
2.103,-1.198818197
2.104,-1.198773291
2.105,-1.198728561
2.106,-1.198684007
2.107,-1.198639629
2.108,-1.198595429
2.109,-1.198551405
2.11,-1.198507559
2.111,-1.198463892
2.112,-1.198420402
2.113,-1.198377092
2.114,-1.198333962
2.115,-1.198291011
2.116,-1.198248241
2.117,-1.198205651
2.118,-1.198163242
2.119,-1.198121015
2.12,-1.19807897
2.121,-1.198037107
2.122,-1.197995427
2.123,-1.197953929
2.124,-1.197912616
2.125,-1.197871486
2.126,-1.19783054
2.127,-1.197789778
2.128,-1.197749202
2.129,-1.197708811
2.13,-1.197668605
2.131,-1.197628585
2.132,-1.197588752
2.133,-1.197549105
2.134,-1.197509646
2.135,-1.197470373
2.136,-1.197431288
2.137,-1.197392391
2.138,-1.197353683
2.139,-1.197315162
2.14,-1.197276831
2.141,-1.197238689
2.142,-1.197200737
2.143,-1.197162974
2.144,-1.197125401
2.145,-1.197088019
2.146,-1.197050827
2.147,-1.197013826
2.148,-1.196977016
2.149,-1.196940398
2.15,-1.196903972
2.151,-1.196867737
2.152,-1.196831695
2.153,-1.196795845
2.154,-1.196760188
2.155,-1.196724724
2.156,-1.196689454
2.157,-1.196654376
2.158,-1.196619493
2.159,-1.196584803
2.16,-1.196550308
2.161,-1.196516006
2.162,-1.1964819
2.163,-1.196447988
2.164,-1.196414271
2.165,-1.19638075
2.166,-1.196347424
2.167,-1.196314293
2.168,-1.196281359
2.169,-1.19624862
2.17,-1.196216077
2.171,-1.196183731
2.172,-1.196151581
2.173,-1.196119628
2.174,-1.196087872
2.175,-1.196056313
2.176,-1.196024951
2.177,-1.195993786
2.178,-1.195962819
2.179,-1.19593205
2.18,-1.195901478
2.181,-1.195871104
2.182,-1.195840928
2.183,-1.19581095
2.184,-1.195781171
2.185,-1.19575159
2.186,-1.195722207
2.187,-1.195693024
2.188,-1.195664039
2.189,-1.195635252
2.19,-1.195606665
2.191,-1.195578277
2.192,-1.195550088
2.193,-1.195522098
2.194,-1.195494307
2.195,-1.195466716
2.196,-1.195439325
2.197,-1.195412132
2.198,-1.19538514
2.199,-1.195358347
2.2,-1.195331754
2.201,-1.195305361
2.202,-1.195279168
2.203,-1.195253174
2.204,-1.195227381
2.205,-1.195201787
2.206,-1.195176394
2.207,-1.1951512
2.208,-1.195126207
2.209,-1.195101414
2.21,-1.195076821
2.211,-1.195052428
2.212,-1.195028235
2.213,-1.195004243
2.214,-1.19498045
2.215,-1.194956858
2.216,-1.194933466
2.217,-1.194910275
2.218,-1.194887283
2.219,-1.194864492
2.22,-1.194841901
2.221,-1.19481951
2.222,-1.194797319
2.223,-1.194775328
2.224,-1.194753538
2.225,-1.194731947
2.226,-1.194710556
2.227,-1.194689366
2.228,-1.194668375
2.229,-1.194647584
2.23,-1.194626993
2.231,-1.194606602
2.232,-1.19458641
2.233,-1.194566418
2.234,-1.194546625
2.235,-1.194527032
2.236,-1.194507639
2.237,-1.194488444
2.238,-1.194469449
2.239,-1.194450654
2.24,-1.194432057
2.241,-1.194413659
2.242,-1.19439546
2.243,-1.19437746
2.244,-1.194359659
2.245,-1.194342056
2.246,-1.194324651
2.247,-1.194307445
2.248,-1.194290437
2.249,-1.194273628
2.25,-1.194257016
2.251,-1.194240602
2.252,-1.194224386
2.253,-1.194208367
2.254,-1.194192546
2.255,-1.194176922
2.256,-1.194161495
2.257,-1.194146266
2.258,-1.194131233
2.259,-1.194116397
2.26,-1.194101757
2.261,-1.194087314
2.262,-1.194073067
2.263,-1.194059016
2.264,-1.194045161
2.265,-1.194031501
2.266,-1.194018037
2.267,-1.194004769
2.268,-1.193991695
2.269,-1.193978817
2.27,-1.193966133
2.271,-1.193953644
2.272,-1.193941349
2.273,-1.193929248
2.274,-1.193917341
2.275,-1.193905628
2.276,-1.193894108
2.277,-1.193882782
2.278,-1.193871649
2.279,-1.193860708
2.28,-1.19384996
2.281,-1.193839405
2.282,-1.193829042
2.283,-1.19381887
2.284,-1.19380889
2.285,-1.193799102
2.286,-1.193789505
2.287,-1.193780099
2.288,-1.193770884
2.289,-1.193761858
2.29,-1.193753024
2.291,-1.193744379
2.292,-1.193735923
2.293,-1.193727657
2.294,-1.19371958
2.295,-1.193711692
2.296,-1.193703993
2.297,-1.193696481
2.298,-1.193689158
2.299,-1.193682022
2.3,-1.193675074
2.301,-1.193668313
2.302,-1.193661739
2.303,-1.193655351
2.304,-1.193649149
2.305,-1.193643133
2.306,-1.193637303
2.307,-1.193631658
2.308,-1.193626198
2.309,-1.193620923
2.31,-1.193615832
2.311,-1.193610925
2.312,-1.193606201
2.313,-1.193601661
2.314,-1.193597304
2.315,-1.19359313
2.316,-1.193589138
2.317,-1.193585328
2.318,-1.193581699
2.319,-1.193578252
2.32,-1.193574986
2.321,-1.1935719
2.322,-1.193568995
2.323,-1.193566269
2.324,-1.193563723
2.325,-1.193561356
2.326,-1.193559168
2.327,-1.193557158
2.328,-1.193555326
2.329,-1.193553672
2.33,-1.193552195
2.331,-1.193550895
2.332,-1.193549772
2.333,-1.193548825
2.334,-1.193548053
2.335,-1.193547457
2.336,-1.193547035
2.337,-1.193546789
2.338,-1.193546716
2.339,-1.193546817
2.34,-1.193547092
2.341,-1.193547539
2.342,-1.193548159
2.343,-1.193548951
2.344,-1.193549914
2.345,-1.193551049
2.346,-1.193552355
2.347,-1.193553831
2.348,-1.193555477
2.349,-1.193557293
2.35,-1.193559278
2.351,-1.193561431
2.352,-1.193563753
2.353,-1.193566242
2.354,-1.193568899
2.355,-1.193571723
2.356,-1.193574713
2.357,-1.193577869
2.358,-1.193581191
2.359,-1.193584678
2.36,-1.19358833
2.361,-1.193592146
2.362,-1.193596125
2.363,-1.193600268
2.364,-1.193604574
2.365,-1.193609042
2.366,-1.193613671
2.367,-1.193618463
2.368,-1.193623415
2.369,-1.193628527
2.37,-1.1936338
2.371,-1.193639232
2.372,-1.193644823
2.373,-1.193650572
2.374,-1.193656479
2.375,-1.193662544
2.376,-1.193668766
2.377,-1.193675145
2.378,-1.193681679
2.379,-1.193688369
2.38,-1.193695214
2.381,-1.193702213
2.382,-1.193709367
2.383,-1.193716673
2.384,-1.193724133
2.385,-1.193731745
2.386,-1.19373951
2.387,-1.193747425
2.388,-1.193755492
2.389,-1.193763709
2.39,-1.193772075
2.391,-1.193780591
2.392,-1.193789256
2.393,-1.193798069
2.394,-1.19380703
2.395,-1.193816138
2.396,-1.193825392
2.397,-1.193834793
2.398,-1.193844339
2.399,-1.19385403
2.4,-1.193863865
2.401,-1.193873845
2.402,-1.193883968
2.403,-1.193894233
2.404,-1.193904641
2.405,-1.193915191
2.406,-1.193925881
2.407,-1.193936713
2.408,-1.193947684
2.409,-1.193958795
2.41,-1.193970044
2.411,-1.193981432
2.412,-1.193992958
2.413,-1.19400462
2.414,-1.19401642
2.415,-1.194028355
2.416,-1.194040426
2.417,-1.194052631
2.418,-1.194064971
2.419,-1.194077445
2.42,-1.194090052
2.421,-1.194102791
2.422,-1.194115662
2.423,-1.194128664
2.424,-1.194141798
2.425,-1.194155061
2.426,-1.194168454
2.427,-1.194181976
2.428,-1.194195626
2.429,-1.194209404
2.43,-1.194223309
2.431,-1.194237341
2.432,-1.194251498
2.433,-1.194265781
2.434,-1.194280189
2.435,-1.194294721
2.436,-1.194309376
2.437,-1.194324154
2.438,-1.194339055
2.439,-1.194354077
2.44,-1.19436922
2.441,-1.194384484
2.442,-1.194399867
2.443,-1.19441537
2.444,-1.194430991
2.445,-1.19444673
2.446,-1.194462586
2.447,-1.194478559
2.448,-1.194494648
2.449,-1.194510853
2.45,-1.194527172
2.451,-1.194543605
2.452,-1.194560152
2.453,-1.194576812
2.454,-1.194593584
2.455,-1.194610467
2.456,-1.194627462
2.457,-1.194644567
2.458,-1.194661781
2.459,-1.194679104
2.46,-1.194696536
2.461,-1.194714076
2.462,-1.194731722
2.463,-1.194749475
2.464,-1.194767334
2.465,-1.194785298
2.466,-1.194803366
2.467,-1.194821538
2.468,-1.194839813
2.469,-1.194858191
2.47,-1.19487667
2.471,-1.194895251
2.472,-1.194913932
2.473,-1.194932713
2.474,-1.194951593
2.475,-1.194970572
2.476,-1.194989649
2.477,-1.195008822
2.478,-1.195028092
2.479,-1.195047458
2.48,-1.195066919
2.481,-1.195086475
2.482,-1.195106124
2.483,-1.195125867
2.484,-1.195145702
2.485,-1.195165629
2.486,-1.195185647
2.487,-1.195205755
2.488,-1.195225953
2.489,-1.19524624
2.49,-1.195266616
2.491,-1.195287079
2.492,-1.195307629
2.493,-1.195328266
2.494,-1.195348988
2.495,-1.195369796
