frequency, S11, S12, S21, S22
2000000000.0000000000, -54.8099646460, 38.6240409874, 38.6240409874, -91.5447498096
2010000000.0000000000, -57.1609971135, 37.0811613596, 37.0811589310, -92.2794231706
2020000000.0000000000, -59.5120538660, 35.5383011598, 35.5382938743, -93.0141548158
2030000000.0000000000, -61.8630377633, 33.9954555311, 33.9954531026, -93.7488087487
2040000000.0000000000, -64.2140993729, 32.4525783318, 32.4525759033, -94.4835306799
2050000000.0000000000, -66.5650492709, 30.9097375602, 30.9097375602, -95.2181943268
2060000000.0000000000, -68.9160768814, 29.3668943600, 29.3668895030, -95.9528579737
2070000000.0000000000, -71.2671384910, 27.8240147321, 27.8240147321, -96.6875799049
2080000000.0000000000, -73.6180883890, 26.2811691035, 26.2811739605, -97.4222824080
2090000000.0000000000, -75.9692034259, 24.7382700475, 24.7382700475, -98.1570140533
2100000000.0000000000, -78.3202018942, 23.1954268474, 23.1954292759, -98.8916971283
2110000000.0000000000, -80.6711615063, 21.6525909327, 21.6525885042, -99.6263510611
2120000000.0000000000, -83.0222376870, 20.1097003766, 20.1097113049, -100.3610827064
2130000000.0000000000, -85.3732701544, 18.5668450339, 18.5668462481, -101.0957949235
2140000000.0000000000, -87.7243026219, 17.0240018337, 17.0240018337, -101.8304488564
2150000128.0000000000, -90.0753156613, 15.4811173488, 15.4811270629, -102.5651805017
2160000000.0000000000, -92.4263287006, 13.9382838627, 13.9382790057, -103.2998732907
2169999872.0000000000, -94.7773320259, 12.3954406626, 12.3954370198, -104.0345563657
2179999744.0000000000, -97.1282673529, 10.8526205332, 10.8526193190, -104.7692200126
2189999616.0000000000, -99.4793192485, 9.3097603335, 9.3097597264, -105.5039322298
2199999488.0000000000, -101.8302934317, 7.7669219904, 7.7669189547, -106.2386250189
2209999360.0000000000, -104.1812190446, 6.2241170393, 6.2241225034, -106.9732789517
2219999232.0000000000, -106.5322612261, 4.6812635179, 4.6812644286, -107.7079717408
2229999104.0000000000, -108.8832645514, 3.1384212284, 3.1384224427, -108.4426645298
2239998976.0000000000, -111.2342775908, 1.5955545021, 1.5955535914, -109.1773864610
2249998848.0000000000, -113.5852517740, 0.0527355491, 0.0527374795, -109.9120403939
2259998720.0000000000, -115.9362842414, -1.4901281037, -1.4901232467, -110.6467331830
2269998592.0000000000, -118.2872681387, -3.0329451974, -3.0329412510, -111.3814065439
2279998464.0000000000, -120.6382714640, -4.5758053971, -4.5758035757, -112.1161090470
2289998336.0000000000, -122.9892359331, -6.1186249193, -6.1186267407, -112.8507824080
2299998208.0000000000, -125.3402586865, -7.6614863333, -7.6614845119, -113.5854946252
2309998080.0000000000, -127.6912037276, -9.2043082840, -9.2043064626, -114.3201874142
2319997952.0000000000, -130.0421681967, -10.7471247705, -10.7471235563, -115.0548413471
2329997824.0000000000, -132.3932200923, -12.2899849703, -12.2899837560, -115.7895049940
2339997696.0000000000, -134.7441651333, -13.8328111709, -13.8328050996, -116.5242172112
2349997568.0000000000, -137.0951878867, -15.3756689421, -15.3756665136, -117.2589100002
2359997440.0000000000, -139.4462203542, -16.9185267133, -16.9185327846, -117.9935833612
2369997312.0000000000, -141.7971751093, -18.4613504854, -18.4613504854, -118.7282761502
2379997184.0000000000, -144.1481201503, -20.0041657577, -20.0041669719, -119.4629592252
2389997056.0000000000, -146.4991817599, -21.5470332430, -21.5470332430, -120.1976520143
2399996928.0000000000, -148.8500976588, -23.0898133018, -23.0898133018, -120.9323253753
2409996800.0000000000, -151.2011009841, -24.6326710731, -24.6326710731, -121.6670084503
2419996672.0000000000, -153.5521043094, -26.1755385584, -26.1755312728, -122.4017012393
2429996544.0000000000, -155.9031076348, -27.7183501879, -27.7183477594, -123.1364231705
2439996416.0000000000, -158.2541206741, -29.2612201017, -29.2612128161, -123.8710771034
2449996288.0000000000, -160.6051239994, -30.8040705874, -30.8040754444, -124.6057796065
2459996160.0000000000, -162.9560301843, -32.3468482177, -32.3468530747, -125.3404432534
2469996032.0000000000, -165.3071015079, -33.8897157030, -33.8897157030, -126.0751166144
2479995904.0000000000, -167.6580951192, -35.4325831883, -35.4325734742, -126.8098385456
2489995776.0000000000, -170.0090693024, -36.9754021033, -36.9753996748, -127.5445119066
2499995648.0000000000, -172.3600240575, -38.5182161613, -38.5182161613, -128.2791852675
2509995520.0000000000, -174.7110565249, -40.0610787896, -40.0610787896, -129.0138877706
2519995392.0000000000, -177.0619918519, -41.6038928476, -41.6038977047, -129.7485417035
2529995264.0000000000, -179.4130437475, -43.1467603329, -43.1467603329, -130.4832539206
2539995136.0000000000, 178.2359926944, -44.6895841050, -44.6895841050, -131.2179369957
2549995008.0000000000, 175.8849796550, -46.2324418762, -46.2324370192, -131.9526200707
2559994880.0000000000, 173.5340248999, -47.7752656483, -47.7752559342, -132.6872934316
2569994752.0000000000, 171.1829924325, -49.3181234195, -49.3181234195, -133.4219959347
2579994624.0000000000, 168.8319988212, -50.8609423346, -50.8609374776, -134.1566790097
2589994496.0000000000, 166.4810052099, -52.4038049628, -52.4038049628, -134.8913717988
2599994368.0000000000, 164.1300115986, -53.9466675911, -53.9466627341, -135.6260645879
2609994240.0000000000, 161.7790277014, -55.4894865061, -55.4894816491, -136.3607476629
2619994112.0000000000, 159.4280729463, -57.0323005642, -57.0322957071, -137.0954307379
2629993984.0000000000, 157.0770599070, -58.5751631924, -58.5751631924, -137.8301138129
2639993856.0000000000, 154.7260662957, -60.1179772505, -60.1179869645, -138.5647871739
2649993728.0000000000, 152.3751115406, -61.6608107366, -61.6608107366, -139.2994702489
2659993600.0000000000, 150.0240790731, -63.2036685078, -63.2036587938, -140.0341824660
2669993472.0000000000, 147.6730563197, -64.7465262790, -64.7465311361, -140.7688752551
2679993344.0000000000, 145.3220821365, -66.2893500511, -66.2893403371, -141.5035291880
2689993216.0000000000, 142.9711468095, -67.8321641091, -67.8321641091, -142.2382219770
2699993088.0000000000, 140.6200949140, -69.3750218804, -69.3750218804, -142.9729341942
2709992960.0000000000, 138.2691498730, -70.9178553665, -70.9178456525, -143.7076075551
2719992832.0000000000, 135.9181659757, -72.4606645675, -72.4606694245, -144.4422712020
2729992704.0000000000, 133.5671335083, -74.0035369098, -74.0035271958, -145.1769834192
2739992576.0000000000, 131.2161981813, -75.5463509678, -75.5463461108, -145.9116470661
2749992448.0000000000, 128.8651559998, -77.0892038820, -77.0892087391, -146.6463495692
2759992320.0000000000, 126.5141429604, -78.6320665103, -78.6320762243, -147.3810423583
2769992192.0000000000, 124.1631493491, -80.1748902824, -80.1748999964, -148.1157157192
2779992064.0000000000, 121.8121460238, -81.7177577677, -81.7177577677, -148.8504182223
2789991936.0000000000, 119.4612398390, -83.2605718257, -83.2605621116, -149.5850915833
2799991808.0000000000, 117.1102170855, -84.8033955978, -84.8033955978, -150.3197843724
2809991680.0000000000, 114.7592526164, -86.3462193698, -86.3462096558, -151.0544577333
2819991552.0000000000, 112.4082395770, -87.8890722840, -87.8890722840, -151.7891408083
2829991424.0000000000, 110.0572945360, -89.4318863421, -89.4318863421, -152.5238238834
2839991296.0000000000, 107.7062814966, -90.9747489703, -90.9747489703, -153.2585263865
