"Freq [GHz]","mag(S(1,1)) []"
2,0.251398356689179
2.01,0.251177978368688
2.02,0.250957536653062
2.03,0.250737160472427
2.04,0.250516993575565
2.05,0.250297193356167
2.06,0.25007792966977
2.07,0.249859383645435
2.08,0.249641746496163
2.09,0.24942521833188
2.1,0.24921000697875
2.11,0.248996326808426
2.12,0.248784397580719
2.13,0.248574443303017
2.14,0.248366691109648
2.15,0.24816137016422
2.16,0.247958710587821
2.17,0.247758942415806
2.18,0.24756229458572
2.19,0.247368993958775
2.2,0.247179264377103
2.21,0.24699332575886
2.22,0.24681139323309
2.23,0.246633676316085
2.24,0.246460378130816
2.25,0.246291694670831
2.26,0.246127814109873
2.27,0.245968916158275
2.28,0.245815171467032
2.29,0.245666741080288
2.3,0.245523775936788
2.31,0.245386416420692
2.32,0.245254791961971
2.33,0.24512902068642
2.34,0.245009209115181
2.35,0.244895451913467
2.36,0.24478783168803
2.37,0.244686418832727
2.38,0.244591271421399
2.39,0.244502435147061
2.4,0.244419943306309
2.41,0.244343816827605
2.42,0.244274064342026
2.43,0.244210682294844
2.44,0.2441536550962
2.45,0.244102955308974
2.46,0.244058543871834
2.47,0.244020370355292
2.48,0.243988373248527
2.49,0.243962480274581
2.5,0.243942608731457
2.51,0.24392866585658
2.52,0.243920549211972
2.53,0.243918147087459
2.54,0.243921338919179
2.55,0.243929995720606
2.56,0.243943980523316
2.57,0.243963148824679
2.58,0.243987349039707
2.59,0.244016422954286
2.6,0.244050206177065
2.61,0.244088528587333
2.62,0.244131214776279
2.63,0.244178084479105
2.64,0.244228952995569
2.65,0.244283631596629
2.66,0.244341927914989
2.67,0.244403646317483
2.68,0.244468588257351
2.69,0.244536552604665
2.7,0.244607335953261
2.71,0.244680732902766
2.72,0.244756536314451
2.73,0.244834537539842
2.74,0.244914526621208
2.75,0.244996292463255
2.76,0.245079622975548
2.77,0.245164305185389
2.78,0.24525012532109
2.79,0.245336868865803
2.8,0.245424320582255
2.81,0.245512264508976
2.82,0.245600483928793
2.83,0.245688761310606
2.84,0.245776878225633
2.85,0.245864615239539
2.86,0.245951751782072
2.87,0.246038065995996
2.88,0.246123334567343
2.89,0.246207332539157
2.9,0.246289833111106
2.91,0.246370607427497
2.92,0.246449424356402
2.93,0.246526050262753
2.94,0.246600248778406
2.95,0.246671780572299
2.96,0.246740403123981
2.97,0.246805870503833
2.98,0.246867933163466
2.99,0.24692633773978
3,0.246980826876277
