frequency,e',e''
200000000,77.6002,6.6407
209600000,77.704,6.2693
219200000,77.6354,6.1791
228800000,77.4709,6.0505
238400000,77.472,5.9948
248000000,77.452,5.7111
257600000,77.4727,5.6433
267200000,77.3919,5.3572
276800000,77.4314,5.1472
286400000,77.3738,5.1805
296000000,77.4004,5.0515
305600000,77.3957,4.8776
315200000,77.4863,4.8792
324800000,77.4122,4.7602
334400000,77.3738,4.6753
344000000,77.3472,4.6948
353600000,77.4252,4.5093
363200000,77.4171,4.5555
372800000,77.3841,4.3631
382400000,77.4361,4.4532
392000000,77.4312,4.3663
401600000,77.4226,4.3852
411200000,77.395,4.3587
420800000,77.4623,4.3343
430400000,77.3887,4.2916
440000000,77.3974,4.2574
449600000,77.4468,4.3102
459200000,77.4148,4.2568
468800000,77.4098,4.233
478400000,77.4247,4.2393
488000000,77.4274,4.2358
497600000,77.4559,4.2856
507200000,77.388,4.2687
516800000,77.42,4.2563
526400000,77.3553,4.209
536000000,77.3516,4.2436
545600000,77.3524,4.2058
555200000,77.3088,4.2177
564800000,77.3448,4.2254
574400000,77.3405,4.2378
584000000,77.3585,4.2322
593600000,77.3409,4.1985
603200000,77.3073,4.1443
612800000,77.3242,4.0818
622400000,77.4131,4.1322
632000000,77.4644,4.1974
641600000,77.4543,4.3373
651200000,77.3939,4.3924
660800000,77.3056,4.4046
670400000,77.3039,4.4054
680000000,77.3048,4.3761
689600000,77.2754,4.3656
699200000,77.2671,4.3821
708800000,77.226,4.317
718400000,77.2161,4.2309
728000000,77.3392,4.1561
737600000,77.5628,4.23
747200000,77.6476,4.5369
756800000,77.6012,4.8157
766400000,77.41,4.9122
776000000,77.2065,4.9554
785600000,77.0379,4.9169
795200000,77.0193,4.8233
804800000,76.944,4.7247
814400000,76.9049,4.7159
824000000,76.8402,4.6413
833600000,76.7976,4.6356
843200000,76.7553,4.555
852800000,76.6552,4.4369
862400000,76.7821,4.2569
872000000,76.9556,4.072
881600000,77.3099,3.9865
891200000,77.6147,4.1536
900800000,77.7161,4.4084
910400000,77.7894,4.6305
920000000,77.7798,4.7497
929600000,77.6926,4.9303
939200000,77.6333,5.1117
948800000,77.5329,5.2693
958400000,77.4069,5.2977
968000000,77.3044,5.3325
977600000,77.1945,5.2812
987200000,77.1534,5.2406
996800000,77.1232,5.2533
1006400000,77.1308,5.2079
1016000000,77.0964,5.1837
1025600000,77.1039,5.2128
1035200000,77.126,5.2282
1044800000,77.123,5.2659
1054400000,77.1256,5.2912
1064000000,77.1307,5.2902
1073600000,77.1193,5.3032
1083200000,77.1002,5.3414
1092800000,77.1078,5.3633
1102400000,77.0882,5.3774
1112000000,77.0741,5.4378
1121600000,77.0927,5.4108
1131200000,77.0981,5.4464
1140800000,77.0834,5.433
1150400000,77.117,5.4629
1160000000,77.1518,5.5033
1169600000,77.1719,5.5216
1179200000,77.1585,5.6028
1188800000,77.1634,5.6692
1198400000,77.1378,5.7131
1208000000,77.1383,5.7653
1217600000,77.1037,5.8326
1227200000,77.0627,5.8679
1236800000,77.0692,5.9136
1246400000,77.0465,5.9231
1256000000,77.0352,5.9306
1265600000,77.0173,5.9593
1275200000,77.0118,5.9336
1284800000,77.0059,5.9586
1294400000,76.9923,5.9932
1304000000,76.9693,6.0065
1313600000,76.9902,6.0432
1323200000,76.9944,6.0104
1332800000,77.0039,6.0587
1342400000,77.0098,6.0994
1352000000,77.0103,6.1292
1361600000,76.9904,6.1601
1371200000,77.0053,6.2036
1380800000,76.994,6.2542
1390400000,77.0013,6.281
1400000000,76.9929,6.341
1409600000,76.9685,6.3546
1419200000,76.9552,6.3929
1428800000,76.9835,6.4303
1438400000,76.9775,6.4588
1448000000,77.0108,6.4908
1457600000,76.9534,6.4935
1467200000,76.9702,6.5488
1476800000,76.9988,6.5502
1486400000,76.9926,6.6054
1496000000,77.0194,6.6397
1505600000,77.0444,6.6813
1515200000,77.0279,6.7312
1524800000,77.0157,6.8091
1534400000,77.0134,6.8719
1544000000,76.9853,6.9172
1553600000,76.9311,6.9494
1563200000,76.8781,7.015
1572800000,76.8316,7.0385
1582400000,76.7985,7.0564
1592000000,76.7173,7.0739
1601600000,76.7282,7.0644
1611200000,76.7142,7.0726
1620800000,76.7218,7.0633
1630400000,76.7288,7.0483
1640000000,76.7496,7.0604
1649600000,76.746,7.1047
1659200000,76.7897,7.0898
1668800000,76.7924,7.1403
1678400000,76.8161,7.174
1688000000,76.8321,7.2267
1697600000,76.8293,7.2723
1707200000,76.8289,7.3215
1716800000,76.8267,7.3512
1726400000,76.8334,7.4119
1736000000,76.8503,7.4653
1745600000,76.8361,7.5156
1755200000,76.8178,7.5865
1764800000,76.8095,7.6035
1774400000,76.7884,7.6571
1784000000,76.7456,7.6958
1793600000,76.7318,7.7502
1803200000,76.6971,7.782
1812800000,76.6784,7.8053
1822400000,76.6594,7.8287
1832000000,76.6468,7.8373
1841600000,76.633,7.87
1851200000,76.6143,7.8863
1860800000,76.6205,7.9132
1870400000,76.6091,7.937
1880000000,76.6251,7.9625
1889600000,76.6268,7.9855
1899200000,76.6224,8.0215
1908800000,76.6272,8.0741
1918400000,76.6398,8.0899
1928000000,76.6277,8.1612
1937600000,76.6221,8.185
1947200000,76.6039,8.218
1956800000,76.6191,8.2767
1966400000,76.5978,8.3022
1976000000,76.5932,8.3488
1985600000,76.5906,8.3871
1995200000,76.562,8.4397
2004800000,76.5525,8.464
2014400000,76.5275,8.5316
2024000000,76.5084,8.5511
2033600000,76.4748,8.5427
2043200000,76.4528,8.5834
2052800000,76.4276,8.631
2062400000,76.4124,8.6692
2072000000,76.4082,8.7174
2081600000,76.3854,8.7283
2091200000,76.3827,8.7652
2100800000,76.3702,8.7929
2110400000,76.3607,8.8244
2120000000,76.335,8.8492
2129600000,76.3367,8.8824
2139200000,76.3097,8.9275
2148800000,76.2954,8.9679
2158400000,76.3002,8.9791
2168000000,76.3099,9.0135
2177600000,76.2917,9.0604
2187200000,76.2893,9.0942
2196800000,76.2758,9.1261
2206400000,76.286,9.1668
2216000000,76.2566,9.1971
2225600000,76.2458,9.2232
2235200000,76.2337,9.2608
2244800000,76.2294,9.2793
2254400000,76.2294,9.3285
2264000000,76.2195,9.3588
2273600000,76.2176,9.3911
2283200000,76.2075,9.4231
2292800000,76.2088,9.4434
2302400000,76.2029,9.4645
2312000000,76.1756,9.4886
2321600000,76.1729,9.5182
2331200000,76.1498,9.55
2340800000,76.1514,9.588
2350400000,76.1308,9.6116
2360000000,76.1414,9.6503
2369600000,76.1227,9.6754
2379200000,76.1279,9.7058
2388800000,76.0932,9.7289
2398400000,76.0834,9.7589
2408000000,76.0618,9.7887
2417600000,76.0666,9.8115
2427200000,76.0529,9.8563
2436800000,76.0445,9.8981
2446400000,76.0414,9.9355
2456000000,76.0282,9.9784
2465600000,76.019,10.0085
2475200000,76.0078,10.0357
2484800000,75.994,10.0724
2494400000,75.9706,10.1305
2504000000,75.9651,10.1481
2513600000,75.9454,10.1774
2523200000,75.9374,10.2387
2532800000,75.9356,10.2772
2542400000,75.9143,10.3192
2552000000,75.9088,10.3733
2561600000,75.9006,10.4014
2571200000,75.8993,10.4347
2580800000,75.8799,10.4586
2590400000,75.8664,10.491
2600000000,75.8665,10.5276
2609600000,75.8277,10.5717
2619200000,75.826,10.6177
2628800000,75.8186,10.6476
2638400000,75.8024,10.6868
2648000000,75.7934,10.7269
2657600000,75.7796,10.7548
2667200000,75.7692,10.7941
2676800000,75.7555,10.8033
2686400000,75.7356,10.8397
2696000000,75.7217,10.8886
2705600000,75.7126,10.9232
2715200000,75.6885,10.9672
2724800000,75.6929,10.9963
2734400000,75.6781,11.0222
2744000000,75.6792,11.0501
2753600000,75.6564,11.0929
2763200000,75.6578,11.1195
2772800000,75.6391,11.1567
2782400000,75.6377,11.1906
2792000000,75.6286,11.2136
2801600000,75.6133,11.2481
2811200000,75.6004,11.2832
2820800000,75.5819,11.3134
2830400000,75.5707,11.34
2840000000,75.5578,11.3638
2849600000,75.5425,11.3903
2859200000,75.5226,11.4284
2868800000,75.4956,11.4644
2878400000,75.4728,11.4916
2888000000,75.455,11.5274
2897600000,75.4305,11.5636
2907200000,75.4064,11.609
2916800000,75.397,11.6386
2926400000,75.3823,11.6554
2936000000,75.3622,11.6676
2945600000,75.355,11.705
2955200000,75.3305,11.7292
2964800000,75.3141,11.785
2974400000,75.2927,11.8089
2984000000,75.2681,11.872
2993600000,75.2605,11.8766
3003200000,75.2528,11.9245
3012800000,75.2351,11.9586
3022400000,75.2284,12.015
3032000000,75.2176,12.0423
3041600000,75.2074,12.0788
3051200000,75.1977,12.0983
3060800000,75.1769,12.1531
3070400000,75.1882,12.1715
3080000000,75.1779,12.2155
3089600000,75.155,12.2549
3099200000,75.1608,12.2794
3108800000,75.1585,12.3182
3118400000,75.1553,12.3386
3128000000,75.1541,12.3858
3137600000,75.1593,12.4274
3147200000,75.1507,12.4618
3156800000,75.1414,12.4966
3166400000,75.1391,12.5212
3176000000,75.1262,12.5588
3185600000,75.1153,12.581
3195200000,75.0961,12.6246
3204800000,75.0948,12.6618
3214400000,75.0896,12.681
3224000000,75.0716,12.708
3233600000,75.0529,12.7683
3243200000,75.0426,12.7727
3252800000,75.0317,12.8116
3262400000,75.0121,12.8379
3272000000,74.9878,12.8751
3281600000,74.981,12.8972
3291200000,74.9614,12.9303
3300800000,74.9497,12.9619
3310400000,74.9206,12.9878
3320000000,74.907,13.0196
3329600000,74.8913,13.0404
3339200000,74.8721,13.0751
3348800000,74.8513,13.1064
3358400000,74.8306,13.1335
3368000000,74.8059,13.1671
3377600000,74.7599,13.2013
3387200000,74.7611,13.2413
3396800000,74.7464,13.2719
3406400000,74.7255,13.307
3416000000,74.7175,13.3415
3425600000,74.7065,13.3582
3435200000,74.6922,13.4043
3444800000,74.6624,13.4232
3454400000,74.6376,13.4724
3464000000,74.6196,13.508
3473600000,74.5994,13.5486
3483200000,74.5775,13.5775
3492800000,74.5751,13.6261
3502400000,74.5641,13.6564
3512000000,74.567,13.7009
3521600000,74.5546,13.7263
3531200000,74.5499,13.7656
3540800000,74.5257,13.8031
3550400000,74.533,13.8352
3560000000,74.5111,13.8776
3569600000,74.5184,13.8985
3579200000,74.5096,13.9379
3588800000,74.5186,13.9902
3598400000,74.5059,14.0256
3608000000,74.5176,14.0613
3617600000,74.514,14.0935
3627200000,74.503,14.1194
3636800000,74.4856,14.1495
3646400000,74.4681,14.1914
3656000000,74.4575,14.2237
3665600000,74.4348,14.2522
3675200000,74.4266,14.2919
3684800000,74.4161,14.3195
3694400000,74.401,14.3645
3704000000,74.3878,14.392
3713600000,74.3807,14.4132
3723200000,74.3625,14.4328
3732800000,74.336,14.4676
3742400000,74.3182,14.4851
3752000000,74.2869,14.5151
3761600000,74.2646,14.5528
3771200000,74.2455,14.5806
3780800000,74.22,14.6107
3790400000,74.2052,14.6395
3800000000,74.1794,14.6734
3809600000,74.1619,14.6913
3819200000,74.1306,14.7211
3828800000,74.1027,14.7305
3838400000,74.0687,14.776
3848000000,74.0487,14.7971
3857600000,74.017,14.833
3867200000,73.9904,14.8572
3876800000,73.9793,14.8931
3886400000,73.9604,14.9252
3896000000,73.9402,14.9481
3905600000,73.9243,14.9734
3915200000,73.8889,15.0053
3924800000,73.8803,15.0238
3934400000,73.8532,15.0555
3944000000,73.8291,15.0936
3953600000,73.8101,15.1487
3963200000,73.8209,15.1983
3972800000,73.8151,15.2228
3982400000,73.8154,15.2573
3992000000,73.8053,15.2915
4001600000,73.7922,15.3265
4011200000,73.7747,15.3621
4020800000,73.7503,15.3807
4030400000,73.7317,15.4289
4040000000,73.7125,15.4561
4049600000,73.7103,15.4958
4059200000,73.7117,15.5522
4068800000,73.7173,15.5955
4078400000,73.7152,15.6355
4088000000,73.7184,15.6606
4097600000,73.711,15.6924
4107200000,73.7006,15.7072
4116800000,73.6823,15.7367
4126400000,73.6577,15.7693
4136000000,73.6418,15.798
4145600000,73.6319,15.8333
4155200000,73.627,15.8707
4164800000,73.611,15.9003
4174400000,73.6014,15.9305
4184000000,73.586,15.9508
4193600000,73.5689,15.9634
4203200000,73.5402,15.9733
4212800000,73.523,16.002
4222400000,73.49,16.0305
4232000000,73.4716,16.0516
4241600000,73.441,16.0866
4251200000,73.4157,16.118
4260800000,73.4035,16.1512
4270400000,73.3839,16.1769
4280000000,73.3571,16.1952
4289600000,73.3382,16.2132
4299200000,73.3087,16.218
4308800000,73.2762,16.2494
4318400000,73.2402,16.2952
4328000000,73.2129,16.3247
4337600000,73.1856,16.3535
4347200000,73.1633,16.409
4356800000,73.1523,16.4423
4366400000,73.1393,16.4663
4376000000,73.1166,16.4956
4385600000,73.0987,16.5102
4395200000,73.0629,16.5504
4404800000,73.0478,16.5819
4414400000,73.0191,16.6215
4424000000,72.9928,16.6599
4433600000,72.9916,16.7096
4443200000,72.9769,16.7405
4452800000,72.9726,16.7898
4462400000,72.9549,16.8167
4472000000,72.9392,16.8459
4481600000,72.9222,16.8776
4491200000,72.9014,16.9128
4500800000,72.8764,16.9518
4510400000,72.8786,16.9698
4520000000,72.8612,17.0349
4529600000,72.8615,17.0717
4539200000,72.8674,17.1108
4548800000,72.8658,17.1425
4558400000,72.8677,17.1765
4568000000,72.873,17.1811
4577600000,72.8478,17.2068
4587200000,72.8362,17.239
4596800000,72.8286,17.2526
4606400000,72.8093,17.2883
4616000000,72.7973,17.3227
4625600000,72.7786,17.3499
4635200000,72.7701,17.3753
4644800000,72.7574,17.4056
4654400000,72.7368,17.4101
4664000000,72.7104,17.43
4673600000,72.6801,17.4543
4683200000,72.6347,17.4845
4692800000,72.6034,17.512
4702400000,72.577,17.5366
4712000000,72.5563,17.5815
4721600000,72.5396,17.5995
4731200000,72.5145,17.6258
4740800000,72.4952,17.6328
4750400000,72.4577,17.6517
4760000000,72.4274,17.674
4769600000,72.3744,17.7052
4779200000,72.3439,17.7239
4788800000,72.3084,17.7559
4798400000,72.2906,17.7916
4808000000,72.2689,17.8386
4817600000,72.2589,17.8779
4827200000,72.2552,17.9003
4836800000,72.2372,17.9301
4846400000,72.2136,17.9567
4856000000,72.1876,17.9561
4865600000,72.1616,17.9844
4875200000,72.1317,18.0223
4884800000,72.1104,18.0777
4894400000,72.1026,18.1154
4904000000,72.0885,18.1599
4913600000,72.0853,18.2024
4923200000,72.0834,18.2399
4932800000,72.0744,18.2567
4942400000,72.0616,18.2905
4952000000,72.0477,18.3052
4961600000,72.0274,18.3402
4971200000,72.0032,18.3771
4980800000,71.9788,18.4054
4990400000,71.9789,18.4481
5000000000,71.9775,18.4925
