!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1000000000,-4.8015685,162.43324
1001000000,-4.7803583,162.26672
1002000000,-4.797225,162.44301
1003000000,-4.7905331,162.3987
1004000000,-4.7529159,162.33076
1005000000,-4.8148274,162.38741
1006000000,-4.7985091,162.08865
1007000000,-4.7908854,162.32672
1008000000,-4.7524877,162.18642
1009000000,-4.782855,162.33224
1010000000,-4.7686934,162.24057
1011000000,-4.801734,161.85139
1012000000,-4.8184319,162.04012
1013000000,-4.7722712,161.9317
1014000000,-4.7594361,161.95251
1015000000,-4.7842827,161.91479
1016000000,-4.7529211,161.91754
1017000000,-4.7398109,161.89647
1018000000,-4.7622566,161.78314
1019000000,-4.7949572,161.66051
1020000000,-4.7741551,161.70674
1021000000,-4.7924647,161.57945
1022000000,-4.7571001,161.73273
1023000000,-4.7824807,161.67279
1024000000,-4.7666965,161.64539
1025000000,-4.7364326,161.46355
1026000000,-4.8029871,161.41678
1027000000,-4.7286696,161.4268
1028000000,-4.7726688,161.42738
1029000000,-4.7601976,161.67719
1030000000,-4.7681403,161.49396
1031000000,-4.7124114,161.22311
1032000000,-4.7901711,161.16946
1033000000,-4.7507715,161.10037
1034000000,-4.7702441,161.37341
1035000000,-4.7509656,161.20055
1036000000,-4.7559109,161.24925
1037000000,-4.7272625,161.07077
1038000000,-4.7486148,161.30675
1039000000,-4.7765698,161.20471
1040000000,-4.7116957,161.05882
1041000000,-4.7787046,161.0506
1042000000,-4.7633381,160.97646
1043000000,-4.7553163,160.98895
1044000000,-4.7365985,160.89063
1045000000,-4.7733192,160.88445
1046000000,-4.7314315,160.644
1047000000,-4.733006,160.82294
1048000000,-4.7422976,160.75684
1049000000,-4.7057252,160.69437
1050000000,-4.7135539,160.77167
1051000000,-4.7329679,160.67906
1052000000,-4.7097306,160.72957
1053000000,-4.7176619,160.38469
1054000000,-4.7223034,160.38084
1055000000,-4.7165179,160.66098
1056000000,-4.7748885,160.54329
1057000000,-4.695076,160.33252
1058000000,-4.7664223,160.18581
1059000000,-4.7384453,160.35387
1060000000,-4.7153373,160.37325
1061000000,-4.7162862,160.07527
1062000000,-4.7527847,160.17616
1063000000,-4.7136421,160.25027
1064000000,-4.707418,160.18759
1065000000,-4.6993608,160.11949
1066000000,-4.7131796,160.00356
1067000000,-4.7095413,159.85045
1068000000,-4.7105527,159.90755
1069000000,-4.6970644,159.95967
1070000000,-4.7164326,159.66327
1071000000,-4.7157679,159.94708
1072000000,-4.7052298,159.70003
1073000000,-4.7235155,159.97023
1074000000,-4.6873293,159.80569
1075000000,-4.7262821,159.71938
1076000000,-4.6916723,159.92088
1077000000,-4.6993065,159.62842
1078000000,-4.7177186,159.6353
1079000000,-4.7045979,159.48209
1080000000,-4.697001,159.43854
1081000000,-4.6758428,159.67688
1082000000,-4.7002592,159.4556
1083000000,-4.6987453,159.50723
1084000000,-4.6794763,159.36703
1085000000,-4.6708717,159.33936
1086000000,-4.6922665,159.18405
1087000000,-4.660491,159.50539
1088000000,-4.6768999,159.37231
1089000000,-4.6881728,159.11676
1090000000,-4.7045932,159.25871
1091000000,-4.6742592,159.0361
1092000000,-4.6816373,159.18159
1093000000,-4.6658473,158.89673
1094000000,-4.6781964,158.86412
1095000000,-4.6642399,159.02069
1096000000,-4.6782298,158.85449
1097000000,-4.6683726,158.77907
1098000000,-4.6780481,158.79686
1099000000,-4.6772494,158.80733
1100000000,-4.6930642,158.64444
1101000000,-4.6835632,158.61636
1102000000,-4.6768684,158.60471
1103000000,-4.6922593,158.67384
1104000000,-4.6894956,158.60672
1105000000,-4.6762805,158.56487
1106000000,-4.6703372,158.4593
1107000000,-4.6744847,158.50026
1108000000,-4.6457233,158.19279
1109000000,-4.6496425,158.14609
1110000000,-4.6579132,158.35965
1111000000,-4.65166,158.38698
1112000000,-4.6848388,158.09464
1113000000,-4.6719275,158.26413
1114000000,-4.7016873,158.15968
1115000000,-4.6307325,158.16843
1116000000,-4.6653485,158.1788
1117000000,-4.625484,158.18904
1118000000,-4.6509485,158.10211
1119000000,-4.6326623,157.67836
1120000000,-4.6442304,158.07443
1121000000,-4.6573091,157.86172
1122000000,-4.6548009,157.94737
1123000000,-4.6575432,157.71313
1124000000,-4.6180911,157.86157
1125000000,-4.6519136,157.6982
1126000000,-4.6522708,157.51981
1127000000,-4.6660094,157.64119
1128000000,-4.6681156,157.61241
1129000000,-4.6467452,157.28558
1130000000,-4.6440125,157.44591
1131000000,-4.6151133,157.44269
1132000000,-4.6513867,157.55116
1133000000,-4.6552181,157.22409
1134000000,-4.6162243,157.59851
1135000000,-4.6525917,157.21027
1136000000,-4.6507096,157.39946
1137000000,-4.6763787,157.27927
1138000000,-4.6039991,157.01575
1139000000,-4.6378059,157.12709
1140000000,-4.6483164,157.13722
1141000000,-4.6527929,157.08264
1142000000,-4.6526327,156.92648
1143000000,-4.6341262,157.09348
1144000000,-4.6491308,156.93573
1145000000,-4.6147866,156.60722
1146000000,-4.6020622,156.96701
1147000000,-4.5801744,156.72638
1148000000,-4.6462045,156.64908
1149000000,-4.6425085,156.95073
1150000000,-4.6302028,156.69452
1151000000,-4.6113644,156.73798
1152000000,-4.6415777,156.45648
1153000000,-4.6069474,156.60728
1154000000,-4.6319089,156.53236
1155000000,-4.6118221,156.30266
1156000000,-4.6048498,156.39694
1157000000,-4.5915594,156.34682
1158000000,-4.6014829,156.36873
1159000000,-4.6069946,156.2942
1160000000,-4.6156907,156.3121
1161000000,-4.5992198,156.37621
1162000000,-4.5973697,156.3307
1163000000,-4.6285439,156.1113
1164000000,-4.583684,156.22073
1165000000,-4.622313,156.06886
1166000000,-4.6037097,156.01788
1167000000,-4.6017222,156.15912
1168000000,-4.586504,155.96069
1169000000,-4.6305695,155.92012
1170000000,-4.5935111,155.9633
1171000000,-4.6182137,156.10182
1172000000,-4.5951395,155.80736
1173000000,-4.6215172,155.87584
1174000000,-4.627172,155.78836
1175000000,-4.5917945,155.41644
1176000000,-4.5783629,155.48064
1177000000,-4.6275272,155.4317
1178000000,-4.596148,155.52678
1179000000,-4.6058116,155.45528
1180000000,-4.5891061,155.40625
1181000000,-4.6169491,155.36464
1182000000,-4.5591755,155.34409
1183000000,-4.5994158,155.38654
1184000000,-4.6220908,155.22421
1185000000,-4.6131363,155.19618
1186000000,-4.6094956,155.17776
1187000000,-4.6145973,155.21481
1188000000,-4.5703835,154.88963
1189000000,-4.5875058,154.95795
1190000000,-4.5915351,154.97423
1191000000,-4.5952878,155.09554
1192000000,-4.5890031,154.84956
1193000000,-4.5976405,154.84148
1194000000,-4.57932,154.77357
1195000000,-4.6058207,154.60701
1196000000,-4.5838218,154.70911
1197000000,-4.5841942,154.55168
1198000000,-4.6018672,154.61729
1199000000,-4.6002116,154.46417
1200000000,-4.5628457,154.45119
1201000000,-4.5796785,154.4986
