"Freq [GHz]","dB(S(1,1)) []"
1,0.00193699682274911
1.001,0.00176904565012747
1.002,0.00160145705655795
1.003,0.00143423068795216
1.004,0.00126736618853035
1.005,0.00110086320080217
1.006,0.000934721365612901
1.007,0.000768940322133832
1.008,0.000603519707895033
1.009,0.000438459158758357
1.01,0.00027375830896179
1.011,0.000109416791121387
1.012,-5.45657637725806E-005
1.013,-0.000218189726324765
1.014,-0.000381455468736661
1.015,-0.000544363364792131
1.016,-0.000706913789858358
1.017,-0.000869107120840508
1.018,-0.00103094373622994
1.019,-0.00119242401603569
1.02,-0.00135354834180476
1.021,-0.0015143170966201
1.022,-0.0016747306650534
1.023,-0.00183478943319296
1.024,-0.00199449378862253
1.025,-0.00215384412039419
1.026,-0.00231284081904575
1.027,-0.00247148427656404
1.028,-0.00262977488639935
1.029,-0.00278771304344997
1.03,-0.00294529914402066
1.031,-0.00310253358586314
1.032,-0.0032594167681288
1.033,-0.00341594909138309
1.034,-0.00357213095757948
1.035,-0.00372796277004877
1.036,-0.00388344493350871
1.037,-0.00403857785403116
1.038,-0.0041933619390478
1.039,-0.00434779759733374
1.04,-0.0045018852390045
1.041,-0.00465562527549865
1.042,-0.00480901811956327
1.043,-0.00496206418526933
1.044,-0.00511476388798461
1.045,-0.00526711764434568
1.046,-0.00541912587229545
1.047,-0.005570788991032
1.048,-0.00572210742101333
1.049,-0.00587308158395632
1.05,-0.00602371190281737
1.051,-0.00617399880178851
1.052,-0.00632394270628378
1.053,-0.00647354404293532
1.054,-0.00662280323957884
1.055,-0.00677172072525448
1.056,-0.00692029693017301
1.057,-0.00706853228575044
1.058,-0.00721642722455494
1.059,-0.0073639821803231
1.06,-0.00751119758794447
1.061,-0.00765807388344599
1.062,-0.00780461150400258
1.063,-0.00795081088790997
1.064,-0.00809667247457023
1.065,-0.00824219670451477
1.066,-0.00838738401936182
1.067,-0.00853223486182796
1.068,-0.00867674967571252
1.069,-0.00882092890588404
1.07,-0.008964772998285
1.071,-0.00910828239990468
1.072,-0.00925145755879935
1.073,-0.00939429892405165
1.074,-0.00953680694578496
1.075,-0.0096789820751334
1.076,-0.0098208247642726
1.077,-0.00996233546635497
1.078,-0.0101035146355559
1.079,-0.0102443627270254
1.08,-0.0103848801969111
1.081,-0.0105250675023286
1.082,-0.0106649251013548
1.083,-0.0108044534530365
1.084,-0.0109436530173557
1.085,-0.0110825242552541
1.086,-0.0112210676285911
1.087,-0.0113592836001635
1.088,-0.0114971726336846
1.089,-0.011634735193774
1.09,-0.0117719717459551
1.091,-0.0119088827566485
1.092,-0.01204546869316
1.093,-0.012181730023681
1.094,-0.0123176672172581
1.095,-0.0124532807438131
1.096,-0.0125885710741232
1.097,-0.0127235386798047
1.098,-0.0128581840333282
1.099,-0.0129925076079885
1.1,-0.0131265098779066
1.101,-0.013260191318016
1.102,-0.0133935524040758
1.103,-0.0135265936126346
1.104,-0.0136593154210283
1.105,-0.0137917183073989
1.106,-0.0139238027506616
1.107,-0.014055569230498
1.108,-0.0141870182273686
1.109,-0.0143181502224688
1.11,-0.0144489656977739
1.111,-0.0145794651359782
1.112,-0.014709649020526
1.113,-0.014839517835586
1.114,-0.0149690720660551
1.115,-0.015098312197524
1.116,-0.0152272387163186
1.117,-0.0153558521094402
1.118,-0.0154841528646156
1.119,-0.0156121414702143
1.12,-0.0157398184153228
1.121,-0.0158671841896787
1.122,-0.0159942392836965
1.123,-0.0161209841884351
1.124,-0.0162474193956201
1.125,-0.0163735453976183
1.126,-0.0164993626874228
1.127,-0.0166248717586681
1.128,-0.016750073105612
1.129,-0.0168749672231189
1.13,-0.0169995546066817
1.131,-0.0171238357523851
1.132,-0.0172478111569105
1.133,-0.0173714813175325
1.134,-0.0174948467321135
1.135,-0.0176179078990866
1.136,-0.0177406653174569
1.137,-0.0178631194867933
1.138,-0.0179852709072228
1.139,-0.0181071200794215
1.14,-0.0182286675046182
1.141,-0.0183499136845697
1.142,-0.0184708591215726
1.143,-0.0185915043184383
1.144,-0.0187118497785033
1.145,-0.01883189600562
1.146,-0.0189516435041393
1.147,-0.0190710927789197
1.148,-0.0191902443353037
1.149,-0.0193090986791324
1.15,-0.0194276563167219
1.151,-0.0195459177548586
1.152,-0.0196638835008094
1.153,-0.0197815540622995
1.154,-0.0198989299474977
1.155,-0.0200160116650386
1.156,-0.0201327997240009
1.157,-0.0202492946338894
1.158,-0.0203654969046574
1.159,-0.0204814070466713
1.16,-0.0205970255707239
1.161,-0.0207123529880204
1.162,-0.0208273898101777
1.163,-0.0209421365492076
1.164,-0.0210565937175293
1.165,-0.0211707618279469
1.166,-0.0212846413936532
1.167,-0.0213982329282073
1.168,-0.0215115369455666
1.169,-0.0216245539600271
1.17,-0.0217372844862732
1.171,-0.0218497290393268
1.172,-0.0219618881345668
1.173,-0.0220737622877335
1.174,-0.0221853520148707
1.175,-0.0222966578323951
1.176,-0.0224076802570187
1.177,-0.0225184198058047
1.178,-0.0226288769961058
1.179,-0.0227390523456149
1.18,-0.0228489463723022
1.181,-0.0229585595944674
1.182,-0.0230678925306882
1.183,-0.0231769456998347
1.184,-0.0232857196210566
1.185,-0.0233942148137987
1.186,-0.0235024317977636
1.187,-0.0236103710929323
1.188,-0.0237180332195496
1.189,-0.0238254186981097
1.19,-0.0239325280493598
1.191,-0.0240393617943081
1.192,-0.0241459204541959
1.193,-0.0242522045505021
1.194,-0.0243582146049353
1.195,-0.024463951139432
1.196,-0.0245694146761609
1.197,-0.0246746057374911
1.198,-0.0247795248460149
1.199,-0.0248841725245239
1.2,-0.024988549296018
1.201,-0.0250926556836979
1.202,-0.0251964922109357
1.203,-0.0253000594013069
1.204,-0.0254033577785717
1.205,-0.0255063878666543
1.206,-0.0256091501896645
1.207,-0.0257116452718656
1.208,-0.0258138736376911
1.209,-0.0259158358117325
1.21,-0.0260175323187362
1.211,-0.0261189636835837
1.212,-0.0262201304313101
1.213,-0.0263210330870913
1.214,-0.0264216721762302
1.215,-0.0265220482241597
1.216,-0.0266221617564452
1.217,-0.0267220132987583
1.218,-0.0268216033768905
1.219,-0.0269209325167556
1.22,-0.027020001244354
1.221,-0.0271188100857955
1.222,-0.0272173595672957
1.223,-0.0273156502151503
1.224,-0.0274136825557486
1.225,-0.0275114571155579
1.226,-0.0276089744211293
1.227,-0.0277062349990874
1.228,-0.0278032393761231
1.229,-0.0278999880790005
1.23,-0.0279964816345321
1.231,-0.0280927205695997
1.232,-0.028188705411133
1.233,-0.0282844366861036
1.234,-0.0283799149215373
1.235,-0.0284751406444913
1.236,-0.0285701143820611
1.237,-0.0286648366613767
1.238,-0.0287593080095862
1.239,-0.0288535289538652
1.24,-0.0289475000214107
1.241,-0.0290412217394265
1.242,-0.029134694635136
1.243,-0.0292279192357571
1.244,-0.0293208960685106
1.245,-0.0294136256606291
1.246,-0.0295061085393224
1.247,-0.0295983452317974
1.248,-0.0296903362652506
1.249,-0.0297820821668489
1.25,-0.0298735834637371
