"Freq [GHz]","cang_deg(S(2,1)) [deg]"
1,-0.0360033262731106
1.001,-0.0368594609120908
1.002,-0.0377144152919662
1.003,-0.0385681894357197
1.004,-0.0394207833754557
1.005,-0.0402721971507925
1.006,-0.0411224308108848
1.007,-0.0419714844128441
1.008,-0.0428193580221104
1.009,-0.0436660517128552
1.01,-0.0445115655671735
1.011,-0.0453558996759397
1.012,-0.0461990541374929
1.013,-0.0470410290586488
1.014,-0.0478818245547684
1.015,-0.0487214407486505
1.016,-0.0495598777712595
1.017,-0.0503971357617917
1.018,-0.0512332148668825
1.019,-0.0520681152415042
1.02,-0.0529018370479759
1.021,-0.0537343804567083
1.022,-0.0545657456457175
1.023,-0.0553959328007766
1.024,-0.0562249421148079
1.025,-0.0570527737891285
1.026,-0.0578794280319156
1.027,-0.0587049050587108
1.028,-0.0595292050932969
1.029,-0.0603523283661837
1.03,-0.0611742751152698
1.031,-0.0619950455858267
1.032,-0.0628146400305344
1.033,-0.0636330587088193
1.034,-0.064450301888085
1.035,-0.0652663698417866
1.036,-0.0660812628515008
1.037,-0.0668949812049413
1.038,-0.0677075251973308
1.039,-0.0685188951304907
1.04,-0.0693290913136514
1.041,-0.0701381140624182
1.042,-0.0709459636993187
1.043,-0.0717526405537223
1.044,-0.0725581449616133
1.045,-0.0733624772658128
1.046,-0.0741656378156645
1.047,-0.0749676269670966
1.048,-0.0757684450826051
1.049,-0.0765680925312522
1.05,-0.0773665696886304
1.051,-0.0781638769366328
1.052,-0.0789600146637197
1.053,-0.0797549832643607
1.054,-0.0805487831397211
1.055,-0.0813414146970567
1.056,-0.0821328783497502
1.057,-0.082923174517828
1.058,-0.0837123036268218
1.059,-0.0845002661090405
1.06,-0.085287062402306
1.061,-0.0860726929507329
1.062,-0.0868571582047822
1.063,-0.0876404586199002
1.064,-0.0884225946588063
1.065,-0.089203566789048
1.066,-0.0899833754842933
1.067,-0.0907620212240793
1.068,-0.0915395044940669
1.069,-0.092315825785145
1.07,-0.0930909855941369
1.071,-0.0938649844234389
1.072,-0.094637822781214
1.073,-0.0954095011811657
1.074,-0.0961800201426862
1.075,-0.0969493801902741
1.076,-0.0977175818545163
1.077,-0.0984846256708904
1.078,-0.0992505121807169
1.079,-0.100015241930344
1.08,-0.100778815471941
1.081,-0.101541233362583
1.082,-0.102302496164904
1.083,-0.103062604446557
1.084,-0.103821558780376
1.085,-0.10457935974476
1.086,-0.105336007922876
1.087,-0.10609150390325
1.088,-0.106845848279362
1.089,-0.107599041649879
1.09,-0.108351084618056
1.091,-0.109101977792955
1.092,-0.109851721787699
1.093,-0.110600317220953
1.094,-0.111347764716047
1.095,-0.112094064901082
1.096,-0.11283921840919
1.097,-0.113583225878227
1.098,-0.114326087950645
1.099,-0.115067805273932
1.1,-0.115808378500013
1.101,-0.116547808285848
1.102,-0.117286095292499
1.103,-0.118023240185989
1.104,-0.118759243637231
1.105,-0.119494106320794
1.106,-0.120227828916593
1.107,-0.120960412108727
1.108,-0.121691856585954
1.109,-0.122422163041098
1.11,-0.123151332171564
1.111,-0.123879364679299
1.112,-0.124606261270374
1.113,-0.12533202265528
1.114,-0.126056649548949
1.115,-0.126780142670351
1.116,-0.127502502742556
1.117,-0.128223730493317
1.118,-0.128943826654319
1.119,-0.129662791960925
1.12,-0.130380627153757
1.121,-0.131097332976225
1.122,-0.131812910177006
1.123,-0.132527359507799
1.124,-0.133240681724968
1.125,-0.133952877588701
1.126,-0.134663947863127
1.127,-0.135373893316053
1.128,-0.136082714719779
1.129,-0.136790412849951
1.13,-0.137496988486468
1.131,-0.138202442412627
