!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:48:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,47.909325,175.83127
1001000000,47.013855,175.84875
1002000000,45.883224,175.67482
1003000000,44.602608,175.47598
1004000000,43.367001,175.20287
1005000000,42.337448,175.03946
1006000000,40.475269,174.84032
1007000000,39.827877,174.7635
1008000000,37.445114,174.6431
1009000000,37.169861,174.34367
1010000000,36.029533,174.22472
1011000000,34.778381,173.84171
1012000000,32.491318,173.67725
1013000000,32.004242,173.48819
1014000000,30.230801,173.20534
1015000000,29.477112,173.0188
1016000000,28.931602,172.87956
1017000000,26.318523,172.6093
1018000000,25.855349,172.31616
1019000000,24.126589,172.25406
1020000000,22.425356,171.95561
1021000000,21.06547,171.83351
1022000000,20.901068,171.83194
1023000000,19.367491,171.61104
1024000000,16.611128,171.17099
1025000000,15.153729,171.01288
1026000000,14.635315,170.98581
1027000000,12.873934,170.52205
1028000000,11.78373,170.39568
1029000000,10.541454,170.29025
1030000000,8.8764048,169.98335
1031000000,7.896924,169.97754
1032000000,6.2062049,169.62759
1033000000,4.7960725,169.35568
1034000000,3.1343863,169.18312
1035000000,1.7349434,169.1497
1036000000,1.3136774,168.92336
1037000000,-0.7486977,168.81633
1038000000,-1.1725252,168.46402
1039000000,-3.3252223,168.19785
1040000000,-4.4911385,168.00533
1041000000,-5.7542992,167.90396
1042000000,-7.1659646,167.71819
1043000000,-8.2070799,167.41469
1044000000,-8.9902382,167.16542
1045000000,-10.659953,167.09933
1046000000,-12.729157,166.98228
1047000000,-13.586902,166.49533
1048000000,-14.490641,166.40755
1049000000,-15.499934,166.26317
1050000000,-16.649866,166.18491
1051000000,-19.420462,165.72499
1052000000,-19.761299,165.63937
1053000000,-20.608721,165.49704
1054000000,-21.900108,165.36536
1055000000,-22.590567,165.18996
1056000000,-24.179705,164.92627
1057000000,-24.890635,164.66315
1058000000,-25.556459,164.27773
1059000000,-26.847204,164.29079
1060000000,-29.219372,164.23161
1061000000,-29.115454,164.09004
1062000000,-29.538858,163.82678
1063000000,-31.179104,163.5378
1064000000,-31.599522,163.17526
1065000000,-32.683136,163.24014
1066000000,-33.792953,162.99574
1067000000,-34.908188,162.74313
1068000000,-34.961689,162.68958
1069000000,-35.487732,162.24289
1070000000,-37.344246,162.06429
1071000000,-36.949081,161.97977
1072000000,-37.995975,161.74042
1073000000,-38.884411,161.3992
1074000000,-40.402634,161.56949
1075000000,-39.724056,161.06522
1076000000,-41.735435,160.87769
1077000000,-41.762394,160.90585
1078000000,-43.379993,160.64401
1079000000,-43.152699,160.15971
1080000000,-43.454399,159.97574
1081000000,-44.280479,159.81927
1082000000,-45.726517,159.60262
1083000000,-46.613914,159.52866
1084000000,-45.831985,159.39207
1085000000,-47.018818,159.07779
1086000000,-48.101719,159.03932
1087000000,-48.405331,158.71754
1088000000,-48.805824,158.42505
1089000000,-49.5732,158.3909
1090000000,-50.034203,158.15488
1091000000,-50.715778,157.95764
1092000000,-51.479099,157.76033
1093000000,-51.980133,157.43674
1094000000,-52.040287,157.30287
1095000000,-53.025307,157.15839
1096000000,-53.742294,157.00513
1097000000,-53.861675,156.67932
1098000000,-54.245808,156.36606
1099000000,-54.361675,156.33315
1100000000,-55.5592,156.03432
1101000000,-55.01302,155.8829
1102000000,-56.117485,155.91481
1103000000,-56.553543,155.41965
1104000000,-57.814499,155.40031
1105000000,-58.448593,155.1925
1106000000,-58.222031,154.94232
1107000000,-57.826603,154.74835
1108000000,-59.160995,154.5583
1109000000,-59.385475,154.43654
1110000000,-60.107975,154.16536
1111000000,-61.366238,153.84032
1112000000,-61.53989,153.7579
1113000000,-61.524063,153.42079
1114000000,-61.689724,153.24225
1115000000,-62.465134,152.95695
1116000000,-63.395939,152.84529
1117000000,-62.830097,152.67487
1118000000,-63.300758,152.75761
1119000000,-63.940147,152.19757
1120000000,-64.024788,152.17493
1121000000,-64.600204,151.83679
1122000000,-64.899559,151.80447
1123000000,-64.906601,151.65855
1124000000,-65.802521,151.41829
1125000000,-66.3479,151.15096
1126000000,-66.532265,150.99028
1127000000,-67.093376,150.8741
1128000000,-67.315971,150.3998
1129000000,-67.446625,150.18813
1130000000,-67.973625,150.09937
1131000000,-67.796326,149.9642
1132000000,-68.630157,149.53668
1133000000,-68.88736,149.509
1134000000,-69.145187,149.29633
1135000000,-68.776093,149.2115
