!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:34:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-29.755701,-0.19367836
1001000000,-29.688713,-0.22887635
1002000000,-29.922815,-0.20751463
1003000000,-29.388922,-0.21124834
1004000000,-29.446939,-0.21631131
1005000000,-29.563236,-0.21914607
1006000000,-29.346672,-0.19131862
1007000000,-29.274857,-0.1960371
1008000000,-29.146217,-0.19781305
1009000000,-29.382658,-0.24264601
1010000000,-29.317211,-0.23818226
1011000000,-29.104742,-0.21648398
1012000000,-28.959576,-0.2122526
1013000000,-29.34318,-0.21697035
1014000000,-29.077021,-0.21853983
1015000000,-28.88299,-0.21744715
1016000000,-28.985615,-0.18731263
1017000000,-28.780659,-0.25295416
1018000000,-28.850397,-0.18802679
1019000000,-28.728317,-0.20171554
1020000000,-28.866457,-0.2027946
1021000000,-28.764093,-0.1999699
1022000000,-28.730625,-0.21200477
1023000000,-28.610456,-0.19451439
1024000000,-28.740282,-0.19211203
1025000000,-28.384083,-0.20088305
1026000000,-28.543121,-0.21899922
1027000000,-28.560846,-0.2013454
1028000000,-28.506311,-0.20593782
1029000000,-28.41049,-0.2026508
1030000000,-28.39316,-0.23070736
1031000000,-28.338678,-0.20462351
1032000000,-27.983522,-0.21478698
1033000000,-28.395271,-0.25336075
1034000000,-28.127703,-0.22533806
1035000000,-28.246181,-0.20640565
1036000000,-28.084503,-0.20645833
1037000000,-28.010769,-0.20128624
1038000000,-28.178396,-0.24270941
1039000000,-28.136106,-0.25132892
1040000000,-27.984419,-0.21297795
1041000000,-27.994278,-0.22738095
1042000000,-27.751682,-0.18715417
1043000000,-27.916319,-0.2332496
1044000000,-27.830982,-0.23050411
1045000000,-27.845947,-0.21503705
1046000000,-27.65819,-0.17689137
1047000000,-27.886709,-0.21341465
1048000000,-27.788141,-0.21998341
1049000000,-27.713009,-0.24099486
1050000000,-27.574324,-0.20905054
1051000000,-27.630224,-0.21136831
1052000000,-27.635754,-0.25622964
1053000000,-27.563084,-0.21423176
1054000000,-27.54616,-0.2237528
1055000000,-27.595367,-0.22824362
1056000000,-27.480232,-0.19968514
1057000000,-27.407383,-0.20807935
1058000000,-27.338976,-0.24933168
1059000000,-27.434067,-0.23343535
1060000000,-27.342699,-0.20815052
1061000000,-27.384089,-0.22021797
1062000000,-27.254375,-0.21970496
1063000000,-27.228449,-0.20778379
1064000000,-27.373112,-0.2402855
1065000000,-27.267679,-0.26208961
1066000000,-27.160837,-0.24298692
1067000000,-27.06003,-0.23559009
1068000000,-27.18075,-0.23186195
1069000000,-27.082842,-0.22303325
1070000000,-26.999548,-0.22793439
1071000000,-27.045694,-0.21373102
1072000000,-26.946941,-0.21110503
1073000000,-27.013441,-0.25382406
1074000000,-27.012106,-0.23572434
1075000000,-27.060211,-0.25349456
1076000000,-26.894093,-0.23152009
1077000000,-26.991461,-0.25279108
1078000000,-26.815004,-0.19255821
1079000000,-26.784464,-0.22207575
1080000000,-26.641094,-0.22456907
1081000000,-26.800329,-0.22476491
1082000000,-26.676973,-0.20295587
1083000000,-26.780294,-0.24495865
1084000000,-26.734299,-0.22477901
1085000000,-26.675928,-0.23076382
1086000000,-26.804441,-0.23634851
1087000000,-26.612606,-0.23950864
1088000000,-26.637844,-0.23297295
1089000000,-26.538713,-0.23038441
1090000000,-26.496029,-0.24704903
1091000000,-26.57807,-0.24244998
1092000000,-26.537764,-0.25083452
1093000000,-26.517923,-0.23428325
1094000000,-26.54549,-0.25023097
1095000000,-26.443033,-0.21699029
1096000000,-26.337645,-0.21527418
1097000000,-26.451643,-0.24116725
1098000000,-26.386049,-0.21608378
1099000000,-26.37159,-0.24041432
1100000000,-26.347622,-0.22113706
1101000000,-26.324686,-0.22929989
1102000000,-26.298786,-0.20821147
1103000000,-26.282671,-0.23395526
1104000000,-26.355869,-0.2264792
1105000000,-26.250723,-0.24521258
1106000000,-26.202091,-0.25437614
1107000000,-26.242762,-0.2519401
1108000000,-26.167824,-0.21700804
1109000000,-26.096725,-0.22479402
1110000000,-26.180872,-0.25024784
1111000000,-26.194685,-0.22219869
1112000000,-26.122343,-0.23969446
1113000000,-26.096806,-0.25313604
1114000000,-26.104429,-0.21682566
1115000000,-26.111149,-0.23379664
1116000000,-26.05415,-0.26542181
1117000000,-25.978235,-0.19737315
1118000000,-26.075451,-0.24135581
1119000000,-25.934809,-0.2227547
1120000000,-25.971504,-0.24973604
1121000000,-25.997215,-0.25776249
1122000000,-26.018808,-0.26959345
1123000000,-25.957684,-0.24588771
1124000000,-25.889524,-0.24515823
1125000000,-25.830725,-0.21901882
1126000000,-25.855021,-0.27435067
1127000000,-25.874821,-0.23247965
1128000000,-25.897282,-0.23253843
1129000000,-25.812353,-0.23786958
1130000000,-25.7859,-0.23023362
1131000000,-25.843096,-0.25059304
1132000000,-25.80558,-0.24641769
1133000000,-25.775152,-0.24014141
1134000000,-25.762291,-0.2471071
1135000000,-25.725079,-0.24868031
1136000000,-25.732162,-0.24530743
1137000000,-25.732048,-0.2315001
1138000000,-25.740789,-0.25908181
1139000000,-25.683859,-0.22897291
1140000000,-25.73884,-0.23488641
1141000000,-25.643969,-0.24527544
1142000000,-25.726398,-0.24992408
1143000000,-25.638727,-0.25045273
1144000000,-25.594065,-0.23356065
1145000000,-25.614817,-0.23604994
1146000000,-25.599297,-0.2440028
1147000000,-25.574697,-0.24185437
1148000000,-25.581385,-0.2296855
1149000000,-25.633606,-0.23841406
1150000000,-25.53229,-0.24138816
1151000000,-25.491222,-0.24172546
1152000000,-25.594917,-0.26982903
1153000000,-25.457304,-0.2261585
1154000000,-25.515129,-0.24009082
1155000000,-25.543221,-0.26122791
1156000000,-25.561029,-0.24716321
1157000000,-25.51272,-0.24525072
1158000000,-25.500015,-0.25859597
1159000000,-25.484867,-0.26185009
1160000000,-25.529972,-0.25313279
1161000000,-25.531654,-0.25665468
1162000000,-25.49781,-0.26424539
1163000000,-25.574652,-0.26387727
1164000000,-25.447344,-0.2418305
1165000000,-25.484209,-0.24712184
1166000000,-25.433298,-0.23779179
1167000000,-25.491972,-0.27606222
1168000000,-25.494123,-0.25578168
1169000000,-25.472652,-0.28501594
1170000000,-25.430092,-0.25542131
1171000000,-25.503527,-0.29392251
1172000000,-25.431486,-0.26360524
1173000000,-25.42519,-0.26403543
1174000000,-25.42201,-0.26558921
1175000000,-25.412357,-0.27007949
1176000000,-25.371902,-0.25722224
1177000000,-25.360331,-0.2465834
1178000000,-25.319115,-0.21914396
1179000000,-25.396448,-0.27181643
1180000000,-25.320183,-0.24027707
1181000000,-25.306759,-0.24559402
1182000000,-25.324982,-0.25651121
1183000000,-25.380812,-0.27558774
1184000000,-25.292501,-0.25201347
1185000000,-25.326988,-0.26385292
1186000000,-25.306166,-0.24230962
1187000000,-25.320332,-0.27812019
1188000000,-25.320299,-0.26762116
1189000000,-25.238894,-0.2706798
1190000000,-25.256973,-0.27701941
1191000000,-25.241362,-0.256179
1192000000,-25.302139,-0.27989691
1193000000,-25.219517,-0.24599911
1194000000,-25.274811,-0.24591745
1195000000,-25.215706,-0.24993075
1196000000,-25.266432,-0.27740923
1197000000,-25.249538,-0.25164282
1198000000,-25.184195,-0.25582191
1199000000,-25.168421,-0.25157452
1200000000,-25.199484,-0.25536421
1201000000,-25.193064,-0.27301031
1202000000,-25.179108,-0.26287001
1203000000,-25.173405,-0.26029396
1204000000,-25.15313,-0.25867546
1205000000,-25.161581,-0.24737665
1206000000,-25.20606,-0.28915444
1207000000,-25.181904,-0.26399001
1208000000,-25.173985,-0.26700383
1209000000,-25.187746,-0.27696425
1210000000,-25.156784,-0.25707954
1211000000,-25.113169,-0.25755909
1212000000,-25.150505,-0.26520699
1213000000,-25.149086,-0.28617349
1214000000,-25.141905,-0.25858316
1215000000,-25.166794,-0.29274285
1216000000,-25.096655,-0.26933581
1217000000,-25.14381,-0.29479733
1218000000,-25.182533,-0.27924675
1219000000,-25.127392,-0.25886291
1220000000,-25.090469,-0.24871646
1221000000,-25.12578,-0.26248011
1222000000,-25.097265,-0.26706204
1223000000,-25.076792,-0.2264716
1224000000,-25.106792,-0.27570316
1225000000,-25.135918,-0.28404507
1226000000,-25.097609,-0.25497201
1227000000,-25.15185,-0.29163373
1228000000,-25.1285,-0.26764777
1229000000,-25.103895,-0.27834412
1230000000,-25.104628,-0.2708376
1231000000,-25.147741,-0.291338
1232000000,-25.111216,-0.28321663
1233000000,-25.099243,-0.27389747
1234000000,-25.178192,-0.29450372
1235000000,-25.111561,-0.26206973
1236000000,-25.044971,-0.25116733
1237000000,-25.112267,-0.26372427
1238000000,-25.086708,-0.26343256
1239000000,-25.080679,-0.26951796
1240000000,-25.059109,-0.2634401
1241000000,-25.104113,-0.25369659
1242000000,-25.057297,-0.25812975
1243000000,-25.072412,-0.2495846
1244000000,-25.103693,-0.25809485
1245000000,-25.070721,-0.26720071
1246000000,-25.068327,-0.25391632
1247000000,-25.123707,-0.26822555
1248000000,-25.156218,-0.27692866
1249000000,-25.156538,-0.26073903
1250000000,-25.129919,-0.25807998
1251000000,-25.14312,-0.2773031
1252000000,-25.105536,-0.26569283
1253000000,-25.153406,-0.26666802
1254000000,-25.139717,-0.26502028
1255000000,-25.160561,-0.27989176
1256000000,-25.107105,-0.27492312
1257000000,-25.198158,-0.28612518
1258000000,-25.14349,-0.25945169
1259000000,-25.201284,-0.27143887
1260000000,-25.260658,-0.31985143
1261000000,-25.212631,-0.2747328
1262000000,-25.223106,-0.28371108
1263000000,-25.248524,-0.28214177
1264000000,-25.284388,-0.30301949
1265000000,-25.270575,-0.29014391
1266000000,-25.235252,-0.29236466
1267000000,-25.238834,-0.27269024
1268000000,-25.221947,-0.26134178
1269000000,-25.208593,-0.26426435
1270000000,-25.254581,-0.26434338
1271000000,-25.220943,-0.26410559
1272000000,-25.244038,-0.25977919
1273000000,-25.242283,-0.26291341
1274000000,-25.284239,-0.27934462
1275000000,-25.269281,-0.26454633
1276000000,-25.268688,-0.2768279
1277000000,-25.32659,-0.28521979
1278000000,-25.25559,-0.2869783
1279000000,-25.265572,-0.27039948
1280000000,-25.32807,-0.2960445
1281000000,-25.264683,-0.27512494
1282000000,-25.278912,-0.27895215
1283000000,-25.241695,-0.26010388
1284000000,-25.319613,-0.28159186
1285000000,-25.345078,-0.28446645
1286000000,-25.30975,-0.30314007
1287000000,-25.296108,-0.27763987
1288000000,-25.324427,-0.28888717
1289000000,-25.248751,-0.26433393
1290000000,-25.323307,-0.27346817
1291000000,-25.318275,-0.2864534
1292000000,-25.304966,-0.28678641
1293000000,-25.351593,-0.27767482
1294000000,-25.327179,-0.26917207
1295000000,-25.296848,-0.27886531
1296000000,-25.312895,-0.27231941
1297000000,-25.335752,-0.29486179
1298000000,-25.31657,-0.27000535
1299000000,-25.30691,-0.26618665
1300000000,-25.363686,-0.28496757
1301000000,-25.38154,-0.27957776
1302000000,-25.289665,-0.24936916
1303000000,-25.372778,-0.25812936
1304000000,-25.358128,-0.27786165
1305000000,-25.365553,-0.30176699
1306000000,-25.43656,-0.29923034
1307000000,-25.422155,-0.27800342
1308000000,-25.4632,-0.28852615
1309000000,-25.404625,-0.29833576
1310000000,-25.399689,-0.27189794
1311000000,-25.330378,-0.25370449
1312000000,-25.392857,-0.26424196
1313000000,-25.420547,-0.26224837
1314000000,-25.48451,-0.2895382
1315000000,-25.503286,-0.28693637
1316000000,-25.451056,-0.28747118
1317000000,-25.48687,-0.29056323
1318000000,-25.493727,-0.26786098
1319000000,-25.530884,-0.28375205
1320000000,-25.525078,-0.2752119
1321000000,-25.511126,-0.27416217
1322000000,-25.521452,-0.26108223
1323000000,-25.582457,-0.28890398
1324000000,-25.501827,-0.27013803
1325000000,-25.541765,-0.25194317
1326000000,-25.599035,-0.27874589
1327000000,-25.574131,-0.28111234
1328000000,-25.584055,-0.2519418
1329000000,-25.634914,-0.28758532
1330000000,-25.667395,-0.27695248
1331000000,-25.637133,-0.2942082
1332000000,-25.671457,-0.29512742
1333000000,-25.660583,-0.2658641
1334000000,-25.64967,-0.29227903
1335000000,-25.750097,-0.29235506
1336000000,-25.676239,-0.27996859
1337000000,-25.761526,-0.25377008
1338000000,-25.751701,-0.30444634
1339000000,-25.758274,-0.26396075
1340000000,-25.84096,-0.29135343
1341000000,-25.774704,-0.28572357
1342000000,-25.802509,-0.26825774
1343000000,-25.785826,-0.28394467
1344000000,-25.805504,-0.2683174
1345000000,-25.790617,-0.28686962
1346000000,-25.79735,-0.2817542
1347000000,-25.846695,-0.24789402
1348000000,-25.915533,-0.28715056
1349000000,-25.863741,-0.28359169
1350000000,-25.88726,-0.29721701
1351000000,-25.933542,-0.3154819
1352000000,-25.905914,-0.29166898
1353000000,-25.913681,-0.27540007
1354000000,-25.954594,-0.27846685
1355000000,-25.905691,-0.28499377
1356000000,-25.876219,-0.29771614
1357000000,-25.947319,-0.26177466
1358000000,-25.954838,-0.29157966
1359000000,-26.016153,-0.27194327
1360000000,-25.934086,-0.29352862
1361000000,-25.935144,-0.25179803
1362000000,-26.042255,-0.27320606
1363000000,-26.020964,-0.31060103
1364000000,-26.032585,-0.3057771
1365000000,-26.05871,-0.30003577
1366000000,-26.088638,-0.27408344
1367000000,-26.129963,-0.29762012
1368000000,-26.070305,-0.25412965
1369000000,-26.147095,-0.284136
1370000000,-26.140064,-0.28476185
1371000000,-26.170296,-0.28747547
1372000000,-26.199413,-0.28665569
1373000000,-26.192629,-0.30039153
1374000000,-26.290903,-0.2870883
1375000000,-26.282629,-0.30161297
1376000000,-26.275822,-0.29769918
1377000000,-26.287992,-0.29751608
1378000000,-26.346369,-0.28806067
1379000000,-26.356869,-0.29197815
1380000000,-26.301796,-0.30565077
1381000000,-26.344191,-0.29678184
1382000000,-26.406282,-0.28486037
1383000000,-26.375458,-0.27308255
1384000000,-26.48646,-0.28407657
1385000000,-26.511007,-0.30262354
1386000000,-26.508547,-0.29239446
1387000000,-26.550999,-0.30568802
1388000000,-26.53228,-0.28517458
1389000000,-26.578823,-0.29706153
1390000000,-26.505442,-0.2682592
1391000000,-26.638317,-0.2979669
1392000000,-26.674126,-0.29117376
1393000000,-26.618481,-0.32159254
1394000000,-26.721325,-0.30263707
1395000000,-26.634434,-0.28125408
1396000000,-26.709789,-0.29748854
1397000000,-26.784218,-0.2882095
1398000000,-26.749027,-0.26323211
1399000000,-26.799063,-0.29003879
1400000000,-26.780867,-0.29696494
1401000000,-26.861338,-0.27842847
1402000000,-26.808104,-0.28210762
1403000000,-26.85462,-0.24604096
1404000000,-26.950365,-0.27456689
1405000000,-26.924311,-0.27743399
1406000000,-26.925749,-0.29169291
1407000000,-26.983551,-0.27864149
1408000000,-26.978128,-0.30137479
1409000000,-26.96258,-0.28165224
1410000000,-27.01116,-0.29874575
1411000000,-27.012062,-0.31325167
1412000000,-27.081011,-0.27956983
1413000000,-27.140259,-0.27440667
1414000000,-27.189379,-0.28040975
1415000000,-27.168886,-0.28275678
1416000000,-27.20055,-0.28736007
1417000000,-27.324247,-0.30663204
1418000000,-27.179789,-0.29628453
1419000000,-27.259998,-0.29818127
1420000000,-27.357273,-0.30249012
1421000000,-27.342335,-0.28135225
1422000000,-27.325384,-0.30348626
1423000000,-27.395567,-0.28834245
1424000000,-27.461628,-0.28747228
1425000000,-27.385422,-0.27567765
1426000000,-27.433878,-0.28696495
1427000000,-27.521173,-0.28010181
1428000000,-27.509144,-0.27107954
1429000000,-27.565985,-0.28265405
1430000000,-27.582823,-0.31815758
1431000000,-27.614828,-0.26912934
1432000000,-27.685856,-0.30487454
1433000000,-27.645632,-0.29217592
1434000000,-27.667315,-0.2925899
1435000000,-27.820877,-0.29788592
1436000000,-27.795639,-0.30012164
1437000000,-27.780813,-0.28392038
