"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
1,-4.81581134706091,-7.36727513217699,-5.93565217562839,-7.22972412384712
1.001,-4.81458350511185,-7.36953243965278,-5.9349947849411,-7.23164098839629
1.002,-4.81335815586608,-7.3717913124343,-5.9343346145979,-7.23355813157155
1.003,-4.81213530655951,-7.37405174300064,-5.93367165972234,-7.23547555188675
1.004,-4.81091496443458,-7.37631372381559,-5.9330059154393,-7.23739324785242
1.005,-4.80969713674029,-7.37857724732754,-5.93233737687492,-7.23931121797581
1.006,-4.80848183073228,-7.38084230596952,-5.93166603915672,-7.24122946076073
1.007,-4.80726905367289,-7.38310889215921,-5.93099189741347,-7.2431479747076
1.008,-4.80605881283117,-7.3853769982989,-5.93031494677534,-7.24506675831333
1.009,-4.80485111548297,-7.38764661677552,-5.92963518237385,-7.24698581007132
1.01,-4.80364596891098,-7.38991773996064,-5.92895259934188,-7.2489051284714
1.011,-4.80244338040477,-7.3921903602104,-5.92826719281374,-7.25082471199976
1.012,-4.80124335726086,-7.39446446986562,-5.92757895792512,-7.25274455913896
1.013,-4.80004590678275,-7.39674006125169,-5.92688788981318,-7.25466466836779
1.014,-4.79885103628103,-7.3990171266786,-5.92619398361648,-7.25658503816135
1.015,-4.79765875307333,-7.40129565844095,-5.92549723447508,-7.2585056669909
1.016,-4.79646906448448,-7.40357564881793,-5.9247976375305,-7.26042655332387
1.017,-4.79528197784649,-7.4058570900733,-5.92409518792577,-7.26234769562381
1.018,-4.79409750049864,-7.4081399744554,-5.92338988080543,-7.26426909235035
1.019,-4.79291563978751,-7.41042429419714,-5.92268171131556,-7.26619074195913
1.02,-4.79173640306705,-7.41271004151597,-5.92197067460376,-7.26811264290182
1.021,-4.79055979769863,-7.41499720861387,-5.92125676581925,-7.27003479362603
1.022,-4.7893858310511,-7.41728578767737,-5.92053998011279,-7.27195719257529
1.023,-4.78821451050081,-7.41957577087751,-5.91982031263675,-7.273879838189
1.024,-4.78704584343169,-7.42186715036985,-5.91909775854514,-7.27580272890243
1.025,-4.78587983723533,-7.42415991829441,-5.91837231299359,-7.27772586314663
1.026,-4.78471649931097,-7.42645406677571,-5.91764397113938,-7.27964923934844
1.027,-4.78355583706561,-7.42874958792273,-5.91691272814148,-7.28157285593044
1.028,-4.78239785791405,-7.4310464738289,-5.91617857916053,-7.28349671131091
1.029,-4.78124256927892,-7.43334471657206,-5.91544151935891,-7.28542080390381
1.03,-4.78008997859075,-7.43564430821448,-5.91470154390069,-7.28734513211873
1.031,-4.77894009328803,-7.43794524080283,-5.91395864795171,-7.28926969436088
1.032,-4.77779292081728,-7.44024750636815,-5.91321282667957,-7.29119448903106
1.033,-4.77664846863306,-7.44255109692585,-5.91246407525364,-7.29311951452561
1.034,-4.77550674419807,-7.44485600447564,-5.91171238884511,-7.29504476923638
1.035,-4.77436775498316,-7.44716222100161,-5.91095776262696,-7.29697025155075
1.036,-4.77323150846744,-7.44946973847208,-5.91020019177402,-7.29889595985154
1.037,-4.77209801213829,-7.4517785488397,-5.909439671463,-7.30082189251704
1.038,-4.77096727349143,-7.45408864404134,-5.90867619687244,-7.30274804792094
1.039,-4.76983930003099,-7.45640001599811,-5.90790976318281,-7.30467442443234
1.04,-4.76871409926953,-7.45871265661532,-5.90714036557647,-7.30660102041569
1.041,-4.76759167872815,-7.46102655778246,-5.90636799923773,-7.30852783423083
1.042,-4.76647204593648,-7.46334171137316,-5.90559265935282,-7.3104548642329
1.043,-4.7653552084328,-7.46565810924521,-5.90481434110996,-7.31238210877238
1.044,-4.76424117376404,-7.46797574324047,-5.90403303969937,-7.314309566195
1.045,-4.76312994948589,-7.47029460518489,-5.90324875031325,-7.31623723484181
1.046,-4.76202154316281,-7.47261468688843,-5.90246146814585,-7.31816511304908
1.047,-4.76091596236812,-7.4749359801451,-5.90167118839345,-7.32009319914836
1.048,-4.75981321468403,-7.47725847673286,-5.90087790625439,-7.32202149146639
1.049,-4.75871330770173,-7.47958216841366,-5.90008161692913,-7.32394998832515
1.05,-4.7576162490214,-7.48190704693332,-5.89928231562021,-7.3258786880418
1.051,-4.75652204625233,-7.48423310402159,-5.89847999753228,-7.32780758892872
1.052,-4.7554307070129,-7.48656033139203,-5.89767465787218,-7.32973668929343
1.053,-4.75434223893072,-7.48888872074206,-5.89686629184889,-7.33166598743865
1.054,-4.75325664964263,-7.49121826375285,-5.89605489467355,-7.33359548166223
1.055,-4.75217394679477,-7.49354895208933,-5.89524046155955,-7.3355251702572
1.056,-4.75109413804266,-7.49588077740013,-5.89442298772248,-7.33745505151172
1.057,-4.75001723105123,-7.49821373131756,-5.89360246838019,-7.3393851237091
1.058,-4.74894323349489,-7.50054780545755,-5.89277889875279,-7.34131538512777
1.059,-4.7478721530576,-7.50288299141964,-5.89195227406268,-7.34324583404131
1.06,-4.74680399743291,-7.5052192807869,-5.89112258953456,-7.34517646871842
1.061,-4.74573877432403,-7.50755666512593,-5.89028984039547,-7.34710728742294
1.062,-4.74467649144389,-7.5098951359868,-5.8894540218748,-7.34903828841384
1.063,-4.74361715651518,-7.51223468490298,-5.88861512920431,-7.3509694699452
1.064,-4.74256077727044,-7.51457530339134,-5.88777315761814,-7.35290083026627
1.065,-4.74150736145211,-7.51691698295209,-5.88692810235286,-7.3548323676214
1.066,-4.74045691681256,-7.51925971506872,-5.88607995864746,-7.35676408025012
1.067,-4.7394094511142,-7.52160349120797,-5.8852287217434,-7.35869596638709
1.068,-4.7383649721295,-7.52394830281979,-5.88437438688462,-7.36062802426211
1.069,-4.73732348764107,-7.52629414133725,-5.88351694931755,-7.36256025210018
1.07,-4.73628500544171,-7.52864099817653,-5.88265640429113,-7.36449264812145
1.071,-4.73524953333448,-7.53098886473689,-5.88179274705686,-7.36642521054126
1.072,-4.73421707913276,-7.53333773240055,-5.88092597286882,-7.36835793757015
1.073,-4.7331876506603,-7.53568759253267,-5.88005607698364,-7.37029082741386
1.074,-4.73216125575129,-7.53803843648134,-5.87918305466058,-7.37222387827338
1.075,-4.73113790225044,-7.54039025557747,-5.87830690116153,-7.37415708834491
1.076,-4.73011759801299,-7.54274304113476,-5.87742761175104,-7.37609045581994
1.077,-4.72910035090482,-7.54509678444963,-5.87654518169632,-7.3780239788852
1.078,-4.7280861688025,-7.54745147680116,-5.8756596062673,-7.37995765572275
1.079,-4.72707505959334,-7.54980710945108,-5.87477088073662,-7.38189148450994
1.08,-4.72606703117547,-7.55216367364365,-5.87387900037966,-7.38382546341948
1.081,-4.72506209145788,-7.55452116060563,-5.87298396047458,-7.38575959061942
1.082,-4.72406024836051,-7.55687956154621,-5.87208575630231,-7.38769386427323
1.083,-4.72306150981428,-7.55923886765698,-5.87118438314663,-7.38962828253976
1.084,-4.72206588376119,-7.56159907011181,-5.87027983629413,-7.39156284357332
1.085,-4.72107337815436,-7.56396016006682,-5.86937211103426,-7.39349754552368
1.086,-4.72008400095808,-7.56632212866034,-5.86846120265937,-7.39543238653612
1.087,-4.71909776014793,-7.56868496701279,-5.86754710646471,-7.39736736475143
1.088,-4.71811466371076,-7.57104866622666,-5.86662981774845,-7.39930247830599
1.089,-4.71713471964485,-7.5734132173864,-5.86570933181174,-7.40123772533175
1.09,-4.71615793595989,-7.57577861155842,-5.8647856439587,-7.40317310395633
1.091,-4.71518432067708,-7.57814483979092,-5.86385874949645,-7.40510861230299
1.092,-4.71421388182921,-7.58051189311391,-5.86292864373514,-7.4070442484907
1.093,-4.71324662746071,-7.5828797625391,-5.86199532198797,-7.4089800106342
1.094,-4.7122825656277,-7.58524843905982,-5.86105877957122,-7.41091589684399
1.095,-4.71132170439807,-7.58761791365095,-5.86011901180428,-7.41285190522643
1.096,-4.71036405185156,-7.58998817726888,-5.85917601400966,-7.41478803388373
1.097,-4.7094096160798,-7.59235922085138,-5.85822978151302,-7.41672428091405
1.098,-4.7084584051864,-7.59473103531757,-5.8572803096432,-7.41866064441148
1.099,-4.70751042728698,-7.5971036115678,-5.85632759373225,-7.42059712246617
1.1,-4.70656569050927,-7.59947694048362,-5.85537162911542,-7.42253371316429
1.101,-4.70562420299319,-7.60185101292762,-5.85441241113125,-7.42447041458817
1.102,-4.70468597289086,-7.60422581974349,-5.85344993512154,-7.42640722481627
1.103,-4.70375100836672,-7.60660135175575,-5.85248419643138,-7.4283441419233
1.104,-4.70281931759758,-7.60897759976982,-5.85151519040922,-7.43028116398024
1.105,-4.70189090877267,-7.61135455457189,-5.85054291240685,-7.4322182890544
1.106,-4.70096579009374,-7.61373220692879,-5.84956735777945,-7.4341555152095
1.107,-4.70004396977511,-7.61611054758795,-5.84858852188559,-7.4360928405057
1.108,-4.69912545604373,-7.61848956727733,-5.84760640008729,-7.43803026299967
1.109,-4.69821025713927,-7.62086925670526,-5.84662098775004,-7.43996778074468
1.11,-4.69729838131418,-7.62324960656042,-5.84563228024281,-7.44190539179062
1.111,-4.69638983683373,-7.62563060751169,-5.84464027293808,-7.44384309418411
1.112,-4.69548463197615,-7.62801225020814,-5.84364496121187,-7.44578088596852
1.113,-4.69458277503263,-7.63039452527884,-5.84264634044379,-7.44771876518409
1.114,-4.69368427430741,-7.63277742333281,-5.84164440601702,-7.44965672986797
1.115,-4.69278913811787,-7.63516093495895,-5.84063915331838,-7.45159477805428
1.116,-4.69189737479458,-7.63754505072591,-5.83963057773834,-7.45353290777424
1.117,-4.69100899268138,-7.63992976118199,-5.83861867467105,-7.45547111705616
1.118,-4.69012400013544,-7.64231505685505,-5.83760343951438,-7.45740940392561
1.119,-4.68924240552735,-7.64470092825243,-5.8365848676699,-7.45934776640541
1.12,-4.68836421724117,-7.64708736586079,-5.83556295454297,-7.46128620251578
1.121,-4.68748944367453,-7.64947436014607,-5.83453769554274,-7.46322471027438
1.122,-4.68661809323864,-7.65186190155336,-5.83350908608219,-7.46516328769642
1.123,-4.68575017435847,-7.65424998050679,-5.83247712157811,-7.46710193279472
1.124,-4.68488569547269,-7.65663858740944,-5.83144179745121,-7.46904064357981
1.125,-4.68402466503386,-7.6590277126432,-5.8304031091261,-7.47097941806002
1.126,-4.68316709150844,-7.66141734656871,-5.82936105203131,-7.47291825424156
1.127,-4.68231298337686,-7.66380747952519,-5.82831562159935,-7.47485715012862
1.128,-4.68146234913363,-7.66619810183036,-5.8272668132667,-7.47679610372346
1.129,-4.68061519728739,-7.66858920378038,-5.8262146224739,-7.4787351130265
1.13,-4.67977153636098,-7.67098077564963,-5.82515904466552,-7.48067417603642
1.131,-4.67893137489154,-7.67337280769067,-5.82410007529022,-7.48261329075025
