"Freq [GHz]","dB(S(3,2)) []","dB(S(4,2)) []","dB(S(4,3)) []"
1,-5.31075598155695,-11.4678234301384,-6.58192793106536
1.001,-5.30933473637324,-11.4851278298443,-6.58488163056864
1.002,-5.30791435268724,-11.5024752412358,-6.58785207949935
1.003,-5.30649485588431,-11.5198655063006,-6.590839375096
1.004,-5.30507627154282,-11.537298459807,-6.59384361513986
1.005,-5.3036586254356,-11.5547739291482,-6.59686489795777
1.006,-5.30224194353145,-11.5722917341827,-6.59990332242496
1.007,-5.30082625199657,-11.5898516870732,-6.60295898796796
1.008,-5.29941157719603,-11.6074535921215,-6.60603199456746
1.009,-5.29799794569532,-11.625097245601,-6.60912244276113
1.01,-5.29658538426182,-11.6427824355865,-6.61223043364658
1.011,-5.29517391986631,-11.6605089417803,-6.61535606888421
1.012,-5.29376357968452,-11.6782765353358,-6.61849945070013
1.013,-5.29235439109865,-11.6960849786778,-6.62166068188907
1.014,-5.29094638169892,-11.71393402532,-6.62483986581733
1.015,-5.28953957928515,-11.7318234196788,-6.62803710642567
1.016,-5.28813401186829,-11.7497528968843,-6.63125250823228
1.017,-5.28672970767205,-11.7677221825884,-6.63448617633571
1.018,-5.28532669513444,-11.7857309927686,-6.63773821641788
1.019,-5.2839250029094,-11.8037790335299,-6.64100873474697
1.02,-5.28252465986844,-11.8218660009021,-6.64429783818048
1.021,-5.2811256951022,-11.8399915806348,-6.64760563416812
1.022,-5.27972813792215,-11.858155447988,-6.65093223075491
1.023,-5.27833201786219,-11.8763572675204,-6.65427773658409
1.024,-5.27693736468033,-11.8945966928731,-6.65764226090019
1.025,-5.27554420836038,-11.912873366551,-6.66102591355198
1.026,-5.27415257911357,-11.9311869196993,-6.6644288049956
1.027,-5.27276250738032,-11.9495369718782,-6.66785104629744
1.028,-5.27137402383185,-11.9679231308322,-6.67129274913734
1.029,-5.26998715937201,-11.9863449922573,-6.67475402581151
1.03,-5.26860194513891,-12.0048021395637,-6.67823498923564
1.031,-5.26721841250667,-12.0232941436353,-6.68173575294795
1.032,-5.26583659308723,-12.0418205625854,-6.68525643111225
1.033,-5.26445651873206,-12.0603809415087,-6.68879713852099
1.034,-5.26307822153393,-12.0789748122296,-6.69235799059838
1.035,-5.26170173382872,-12.097601693047,-6.69593910340343
1.036,-5.2603270881972,-12.116261088475,-6.69954059363306
1.037,-5.25895431746684,-12.1349524889803,-6.70316257862518
1.038,-5.25758345471362,-12.1536753707156,-6.7068051763618
1.039,-5.25621453326388,-12.1724291952495,-6.7104685054721
1.04,-5.25484758669615,-12.1912134092919,-6.7141526852356
1.041,-5.25348264884298,-12.2100274444168,-6.71785783558518
1.042,-5.25211975379288,-12.2288707167806,-6.72158407711027
1.043,-5.25075893589212,-12.2477426268368,-6.72533153105993
1.044,-5.24940022974664,-12.2666425590469,-6.72910031934597
1.045,-5.24804367022398,-12.2855698815877,-6.73289056454611
1.046,-5.24668929245515,-12.3045239460551,-6.73670238990704
1.047,-5.24533713183663,-12.3235040871637,-6.7405359193476
1.048,-5.24398722403219,-12.3425096224429,-6.74439127746192
1.049,-5.24263960497495,-12.3615398519298,-6.74826858952248
1.05,-5.24129431086929,-12.3805940578579,-6.75216798148333
1.051,-5.23995137819283,-12.3996715043423,-6.75608957998316
1.052,-5.2386108436984,-12.4187714370621,-6.76003351234847
1.053,-5.23727274441608,-12.4378930829379,-6.76399990659668
1.054,-5.23593711765518,-12.4570356498074,-6.76798889143931
1.055,-5.23460400100626,-12.4761983260964,-6.77200059628503
1.056,-5.23327343234316,-12.4953802804872,-6.77603515124289
1.057,-5.23194544982508,-12.5145806615835,-6.78009268712537
1.058,-5.23062009189859,-12.5337985975717,-6.78417333545158
1.059,-5.22929739729975,-12.55303319588,-6.78827722845034
1.06,-5.22797740505616,-12.5722835428336,-6.7924044990633
1.061,-5.22666015448906,-12.5915487033073,-6.79655528094811
1.062,-5.22534568521544,-12.6108277203755,-6.80072970848148
1.063,-5.22403403715015,-12.6301196149588,-6.80492791676235
1.064,-5.22272525050808,-12.6494233854687,-6.80915004161496
1.065,-5.22141936580622,-12.6687380074495,-6.81339621959195
1.066,-5.22011642386588,-12.6880624332175,-6.81766658797751
1.067,-5.21881646581485,-12.7073955914987,-6.8219612847904
1.068,-5.21751953308956,-12.7267363870635,-6.82628044878712
1.069,-5.21622566743729,-12.7460837003603,-6.83062421946491
1.07,-5.21493491091836,-12.7654363871468,-6.83499273706487
1.071,-5.21364730590836,-12.78479327812,-6.83938614257499
1.072,-5.21236289510037,-12.8041531785445,-6.84380457773325
1.073,-5.21108172150722,-12.8235148678797,-6.84824818503063
1.074,-5.20980382846373,-12.8428770994063,-6.85271710771413
1.075,-5.20852925962895,-12.8622385998514,-6.85721148978985
1.076,-5.2072580589885,-12.8815980690137,-6.86173147602594
1.077,-5.2059902708568,-12.9009541793877,-6.86627721195565
1.078,-5.20472593987942,-12.9203055757883,-6.87084884388029
1.079,-5.20346511103536,-12.9396508749756,-6.87544651887217
1.08,-5.20220782963939,-12.9589886652795,-6.88007038477767
1.081,-5.2009541413444,-12.9783175062261,-6.88472059022006
1.082,-5.19970409214372,-12.9976359281642,-6.8893972846025
1.083,-5.19845772837352,-13.016942431894,-6.89410061811093
1.084,-5.19721509671516,-13.0362354882966,-6.89883074171699
1.085,-5.1959762441976,-13.055513537966,-6.90358780718086
1.086,-5.19474121819976,-13.0747749908441,-6.90837196705414
1.087,-5.19351006645298,-13.0940182258573,-6.91318337468267
1.088,-5.1922828370434,-13.1132415905571,-6.9180221842094
1.089,-5.19105957841442,-13.1324434007638,-6.92288855057712
1.09,-5.18984033936916,-13.151621940215,-6.92778262953128
1.091,-5.18862516907285,-13.1707754602171,-6.93270457762271
1.092,-5.1874141170554,-13.1899021793032,-6.93765455221038
1.093,-5.1862072332138,-13.2090002828955,-6.94263271146408
1.094,-5.18500456781465,-13.2280679229736,-6.94763921436707
1.095,-5.18380617149667,-13.2471032177495,-6.95267422071881
1.096,-5.18261209527318,-13.2661042513488,-6.95773789113751
1.097,-5.18142239053469,-13.2850690735005,-6.9628303870627
1.098,-5.18023710905136,-13.303995699233,-6.96795187075788
1.099,-5.17905630297564,-13.3228821085807,-6.97310250531297
1.1,-5.17788002484476,-13.3417262462978,-6.97828245464685
1.101,-5.17670832758332,-13.3605260215832,-6.9834918835098
1.102,-5.17554126450591,-13.3792793078151,-6.98873095748593
1.103,-5.17437888931965,-13.397983942297,-6.99399984299561
1.104,-5.17322125612686,-13.4166377260148,-6.99929870729773
1.105,-5.17206841942763,-13.4352384234071,-7.00462771849214
1.106,-5.17092043412244,-13.4537837621475,-7.00998704552182
1.107,-5.16977735551487,-13.4722714329421,-7.01537685817519
