"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
2,-11.992751309704,-1.20427571113467,-1.20427571113468,-11.8805339530302
2.001,-11.9935125425631,-1.20421601288369,-1.2042160128837,-11.8814032197723
2.002,-11.9942738999231,-1.20415641906248,-1.2041564190625,-11.8822729662737
2.003,-11.995035378105,-1.20409693059217,-1.20409693059218,-11.8831431812089
2.004,-11.9957969733705,-1.20403754838931,-1.20403754838933,-11.8840138532433
2.005,-11.9965586819215,-1.20397827336597,-1.20397827336598,-11.8848849710339
2.006,-11.9973204999014,-1.20391910642964,-1.20391910642965,-11.8857565232292
2.007,-11.9980824233946,-1.20386004848332,-1.20386004848333,-11.8866284984694
2.008,-11.9988444484275,-1.20380110042544,-1.20380110042546,-11.887500885387
2.009,-11.9996065709687,-1.20374226314994,-1.20374226314995,-11.8883736726067
2.01,-12.0003687869291,-1.20368353754618,-1.20368353754619,-11.8892468487459
2.011,-12.0011310921628,-1.20362492449901,-1.20362492449902,-11.8901204024147
2.012,-12.0018934824668,-1.20356642488873,-1.20356642488875,-11.8909943222164
2.013,-12.0026559535821,-1.20350803959112,-1.20350803959114,-11.8918685967477
2.014,-12.0034185011935,-1.20344976947741,-1.20344976947742,-11.8927432145986
2.015,-12.0041811209302,-1.20339161541428,-1.20339161541429,-11.8936181643533
2.016,-12.0049438083663,-1.20333357826389,-1.2033335782639,-11.89449343459
2.017,-12.0057065590208,-1.20327565888384,-1.20327565888386,-11.895369013881
2.018,-12.0064693683586,-1.20321785812721,-1.20321785812723,-11.8962448907936
2.019,-12.0072322317901,-1.20316017684253,-1.20316017684254,-11.8971210538895
2.02,-12.0079951446723,-1.20310261587376,-1.20310261587377,-11.8979974917259
2.021,-12.0087581023087,-1.20304517606037,-1.20304517606038,-11.898874192855
2.022,-12.0095210999498,-1.20298785823724,-1.20298785823725,-11.8997511458248
2.023,-12.0102841327937,-1.20293066323473,-1.20293066323475,-11.9006283391792
2.024,-12.0110471959862,-1.20287359187866,-1.20287359187867,-11.901505761458
2.025,-12.0118102846212,-1.20281664499028,-1.2028166449903,-11.9023834011975
2.026,-12.0125733937413,-1.20275982338633,-1.20275982338634,-11.9032612469305
2.027,-12.0133365183381,-1.20270312787897,-1.20270312787899,-11.9041392871866
