Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase
2000000000,-6.500052,-5.5228682,-18.449635,-166.71791
2001000000,-6.4652824,-5.4943972,-18.401653,-167.68855
2002000000,-6.4031034,-5.4584088,-18.308395,-168.6378
2003000000,-6.3422976,-5.4478164,-18.439369,-169.69785
2004000000,-6.2846675,-5.4788604,-18.671778,-170.79941
2005000000,-6.2339463,-5.5123024,-18.906343,-171.66095
2006000000,-6.1914496,-5.5688167,-19.314129,-172.43611
2007000000,-6.1815772,-5.6672316,-19.908913,-173.41557
2008000000,-6.1925006,-5.7880917,-20.444056,-174.00494
2009000000,-6.2385063,-5.917304,-20.925713,-174.47516
2010000000,-6.2572994,-6.0360937,-21.349583,-174.84038
2011000000,-6.3334441,-6.1558013,-21.63423,-174.87299
2012000000,-6.3904009,-6.2879596,-21.842396,-175.03143
2013000000,-6.4529214,-6.4083357,-21.812008,-174.86478
2014000000,-6.5183496,-6.496573,-21.708668,-174.5051
2015000000,-6.5554819,-6.6019673,-21.485807,-174.21661
2016000000,-6.5769711,-6.662766,-21.259188,-173.75784
2017000000,-6.5536528,-6.7238255,-21.074955,-173.30646
2018000000,-6.5550594,-6.7431436,-20.675482,-172.6449
2019000000,-6.569355,-6.7778435,-20.607346,-172.03355
2020000000,-6.5053515,-6.762948,-20.487257,-171.3959
2021000000,-6.4786587,-6.7176366,-20.4345,-170.69101
2022000000,-6.4208322,-6.6782699,-20.45723,-170.02818
2023000000,-6.3979301,-6.6090388,-20.519369,-169.53291
2024000000,-6.353085,-6.4970951,-20.764814,-169.09773
2025000000,-6.3316464,-6.4029756,-20.961094,-168.92508
2026000000,-6.3270521,-6.3016806,-21.303507,-168.65717
2027000000,-6.3054762,-6.1326361,-21.69195,-168.79633
2028000000,-6.3143516,-5.9982042,-21.940676,-168.90956
2029000000,-6.3335605,-5.8823986,-22.11824,-169.16898
2030000000,-6.3589578,-5.7598128,-22.52282,-169.83656
2031000000,-6.3760905,-5.5903268,-22.624001,-170.4742
2032000000,-6.4208527,-5.4993267,-22.749821,-171.47408
2033000000,-6.4715052,-5.4423871,-22.60972,-172.30899
2034000000,-6.4872127,-5.3900809,-22.520966,-173.36293
2035000000,-6.5070024,-5.372961,-22.417233,-174.49327
2036000000,-6.495748,-5.3486099,-22.084448,-175.52803
2037000000,-6.4771633,-5.385098,-21.764385,-176.7769
2038000000,-6.4371395,-5.4406643,-21.569769,-177.69467
2039000000,-6.3937712,-5.5348325,-21.527668,-178.58601
2040000000,-6.3094306,-5.612143,-21.609772,-179.62289
2041000000,-6.2582579,-5.7064371,-21.885874,179.74648
2042000000,-6.2145705,-5.8463035,-22.164133,179.08794
2043000000,-6.1713767,-5.9766378,-22.57966,178.68121
2044000000,-6.1411667,-6.1041145,-23.135996,178.42035
2045000000,-6.1298718,-6.2608628,-23.716948,178.22444
2046000000,-6.1546178,-6.4216061,-24.349001,178.29721
2047000000,-6.1828856,-6.5212584,-24.574696,178.52687
2048000000,-6.2581182,-6.6533298,-24.963913,178.99384
2049000000,-6.318203,-6.7589316,-25.217813,179.41071
2050000000,-6.3629513,-6.8132038,-25.255331,-179.83316
2051000000,-6.4194331,-6.875401,-25.116306,-178.99278
2052000000,-6.502028,-6.9141946,-24.934664,-178.49092
2053000000,-6.5243163,-6.8884377,-24.736811,-177.68509
2054000000,-6.5437217,-6.8685703,-24.351345,-176.88483
2055000000,-6.51192,-6.8317752,-24.125767,-176.19113
2056000000,-6.5229435,-6.7654839,-23.813065,-175.7513
2057000000,-6.4647803,-6.6551027,-23.717218,-175.01451
2058000000,-6.4352498,-6.5499549,-23.528397,-174.69427
2059000000,-6.3480959,-6.432404,-23.575134,-174.26834
2060000000,-6.3051643,-6.2662039,-23.655455,-174.14967
2061000000,-6.2692637,-6.1190066,-23.937906,-174.28537
2062000000,-6.2403297,-5.989264,-24.263748,-174.5006
2063000000,-6.2193527,-5.8355312,-24.707409,-175.12328
2064000000,-6.2129254,-5.6783466,-25.132465,-175.71439
2065000000,-6.2244325,-5.5367336,-25.483084,-176.62224
2066000000,-6.254117,-5.4422722,-25.733812,-177.41016
2067000000,-6.2789121,-5.3681231,-26.002529,-178.60321
2068000000,-6.3292594,-5.3430738,-26.164024,-179.83882
2069000000,-6.3939848,-5.3071079,-26.147888,179.02634
2070000000,-6.4272013,-5.3535399,-26.100281,177.58189
2071000000,-6.4374409,-5.3600888,-25.958981,176.69122
2072000000,-6.4529305,-5.4469686,-25.649275,175.43427
2073000000,-6.4506578,-5.5583239,-25.534683,174.51843
2074000000,-6.435349,-5.6666374,-25.25141,173.67314
2075000000,-6.4076529,-5.7939267,-25.004772,172.99144
2076000000,-6.3492603,-5.9428778,-25.058483,172.21292
2077000000,-6.3118558,-6.1183009,-24.910788,171.98576
2078000000,-6.2447138,-6.2287412,-25.056259,171.65268
2079000000,-6.2018838,-6.381587,-25.429583,171.76256
2080000000,-6.1410041,-6.5259032,-25.666119,171.87891
2081000000,-6.1182866,-6.6550641,-26.059202,172.25609
2082000000,-6.1147776,-6.7919574,-26.630093,172.68858
2083000000,-6.0969057,-6.9110723,-26.903395,173.42529
2084000000,-6.1228199,-6.9884114,-27.571568,174.14957
2085000000,-6.1601715,-7.0265493,-27.95162,174.86407
2086000000,-6.1887093,-7.0481977,-28.112501,175.77136
2087000000,-6.2535448,-7.0182595,-28.334486,176.69711
2088000000,-6.3082561,-6.9946747,-28.319023,177.50523
2089000000,-6.3616643,-6.9062963,-28.460005,178.32928
2090000000,-6.3768787,-6.837512,-28.173109,179.05176
2091000000,-6.4291921,-6.716773,-27.859964,179.60474
2092000000,-6.4195023,-6.5576267,-27.623924,179.91112
2093000000,-6.4127464,-6.4089651,-27.316544,-179.91862
2094000000,-6.36798,-6.2652912,-27.117496,-179.78983
2095000000,-6.3415289,-6.093246,-26.971579,179.95798
2096000000,-6.2482514,-5.9208894,-26.97316,179.46953
2097000000,-6.2204843,-5.7726755,-27.170938,179.13354
2098000000,-6.1645637,-5.6603889,-27.618856,178.25015
2099000000,-6.0837536,-5.49401,-27.807421,177.37344
2100000000,-6.0946646,-5.3917117,-28.415031,176.19449
2101000000,-6.0713148,-5.3215327,-28.901133,174.98018
2102000000,-6.1052299,-5.3035092,-29.306559,173.65463
2103000000,-6.1354451,-5.274497,-29.614622,172.24815
2104000000,-6.1922593,-5.3247395,-30.002552,170.90282
2105000000,-6.2375069,-5.4025049,-29.973862,169.73512
2106000000,-6.3007717,-5.4786696,-30.117435,168.47102
2107000000,-6.3251514,-5.5928063,-29.986744,167.46451
2108000000,-6.384119,-5.7238526,-29.845684,166.66541
2109000000,-6.3899217,-5.877614,-29.651661,165.94612
2110000000,-6.3900123,-6.0458531,-29.340584,165.5162
2111000000,-6.364285,-6.1797099,-29.174286,165.43369
2112000000,-6.3505874,-6.3565001,-29.090401,165.21542
2113000000,-6.3125973,-6.5089455,-28.932156,165.20726
2114000000,-6.2368035,-6.6233277,-28.919708,165.5423
2115000000,-6.2116642,-6.7724676,-29.018858,165.88666
2116000000,-6.1682076,-6.9198637,-29.121355,166.49249
2117000000,-6.1487341,-7.0035024,-29.319553,167.05222
2118000000,-6.0978765,-7.0691934,-29.582031,167.94206
2119000000,-6.0826883,-7.1202021,-29.941818,168.7711
2120000000,-6.0612864,-7.1324887,-30.397446,169.73209
2121000000,-6.0713339,-7.0967484,-30.664968,170.60017
2122000000,-6.0826273,-7.0827808,-31.039194,171.34094
2123000000,-6.109128,-6.9843631,-31.377384,172.21178
2124000000,-6.1336298,-6.8274169,-31.500078,172.77061
2125000000,-6.1691928,-6.7053199,-31.641508,173.27118
2126000000,-6.1970325,-6.5766325,-31.744074,173.61111
2127000000,-6.234364,-6.4267268,-31.6544,173.63771
2128000000,-6.2571788,-6.2564826,-31.625269,173.54536
2129000000,-6.2661142,-6.0853486,-31.531349,173.31836
2130000000,-6.240941,-5.9180984,-31.309416,172.87782
2131000000,-6.2185493,-5.7635508,-31.237043,171.89467
2132000000,-6.1671214,-5.6505184,-30.978037,171.21259
2133000000,-6.15482,-5.5211487,-31.104511,170.07487
2134000000,-6.0842791,-5.4583759,-31.33222,168.8521
2135000000,-6.0420814,-5.4085765,-31.560837,167.54272
2136000000,-6.0080581,-5.3753448,-32.135548,166.11021
2137000000,-5.9870667,-5.3977551,-32.522934,164.73726
2138000000,-5.9833989,-5.4615507,-32.936127,163.62509
2139000000,-6.0277576,-5.5350633,-33.362377,162.37807
2140000000,-6.0809107,-5.6907806,-33.675304,161.34016
2141000000,-6.1134243,-5.8018527,-33.975052,160.32153
2142000000,-6.1479759,-5.9321294,-34.148647,159.54558
2143000000,-6.2161965,-6.0895171,-34.192451,159.02898
2144000000,-6.2425752,-6.2736006,-33.994381,158.84654
2145000000,-6.2852473,-6.4432578,-33.895699,158.76405
2146000000,-6.3071103,-6.5905733,-33.760525,158.57014
2147000000,-6.2952542,-6.7396231,-33.612591,158.93784
2148000000,-6.2811265,-6.8537397,-33.364357,159.2899
2149000000,-6.2579184,-7.0052032,-33.28299,159.68806
2150000000,-6.2400708,-7.0693674,-33.188107,160.4203
2151000000,-6.2025251,-7.182869,-33.144836,161.22441
2152000000,-6.165556,-7.2278481,-33.304321,162.05959
2153000000,-6.119669,-7.2207856,-33.372028,162.84499
2154000000,-6.0916677,-7.2006378,-33.720451,163.5844
2155000000,-6.0601258,-7.156209,-33.882626,164.35229
2156000000,-6.0362263,-7.0869389,-34.218555,164.98814
2157000000,-6.0340843,-6.9824481,-34.397648,165.8288
2158000000,-6.0245686,-6.8701739,-34.69418,166.43521
2159000000,-6.0498385,-6.7398272,-34.97728,166.6846
2160000000,-6.0575762,-6.5763807,-35.268608,166.72665
