"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-9.12531070643024,-0.691090089284679
1.001,-9.13528889394539,-0.68967470730763
1.002,-9.14526656475807,-0.68826302541492
1.003,-9.15524372795447,-0.68685503109543
1.004,-9.16522039263363,-0.685450711891559
1.005,-9.17519656790737,-0.684050055399021
1.006,-9.18517226290031,-0.6826530492665
1.007,-9.19514748674976,-0.681259681195458
1.008,-9.20512224860572,-0.679869938939816
1.009,-9.2150965576308,-0.678483810305753
1.01,-9.22507042300021,-0.677101283151365
1.011,-9.23504385390169,-0.67572234538649
1.012,-9.24501685953549,-0.674346984972415
1.013,-9.25498944911432,-0.672975189921607
1.014,-9.26496163186331,-0.671606948297471
1.015,-9.27493341701993,-0.670242248214128
1.016,-9.28490481383404,-0.668881077836124
1.017,-9.29487583156777,-0.667523425378186
1.018,-9.3048464794955,-0.666169279104991
1.019,-9.31481676690383,-0.664818627330918
1.02,-9.32478670309157,-0.663471458419788
1.021,-9.33475629736963,-0.662127760784635
1.022,-9.34472555906107,-0.660787522887443
1.023,-9.35469449750098,-0.659450733238944
1.024,-9.36466312203651,-0.658117380398327
1.025,-9.37463144202681,-0.656787452973049
1.026,-9.38459946684297,-0.655460939618562
1.027,-9.39456720586804,-0.654137829038099
1.028,-9.40453466849694,-0.652818109982418
1.029,-9.41450186413647,-0.651501771249589
1.03,-9.42446880220525,-0.650188801684755
1.031,-9.43443549213368,-0.648879190179905
1.032,-9.44440194336398,-0.647572925673646
1.033,-9.45436816535006,-0.646269997150942
1.034,-9.46433416755752,-0.64497039364295
1.035,-9.47429995946367,-0.643674104226731
1.036,-9.48426555055745,-0.642381118025084
1.037,-9.49423095033941,-0.641091424206261
1.038,-9.50419616832168,-0.639805011983801
1.039,-9.51416121402794,-0.638521870616277
1.04,-9.52412609699344,-0.637241989407084
1.041,-9.53409082676487,-0.635965357704221
1.042,-9.54405541290044,-0.63469196490008
1.043,-9.55401986496978,-0.63342180043122
1.044,-9.56398419255397,-0.632154853778177
1.045,-9.57394840524545,-0.630891114465189
1.046,-9.58391251264805,-0.629630572060066
1.047,-9.59387652437695,-0.628373216173921
1.048,-9.60384045005864,-0.627119036460977
1.049,-9.61380429933093,-0.625868022618367
1.05,-9.62376808184287,-0.624620164385916
1.051,-9.63373180725478,-0.623375451545916
1.052,-9.64369548523822,-0.622133873922975
1.053,-9.65365912547594,-0.620895421383754
1.054,-9.66362273766189,-0.619660083836802
1.055,-9.67358633150118,-0.618427851232336
1.056,-9.68354991671006,-0.61719871356203
1.057,-9.69351350301592,-0.615972660858854
1.058,-9.70347710015723,-0.614749683196832
1.059,-9.71344071788357,-0.613529770690877
1.06,-9.72340436595557,-0.61231291349657
1.061,-9.73336805414492,-0.611099101809969
1.062,-9.74333179223434,-0.609888325867434
1.063,-9.75329559001757,-0.608680575945415
1.064,-9.76325945729933,-0.607475842360259
1.065,-9.77322340389531,-0.606274115468021
1.066,-9.78318743963223,-0.605075385664292
1.067,-9.79315157434767,-0.603879643383976
1.068,-9.8031158178902,-0.602686879101127
1.069,-9.81308018011928,-0.601497083328752
1.07,-9.82304467090531,-0.600310246618638
1.071,-9.83300930012954,-0.599126359561132
1.072,-9.84297407768412,-0.59794541278499
1.073,-9.85293901347205,-0.5967673969572
1.074,-9.86290411740718,-0.595592302782772
1.075,-9.87286939941422,-0.594420121004551
1.076,-9.88283486942869,-0.593250842403082
1.077,-9.89280053739691,-0.592084457796384
1.078,-9.90276641327604,-0.590920958039796
1.079,-9.91273250703398,-0.58976033402579
1.08,-9.92269882864948,-0.588602576683805
1.081,-9.932665388112,-0.587447676980049
1.082,-9.94263219542182,-0.586295625917353
1.083,-9.95259926058992,-0.585146414534996
1.084,-9.96256659363807,-0.584000033908479
1.085,-9.97253420459874,-0.582856475149436
1.086,-9.98250210351515,-0.581715729405388
1.087,-9.99247030044126,-0.580577787859635
1.088,-10.0024388054417,-0.579442641731038
1.089,-10.0124076285919,-0.578310282273882
1.09,-10.0223767799778,-0.577180700777686
1.091,-10.0323462696963,-0.576053888567059
1.092,-10.0423161078547,-0.57492983700152
1.093,-10.0522863045713,-0.573808537475325
1.094,-10.0622568699749,-0.572689981417333
1.095,-10.0722278142049,-0.57157416029081
1.096,-10.0821991474115,-0.57046106559329
1.097,-10.0921708797556,-0.569350688856408
1.098,-10.1021430214087,-0.568243021645715
1.099,-10.1121155825529,-0.567138055560577
1.1,-10.1220885733811,-0.566035782233957
1.101,-10.1320620040967,-0.564936193332268
1.102,-10.142035884914,-0.563839280555257
1.103,-10.1520102260577,-0.562745035635801
1.104,-10.1619850377633,-0.561653450339776
1.105,-10.1719603302769,-0.560564516465898
1.106,-10.1819361138552,-0.559478225845555
1.107,-10.1919123987658,-0.558394570342692
1.108,-10.2018891952866,-0.557313541853622
1.109,-10.2118665137064,-0.556235132306871
1.11,-10.2218443643247,-0.555159333663068
1.111,-10.2318227574514,-0.554086137914756
1.112,-10.2418017034073,-0.553015537086268
1.113,-10.2517812125238,-0.551947523233548
1.114,-10.2617612951429,-0.550882088444057
1.115,-10.2717419616174,-0.549819224836565
1.116,-10.2817232223106,-0.548758924561038
1.117,-10.2917050875966,-0.547701179798512
1.118,-10.3016875678601,-0.546645982760891
1.119,-10.3116706734968,-0.545593325690861
1.12,-10.3216544149125,-0.544543200861718
1.121,-10.3316388025242,-0.543495600577232
1.122,-10.3416238467595,-0.542450517171502
1.123,-10.3516095580565,-0.541407943008824
1.124,-10.3615959468642,-0.540367870483543
1.125,-10.3715830236424,-0.539330292019914
1.126,-10.3815707988613,-0.538295200071983
1.127,-10.3915592830022,-0.537262587123412
1.128,-10.401548486557,-0.536232445687375
1.129,-10.4115384200283,-0.535204768306405
1.13,-10.4215290939296,-0.534179547552264
1.131,-10.4315205187849,-0.533156776025813
1.132,-10.4415127051293,-0.532136446356863
1.133,-10.4515056635086,-0.531118551204058
1.134,-10.4614994044791,-0.530103083254736
1.135,-10.4714939386085,-0.529090035224788
1.136,-10.4814892764747,-0.528079399858542
1.137,-10.4914854286668,-0.527071169928622
1.138,-10.5014824057847,-0.526065338235825
1.139,-10.5114802184391,-0.525061897608976
1.14,-10.5214788772516,-0.524060840904833
1.141,-10.5314783928546,-0.523062161007912
1.142,-10.5414787758914,-0.522065850830397
1.143,-10.5514800370164,-0.521071903312008
1.144,-10.5614821868946,-0.520080311419857
1.145,-10.5714852362022,-0.51909106814833
1.146,-10.5814891956262,-0.518104166518977
1.147,-10.5914940758647,-0.517119599580374
1.148,-10.6014998876266,-0.516137360408
1.149,-10.611506641632,-0.51515744210411
1.15,-10.6215143486116,-0.514179837797634
1.151,-10.6315230193077,-0.513204540644033
1.152,-10.6415326644731,-0.512231543825182
1.153,-10.6515432948721,-0.511260840549255
1.154,-10.6615549212797,-0.510292424050604
1.155,-10.6715675544823,-0.509326287589646
1.156,-10.6815812052771,-0.50836242445273
1.157,-10.6915958844727,-0.507400827952029
1.158,-10.7016116028886,-0.506441491425429
1.159,-10.7116283713557,-0.505484408236387
1.16,-10.7216462007158,-0.504529571773847
1.161,-10.7316651018223,-0.503576975452112
1.162,-10.7416850855393,-0.502626612710705
1.163,-10.7517061627426,-0.501678477014307
1.164,-10.761728344319,-0.500732561852583
1.165,-10.7717516411666,-0.499788860740123
1.166,-10.7817760641949,-0.498847367216285
1.167,-10.7918016243247,-0.497908074845128
1.168,-10.8018283324879,-0.496970977215247
1.169,-10.8118561996282,-0.496036067939703
1.17,-10.8218852367003,-0.495103340655911
1.171,-10.8319154546704,-0.4941727890255
1.172,-10.8419468645164,-0.493244406734239
1.173,-10.8519794772272,-0.492318187491909
1.174,-10.8620133038035,-0.491394125032191
1.175,-10.8720483552574,-0.490472213112576
1.176,-10.8820846426126,-0.489552445514239
1.177,-10.8921221769041,-0.48863481604196
1.178,-10.9021609691788,-0.487719318523972
1.179,-10.912201030495,-0.486805946811904
1.18,-10.9222423719227,-0.485894694780652
1.181,-10.9322850045434,-0.484985556328272
1.182,-10.9423289394505,-0.484078525375886
1.183,-10.952374187749,-0.483173595867585
1.184,-10.9624207605555,-0.482270761770299
1.185,-10.9724686689985,-0.48137001707372
1.186,-10.9825179242184,-0.480471355790206
1.187,-10.9925685373671,-0.479574771954628
1.188,-11.0026205196085,-0.478680259624357
1.189,-11.0126738821184,-0.477787812879087
1.19,-11.0227286360845,-0.476897425820757
1.191,-11.0327847927063,-0.476009092573467
1.192,-11.0428423631953,-0.475122807283384
1.193,-11.052901358775,-0.474238564118597
1.194,-11.0629617906811,-0.473356357269085
1.195,-11.0730236701609,-0.472476180946561
1.196,-11.0830870084742,-0.471598029384427
1.197,-11.0931518168926,-0.470721896837619
1.198,-11.1032181067001,-0.469847777582576
1.199,-11.1132858891926,-0.468975665917092
1.2,-11.1233551756784,-0.468105556160251
1.201,-11.1334259774779,-0.467237442652322
1.202,-11.1434983059239,-0.466371319754669
1.203,-11.1535721723612,-0.465507181849645
1.204,-11.1636475881473,-0.464645023340525
1.205,-11.1737245646518,-0.463784838651379
1.206,-11.1838031132569,-0.462926622227026
1.207,-11.1938832453569,-0.46207036853288
1.208,-11.2039649723589,-0.461216072054937
1.209,-11.2140483056824,-0.460363727299596
1.21,-11.2241332567593,-0.459513328793654
1.211,-11.2342198370342,-0.458664871084144
1.212,-11.2443080579642,-0.457818348738304
1.213,-11.2543979310192,-0.456973756343453
1.214,-11.2644894676815,-0.45613108850691
1.215,-11.2745826794465,-0.455290339855901
1.216,-11.284677577822,-0.454451505037497
1.217,-11.2947741743286,-0.453614578718501
1.218,-11.3048724805001,-0.45277955558536
1.219,-11.3149725078827,-0.451946430344093
1.22,-11.3250742680357,-0.451115197720216
1.221,-11.3351777725313,-0.450285852458605
1.222,-11.3452830329548,-0.449458389323474
1.223,-11.3553900609043,-0.448632803098259
1.224,-11.3654988679912,-0.447809088585533
1.225,-11.3756094658397,-0.446987240606933
1.226,-11.3857218660875,-0.446167254003059
1.227,-11.395836080385,-0.445349123633411
1.228,-11.4059521203962,-0.444532844376294
1.229,-11.4160699977983,-0.443718411128751
1.23,-11.4261897242816,-0.442905818806455
