!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 13:42:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-29.461031,-0.18031292
1001000000,-29.559761,-0.18209198
1002000000,-29.415726,-0.20979261
1003000000,-29.349131,-0.2324809
1004000000,-28.879082,-0.21640484
1005000000,-29.081444,-0.20980304
1006000000,-29.04637,-0.22311768
1007000000,-28.739063,-0.20085646
1008000000,-28.472027,-0.20837882
1009000000,-28.472532,-0.21748203
1010000000,-28.407547,-0.19822584
1011000000,-28.282696,-0.21113299
1012000000,-28.148979,-0.2113843
1013000000,-27.981056,-0.21666722
1014000000,-27.900177,-0.18461287
1015000000,-27.977127,-0.21470976
1016000000,-27.819759,-0.20792879
1017000000,-27.652901,-0.18185894
1018000000,-27.481293,-0.18572634
1019000000,-27.538521,-0.20127569
1020000000,-27.346731,-0.1952076
1021000000,-27.199274,-0.1876784
1022000000,-27.40686,-0.19799031
1023000000,-27.113037,-0.18827014
1024000000,-26.923319,-0.23454124
1025000000,-26.718351,-0.20315123
1026000000,-26.831606,-0.24612276
1027000000,-26.554657,-0.20908479
1028000000,-26.715467,-0.23855722
1029000000,-26.432436,-0.16997354
1030000000,-26.381588,-0.18084627
1031000000,-26.452219,-0.23009595
1032000000,-26.17831,-0.21746105
1033000000,-26.17955,-0.19824362
1034000000,-26.010515,-0.21789075
1035000000,-26.096151,-0.25497514
1036000000,-25.968155,-0.20245609
1037000000,-25.85787,-0.21585186
1038000000,-25.920694,-0.20036386
1039000000,-25.703316,-0.204097
1040000000,-25.623333,-0.22318116
1041000000,-25.585478,-0.20319542
1042000000,-25.562681,-0.24345481
1043000000,-25.443733,-0.22480088
1044000000,-25.497171,-0.22794981
1045000000,-25.335249,-0.24672964
1046000000,-25.190748,-0.21820004
1047000000,-25.206629,-0.20782945
1048000000,-25.099257,-0.21336335
1049000000,-25.049456,-0.22295626
1050000000,-25.034046,-0.25120565
1051000000,-24.86813,-0.22107637
1052000000,-24.879463,-0.23249732
1053000000,-24.73633,-0.22805648
1054000000,-24.623793,-0.2280689
1055000000,-24.56904,-0.2055039
1056000000,-24.515574,-0.23286417
1057000000,-24.496321,-0.22197628
1058000000,-24.434423,-0.21980672
1059000000,-24.349184,-0.22579706
1060000000,-24.199343,-0.22355896
1061000000,-24.188843,-0.24453747
1062000000,-24.161674,-0.23480873
1063000000,-24.095552,-0.23570652
1064000000,-24.024643,-0.19935495
1065000000,-23.980188,-0.25061426
1066000000,-24.001411,-0.24225001
1067000000,-23.869747,-0.23496696
1068000000,-23.816849,-0.24481842
1069000000,-23.73303,-0.2150948
1070000000,-23.668991,-0.20515147
1071000000,-23.691212,-0.24238941
1072000000,-23.609924,-0.23620777
1073000000,-23.533047,-0.27322781
1074000000,-23.443624,-0.25025249
1075000000,-23.378632,-0.24378151
1076000000,-23.384295,-0.23155494
1077000000,-23.254469,-0.20626181
1078000000,-23.192211,-0.25689727
1079000000,-23.229258,-0.21340108
1080000000,-23.203289,-0.2363226
1081000000,-23.116013,-0.23895431
1082000000,-23.107277,-0.24352524
1083000000,-22.980146,-0.25260696
1084000000,-23.01252,-0.2411536
1085000000,-22.935463,-0.26032194
1086000000,-22.835539,-0.24787501
1087000000,-22.79467,-0.22352237
1088000000,-22.706503,-0.20036648
1089000000,-22.710386,-0.23432608
1090000000,-22.651257,-0.2416129
1091000000,-22.567892,-0.23848636
1092000000,-22.488804,-0.21545129
1093000000,-22.481113,-0.24748135
1094000000,-22.429626,-0.22195014
1095000000,-22.334545,-0.22793016
1096000000,-22.302717,-0.2505959
1097000000,-22.274706,-0.27109343
1098000000,-22.268448,-0.24071868
1099000000,-22.166187,-0.25717387
1100000000,-22.142653,-0.24059877
1101000000,-22.026062,-0.23058197
1102000000,-22.029106,-0.26165822
1103000000,-21.93745,-0.23773955
1104000000,-21.936825,-0.25330299
1105000000,-21.819675,-0.23359118
1106000000,-21.786833,-0.24233431
1107000000,-21.877518,-0.26223058
1108000000,-21.694302,-0.23487969
1109000000,-21.692881,-0.24040872
1110000000,-21.60454,-0.25475988
1111000000,-21.553936,-0.2623716
1112000000,-21.528305,-0.25816029
1113000000,-21.467249,-0.23225848
1114000000,-21.519123,-0.27770755
1115000000,-21.399586,-0.25688535
1116000000,-21.324316,-0.2573179
1117000000,-21.273497,-0.23317501
1118000000,-21.251423,-0.25026861
1119000000,-21.257086,-0.28020796
1120000000,-21.224575,-0.28018132
1121000000,-21.090111,-0.23267584
1122000000,-21.100975,-0.25248092
1123000000,-21.04608,-0.23228735
1124000000,-20.982477,-0.23064767
1125000000,-20.986282,-0.26144621
1126000000,-20.918024,-0.25252929
1127000000,-20.939413,-0.25664276
1128000000,-20.836229,-0.24146906
1129000000,-20.799868,-0.24974208
1130000000,-20.852249,-0.28157687
1131000000,-20.751488,-0.26619723
1132000000,-20.744417,-0.26481465
1133000000,-20.635012,-0.26748669
1134000000,-20.616142,-0.2511456
1135000000,-20.612469,-0.24164692
1136000000,-20.526081,-0.27303186
1137000000,-20.509378,-0.267239
1138000000,-20.496824,-0.26583517
1139000000,-20.433903,-0.21980998
1140000000,-20.410797,-0.25435945
1141000000,-20.375753,-0.25027889
1142000000,-20.313644,-0.24749187
1143000000,-20.303297,-0.2629703
1144000000,-20.287775,-0.26458561
1145000000,-20.201494,-0.24978162
1146000000,-20.178205,-0.22651137
1147000000,-20.085972,-0.23966971
1148000000,-20.103115,-0.27318737
1149000000,-20.026937,-0.24869323
1150000000,-19.97489,-0.2425406
1151000000,-19.997789,-0.26642683
1152000000,-19.985012,-0.25207204
1153000000,-19.938927,-0.27890253
1154000000,-19.856148,-0.24725311
1155000000,-19.932077,-0.30895588
1156000000,-19.84474,-0.2766189
1157000000,-19.79817,-0.26607522
1158000000,-19.774693,-0.27783781
1159000000,-19.73933,-0.25540847
1160000000,-19.675598,-0.26636147
1161000000,-19.709362,-0.29885983
1162000000,-19.639736,-0.26561135
1163000000,-19.63973,-0.28944263
1164000000,-19.5574,-0.2676706
1165000000,-19.557381,-0.28733078
1166000000,-19.517864,-0.28284428
1167000000,-19.469496,-0.26155558
1168000000,-19.462923,-0.28070882
1169000000,-19.412422,-0.27770901
1170000000,-19.409245,-0.27220792
1171000000,-19.383417,-0.28582445
1172000000,-19.332266,-0.27663049
1173000000,-19.327053,-0.26574719
1174000000,-19.215899,-0.22921933
1175000000,-19.264397,-0.28611097
1176000000,-19.229246,-0.28441009
1177000000,-19.17013,-0.28273678
1178000000,-19.150602,-0.27640554
1179000000,-19.159151,-0.30514565
1180000000,-19.122974,-0.29536581
1181000000,-19.055941,-0.28059855
1182000000,-19.037283,-0.27323148
1183000000,-19.015823,-0.27993894
1184000000,-19.011959,-0.31125286
1185000000,-18.958017,-0.26941007
1186000000,-18.914589,-0.27924529
1187000000,-18.882673,-0.27206087
1188000000,-18.880482,-0.29982528
1189000000,-18.818035,-0.28181398
1190000000,-18.789009,-0.28880268
1191000000,-18.815935,-0.30372784
1192000000,-18.767176,-0.29963109
1193000000,-18.707153,-0.28500283
1194000000,-18.688036,-0.28967711
1195000000,-18.654253,-0.29022875
1196000000,-18.604794,-0.28203112
1197000000,-18.615423,-0.312314
1198000000,-18.576904,-0.28259513
1199000000,-18.514198,-0.2603856
1200000000,-18.517267,-0.29160365
1201000000,-18.513788,-0.30906177
1202000000,-18.518562,-0.30333707
1203000000,-18.44478,-0.27633268
1204000000,-18.454708,-0.29830047
1205000000,-18.404356,-0.30547908
1206000000,-18.395195,-0.2883755
1207000000,-18.36301,-0.31873643
1208000000,-18.305738,-0.28819501
1209000000,-18.310055,-0.31050253
1210000000,-18.277391,-0.3068074
1211000000,-18.290297,-0.32278568
1212000000,-18.239754,-0.30960247
1213000000,-18.191442,-0.27523717
1214000000,-18.168791,-0.29803914
1215000000,-18.183716,-0.29980308
1216000000,-18.151791,-0.2912432
1217000000,-18.109331,-0.29230854
1218000000,-18.101336,-0.30083561
1219000000,-18.064127,-0.2943534
1220000000,-18.066116,-0.31033939
1221000000,-18.021748,-0.30323395
1222000000,-18.025595,-0.32185164
1223000000,-18.014078,-0.31106442
1224000000,-17.959726,-0.30311191
1225000000,-17.94359,-0.30126989
1226000000,-17.953535,-0.33677483
1227000000,-17.897938,-0.29098004
1228000000,-17.887812,-0.30850977
1229000000,-17.857836,-0.31562549
1230000000,-17.861526,-0.30781847
1231000000,-17.821613,-0.31649581
1232000000,-17.789192,-0.29520267
1233000000,-17.798147,-0.32497787
1234000000,-17.761728,-0.32331634
1235000000,-17.762804,-0.33101651
1236000000,-17.668814,-0.28529927
1237000000,-17.665924,-0.29722533
1238000000,-17.678759,-0.31080514
1239000000,-17.638241,-0.29074836
1240000000,-17.644688,-0.31208962
1241000000,-17.576542,-0.30159998
1242000000,-17.582869,-0.31323975
1243000000,-17.582209,-0.3172482
1244000000,-17.560091,-0.3205153
1245000000,-17.541929,-0.31576586
1246000000,-17.472488,-0.29079109
1247000000,-17.482273,-0.30596054
1248000000,-17.470486,-0.30767348
1249000000,-17.417322,-0.29221064
1250000000,-17.419767,-0.30815178
1251000000,-17.425707,-0.31906047
1252000000,-17.39728,-0.32848808
1253000000,-17.428747,-0.35163048
1254000000,-17.389307,-0.35878444
1255000000,-17.341106,-0.35701871
1256000000,-17.331291,-0.3316564
1257000000,-17.230877,-0.27803984
1258000000,-17.270441,-0.29997692
1259000000,-17.239967,-0.30647698
1260000000,-17.241499,-0.33945268
1261000000,-17.217102,-0.33173761
1262000000,-17.155062,-0.30609363
1263000000,-17.156679,-0.29472098
1264000000,-17.163179,-0.31397566
1265000000,-17.158096,-0.34972903
1266000000,-17.147457,-0.33567339
1267000000,-17.098585,-0.32262677
1268000000,-17.105999,-0.34263071
1269000000,-17.073933,-0.34076118
1270000000,-17.059202,-0.33152831
1271000000,-17.038731,-0.34367821
1272000000,-17.010958,-0.33282682
1273000000,-17.005011,-0.33604786
1274000000,-16.948483,-0.31627589
1275000000,-16.977514,-0.31529567
1276000000,-16.93214,-0.33021936
1277000000,-16.918524,-0.31702498
1278000000,-16.903067,-0.32157204
1279000000,-16.888906,-0.32038674
1280000000,-16.864527,-0.31824121
1281000000,-16.854872,-0.31764832
1282000000,-16.85457,-0.32147622
1283000000,-16.812893,-0.32367775
