!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:46:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-33.493595,-0.25506845
1001000000,-33.373318,-0.2279277
1002000000,-32.999012,-0.2518886
1003000000,-32.659809,-0.26271275
1004000000,-32.333797,-0.24309607
1005000000,-32.119564,-0.24429941
1006000000,-31.87187,-0.27516988
1007000000,-31.576748,-0.23290415
1008000000,-31.302595,-0.2621699
1009000000,-31.114578,-0.23667006
1010000000,-30.874891,-0.21808228
1011000000,-30.699907,-0.24185279
1012000000,-30.423267,-0.25285277
1013000000,-30.313606,-0.25769189
1014000000,-30.051056,-0.23376644
1015000000,-29.943922,-0.25275573
1016000000,-29.682287,-0.24209702
1017000000,-29.528879,-0.27733809
1018000000,-29.259558,-0.23152098
1019000000,-29.147844,-0.24600416
1020000000,-29.003933,-0.23926048
1021000000,-28.805992,-0.25723723
1022000000,-28.725754,-0.26241851
1023000000,-28.498739,-0.24359962
1024000000,-28.293056,-0.27583393
1025000000,-28.105793,-0.25122884
1026000000,-28.009483,-0.24531102
1027000000,-27.829903,-0.25566629
1028000000,-27.718876,-0.26612788
1029000000,-27.55043,-0.2395696
1030000000,-27.342676,-0.21879734
1031000000,-27.324621,-0.24477322
1032000000,-27.106115,-0.26561052
1033000000,-26.990322,-0.24671647
1034000000,-26.793423,-0.27844942
1035000000,-26.685207,-0.28774828
1036000000,-26.609034,-0.25033882
1037000000,-26.430523,-0.25623688
1038000000,-26.371399,-0.2442624
1039000000,-26.13369,-0.25244227
1040000000,-26.066448,-0.27279297
1041000000,-25.910658,-0.246126
1042000000,-25.806946,-0.26748064
1043000000,-25.682407,-0.2627767
1044000000,-25.576584,-0.25677001
1045000000,-25.436298,-0.28234053
1046000000,-25.279329,-0.27384579
1047000000,-25.188353,-0.24389811
1048000000,-25.131975,-0.27233857
1049000000,-25.035292,-0.26894963
1050000000,-24.903097,-0.30584598
1051000000,-24.742628,-0.27839214
1052000000,-24.699099,-0.2726799
1053000000,-24.569399,-0.27974921
1054000000,-24.430408,-0.27224013
1055000000,-24.340548,-0.24402323
1056000000,-24.247713,-0.28279164
1057000000,-24.157032,-0.27095196
1058000000,-24.066978,-0.25040066
1059000000,-23.959534,-0.27730134
1060000000,-23.788801,-0.27540988
1061000000,-23.75592,-0.29063267
1062000000,-23.706423,-0.30714056
1063000000,-23.582462,-0.29125726
1064000000,-23.483013,-0.25620827
1065000000,-23.396593,-0.3093417
1066000000,-23.320971,-0.28674102
1067000000,-23.190512,-0.27316007
1068000000,-23.165209,-0.29829466
1069000000,-23.061632,-0.2667354
1070000000,-22.935553,-0.25648692
1071000000,-22.89846,-0.27610821
1072000000,-22.852402,-0.32042456
1073000000,-22.723705,-0.29911503
1074000000,-22.612843,-0.30709699
1075000000,-22.561749,-0.29102859
1076000000,-22.522457,-0.31667298
1077000000,-22.424267,-0.30579928
1078000000,-22.254108,-0.29755095
1079000000,-22.297678,-0.28555939
1080000000,-22.246223,-0.28319034
1081000000,-22.097738,-0.28639522
1082000000,-22.001293,-0.27034086
1083000000,-21.962738,-0.30281177
1084000000,-21.953007,-0.30453032
1085000000,-21.845367,-0.28783864
1086000000,-21.724314,-0.29636508
1087000000,-21.671938,-0.26746461
1088000000,-21.617296,-0.25682119
1089000000,-21.537802,-0.29195604
1090000000,-21.459137,-0.28524733
1091000000,-21.40106,-0.29649463
1092000000,-21.324539,-0.29265347
1093000000,-21.287004,-0.30042624
1094000000,-21.24015,-0.28340602
1095000000,-21.115747,-0.2737543
1096000000,-21.044537,-0.28659311
1097000000,-21.046404,-0.29830304
1098000000,-21.023153,-0.30046141
1099000000,-20.944399,-0.32629699
1100000000,-20.812836,-0.28973305
1101000000,-20.818129,-0.29647839
1102000000,-20.769016,-0.33929941
1103000000,-20.67931,-0.31495655
1104000000,-20.607378,-0.31219634
1105000000,-20.501221,-0.30356604
1106000000,-20.475832,-0.30722898
1107000000,-20.48753,-0.29405031
1108000000,-20.346926,-0.28493348
1109000000,-20.330622,-0.29318446
1110000000,-20.214993,-0.29372889
